Business_Category,Business_Name,Business_Description,Website_,Phone_,Address,Email,Y_LAT,X_LONG,Coordinates,OBJECTID,SHAPE__Area,SHAPE__Length
COMMUNITY SERVICES/EDUCATION,KINDER KAMPUS - OLD ORCHARD,DAYCARE.,www.kinderkampus.ca,604-461-2233,"LEASE - 646 BENTLEY RD, PORT MOODY",oldorchard@kinderkampus.ca,5459765.553400001,511194.5286500001,"4,270|511178.56,5459795|511178.65,5459795.11|511178.693955928,5459795.163723912|511178.73950000014,5459795.217|511178.79464986647,5459795.280722074|511178.83,5459795.32|511178.85,5459795.34|511178.8814238296,5459795.380402067|511178.92399999965,5459795.429099999|511178.96170165145,5459795.471701651|511179.02,5459795.53|511179.09270251857,5459795.618858634|511179.1107999999,5459795.6391|511179.12683099473,5459795.656830994|511179.21,5459795.74|511179.28,5459795.82|511179.29312857345,5459795.83969286|511179.2999,5459795.847100001|511179.3341461422,5459795.884146142|511179.4,5459795.95|511179.49,5459796.05|511179.53224303824,5459796.096467342|511179.58770000003,5459796.155200001|511179.6847000001,5459796.2568|511179.7823000001,5459796.357999999|511179.88049999997,5459796.4585|511179.97919999994,5459796.558599999|511180.0784,5459796.6581|511180.17819999997,5459796.757099999|511180.2785,5459796.8555|511180.32332863274,5459796.89899577|511180.38,5459796.95|511180.47832683264,5459797.048326832|511180.4808,5459797.0507|511180.58270000014,5459797.147500001|511180.60658453434,5459797.1699384|511180.62,5459797.18|511180.69,5459797.24|511180.79,5459797.34|511180.89,5459797.43|511181,5459797.53|511181.1,5459797.62|511181.21,5459797.72|511181.2399395338,5459797.7469455805|511181.31060000043,5459797.8091|511181.31696979963,5459797.814646533|511181.34,5459797.83|511181.42,5459797.9|511181.52,5459797.99|511181.63,5459798.08|511181.74,5459798.17|511181.85,5459798.26|511181.95,5459798.35|511182.05908689473,5459798.439252914|511182.06319999974,5459798.442600001|511182.1727,5459798.5307|511182.28259999957,5459798.6183|511182.39300000016,5459798.7052|511182.5038999999,5459798.7915|511182.57445332286,5459798.845839992|511182.62,5459798.88|511183.7523964059,5459799.747817806|511189.0395999998,5459803.795499999|511189.15309999976,5459803.881899999|511189.267,5459803.967599999|511189.28013687296,5459803.977372271|511189.38,5459804.05|511189.4945850925,5459804.1359388195|511189.49629999977,5459804.1372|511189.61170000024,5459804.221000001|511189.6142733164,5459804.222848877|511189.73,5459804.3|511189.78535525076,5459804.345290659|511189.8437999999,5459804.3868|511189.96050000004,5459804.468699999|511190.0209505225,5459804.510633681|511190.08,5459804.55|511190.2,5459804.63|511190.27585586027,5459804.685167898|511190.31340000033,5459804.7106|511190.4319000002,5459804.789899999|511190.5508000003,5459804.8686|511190.6701999996,5459804.946599999|511190.6942977034,5459804.962148852|511190.73,5459804.98|511190.79,5459805.02|511190.91,5459805.1|511190.92281047185,5459805.108540314|511191.03089999966,5459805.1766|511191.13293594116,5459805.240045966|511191.15,5459805.25|511191.1629285831,5459805.258619055|511191.2735000001,5459805.3266|511191.3216061348,5459805.355803068|511191.35,5459805.37|511191.4,5459805.4|511191.52,5459805.47|511191.59149782005,5459805.517665213|511191.6403999999,5459805.546599999|511191.76350000035,5459805.6186|511191.84801043593,5459805.667390235|511191.89,5459805.69|511192.0090508308,5459805.759446317|511192.01040927455,5459805.760220379|511192.14,5459805.83|511192.25,5459805.89|511192.25935017783,5459805.899350178|511192.2598000001,5459805.899599999|511192.38489999995,5459805.9682|511192.5103000002,5459806.036|511192.5672700307,5459806.066432321|511192.64,5459806.1|511192.73,5459806.15|511192.7491790214,5459806.162786014|511192.7622999996,5459806.1697|511192.88879999984,5459806.235400001|511192.96742119925,5459806.275732861|511193.02,5459806.3|511193.14,5459806.36|511193.2250560322,5459806.405799402|511193.2706000004,5459806.4285|511193.32785755984,5459806.456703489|511193.4,5459806.49|511193.53,5459806.55|511193.61628076574,5459806.596458874|511193.65550000034,5459806.6152|511193.78450000007,5459806.676100001|511193.9138000002,5459806.736199999|511194.04339999985,5459806.795600001|511194.09051789955,5459806.8168393|511194.13,5459806.83|511194.17,5459806.85|511194.3,5459806.91|511194.3245960002,5459806.921352|511194.43429999985,5459806.9694|511194.56520000007,5459807.026000001|511194.6195846013,5459807.049071001|511194.7,5459807.08|511194.77,5459807.11|511194.8008356891,5459807.125417844|511194.82799999975,5459807.1368|511194.86033676885,5459807.150112256|511194.92,5459807.17|511194.96,5459807.19|511195.09,5459807.24|511195.1537866568,5459807.269439995|511195.2243999997,5459807.297599999|511195.33493413025,5459807.3410479035|511195.36,5459807.35|511195.49,5459807.4|511195.62,5459807.45|511195.76,5459807.5|511195.89,5459807.55|511196.03,5459807.6|511196.0729075198,5459807.616502892|511196.15940000024,5459807.6472|511196.22399522003,5459807.669690837|511196.29,5459807.69|511196.43,5459807.74|511196.4454049914,5459807.745924997|511196.5641000001,5459807.7859000005|511196.6827759923,5459807.825078855|511196.7,5459807.83|511196.84,5459807.87|511196.93179389706,5459807.905305345|511196.97109999973,5459807.9178|511197.0657782525,5459807.947365215|511197.11,5459807.96|511197.24,5459808|511197.38,5459808.04|511197.52,5459808.08|511197.65,5459808.12|511197.79,5459808.16|511197.9,5459808.19|511197.9240781547,5459808.198026052|511197.92870000005,5459808.1993|511198.0663999999,5459808.236500001|511198.1446595593,5459808.257229129|511198.2,5459808.27|511198.2686466728,5459808.289613334|511198.34229999967,5459808.308599999|511198.37783013063,5459808.317566026|511198.39,5459808.32|511198.48,5459808.34|511198.57,5459808.36|511198.606572774,5459808.374629109|511198.61899999995,5459808.377699999|511198.6998391296,5459808.397108385|511198.76,5459808.41|511198.9,5459808.44|511198.98,5459808.46|511199.0066085478,5459808.468869516|511199.03550000023,5459808.475500001|511199.1747000003,5459808.5066|511199.31400000025,5459808.536900001|511199.45359999966,5459808.566400001|511199.5932,5459808.5951000005|511199.6453254796,5459808.605532548|511199.69,5459808.61|511199.73,5459808.62|511199.85573725146,5459808.646943697|511199.8729999997,5459808.6503|511200.0131999999,5459808.6768|511200.05581692746,5459808.684581692|511200.11,5459808.69|511200.15,5459808.7|511200.2,5459808.71|511200.2146372661,5459808.713252726|511200.29389999993,5459808.727299999|511200.40749576385,5459808.746785109|511200.43,5459808.75|511200.58,5459808.77|511200.68,5459808.79|511200.69732991967,5459808.79433248|511200.7159000002,5459808.7973|511200.8568000002,5459808.8191|511200.93093730434,5459808.830133901|511201,5459808.84|511201.14,5459808.86|511201.23,5459808.87|511201.2761061557,5459808.879221231|511201.28029999975,5459808.879799999|511201.42169999983,5459808.898399999|511201.56319999974,5459808.916300001|511201.64283189795,5459808.925916564|511201.7,5459808.93|511201.85,5459808.95|511201.8529245262,5459808.95041779|511201.98819999956,5459808.965299999|511202.1299999989,5459808.98|511202.13,5459808.98|511202.27,5459808.99|511202.35,5459809|511202.3670942818,5459809.002849047|511202.41390000004,5459809.007200001|511202.55599999987,5459809.0196|511202.5608999912,5459809.02|511202.57,5459809.02|511202.7,5459809.03|511202.84,5459809.04|511202.98,5459809.05|511203.12,5459809.06|511203.26527708146,5459809.069685139|511203.26719999965,5459809.069800001|511203.4095999999,5459809.077400001|511203.46329564205,5459809.08|511203.55,5459809.08|511203.69,5459809.09|511203.7,5459809.09|511203.71814348595,5459809.091295963|511203.8370000003,5459809.095799999|511203.9700933493,5459809.1|511203.98,5459809.1|511204.12,5459809.1|511204.1985029924,5459809.105607357|511204.2647000002,5459809.107000001|511204.4073000001,5459809.109200001|511204.4950538226,5459809.11|511204.5,5459809.11|511204.55,5459809.11|511204.52,5459813.42|511204.51703496696,5459813.420014868|511204.517,5459813.4246|511191.780646664,5459813.483879279|511190.56,5459813.49|511178.43,5459813.55|511178.5072088124,5459802.532896382|511178.5574000003,5459795.0030000005|511178.5599578127,5459795.006019797|511178.56,5459795|4,405|511214.7758999998,5459717.5568|511214.7758602027,5459717.562284554|511214.78,5459717.56|511214.7030481206,5459727.596723698|511214.6434000004,5459735.817|511214.2215999998,5459793.961999999|511204.63320000004,5459793.8924|511204.5423999997,5459793.8912|511204.4851157684,5459793.89|511204.45,5459793.89|511204.36,5459793.89|511204.3112601283,5459793.884584459|511204.27020000014,5459793.882999999|511204.2069209414,5459793.88|511204.18,5459793.88|511204.16,5459793.88|511204.1323359985,5459793.876048|511204.0888,5459793.8736000005|511204.0335186488,5459793.87|511204.03,5459793.87|511204,5459793.87|511203.9433172852,5459793.863701921|511203.90759999957,5459793.861099999|511203.81709999964,5459793.853700001|511203.7763097481,5459793.85|511203.73,5459793.85|511203.64,5459793.84|511203.55,5459793.83|511203.46,5459793.82|511203.4260579551,5459793.812457323|511203.3657999998,5459793.8049|511203.27579999994,5459793.7929|511203.18590000644,5459793.78|511203.17,5459793.78|511203.1,5459793.77|511203.05,5459793.76|511203.03870000085,5459793.757175|511203.00650000013,5459793.752|511202.9648930879,5459793.744988121|511202.92,5459793.74|511202.86,5459793.73|511202.83929137135,5459793.723097124|511202.82749999966,5459793.721000001|511202.7383000003,5459793.704299999|511202.68567369564,5459793.693963745|511202.65,5459793.69|511202.56,5459793.67|511202.47,5459793.65|511202.38,5459793.63|511202.29,5459793.61|511202.21,5459793.59|511202.12,5459793.57|511202.08,5459793.56|511202.0539855586,5459793.5495942235|511202.03000000026,5459793.543400001|511201.95746972255,5459793.52388216|511201.94,5459793.52|511201.85,5459793.5|511201.78,5459793.48|511201.77167214185,5459793.471672142|511201.7675999999,5459793.4705|511201.6804999998,5459793.444800001|511201.64667235006,5459793.434445391|511201.62,5459793.43|511201.59,5459793.42|511201.54188626114,5459793.401957348|511201.5070000002,5459793.391000001|511201.42069999967,5459793.363|511201.3344999999,5459793.3342|511201.2485999996,5459793.3047|511201.1629999997,5459793.274499999|511201.07770000026,5459793.2435|511200.99260000046,5459793.2118|511200.9092722199,5459793.18|511200.9,5459793.18|5",13,5349.6015625,425.271436428418
RETAIL COMMERCIAL,GREAT CANADIAN ENTERPRISES,ART/HOBBY/FLORAL/GIFT.,,604-469-2522,"2802 ST JOHNS ST, PORT MOODY",GREATCANADIANCOLLECTIBLES@TELUS.NET,5458262.021500001,510924.163,"510934.125,5458241.87|510934.309,5458282.084|510914.193,5458282.173|510914.017,5458241.958|510934.125,5458241.87",14,1899.8984375,185.009081044135
INDUSTRIAL,AMACO MACHINERY LTD,Custom Machining and Fabricating,,604-469-8711,"2921 MURRAY ST, PORT MOODY",amacomachinery@shawbiz.ca,5458431.8655,511166.22250000003,"511156.256,5458452.018|511156.08,5458411.801|511176.189,5458411.713|511176.365,5458451.93|511156.256,5458452.018",15,1899.859375,185.013175318186
BUSINESS SERVICES,DAVID J HO ARCHITECT INC,Architect,,604-469-9649,"204A - 3003 ST JOHNS ST, PORT MOODY",davidjho@telus.net,5458181.2305,511328.85250000004,"511395.708,5458154.652|511401.881,5458154.614|511401.942,5458164.659|511402.201,5458206.949|511261.791,5458207.847|511255.669,5458201.792|511255.504,5458165.602|511314.238,5458165.224|511314.192,5458155.156|511330.073,5458155.058|511345.916,5458154.96|511361.875,5458154.861|511377.443,5458154.763|511395.708,5458154.652",16,16577.46875,603.509520339153
HEALTH,DR. STAN HEINRICHS INC.,DENTAL OFFICE.,www.drstan.ca,604-461-2228,"200 - 221 IOCO RD, PORT MOODY",stan@drstan.ca,5459002.3055,512556.882,"512518.028,5458934.108|512563.839,5458942.966|512566.931,5458944.695|512576.841,5458950.238|512611.871,5458949.541|512612.447,5458978.63|512613.731,5459043.455|512583.343,5459044.16|512584.002,5459070.503|512521.946,5459057.156|512521.8,5459057.124|512521.655,5459057.091|512521.51,5459057.058|512521.365,5459057.024|512521.22,5459056.989|512521.075,5459056.953|512520.93,5459056.917|512520.786,5459056.879|512520.642,5459056.841|512520.498,5459056.803|512520.355,5459056.763|512520.211,5459056.723|512520.068,5459056.682|512519.925,5459056.64|512519.782,5459056.597|512519.639,5459056.554|512519.497,5459056.51|512519.355,5459056.465|512519.213,5459056.419|512519.072,5459056.372|512518.93,5459056.325|512518.789,5459056.277|512518.648,5459056.228|512518.508,5459056.179|512518.367,5459056.129|512518.227,5459056.078|512518.088,5459056.026|512517.948,5459055.974|512517.809,5459055.92|512517.67,5459055.866|512517.531,5459055.812|512517.393,5459055.756|512517.255,5459055.7|512517.117,5459055.643|512516.98,5459055.585|512516.843,5459055.527|512516.706,5459055.468|512516.57,5459055.408|512516.434,5459055.347|512516.298,5459055.286|512516.162,5459055.224|512516.027,5459055.161|512515.892,5459055.097|512515.758,5459055.033|512515.624,5459054.968|512515.49,5459054.902|512515.356,5459054.836|512515.224,5459054.769|512515.091,5459054.701|512514.958,5459054.633|512514.827,5459054.563|512514.695,5459054.493|512514.564,5459054.422|512514.433,5459054.351|512514.303,5459054.279|512514.173,5459054.206|512514.043,5459054.133|512513.913,5459054.059|512513.785,5459053.984|512513.656,5459053.908|512513.528,5459053.832|512513.401,5459053.755|512513.273,5459053.677|512513.146,5459053.599|512513.02,5459053.52|512512.894,5459053.441|512512.769,5459053.36|512512.644,5459053.279|512512.519,5459053.197|512512.395,5459053.115|512512.271,5459053.032|512512.148,5459052.948|512512.025,5459052.864|512511.902,5459052.779|512511.78,5459052.693|512511.659,5459052.607|512511.538,5459052.52|512511.417,5459052.433|512511.297,5459052.344|512511.178,5459052.256|512511.058,5459052.166|512510.94,5459052.076|512510.822,5459051.985|512510.704,5459051.894|512510.587,5459051.802|512510.47,5459051.709|512510.354,5459051.615|512510.238,5459051.522|512510.123,5459051.427|512510.008,5459051.332|512509.894,5459051.236|512509.781,5459051.14|512509.667,5459051.043|512509.555,5459050.945|512509.443,5459050.847|512509.331,5459050.748|512509.22,5459050.649|512509.11,5459050.549|512509,5459050.448|512508.89,5459050.347|512508.781,5459050.245|512508.673,5459050.143|512508.565,5459050.04|512508.458,5459049.936|512508.351,5459049.832|512508.245,5459049.727|512508.14,5459049.622|512508.035,5459049.516|512507.93,5459049.41|512507.827,5459049.303|512507.723,5459049.196|512507.621,5459049.088|512507.519,5459048.979|512507.417,5459048.87|512507.316,5459048.76|512507.216,5459048.65|512507.116,5459048.539|512507.017,5459048.428|512506.918,5459048.316|512506.821,5459048.204|512506.723,5459048.091|512506.627,5459047.978|512506.53,5459047.864|512506.435,5459047.749|512506.34,5459047.635|512506.246,5459047.519|512506.152,5459047.403|512506.059,5459047.287|512505.967,5459047.17|512505.875,5459047.052|512505.784,5459046.934|512505.693,5459046.816|512505.604,5459046.697|512505.514,5459046.578|512505.426,5459046.458|512505.338,5459046.338|512505.25,5459046.217|512505.164,5459046.096|512505.078,5459045.974|512504.992,5459045.852|512504.908,5459045.729|512504.824,5459045.606|512504.74,5459045.482|512504.658,5459045.359|512504.576,5459045.234|512504.494,5459045.109|512504.414,5459044.984|512504.334,5459044.858|512504.254,5459044.732|512504.176,5459044.605|512504.098,5459044.478|512504.02,5459044.351|512503.944,5459044.223|512503.868,5459044.095|512503.793,5459043.966|512503.718,5459043.837|512503.644,5459043.708|512503.571,5459043.578|512503.499,5459043.448|512503.427,5459043.317|512503.356,5459043.186|512503.286,5459043.055|512503.216,5459042.923|512503.147,5459042.791|512503.079,5459042.658|512503.011,5459042.526|512502.944,5459042.392|512502.878,5459042.259|512502.813,5459042.125|512502.748,5459041.991|512502.684,5459041.856|512502.621,5459041.721|512502.559,5459041.586|512502.497,5459041.45|512502.436,5459041.314|512502.376,5459041.178|512502.316,5459041.041|512502.257,5459040.904|512502.199,5459040.767|512502.142,5459040.629|512502.085,5459040.492|512502.029,5459040.353|512501.974,5459040.215|512501.92,5459040.076|512501.866,5459039.937|512501.813,5459039.798|512501.761,5459039.658|512501.71,5459039.518|512501.659,5459039.378|512501.609,5459039.238|512501.56,5459039.097|512501.512,5459038.956|512501.464,5459038.815|512501.417,5459038.673|512501.371,5459038.532|512501.326,5459038.39|512501.281,5459038.248|512501.237,5459038.105|512501.195,5459037.962|512501.152,5459037.819|512501.111,5459037.676|512501.07,5459037.533|512501.03,5459037.389|512500.991,5459037.246|512500.952,5459037.102|512500.915,5459036.957|512500.878,5459036.813|512500.842,5459036.669|512500.806,5459036.524|512500.772,5459036.379|512500.738,5459036.234|512500.705,5459036.088|512500.673,5459035.943|512500.641,5459035.797|512500.611,5459035.651|512500.581,5459035.505|512500.552,5459035.359|512500.524,5459035.213|512500.496,5459035.066|512500.469,5459034.92|512500.443,5459034.773|512500.418,5459034.626|512500.394,5459034.479|512500.37,5459034.332|512500.348,5459034.185|512500.326,5459034.037|512500.304,5459033.89|512500.284,5459033.742|512500.264,5459033.594|512500.246,5459033.446|512500.228,5459033.299|512500.21,5459033.151|512500.194,5459033.002|512500.178,5459032.854|512500.163,5459032.706|512500.149,5459032.558|512500.136,5459032.409|512500.124,5459032.261|512500.112,5459032.112|512500.101,5459031.964|512500.091,5459031.815|512500.082,5459031.666|512500.073,5459031.517|512500.066,5459031.368|512500.059,5459031.219|512500.053,5459031.071|512500.047,5459030.922|512500.043,5459030.773|512500.039,5459030.624|512500.036,5459030.475|512500.034,5459030.326|512500.033,5459030.177|512500.033,5459030.028|512500.033,5459029.879|512500.034,5459029.73|512500.036,5459029.581|512500.039,5459029.432|512500.042,5459029.283|512500.047,5459029.134|512500.052,5459028.985|512500.058,5459028.836|512500.064,5459028.687|512500.072,5459028.538|512500.08,5459028.389|512500.089,5459028.241|512500.099,5459028.092|512500.11,5459027.943|512500.121,5459027.795|512500.134,5459027.646|512500.147,5459027.498|512500.161,5459027.349|512500.175,5459027.201|512500.191,5459027.053|512500.207,5459026.905|512500.224,5459026.757|512500.242,5459026.609|512500.261,5459026.461|512500.28,5459026.313|512500.301,5459026.165|512500.322,5459026.018|512500.344,5459025.871|512500.366,5459025.723|512500.39,5459025.576|512500.414,5459025.429|512500.439,5459025.282|512500.465,5459025.135|512500.491,5459024.989|512500.519,5459024.842|512510.82,5458971.566|512518.028,5458934.108",17,28134.0546875,683.864575947208
BANK/FINAN/INSURA,"EDWARD D. JONES & CO, L.P.",Financial Consultant,,604-931-6850,"2826 ST JOHNS ST, PORT MOODY",bryan.stark@edwardjones.com,5458261.5175,511034.75800000003,"511014.558,5458241.5|511054.775,5458241.317|511054.958,5458281.534|511014.741,5458281.718|511014.558,5458241.5",18,3799.4296875,246.5586372395
BEAUTY/ESTHETICS,ELIZABETH ESTHETICS,Esthetics,,604-469-1974,"710 IOCO RD, PORT MOODY",,5459902.539000001,510873.2415,"510877.078,5459882.655|510885.099,5459917.622|510869.044,5459922.423|510861.384,5459889.417|510877.078,5459882.655",19,1374.6328125,158.918118740931
INDUSTRIAL,ARCTIG FABRICATING & WELDING,WELDING-FABRICATION,,604-461-3520,"3006 SPRING ST, PORT MOODY",arctigfab@gmail.com,5458332.3855,511320.5085,"511353.897,5458292.634|511354.447,5458370.374|511286.993,5458372.137|511286.57,5458293.049|511353.897,5458292.634",20,12414.6015625,447.031074306703
AUTOMOTIVE,FIRST CLASS AUTO BODY,Auto Body,,604-461-4040,"2902 ST JOHNS ST, PORT MOODY",,5458261.2825,511085.025,"511094.988,5458241.134|511095.168,5458281.345|511075.067,5458281.431|511074.882,5458241.226|511094.988,5458241.134",21,1898.796875,184.963108475458
RETAIL COMMERCIAL,CREATIVE CHILDREN FURNITURE AND ART SUPPLIES LTD.,CHILDRENS FURNITURE AND ART SUPPLIES.,www.creativechildren.ca,604-469-6403,"6 - 3005 MURRAY ST, PORT MOODY",service@creativechildreneducational.com,5458426.9344999995,511274.10250000004,"511246.434,5458403.607|511301.079,5458402.215|511301.771,5458451.418|511301.771,5458451.418|511256.913,5458451.611|511246.851,5458451.654|511246.502,5458411.418|511246.434,5458403.607",22,6258.734375,316.995980764052
HEALTH,NEWPORT MEDICAL CLINIC,Doctors Office,,604-461-0016,"100 - 205 NEWPORT DR, PORT MOODY",newportclinic@yahoo.com,5458910.1655,512548.24100000004,"512518.028,5458934.108|512529.334,5458875.636|512578.454,5458885.14|512566.931,5458944.695|512563.839,5458942.966|512518.028,5458934.108",23,7004.2578125,337.952694805242
COMMUNITY SERVICES/EDUCATION,MARKEL'S DAYCARE,Daycare,,604-936-8085,"924 GLENACRE CRT, PORT MOODY",madixon@telus.net,5457880.346,508747.25800000003,"508748.795,5457862.568|508763.485,5457886.49|508736.346,5457898.89|508731.031,5457901.318|508731.465,5457889.834|508732.26,5457868.828|508732.618,5457859.374|508748.795,5457862.568",24,1970.3515625,187.337873016697
CONTRACTORS,LETTER ART NEON LTD,Sign Manufacturer,,604-461-3919,"3202 ST JOHNS ST, PORT MOODY",,5458290.605,512057.5255,"512065.592,5458247.94|512091.3,5458244.283|512091.695,5458321.649|512065.997,5458327.43|512065.947,5458327.442|512024.981,5458336.657|512024.868,5458336.681|512024.757,5458336.706|512024.645,5458336.731|512024.533,5458336.757|512024.422,5458336.783|512024.31,5458336.81|512024.199,5458336.839|512024.088,5458336.867|512023.978,5458336.897|512023.867,5458336.927|512023.356,5458253.957|512065.592,5458247.94",25,12796.1640625,457.561469285532
HEALTH,MAXFIT MOVEMENT INSTITUTE INC.,"Chiropractor, Physio and RMT Services",www.maxfitmovement.ca,604-461-6888,"2703 CLARKE ST, PORT MOODY",info@maxfitmovement.ca,5458312.98195,510773.5305999997,"510803.61369999964,5458292.7425|510803.78589999955,5458332.9529|510743.44990000036,5458333.2214|510743.27529999986,5458293.005899999|510803.61369999964,5458292.7425",26,5699.7109375,308.134156752117
COMMUNITY SERVICES/EDUCATION,LOVELY FAMILY DAY CARE,DAYCARE.,,604-937-5557,"1476 UNION ST, PORT MOODY",lovelydaycare@hotmail.com,5459358.592499999,509565.4265,"509544.995,5459359.719|509555.745,5459347.469|509585.858,5459355.59|509582.066,5459369.716|509544.995,5459359.719",27,1195.84375,153.975279149742
COMMUNITY SERVICES/EDUCATION,PUMPKIN PATCH FAMILY DAYCARE,DAYCARE.,,604-931-3901,"1605 GORE ST, PORT MOODY",donnaworoschuk@shaw.ca,5459103.4274,509594.1284005897,"509589.275,5459095.765|509606.67380117933,5459095.944218252|509606.45529999956,5459111.0898|509581.583,5459111.07|509589.275,5459095.765",28,757.046875,114.237279840333
SPORT/RECREATION/TRAVEL,TRANSCENDING MARTIAL ARTS INC.,MARTIAL ARTS.,www.bcmartialarts.com,604-469-0207,"2827 SPRING ST, PORT MOODY",tmaonline@gmail.com,5458261.791999999,510974.43299999996,"511014.558,5458241.5|511014.741,5458281.718|510934.309,5458282.084|510934.125,5458241.87|511014.558,5458241.5",29,7598.453125,369.651504378722
BUSINESS SERVICES,CITYSTATE CONSULTING/SILK GALLERY,"Design, Planning and Property Management",,604-816-5399,"200 - 2414 ST JOHNS ST, PORT MOODY",,5458264.442,510376.20999999996,"510361.051,5458244.423|510381.148,5458244.328|510401.246,5458244.232|510401.418,5458284.432|510381.324,5458284.52|510361.23,5458284.608|510351.183,5458284.652|510351.002,5458244.471|510361.051,5458244.423",30,4743.1015625,277.154252113879
RETAIL COMMERCIAL,THE RUNNERS' DEN INC,FOOTWEAR.,www.runnersden.ca,604-461-8330,"239 NEWPORT DR, PORT MOODY",info@runnersden.ca,5458931.885,512612.2115,"512566.931,5458944.695|512578.454,5458885.14|512620.445,5458893.265|512656.763,5458932.339|512657.492,5458977.908|512612.447,5458978.63|512611.871,5458949.541|512576.841,5458950.238|512566.931,5458944.695",31,13056.4765625,494.953132266898
AUTOMOTIVE,TALISMAN EXCEL TIRE LTD,Auto and Truck Services/Tire Sales,www.talismanexceltire@gmail.com,601-931-2717,"2625 ST JOHNS ST, PORT MOODY",,5458188.171499999,510712.6625,"510702.531,5458168.106|510722.639,5458168.02|510722.794,5458208.236|510702.685,5458208.323|510702.531,5458168.106",32,1899.609375,185.001706390794
