"﻿Province",City,Name,URL,Direct Link,Licence,Attribution Statement,License name,Include,Last Updated,Update Frequency,Notes,localfile,date_format
BC,Surrey,Business Licenses,https://data.surrey.ca/dataset/business-licences,,https://data.surrey.ca/pages/open-government-licence-surrey,Contains information licensed under the Open Government License – City of Surrey.,,y,2021-10-13 00:00,Yearly,,BC_Surrey_Business_Licences.csv,N/A
BC,Township of Langley,,https://data-tol.opendata.arcgis.com/datasets/business-licenses,,https://www.tol.ca/opengovlicense,Contains information licensed under the Open Government License – Township of Langley.,,y,,,,,
BC,Vancouver,Business licences,https://opendata.vancouver.ca/explore/dataset/business-licences/information/?disjunctive.status&disjunctive.businesssubtype,,https://opendata.vancouver.ca/pages/licence/,Contains information licensed under the Open Government Licence – Vancouver.,,y,2021-11-18 00:00,,,BC_Vancouver_Business_Licences.csv,%Y-%m-%d
BC,Vancouver,Business licences 1997 to 2012,https://opendata.vancouver.ca/explore/dataset/business-licences-1997-to-2012/information/?disjunctive.status&disjunctive.businesssubtype,,https://opendata.vancouver.ca/pages/licence/,Contains information licensed under the Open Government Licence – Vancouver.,,y,2020-03-05 00:00,,,,
BC,Victoria,,https://opendata.victoria.ca/datasets/business-licences-past-5-years/data,https://opendata.victoria.ca/pages/open-data-licence,,Contains information licensed under the Open Government Licence – City of Victoria,,y,,,,BC_Victoria_Business_Licences.csv,%Y%m%d
BC,Victoria,Business Licences Issued Past 10 Years (2011-2020),https://opendata.victoria.ca/datasets/business-licences-issued-past-10-years-2011-2020/explore,,https://opendata.victoria.ca/pages/open-data-licence,Contains information licensed under the Open Government Licence – City of Victoria.,,y,2021-02-12 00:00,,,,
BC,Victoria,Business Licences - Current Year,https://opendata.victoria.ca/datasets/business-licences-current-year/explore?location=48.427800%2C-123.358200%2C13.67,,https://opendata.victoria.ca/pages/open-data-licence,Contains information licensed under the Open Government Licence – City of Victoria.,,y,2021-08-11 00:00,,,,
BC,Vernon,,,,,,,,,,,,
BC,White Rock,,,,,,,,,,,,
BC,,BC Indigenous Business Listings,https://catalogue.data.gov.bc.ca/dataset/bc-indigenous-business-listings,https://catalogue.data.gov.bc.ca/dataset/bdc81d33-1ab5-4882-9764-8701e8971bb7/resource/f805f66e-8294-4f8d-bdd9-2400eb3938d0/download/bcindigenousbusinesslistings.csv,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Contains information licensed under the Open Government Licence – British Columbia,,y,,,,BC_Indigenous_Business_Listings.csv,%Y
BC,,Licensed Establishments in B.C.,https://catalogue.data.gov.bc.ca/dataset/licensed-establishments-in-b-c,https://catalogue.data.gov.bc.ca/dataset/2b71813e-fb00-4a8a-a60e-a67a46c81d2d/resource/df13ab03-8e5d-44c6-a3be-b29cb7756877/download/weball2017-11-21.csv,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Contains information licensed under the Open Government Licence – British Columbia,,y,,,,BC_Liquor_licences.csv,N/A
BC,,BC Winery Locations,https://catalogue.data.gov.bc.ca/dataset/bc-winery-locations,https://catalogue.data.gov.bc.ca/dataset/1d21922b-ec4f-42e5-8f6b-bf320a286157/resource/ba973b76-072e-4e68-94b7-b7501a9438b5/download/webwinery2017-11-21.csv,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Contains information licensed under the Open Government Licence – British Columbia,,y,,,,BC_Wineries.csv,N/A
MB,Brandon,,,,,,,,,,,,
MB,Winnipeg,Business Licenses,https://data.winnipeg.ca/Neighbourhood-Liveability-Property-Standards-Licen/Business-Licenses/d5k3-sfzx,,https://data.winnipeg.ca/open-data-licence,Contains information licensed under the Open Government Licence – Winnipeg.,Open Government Licence - Canada,y,2021-11-01 00:00,,,,
MB,,Aboriginal Financial Officers Association of Manitoba,https://www.afoamb.ca/about-us/corporate-members/,,Unknown,,,maybe,,,,MB_Indigenous_AFOA.csv,N/A
NB,Fredericton,,,,,,,,,,,,
NB,Moncton,Grocery stores,https://open.moncton.ca/datasets/grocery-stores/explore?location=46.089028%2C-64.771766%2C12.79&showTable=true,,https://ago-item-storage.s3.us-east-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEAwaCXVzLWVhc3QtMSJHMEUCIQD4OImUnBbQKt7fZxWv7W%2B6Ll0XjtmL3AJFM2MgqBEWPQIgAzcTJ%2FZGwLoVaxScWIa8Sp8k3JLeFgbc7TDun%2BxNJiwqgwQIxP%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAAGgw2MDQ3NTgxMDI2NjUiDFaxpYcL1tc8NXa24irXA3PowJXr4ouiYvG0dCqHGbt0I4WJFf6cZaNkaY%2BN8D11SK8%2BefibeqQtIh3Vbm5M4rK0FpVgqOdlIqHi3A%2FBlys7iqKsTXSPlU0aI1b9vxLxDChYI4a9FFLv%2FifmtnLS84fmbf1HDVBRy5CIEzGNZhFL%2FRYinnmqOA1WrTdsDZtRJebU3iVAlRSBE%2B4ZFLGnmyejK6G8R2wA4jfI380x8c92oqz1gBaXAxpZRBTTYx2JvwwJFh0vwgGWY9WBpprFORFfILvOHYfGUVjucs1jzD3Ns4B5A%2FZ84ikRUQisC7towimIKF8R%2F3tBfHVImuKreqT3Vnk5oACFrjkGRJk8F4gJrjUNgKiEWbx2PPM6ER9SbJPcRijS9RaxG5VrQTeA4yhIUNxBcMd4SLkcBsLMTf4SAI7RxouJ%2Bv4jQAchSvu%2Bv4UCGobhKeu3ywfR5NFf7HFj3k78Ach%2Bsgqv2dDMeHVgUguHQwb%2BzgnyXe5EPfn9dNT5O4rjry%2BPnsDpTdRnA%2B98ruE7%2BrJP0ODPql4IzAPUE79BlUwr5MkEtgJPmbBtfvDnpk63fXLUoXL3Ifzs35OExv5Rkjk6Tc%2FWfs1STi0TksF9UTpeDKyYTW%2Fv13z6qXoLA1LPIjCZy9qMBjqlAWmFyJvYgkmrxwrcmJ1IjWo2yuzazKK%2F1wqwwJHiDn0Z8oq1k%2FcxbCKaO9v4bw5i6HBAANQR0Ds%2BGYhhu%2FK2C8N3sg4bxlfPI1zcBKyRL1ILBQ7J5MPSY4msMEnvGuFmJ8XecSWgKzcBEIdSSUWpcEyQiyg5reVVCEr%2F8DnpdAHspHZqIu8O1uldDuzl11VinPZUcdbOgTeZAn4jIPqAVBd6o8YpUA%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20211118T204142Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKE6PXCSKHH%2F20211118%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=68ce5006077d3f204724edbd917e13fabdd01748d36d04b7abc01ce236d3ad01,,,y,2020-03-23 00:00,,,NB_Moncton_Grocery_Stores.csv,N/A
NB,Moncton,Pharmacies,https://open.moncton.ca/datasets/pharmacies/explore?location=46.092990%2C-64.785448%2C12.68&showTable=true,,https://ago-item-storage.s3.us-east-1.amazonaws.com/3ec310926cbd436cbaa609d8ee9fac15/Open_Data_Terms_of_Use.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEAwaCXVzLWVhc3QtMSJIMEYCIQCAdW%2Bag2UJXkrHPQH%2BrLi%2FNNPneGBq%2BkOzIFdY%2By%2FqyAIhAMEdtTZ2pqazx8FE7lsk3tvIMwSKdZxeBJ97AQEAks3tKoMECMX%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEQABoMNjA0NzU4MTAyNjY1IgxK%2BkPSVpdRdQEV%2Fcwq1wMoLNv5Oqpdi%2BKbtXaVqt5PVe%2BNuO74Dku8vxIWorVwOVkhHLw1j9xlXFhYEoHVXnbdfjXdpO1JE4xaPUpv7P5wIP3epNOsiPDz2lyZaVgbGciBx3KyqJ%2B3CMuO5%2BqJlFfU3a2OsdI5RKRZMOD6rZmMs8wCtUfEYW3XfDjcc3fQEnMRvBsW9ACh4HTWlyHU7D1%2FWA1NlappMu0qFuSYm9nQfcXY9EmDSsS4aEDIyDeVGOGjS3LNaqzsDQqx82eAFZnd1v7%2BGBO0182Ik9I5Zbqo1jN1VZPfRN284rqCAsU95zo%2BP21NGNKLAnIU0xcTPd3b9%2BVBdzs3IUbF6ZaMqGZgBUt9ctBLFNppDSCQb4bNrWgcs%2FtHRqLK4Nd57w1FGFmpAq87yaTFY19ocm%2Bu0gGOAk0aeu1ihws4QtY%2B12%2BmHdsyy9E%2BYjO8hOp%2Bc4utSUExjTLcaGydxCxchveYlZ9GhiKqWiFLqutWQhZNL%2BwbEb04UPS0J%2FGH5csPeq7GHz7YRwAuQ27BiVDB3V4SIqDbflvCqhhkv7I4Qi79gmseXewGKnu4rDjWQdk5HCrddYxmADLwHxtYuDiJCHeZmSGgk1%2FUs9WYx1jS%2F%2FIQBBfy3b96SOJYKmkw9t7ajAY6pAFgjdaIMyNTraXpqkja443w0r6BKp9VtaIHgc9mrxl4i5XypAVYBHXvbtQKpAnc7u74ShGfBfkQI1eJMKsFf4ofaeN5qkkLLKiU6w2edrtIbArcB5RT1pbHigE7%2F7z2tr7dWoBXyEC8UmdDMjO6jxYKEQMs0FEATg3X%2FwxFhWKdP9kecXRzZWh%2BqkukycGH9qbyHzkd2I%2BQtXxMAHKOR2PTQrom1g%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20211118T204555Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAYZTTEKKERCR5V7F5%2F20211118%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=1031a04a5935401192056b030c256cfda974db29d168ca94628ae49000d13d83,,,y,2020-03-19 00:00,,,NB_Moncton_Ph_Pharmacies.csv,N/A
NB,Saint John,Grocery Stores,https://catalogue-saintjohn.opendata.arcgis.com/datasets/grocery-stores/explore?location=45.278564%2C-66.049994%2C12.00&showTable=true,,Open Government Licence – City of Saint John,"Contains information licensed under the Open Government Licence – City of Saint John ",,y,2020-05-25 00:00,,,NB_Saint_John_Grocery_Stores.csv,N/A
NL,St. John's,,,,,,,,,,,,
NS,Cape Breton,,,,,,,,,,,,
NS,Halifax,,,,,,,,,,,,
NT,Yellowknife,Business Directory,https://opendata.yellowknife.ca/home/details/0ead7112-bafe-4c0d-b0ca-b2220cc6d2a9,https://www.yellowknife.ca/en/doing-business/doing-business-open-data.aspx,https://www.yellowknife.ca/en/discovering-yellowknife/resources/geomatic_services/City_of_Yellowknife_Open_Data_LIcence__Terms_of_Use.pdf,Contains public sector Datasets made available under the City of Yellowknife's Open Data License v.1”,,y,,,,NT_Yellowknife_Business_Directory.csv,N/A
NU,Iqaluit,,,,,,,,,,,NU_Indigenous_Business.csv,%Y-%m-%d
ON,Mississauga,2019 Mississauga Business Directory,https://data.mississauga.ca/datasets/mississauga::2019-mississauga-business-directory/about,https://opendata.arcgis.com/datasets/f8fa454b6c2d4b1f99a0b51149e2afc1_0.geojson,http://www5.mississauga.ca/research_catalogue/CityofMississauga_TermsofUse.pdf,,Custom,maybe,"March 3rd, 2020",,"s. If you distribute or provide access to these Datasets to any other person, whether in original or modified form, you agree to include a copy of, or this Uniform Resource Locator (URL) for, these Terms of Use and to ensure any such person agrees to, and is bound by, them but without introducing any further restrictions of any kind",ON_Mississauga_Business_Directory.csv,N/A
"ON ","York Region (Markham, Vaughn, Richmond Hill)",York Region 2019 Business Directory,https://insights-york.opendata.arcgis.com/documents/york::york-region-2019-business-directory/about,,https://insights-york.opendata.arcgis.com/documents/york-region-open-data-licence/explore,"Contains public sector 
information made available under The Regional Municipality of York's Open Data Licence",e UK Government's Open Government Licence,y,2021-08-13 00:00,,,ON_York_Region_Business_Directory.csv,%Y-%m-%d
ON,,Ontario Environment Business Directory,https://data.ontario.ca/dataset/ontario-environment-business-directory,,https://www.ontario.ca/page/copyright-information,,King's Printer for Ontario,maybe,,,,ON_oebd.csv,N/A
"ON ",Sudbury,,https://opendata.greatersudbury.ca/datasets/mybus-transit-api#!/BuildingPermits,,https://www.greatersudbury.ca/city-hall/open-government/open-data/licence/,Contains information licensed under the Open Data Licence – City of Greater Sudbury.,Open Government Licence,y,,,,ON_Greater_Sudbury_Business_Licences.csv,D(D)/M(M)/%Y
"ON ",Toronto,,https://open.toronto.ca/dataset/municipal-licensing-and-standards-business-licences-and-permits/,,https://open.toronto.ca/open-data-license/,Contains information licensed under the Open Government Licence – Toronto,Open Government Licence,y,,,,ON_Toronto_Business_Licences.csv,%d-mmm-YY
"ON ",Welland,,https://open.welland.ca/datasets/83cab91d949a48fdbc26763dbe6c3778_2/explore,,https://open.welland.ca/pages/terms-of-use,Contains information licensed under the Open Government Licence – City of Welland.,Open Government Licence,y,,,,ON_Welland_Business_Directory.csv,%Y
ON,Ottawa,,https://open.ottawa.ca/datasets/cultural-businesses,,https://ottawa.ca/en/city-hall/open-transparent-and-accountable-government/open-data#open-data-licence-version-2-0,Contains information licensed under the Open Government Licence – City of Ottawa.,Open Government Licence – City of Ottawa,y,,,,ON_Ottawa_Cultural_Businesses.csv,%Y%m%d
ON,Ottawa,Street Food Vendors,https://open.ottawa.ca/datasets/street-food-vendors/explore?location=45.398751%2C-75.710140%2C3.83&showTable=true,,https://ottawa.ca/en/city-hall/open-transparent-and-accountable-government/open-data#open-data-licence-version-2-0,Contains information licensed under the Open Government Licence – City of Ottawa.,Open Government Licence – City of Ottawa,y,2020-03-02 00:00,,,ON_Ottawa_Street_Food_Vendors.csv,N/A
ON,Kitchener/Waterloo,Business Directory,https://geohub.cambridge.ca/datasets/KitchenerGIS::business-directory/explore?location=43.431239%2C-80.473736%2C11.00,,https://www.kitchener.ca/en/council-and-city-administration/open-data-licence.aspx,Contains information licensed under the Open Government Licence - The Corporation of the City of Kitchener,Open Government License - The Corporation of the City of Kitchener,y,2021-11-23 00:00,,,ON_Kitchener_Business_Directory.csv,%Y
ON,Caledon,Caledon Business Directory 2018,https://data.peelregion.ca/datasets/caledon-business-directory-2018/explore?showTable=true,,https://data.peelregion.ca/pages/license,Contains public sector Information made available under The Regional Municipality of Peel's Open Data Licence - Version 1.0.,UK Government's Open Government Licence,y,,,,ON_Caledon_Business_Directory.csv,N/A
ON,Ajax,Business Directory,https://opendata.ajax.ca/datasets/DurhamRegion::business-directory/explore?location=44.129582%2C-78.898350%2C9.00,,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,"Contains public sector Information made available under The Regional
Municipality of Durham's Open Data Licence",r The Regional Municipality of Durham's Open Data Licence,y,2021-11-30 00:00,,,,
ON,Barrie,,,,,,,,,,,,
ON,Brampton,Brampton Business Directory,https://geohub.brampton.ca/datasets/brampton-business-directory/explore?location=43.730712%2C-79.750850%2C10.00,,https://creativecommons.org/licenses/by/4.0/,,CC BY 4.0,y,2021-11-22 00:00,,,ON_Brampton_Business_Directory.csv,%Y-%m-%d
ON,Brantford,,,,,,,,,,,,
ON,Burlington,,,,,,,,,,,,
ON,Cambridge,,https://geohub.cambridge.ca/datasets/KitchenerGIS::business-directory/explore?location=43.431511%2C-80.473736%2C12.77,,https://geohub.cambridge.ca/datasets/KitchenerGIS::business-directory/explore?location=43.431492%2C-80.473736%2C12.77," Contains information licensed under the Open Government Licence - The Corporation of the City of Kitchener.",,y,,,,ON_Cambridge_Business_Directory.csv,%Y
ON,"Durham (Oshawa, Ajax, Pickering, Whitby)",Business Directory,https://opendata.durham.ca/datasets/business-directory/explore?location=44.131050%2C-78.898350%2C9.75,,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,"Contains public sector Information made available under The Regional
Municipality of Durham's Open Data Licence",,y,2020-11-30 00:00,,,ON_Durham_Business_Directory.csv,%Y-%m-%d
ON,"Durham Region (Oshawa, Pickering)",,https://opendata.pickering.ca/datasets/DurhamRegion::business-directory/explore?location=44.131050%2C-78.898350%2C10.23,,https://www.durham.ca/en/regional-government/resources/Documents/OpenDataLicenceAgreement.pdf,"Contains public sector Information made available under The Regional
Municipality of Durham's Open Data Licence",,y,,,,ON_Pickering_Business_Directory.csv,%Y-%m-%d
ON,Guelph,Business Licenses,http://data.open.guelph.ca/dataset/business-licence/resource/c5deda33-3375-4aea-a55f-17b16c490d42,,http://data.open.guelph.ca/pages/open-government-licence,Contains information provided by the City of Guelph under an open government license,City of Hamilton’s Open Data Licence,y,2021-11-22 00:00,,,,
ON,Hamilton,Licensed Basic Food Shops,https://open.hamilton.ca/datasets/59afd6534e4849ccae93c9ed0049a445_14/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,,,ON_Hamilton_Licenced_Basic_Food_Shops.csv,%Y/%m/%d HH:MM:SS+TZ
ON,Hamilton,Licensed Food Establishments,https://open.hamilton.ca/datasets/85c1b5c9e931470d94f0c9ff5acaa341_2/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,,,ON_Hamilton_Licenced_Food_Establishments.csv,%Y/%m/%d HH:MM:SS+TZ
ON,Hamilton,Licensed Kennels and Pet Shops,https://open.hamilton.ca/datasets/c5a848d9c40f4e83acb1cd73ab9f4508_3/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,,,ON_Hamilton_Licenced_Kennels_and_Pet_Shops.csv,%Y/%m/%d HH:MM:SS+TZ
ON,Hamilton,Licensed Limousines,https://open.hamilton.ca/datasets/d276c7eb2b2d4a3c972ad18e55cbbcdc_13/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,,,,
ON,Hamilton,Licensed Lodging Houses,https://open.hamilton.ca/datasets/981c055e3c2448b3be3a4644993f59fc_4/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,Anually,,ON_Hamilton_Licenced_Lodging_Houses.csv,%Y/%m/%d HH:MM:SS+TZ
ON,Hamilton,Licensed Mobile Food Service Vehicles,https://open.hamilton.ca/datasets/cd820e6df0b74ed2a3c7a9df539de67f_5/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,,,,
ON,Hamilton,Licensed Places of Amusement,https://open.hamilton.ca/datasets/5de18a38cd37457dae49f22c0a9b76b3_7/explore,,https://www.hamilton.ca/city-initiatives/strategies-actions/open-data-licence-terms-and-conditions,Contains public sector Data made available under the City of Hamilton’s Open Data Licence,City of Hamilton’s Open Data Licence,y,2021-10-15 00:00,,,ON_Hamilton_Licenced_Places_of_Amusement.csv,%Y/%m/%d HH:MM:SS+TZ
