TRADE_NAME,LICENSE_DESCRIPTION,GISLINK,ADDRESS,PHONE
1267961 BC LTD (DBA) C & M CIVIL,EXCAVATING,640.41956,"41956 SOUTH SUMAS RD, CHILLIWACK BC  V2R 4K6",604-819-8813
1296053 BC LTD,GENERAL CONTRACTOR,,BUSINESS-NON RESIDENT,250-301-8124
1302948 BC LTD DBA STOR-X FRASER VALLEY,CUSTOM CLOSETS / ORGANIZING SYSTEMS,EPS272,"27-45137 NICOMEN CRES, CHILLIWACK BC  V2R 0R3",604-345-8757
1327017 BC LTD (DBA) PALM DRAPERY,WINDOW COVERINGS (DRAPERY & BLINDS),LMS2888,"103-8645 YOUNG RD, CHILLIWACK BC  V2P 4P3",604-792-5206
147 AIRWOLF - AIR CADETS PARENTS SOCIETY,CANTEEN - NON-PROFIT - FLEA MARKET,953.45707,"45707 PRINCESS AVE, CHILLIWACK BC  V2P 2B5",604-792-0315
168 HAPPY MART CORPORATION,CONVENIENCE STORE,982.46298,"C-46298 YALE RD, CHILLIWACK BC  V2P 2P6",
1ST ON-SITE TRAFFIC CONTROL,TRAFFIC CONTROL,BCS490,"217-51075 FALLS COURT, CHILLIWACK BC  V4Z 1K7",
2 PINES PROPERTY MANAGEMENT,PROPERTY MANAGEMENT,579.46477,"46477 UPLANDS RD, CHILLIWACK BC  V2R 4W1",604-991-7936
3 P'S CONTRACTING,RENOVATIONS - OFFICE USE ONLY,4558.06265,"6265 DUNDEE PL, CHILLIWACK BC  V2R 2H1",604-819-0437
30 MINUTE HIT (DBA) HITGLAM FITNESS INC,WOMEN'S BOXING CIRCUIT,862.45695,"2A-45695 HOCKING AVE, CHILLIWACK BC  V2P 6Z6",604-795-7563
376373 BC LTD,BUILDING & DEVELOPMENT - OFFICE ONLY,4598.10548,"10548 YOUNG RD, CHILLIWACK BC  V2P 8C2",604-792-4536
3R DEMOLITION CORP,DEMOLITION CONTRACTOR,,BUSINESS-NON RESIDENT,604-435-2555
419924 BC LTD,PROPERTY / LAND DEVELOPMENT,4480.05747,"5747 CARTER RD, CHILLIWACK BC  V2R 3K1",604-858-6558
4TH UTILITY INC,"FIBER OPTIC, CTV WIRELESS SYSTEM / PA CARD ACCESS NURSE CALLS VOICE & DATA / ELECTRICAL",,BUSINESS-NON RESIDENT,604-941-4440
502039 BC LTD (INC NO 502039),4 PLEX - 4 UNIT RENTAL,LMS569,"CMPLX-9145 CHARLES ST, CHILLIWACK BC  V2P 7Y6",604-819-0456
519800 BC LTD (INC NO 519800),RESIDENTIAL BUILDING & DEVELOPMENT - OFFICE ONLY,4720.08856,"8856 PREST RD, CHILLIWACK BC  V2P 6H3",604-792-0089
551372 BC LTD (DBA) PETERSON CONSTRUCTION,GENERAL CONTRACTOR,993.46339,"46339 HOPE RIVER RD, CHILLIWACK BC  V2P 3P4",604-798-9197
604 TRAFFIC CONTROL LTD,TRAFFIC CONTROL AND FLAGGING SERVICES (OFFICE USE ONLY),LMS725,"101-45635 MCINTOSH DR, CHILLIWACK BC  V2P 6V4",604-793-0707
604PAINTIT,PAINTING CONTRACTOR,4621.04709,"4709 TESKEY RD, CHILLIWACK BC  V2R 0C6",604-837-8724
626 AUTO REPAIR,MOBILE OIL CHANGE & ON-RIM REPAIR SERVICES,4621.04778,"4778 TESKEY RD, CHILLIWACK BC  V2R 5W8",604-340-1368
7 - ELEVEN (CANADA STORE #37097H),CONVENIENCE STORE WITH FOOD TAKE OUT,982.46299,"46299 YALE RD, CHILLIWACK BC  V2P 2P7",604-703-1505
7 - ELEVEN STORE #37888H,"GAS STATION, CONVENIENCE STORE & CAR WASH",762.4535,"7680 AMBER DR, CHILLIWACK BC  V2R 3C7",604-824-1566
7-ELEVEN FOOD STORES- 26792,CONVENIENCE/GAS BAR,4569.07385,"7385 VEDDER RD, CHILLIWACK BC  V2R 4E6",604-858-7711
782619100 BC LTD,SUPPLEMENTS FOR HORSES,4653.05694,"5694 STONEHAVEN ST, CHILLIWACK BC  V2R 3Y6",604-217-7069
89.5 THE DRIVE (CHWK FM RADIO DBA),RADIO STATION,982.46167,"312-46167 YALE RD, CHILLIWACK BC  V2P 2P2",
8M MANAGEMENT INC,APARTMENT - 14 UNITS,BCS1808,"CMPLX-9315 WOODBINE ST, CHILLIWACK BC",604-316-0125
9240 CORBOULD VILLAGE,RENTAL APARTMENTS - 24 UNIT,4553.0924,"9240 CORBOULD ST, CHILLIWACK BC  V2P 4A5",778-986-7759
A & G FENCING - A DIVISION OF 651103 BC LTD,FENCING CONTRACTOR - OFFICE ONLY,1040.50231,"50231 CASTLEMAN RD, CHILLIWACK BC  V2P 6H4",604-794-3181
A & H DRILLING LTD,DRILLING - OFFICE ONLY,880.48987,"48987 CHILLIWACK CENTRAL RD, CHILLIWACK BC  V2P 6H3",604-794-5544
A & M TRADING LTD,WOODWORKING SHOP,5120.09415,"9415 FORD RD, ROSEDALE BC  V0X 1X2",604-794-9981
A & W RESTAURANT,RESTAURANT,925.45801,"45801 FIRST AVE, CHILLIWACK BC  V2P 1R3",604-792-0044
A & W RESTAURANT,FAST FOOD RESTAURANT,I.R.7,"500-8249 EAGLE LANDING PKY, CHILLIWACK BC  V2R 0P9",604-792-6667
A & W RESTAURANT,RESTAURANT,762.45585,"105-45585 LUCKAKUCK WAY, CHILLIWACK BC  V2R 1A1",604-858-6883
A & W RESTAURANT (DBA MOOT HOLDINGS), A & W RESTAURANT,LMS2073,"31-5725 VEDDER RD, CHILLIWACK BC  V2R 3N4",604-824-5559
A - ONE MACHINERY LTD,MACHINE SHOP,4446.0848,"A-8480 AITKEN RD, CHILLIWACK BC  V2R 3W8",604-792-2216
A BRIDGE TO BETTER LIVING,NEW & USED HOME DECOR,959.45921,"45921 WELLINGTON AVE, CHILLIWACK BC  V2P 2C6",604-795-9100
A BRIDGE TO BETTER LIVING SOCIETY,THRIFT STORE - FURNITURE / CLOTHING & HOUSEHOLD GOODS NP#S0066846,959.45873,"45873 WELLINGTON AVE, CHILLIWACK BC  V2P 2C8",
A BUYERS CHOICE HOME INSPECTIONS - CHILLIWACK (0860432 BC LTD DBA),HOME INSPECTIONS - OFFICE USE ONLY,858.45272,"45272 CREEKSIDE DR, CHILLIWACK BC  V2P 7K6",604-703-9876
A CUT AHEAD,BARBER SHOP,200.45966,"8-45966 YALE RD, CHILLIWACK BC  V2P 2M3",604-792-0425
A HEALING HELPING HAND RECOVERY SOCIETY INC,MANAGING RENTAL SUITES / ART STORE - NON-PROFIT #S-53776,4597.09259,"9259 YOUNG RD, CHILLIWACK BC  V2P 4R1",604-316-5170
A J PUMPS,REPAIR AND SERVICE OF WATER PUMPS,841.4617,"46170 AIRPORT RD, CHILLIWACK BC  V2P 1A5",604-795-2568
A J RHODES PAINTING,PAINTING CONTRACTOR - OFFICE USE ONLY,4690.09355,"9355 MCNAUGHT RD, CHILLIWACK BC  V2P 6E7",
A J S MILLWORK,CABINET MANUFACTURING,440.4152,"41520 YARROW CENTRAL RD, CHILLIWACK BC  V2R 5G4",604-823-4134
A J SUPPLIES,SUPPLIER FOR DELICATESSEN BAKERYS - OFFICE ONLY,4579.09486,"402-9486 COOK ST, CHILLIWACK BC  V2P 4J7",604-795-5960
A J TOWING,TOWING COMPANY - OFFICE - COMPOUND - 8945 NOWELL STREET,LMS725,"101-45635 MCINTOSH DR, CHILLIWACK BC  V2P 6V4",604-795-3374
A L P PAINTING & DECORATING,PAINTING CONTRACTOR - OFFICE ONLY,598.44721,"44721 ASHBURY PL, CHILLIWACK BC  V2R 2Y6",604-798-7765
A MAN AND HIS MOWER YARD CARE,LAWN & YARD CARE,4487.05917,"5917 GLENDALE DR, CHILLIWACK BC  V2R 3A6",604-997-4774
A T TAX SERVICES,INCOME TAX PREPARATION,4665.10232,"10232 MANOR DR, CHILLIWACK BC  V2P 5Y8",604-795-4556
A.M./P.M. FOOD MART,CONVENIENCE STORE & GAS BAR / CAR WASH,4597.08845,"8845 YOUNG RD, CHILLIWACK BC  V2P 4P6",604-795-5551
A1 SEAL THE DEAL,"HANDYMAN SERVICES, MISC HOME REPAIRS AND MAINTENANCE",LMS2125,"11-5915 VEDDER RD, CHILLIWACK BC  V2R 1C3",
A11 CONTRACTING LTD,HOME RENOVATIONS AND GREENHOUSE BUILDING - HOME OFFICE USE ONLY,548.46242,"46242 KERMODE CRES, CHILLIWACK BC  V2R 0C7",604-217-2992
A11 FREIGHT LTD.,FREIGHT AND COURIER,548.46242,"46242 KERMODE CRES, CHILLIWACK BC  V2R 0C7",604-824-3166
AACSON INDUSTRIES LTD,STEEL FABRICATION,4597.08735,"8735 YOUNG RD, CHILLIWACK BC  V2P 4P3",604-792-3711
ABBEY CEDAR PRODUCTS LTD,WOODWORKING & FENCING CONTRACTING,4190.04633,"4633 NO 3 RD, CHILLIWACK BC  V2R 5E9",7785528079
ABBSRY USED TIRES LTD,USED TIRE SALES & SERVICE,200.45575,"45575 YALE RD, CHILLIWACK BC  V2P 4N1",604-792-0490
ABBY BIN SERVICES (2014) INC,TRUCKING / ROLL OFF BINS FOR CONSTRUCTION SITE WASTE,BCS1690,"101-8030 ENTERPRISE DR, CHILLIWACK BC  V2R 5N8",604-792-8843
ABBY CONTRACTING (606760 BC LTD DBA),LANDSCAPING CONTRACTOR - OFFICE ONLY,440.42745,"42745 YARROW CENTRAL RD, CHILLIWACK BC  V2R 5C5",604-798-1242
ABC RECYCLING LTD,SCRAP METAL RECYCLING,,BUSINESS-NON RESIDENT,604-522-9727
ABE BLOCK CONSTRUCTION,NEW RESIDENTIAL CONSTRUCTION - OFFICE ONLY,539.44414,"44414 MCLAREN DR, CHILLIWACK BC  V2R 0A3",604-847-9870
ABLETECH ASSISTIVE TECHNOLOGIES INC (DBA) ABLE TECH,CONSULTING - ASSISTIVE TECHNOLOGIES,982.46167,"110-46167 YALE RD, CHILLIWACK BC  V2P 2P2",866-374-6776
ABOUT U COUNSELLING INC,INDIVIDUAL / COUPLES COUNSELLING & PSYCHOTHERAPY,749.4575,"206A-45750 KNIGHT RD, CHILLIWACK BC  V2R 0G1",778-231-4642
ABOVE THE REST RENOVATIONS,RENOVATIONS CONTRACTOR,1022.46097,"46097 CLARE AVE, CHILLIWACK BC  V2P 6M9",604-703-3915
ABSOLUTELY FABULOUS SALON & SPA,HAIR SALON & SPA,923.46013,"2-46013 GORE AVE, CHILLIWACK BC  V2P 1Z5",604-491-7777
AC TECH ALLIANCE REPAIR SERVICE INC,AUTOMOTIVE / TRACTOR REPAIR,974.5118,"51180 YALE RD, ROSEDALE BC  V0X 1X0",604-819-7875
ACADIAN DESIGNS,WELDING/FABRICATION TQ# 550695 - MOBILE SERVICES,BCS2377,"4-45190 SOUTH SUMAS RD, CHILLIWACK BC  V2P 8C9",604-316-7626
ACCELERATED CARRIERS LTD,TRUCKING,4446.0851,"8510 AITKEN RD, CHILLIWACK BC  V2R 3W8",604-701-6200
ACCELL RENOVATIONS,CONSTRUCTION / CONTRACTOR,1024.46523,"46523 SEAHOLM CRES, CHILLIWACK BC  V2P 6K9",604-807-1471
ACCESS CITY PROJECTS,"ACCESSIBILITY CONSTRUCTION CONTRACTOR, CABINET & SMALL ACCESSORY MANUFACTURING - MOBILE BASED",4730.11048,"11048 MCSWEEN RD, CHILLIWACK BC  V2P 7Z7",604-825-1951
ACCESS COMMUNITY THERAPISTS LTD,MOBILE OCCUPATIONAL THERAPY SERVICES,,BUSINESS-NON RESIDENT,604-736-7009
ACCESS GAS SERVICES INC,NATURAL GAS SUPPLIER / MARKETER,,BUSINESS-NON RESIDENT,604-519-0862
ACCESS MINI STORAGE LTD,MINI STORAGE WAREHOUSE,4631.08989,"8989 CHARLES ST, CHILLIWACK BC  V2P 7H9",604-824-0030
ACCESS MINI-STORAGE LTD,STORAGE FACILITY,4569.07455,"7455 VEDDER RD, CHILLIWACK BC",604-824-8549
ACCESS MINI-STORAGE LTD,MINI STORAGE FACILITY DP000426,739.45648,"45648 STOREY AVE, CHILLIWACK BC  V2R 4E6",604-824-8549
ACCIONA FACILITY SERVICES CANADA LTD,SANITATION SERVICES IN FOOD-PROCESSING PLANTS,,BUSINESS-NON RESIDENT,604-622-6550
ACCURATE DENTURE CLINIC LTD,FABRICATION OF DENTURES & DENTURE RELATED SERVICES,LMS3204,"102-7056 VEDDER RD, CHILLIWACK BC  V2R 1E3",604-846-1846
ACCURATE DENTURE CLINIC LTD  2ND LOCATION,FABRICATION OF DENTURES & RELATED SERVICES,4563.08866,"8866 MARY ST, CHILLIWACK BC  V2P 4J3",604-792-7722
ACCURATE DRYWALL,DRYWALL BOARDING CONTRACTOR - OFFICE ONLY,888.45405,"45405 BERNARD AVE, CHILLIWACK BC  V2P 1H5",604-798-8881
ACCURATE PLUMBING & HEATING (LORWAY ENTERPRISES INC DBA),PLUMBING & HEATING CONTRACTOR - #01046-PL-99 - OFFICE ONLY,653.48023,"48023 ELK VIEW RD, CHILLIWACK BC  V4Z 1E1",604-791-3542
ACME ELECTRICAL LTD,ELECTRICAL CONTRACTOR LIC#K-04-082744 / CEL000232424,4608.08625,"8625 COVENTRY PL, CHILLIWACK BC  V2P 4V6",604-845-6025
ACME FIRE & SAFETY CO LTD,FIRE SAFETY SERVICE,,BUSINESS-NON RESIDENT,604-437-8555
ACOUSTIC EMPORIUM FOLK MUSIC CLUB SOCIETY,NON-PROFIT SOCIETY # S-0062242 - FOLK MUSIC CLUB,959.45892,"45892 WELLINGTON AVE, CHILLIWACK BC  V2P 2C7",604-793-1925
ACTIVATED AUTOMATIC DOOR SYSTEMS,AUTOMATIC DOORS SYSTEMS INSTALL & SERVICE,,BUSINESS-NON RESIDENT,604-942-4557
ACTIVE SAFETY MANAGEMENT INC.,FIRST AID AND SAFETY PERSONNEL IN CONSTRUCTION INDUSTRY,,BUSINESS-NON RESIDENT,
ACUPUNCTURE AND CHINESE HERBAL CLINIC,ACUPUNCTURE & HERBAL CLINIC,4580.09181,"112-9181 MAIN ST, CHILLIWACK BC  V2P 4M9",604-793-9188
ACUSPIRIT CLINIC,ACUPUNCTURIST,664.45714,"45714 STEVENSON RD, CHILLIWACK BC  V2R 1C9",604-316-7667
AD ASTRA ASSOCIATES,AEROSPACE & DEFENCE CONSULTING SERVICES,EPS2092,"3-5144 DHALIWAL PLACE, CHILLIWACK BC  V2R 0W8",604-512-0076
AD CHILLIWACK TSOONA HOLDINGS (INC NO 0938922),REAL ESTATE DEVELOPER / BUILDER,,BUSINESS-NON RESIDENT,604-847-8813
ADL FABRICATION LTD,WELDING & FABRICATING,4535.05015,"5015 CULTUS LAKE RD, CHILLIWACK BC  V2R 4C6",604-576-7855
ADULT & TEEN CHALLENGE SOCIETY OF BC,VEHICLE SALES - NON-PROFIT 108167891RR0001 / MDL#31203,440.42221,"42221 YARROW CENTRAL RD, CHILLIWACK BC  V2R 5E3",888-575-3930
ADVANCED CARE CLINIC,INTERNAL MEDICINE SPECIALIST CLINIC,4565.09123,"201-9123 MARY ST, CHILLIWACK BC  V2P 4H7",778-873-6620
ADVANCED FLOW SYSTEMS INC,INDUSTRIAL MANUFACTURING,793.43676,"43676 PROGRESS WAY, CHILLIWACK BC  V2R 0C3",604-462-1514
ADVANTAGE MECHANICAL PLUMBING CONTRACTOR,PLUMBING CONTRACTOR (5502-PL-93) - OFFICE ONLY,560.41792,"41792 KEITH WILSON RD, CHILLIWACK BC  V2R 4B2",604-823-6588
ADVANTEC MANUFACTURING CANADA INC,"MANUFACTURING OF MARINE WINDOWS, DOORS & HATCHES",793.43676,"43676 PROGRESS WAY, CHILLIWACK BC  V2R 0C3",604-607-0091
ADVENTURE RV CENTER LTD,R.V. SERVICE & PARTS & MOBILE SERVICE & BODY REPAIR,4426.0863,"8630 CHILLIWACK MTN RD, CHILLIWACK BC  V2R 3W8",604-823-4560
AERCO INDUSTRIES LTD,HVAC MECHANICAL CONTRCTOR,,BUSINESS-NON RESIDENT,604-431-6883
AGGRESSIVE FINISHING INC,INDUSTRIAL PAINTING CONTRACTOR,788.44075,"102-44075 YALE RD, CHILLIWACK BC  V2R 3Z9",604-393-0800
AGRI POWER INCORPORATED,CONTRACTING & FARM EQUIPMENT REPAIR - MOBILE SERVICES - OFFICE ONLY,944.5014,"50140 YALE RD, CHILLIWACK BC  V2P 6H4",604-794-5929
AGRI-MOTIVE REPAIR SERVICE LTD,MECHANICAL & AUTOMOTIVE REPAIR,880.49562,"49562 CHILLIWACK CENTRAL RD, CHILLIWACK BC  V2P 6H3",604-794-7611
AIRSTREAM HEATING & AIR CONDITIONING INC,HVAC / PLUMBING / GAS FITTING,,BUSINESS-NON RESIDENT,604-436-0099
AITIA,"MAKING SOAP, LIP BALMS ETC",4248.0805,"8050 OLD ORCHARD RD, CHILLIWACK BC  V2R 4H7",604-792-2624
AJ NAILS,"NAIL SALON ""On Behalf of Squiala First Nations""",I.R.7,"314-8249 EAGLE LANDING PKY, CHILLIWACK BC  V2R 0P9",604-391-0068
AJM PAINTING,"PAINTING AND DECORATING - MOBILE-BASED, HOME OFFICE USE",940.46095,"217-46095 BOLE AVE, CHILLIWACK BC  V2P 2V9",604-837-6699
AJP CONSTRUCTION,FRAMING & CONSTRUCTION CONTRACTOR,965.45822,"45822 LEWIS AVE, CHILLIWACK BC  V2P 3C4",604-703-8835
AK SECURITY & INSTALLATIONS,LOW VOLTAGE SECURITY INSTALLATIONS LIC#B4995 / LIC#E29378 / LIC #LEL01000648,330.41887,"41887 MAPLE LANE, CHILLIWACK BC  V2R 5G9",604-556-6081
AL PARKER AUTO BODY,"AUTOBODY  & MINI STORAGE, INDOOR WRECKING",4467.07981,"7981 ATCHELITZ RD, CHILLIWACK BC  V2R 4H4",604-792-6668
AL'S DRYWALL LTD,"DRYWALL, RENOVATIONS & HOME REPAIRS - OFFICE ONLY",4834.106,"10600 REEVES RD, CHILLIWACK BC  V2P 6H4",604-798-9076
ALAIR HOMES CHILLIWACK (1092912 BC LTD DBA),GENERAL CONTRACTOR / RESIDENTIAL & COMMERCIAL,,BUSINESS-NON RESIDENT,604-316-2205
ALCHEMY ARTS,TATTOO STUDIO,923.46035,"46035 GORE AVE, CHILLIWACK BC  V2P 1Z5",604-701-5151
ALDER PARK APARTMENTS,APARTMENT RENTALS - 49 UNITS,722.45785,"45785 ALDER AVE, CHILLIWACK BC  V2R 4E3",604-991-6402
ALERT MOVING & STORAGE LTD,MOVING & STORAGE,898.46111,"46111 FIFTH AVE, CHILLIWACK BC  V2P 1M8",604-795-7771
ALEX SMALL RENOVATION,RENOVATIONS - OFFICE ONLY,653.48355,"48355 ELK VIEW RD, CHILLIWACK BC  V4Z 1G9",604-845-1120
ALEXANDER APARTMENTS,APARTMENTS  (8 UNITS) - NON-PROFIT S-4416 -,912.45647,"45647 HODGINS AVE, CHILLIWACK BC",604-792-7726
ALEXANDRA BARBER BOOKKEEPING SERVICES,BOOKKEEPING / PAYROLL / TAXES - OFFICE USE ONLY,,BUSINESS-NON RESIDENT,604-845-0973
ALGRA BROS DEVELOPMENTS LTD (INC NO 861226),GENERAL CONTRACTOR,982.46128,"201-46140 YALE RD, CHILLIWACK BC  V2P 0J6",604-819-1116
ALIGN CONSTRUCTION LTD,COMMERCIAL CONSTRUCTION GENERAL CONTRACTOR,,BUSINESS-NON RESIDENT,604-281-2832
ALIVE HEALTH CENTRE LTD,HEALTH FOOD STORE,762.45585,"33-45585 LUCKAKUCK WAY, CHILLIWACK BC  V2R 1A1",604-858-8796
ALIZ GLOBAL TRADING LTD,RECEIVING RETURNED PARCELS DELIVERED BY CANADA POST - ONLINE  NO RETAIL SALES FROM PREMISES,657.45848,"45848 VERBENA DR, CHILLIWACK BC  V2R 0H5",778-865-5282
ALL AGES TOYS & COLLECTIBLES,RETAIL TOYS & COLLECTIBLES,LMS2073,"5-5725 VEDDER RD, CHILLIWACK BC  V2R 3N4",604-824-0801
ALL CREATURES PET GROOMING,DOG GROOMING,987.48821,"48821 YALE RD, CHILLIWACK BC  V2P 6H4",604-795-9932
ALL CUTS PRECISION LTD,CONCRETE CUTTING,889.45868,"B-45868 RAILWAY AVE, CHILLIWACK BC  V2P 1L3",604-824-4842
ALL FIT PERSONAL TRAINING,HOME GYM FOR PERSONAL TRAINING CLIENTS,4668.05284,"5284 GOLDSPRING PL, CHILLIWACK BC  V2R 3Y3",
ALL PALLETS & SAFETY SUPPLIES INC.,SAFETY & PALLET SUPPLIES - OFFICE USE ONLY,898.46095,"46095 FIFTH AVE, CHILLIWACK BC  V2P 1M6",604-200-6674
ALLARD STUDIO OF ELECTROLYSIS,ELECTROLYSIS STUDIO,4578.08472,"132-8472 HARVARD PL, CHILLIWACK BC  V2P 7Z5",604-792-2070
ALLCERAM ESTHETIC DENTAL ARTS,DENTAL LABORATORY,640.45508,"45508 SOUTH SUMAS RD, CHILLIWACK BC  V2R 1S3",778-858-4576
ALLEGIANCE 1 SECURITY & TRAINING ACADEMY LTD,SECURITY GUARD SERVICES & TRAINING ACADEMY LIC#B6057,200.45863,"208-45863 YALE RD, CHILLIWACK BC  V2P 2N6",604-701-1692
ALLIED WATER SERVICES INC,WATER HAULING,,BUSINESS-NON RESIDENT,604-826-8629
ALLPRO LOCK & SAFE,MOBILE LOCKSMITH (MAG 3-008) - OFFICE ONLY - MOBILE SERVICES,4620.0692,"6920 CASABELLO DR, CHILLIWACK BC  V2R 3T8",604-858-0003
ALMA’S MANICURE AND PEDICURE,MANICURES & PEDICURES - MOBILE SERVICES,957.4557,"45570 REECE AVE, CHILLIWACK BC  V2P 3A1",604-819-5321
ALMEGA RESURFACING INC,"RESURFACING BATHTUBS, COUNTERTOPS & CABINETS",440.42617,"42617 YARROW CENTRAL RD, CHILLIWACK BC  V2R 5C5",604-825-3884
ALMOST EVERYTHING HANDYMAN SERVICE,HANDYMAN SERVICES - OFFICE ONLY,955.45898,"45898 HENDERSON AVE, CHILLIWACK BC  V2P 2X7",604-792-3018
