OBJECTID,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
26,CHARTWELL MASTER CARE,460 RYMAL RD W  HAMILTON ON,2022/09/16 00:00:00+00,14 285829 07 1Y,Residential Care Facility (11 or more )
27,CITY HOUSING HAMILTON CORPORATION O/A FIRST PLACE,350 KING ST E  HAMILTON ON L8N 1C2,2022/08/10 00:00:00+00,14 281198 07 1Y,Residential Care Facility (11 or more )
28,COMMUNITY RESIDENTIAL HOMES INC.,153 GEORGE ST  HAMILTON ON L8P 1E4,2022/07/14 00:00:00+00,15 124855 07 1Y,Residential Care Facility (11 or more )
29,CONNECT HAMILTON,8 COLUMBUS GATE  STONEY CREEK,2022/11/26 00:00:00+00,19 296638 01 1Y,Residential Care Facility (11 or more )
30,DELTACORP DEVELOPMENTS INC. O/A THE MEADOWLANDS ,1248 MOHAWK RD  ANCASTER ON,2022/08/14 00:00:00+00,14 199641 07 1Y,Residential Care Facility (11 or more )
31,DENHOLME MANOR,144 ROBINSON ST  HAMILTON ON,2022/07/12 00:00:00+00,15 124816 07 1Y,Residential Care Facility (11 or more )
32,ELM VILLA RETIREMENT HOMES INC,12 MELVILLE ST  DUNDAS ON,2022/05/13 00:00:00+00,14 171272 07 1Y,Residential Care Facility (11 or more )
33,GRADATIM RETIREMENT HOME,145 MARKET ST  HAMILTON ON,2022/02/12 00:00:00+00,16 124854 06 1Y,Residential Care Facility (11 or more )
34,GREENHILL RESIDENTIAL CARE FACILITY INC. O/A EAST AVENUE PLACE,65 EAST AVE S  HAMILTON ON,2022/12/24 00:00:00+00,14 130746 07 1Y,Residential Care Facility (11 or more )
35,HERITAGE GREEN RETIREMENT CENTRE (SEVENTH DAY ADVENTIST CHURCH),351 ISAAC BROCK DR  STONEY CREEK ON,2022/05/28 00:00:00+00,14 172514 07 1Y,Residential Care Facility (11 or more )
36,HIGHGATE RESIDENCE INC,325 FIDDLERS GREEN RD  ANCASTER ON,2022/11/19 00:00:00+00,14 282627 07 1Y,Residential Care Facility (11 or more )
37,INDWELL COMMUNITY HOMES,118 WENTWORTH ST S  HAMILTON ON,2022/03/10 00:00:00+00,14 188561 06 1Y,Residential Care Facility (11 or more )
38,LAKEVIEW RETIREMENT CENTRE INC.,337 HWY 8  STONEY CREEK ON,2022/06/10 00:00:00+00,14 284282 07 1Y,Residential Care Facility (11 or more )
39,LIFETIMES LIVING INC. C/O LIFETIMES LIMITED PARTNERSHIP O/A THE CARLISLE RETIREMENT RESIDENCE,467 MAIN ST E  HAMILTON ON,2022/10/03 00:00:00+00,14 286516 07 1Y,Residential Care Facility (11 or more )
40,M.G.B.E. HAMILTON INC. - KELLY'S RESIDENCE RUTHERFORD,18 RUTHERFORD AVE  HAMILTON ON,2022/03/16 00:00:00+00,14 286718 06 1Y,Residential Care Facility (11 or more )
41,M.G.B.E. MAIN INC. o/a KELLY'S RESIDENCE - MAIN,650 MAIN ST E  HAMILTON ON,2022/05/05 00:00:00+00,17 291908 04 1Y,Residential Care Facility (11 or more )
42,M.G.B.E. SHERMAN INC o/a KELLY'S RESIDENCE,55 SHERMAN AVE S  HAMILTON ON,2022/12/21 00:00:00+00,15 288068 06 1Y,Residential Care Facility (11 or more )
43,M.G.B.E. STINSON INC. O/A KELLY'S RESIDENCE,110 STINSON ST  HAMILTON ON,2022/08/03 00:00:00+00,16 290843 05 1Y,Residential Care Facility (11 or more )
44,MAIN EAST REST HOME INC. ,939 MAIN ST E  HAMILTON ON,2022/05/05 00:00:00+00,20 298539 00 1Y,Residential Care Facility (11 or more )
45,MILTON BROWN ENTERPRISES LTD. O/A ST. PATRICK'S LODGE,90 EMERALD ST S  HAMILTON ON,2022/02/23 00:00:00+00,16 124821 06 1Y,Residential Care Facility (11 or more )
46,SAMPAGUITA LODGING & REST HOME INC.,265 BAY ST S  HAMILTON ON,2022/02/14 00:00:00+00,16 124808 06 1Y,Residential Care Facility (11 or more )
47,SCHLEGEL VILLAGES INC. O/A THE VILLAGE OF WENTWORTH HEIGHTS,1620 UPPER WENTWORTH ST  HAMILTON ON,2022/09/27 00:00:00+00,17 292009 04 1Y,Residential Care Facility (11 or more )
48,THE CARDINAL RETIREMENT RESIDENCE (1982398 ONTARIO INC),10 HERKIMER ST  HAMILTON ON,2022/05/11 00:00:00+00,17 293513 03 1Y,Residential Care Facility (11 or more )
49,UNICARE LIMITED PARTNERSHIP O/A ABINGTON COURT RETIREMENT RESIDENCE,1500 MAIN ST E  HAMILTON ON,2022/11/03 00:00:00+00,14 283383 07 1Y,Residential Care Facility (11 or more )
50,VENIKE INVESTMENTS INC. O/A NOYEL LODGE,53 PARK ST W  DUNDAS ON,2022/10/05 00:00:00+00,18 294279 03 1Y,Residential Care Facility (11 or more )
51,VILLA ITALIA RETIREMENT LIVING,530 UPPER PARADISE RD  HAMILTON ON,2022/09/28 00:00:00+00,13 219533 07 1Y,Residential Care Facility (11 or more )
52,WEST VALLEY SUITES INC.,809 KING ST W  HAMILTON ON L8S 1K2,2022/03/19 00:00:00+00,18 295162 02 1Y,Residential Care Facility (11 or more )
53,WESTMOUNT TERRACE INC.,723 RYMAL RD W  HAMILTON ON,2022/03/11 00:00:00+00,13 174160 06 1Y,Residential Care Facility (11 or more )
54,YWCA OF HAMILTON,70 WEST AVE S  HAMILTON ON,2022/05/30 00:00:00+00,13 283833 07 1Y,Residential Care Facility (11 or more )
55,ZEST RETIREMENT RESIDENCE INC. O/A ST. ELIZABETH RETIREMENT RESIDENCE,391 RYMAL RD W  HAMILTON ON,2022/03/25 00:00:00+00,18 294966 02 1Y,Residential Care Facility (11 or more )
56,1804248 ONTARIO INC. O/A ST. CLAIR LODGING HOME,75 ST. CLAIR AVE  HAMILTON ON,2022/05/29 00:00:00+00,14 286324 07 1X,Residential Care Facility (4-10 Res.)
57,1857147 ONTARIO INC. ,160 PARK ST S  HAMILTON ON,2022/03/16 00:00:00+00,14 279020 06 1X,Residential Care Facility (4-10 Res.)
58,2430866 ONTARIO INC o/a TARA RETIREMENT HOME INC.,843 MOHAWK RD E  HAMILTON ON,2022/02/19 00:00:00+00,17 292983 02 1X,Residential Care Facility (4-10 Res.)
59,2556936 ONTARIO INC. o/a SUNNYSIDE LODGE,11 LAKE AVENUE DR  STONEY CREEK ON L8G 1X5,2022/04/21 00:00:00+00,17 291940 04 1X,Residential Care Facility (4-10 Res.)
60,2777648 ONTARIO INC. O/A CASAREYNA,16 CLOVERHILL RD  HAMILTON ON,2022/10/22 00:00:00+00,21 298740 00 1X,Residential Care Facility (4-10 Res.)
61,ANCHOR ASSOCIATION,42 SPADARA DR  HAMILTON ON,2022/09/24 00:00:00+00,15 287254 06 1X,Residential Care Facility (4-10 Res.)
62,BROCK LODGE,949 KING ST E  HAMILTON ON,2022/03/06 00:00:00+00,14 282251 06 1X,Residential Care Facility (4-10 Res.)
63,CLS ON MAIN RETIREMENT HOME LIMITED,12 LOTUS AVE  HAMILTON ON,2022/03/25 00:00:00+00,14 286518 06 1X,Residential Care Facility (4-10 Res.)
64,DROMORE SENIOR SERVICES,408 ROCK CHAPEL RD  FLAMBOROUGH ON,2022/06/21 00:00:00+00,13 196026 07 1X,Residential Care Facility (4-10 Res.)
65,GAGE PARK LODGE,995 MAIN ST E  HAMILTON ON,2022/08/14 00:00:00+00,15 124859 07 1X,Residential Care Facility (4-10 Res.)
66,JOHNJULES MANAGEMENT LTD.,94 WELLINGTON ST S  HAMILTON ON,2022/12/04 00:00:00+00,14 286862 07 1X,Residential Care Facility (4-10 Res.)
67,OLGA STELLA MANOR CORPORATION O/A OLGA STELLA MANOR,66 SKYVIEW DR  HAMILTON ON,2022/08/14 00:00:00+00,14 286690 07 1X,Residential Care Facility (4-10 Res.)
68,QUEENS LODGE,36 QUEEN ST S  HAMILTON ON,2022/08/10 00:00:00+00,13 140346 07 1X,Residential Care Facility (4-10 Res.)
