X,Y,FID,PropertyNumber,Business_Name,Civic_Unit,Civic_House,Civic_Street,Mailing_Address,GISLink,CommunityName,Phone,Licence_Desc,Category,Category_Desc,Detail,Detail_Desc,NAICS_Primary,NAICS_Primary_Desc,Approved_Date,Permitted_Use,Permitted_Use_Desc,Seasonal_Employees,PartTime_Employees,FullTime_Employees,Latitude,Longitude
-13655669.53,6295115.712,19,147105,NIGHTINGALE MEDICAL SUPPLIES LTD,103,19909,64 AVE,"103-19909 64 AVE 
LANGLEY BC  V2Y 1G9",147105,Willoughby,604-427-1989,"MEDICAL SUPPLIES, SPECIALIZING IN OSTOMY, MASTECTOMY, WOUND & COMPRESSION",74,RETAIL MERCHANTS,MEDICAL,MEDICAL SUPPLIES,339110,Manufacturing / Miscellaneous mfg. / Medical equipment & supplies mfg. / Medical equipment & supplies mfg. / Medical equipment & supplies mfg.,,,,,2,,49.11922538,-122.6709666
-13633504.62,6284830.908,20,112113,PRIMAL RADIANCE HUMAN ENERGY SYSTEMS LTD,,3106,271 ST,"3106 271 ST 
LANGLEY BC  V4W 3H7",112113,Aldergrove,604-856-5299,"ACUPUNCTURE, CHIROPRACTIC & REGISTERED MASSAGE THERAPY SERVICES",60,PERSONAL SERVICES,ACUPUNCT,ACUPUNCTURE,812190,Other services (exc. Public administration) / Personal & laundry services / Personal care services / Other personal care services / Other personal care services,,335,,0,0,2,49.05872046,-122.4718558
-13635884.11,6282385.328,21,107342,COLT CAMS INC,,2325,264 ST,"2325 264 ST 
LANGLEY BC  V4W 2L5",107342,,604-856-3571,OFFICE ONLY FOR INTERNET SALES OF CAMSHAFTS,92,VEHICULAR,REPAIRS,REPAIRS,541611,"Professional, scientific & technical services / Professional, scientific & technical services / Mgmt., scientific & technical consulting serv / Management consulting services / Administrative & gen. mgmt. consulting serv.",,9,,,,1,49.04432241,-122.4932311
-13651983.95,6304738.562,22,105811,ADVANCED CONCEPT FIRE PROTECTION LTD,,21094,95A AVE,"21094 95A AVE 
LANGLEY BC  V1M 2A6",105811,Walnut Grove,604-716-4555,FIRE PROTECTION,23,CONTRACTOR - MISC,FIRE,FIRE PROTECTION,238220,"Construction / Specialty trade contractors / Building equipment contractors / Plumbing, heating & ac contractors / Plumbing, heating & ac contractors",,9,,,,6,49.17576929,-122.6378584
-13651696.79,6292506.01,23,145420,MC WELDING SERVICES LTD,41,21330,56 AVE,"BLDG 41 UNIT 2 21330 56 AVE 
LANGLEY BC  V2Y 2N3",145420,Murrayville,604-533-4400,WHOLESALE & RETAIL AVIATION & SAFETY PRODUCTS,74,RETAIL MERCHANTS,AVIATION,AVIATION,336410,Manufacturing / Transportation equipment mfg. / Aerospace product & parts mfg. / Aerospace product & parts mfg. / Aerospace product & parts mfg.,,34,,,,5,49.10387963,-122.6352788
-13655593.26,6287954.262,24,122120,ANNETTES PETFUDE COMPANY,,4131,200 ST,"4131 200 ST 
LANGLEY BC  V3A 1K8",114407,Brookswood / Fernridge,778-552-5802,Retail Pet Food and Supply,4,ANIMALS/FISH,PET ACCESS,PET ACCESSORIES,453910,Retail trade / Misc. store retailers / Other misc. store retailers / Pet & pet supplies stores / Pet & pet supplies stores,,,,0,1,1,49.07710277,-122.6702814
-13655461.85,6301390.642,25,145597,SPECIAL RISK INSURANCE MANAGERS LTD,103,8411,200 ST,"103-8411 200 ST 
LANGLEY BC  V2Y 0E7",142690,Willoughby,602-888-0050,INSURANCE UNDERWRITING SERVICES,45,"INSURANCE AGENTS, AGENCIES",1,NOT USED,524291,"Finance & insurance / Insurance carriers & related activities / Agencies, brokerages & other insurance act. / Other insurance related activities / Claims adjusters",,,,2,,23,49.15610421,-122.6691009
-13651224.2,6302009.048,26,104100,ZOOM! HOME CLEANING EXPERTS,,21338,86A CRES,"21338 86A CRES 
LANGLEY BC  V1M 2A2",104100,Walnut Grove,604-597-3900,HOME CLEANING & MAID SERVICE,18,CLEANING SERVICES,RESIDENTIA,RESIDENTIAL,561721,"Admin., support, waste mgmt & remed. services / Administrative & support services / Services to buildings & dwellings / Janitorial services / Window cleaning services",,,,0,4,0,49.1597372,-122.6310335
-13634083.74,6278044.678,27,130431,LANGLEY QUARTER MIDGET ASSOCIATION,,26965,8 AVE,"26965 8 AVE 
LANGLEY BC  V4W 2M7",130431,,,Non-Profit Organization for Children's Racing,58,NON-PROFIT,SPORTS,SPORTS EVENTS COORDINATOR,711211,"Arts, entertainment & recreation / Performing arts, spectator sports & related / Spectator sports / Spectator sports / Sports teams & clubs",,,,,,,49.01875708,-122.4770581
-13654137.93,6294673.121,28,102799,TROTEC LASER CANADA INC,705,20381,62 AVE,"705 20381 62 AVE 
LANGLEY BC  V3A 5E6",102799,Willowbrook,1-800-663-1149,WHOLESALE ENGRAVING EQUIPMENT & SUPPLIES,99,WHOLESALE MERCHANT,MISCELLA,MISCELLANEOUS,323120,Manufacturing / Printing & related support activities / Printing & related support activities / Support activities for printing / Support activities for printing,,,,,3,9,49.11662316,-122.657208
-13653248.46,6299560.091,29,149476,HAKAM'S YOUR INDEPENDENT GROCER,D,20678,WILLOUGHBY TOWN CENTRE DR,"D-20678 WILLOUGHBY TOWN CENTRE DRIVE 
LANGLEY BC  V2Y 0L7",148839,Willoughby,604-882-2520,SUPERMARKET,74,RETAIL MERCHANTS,GROCERY,GROCERY STORE,445110,Retail trade / Food & beverage stores / Grocery stores / Grocery (exc. convenience) stores / Grocery (exc. convenience) stores,,,,0,70,16,49.14534859,-122.6492177
-13642533.32,6294794.75,30,110068,PETURSSON PLUMBING HEATING & DRAINAGE LTD,,24279,63A CRES,"24279 63A CRES 
LANGLEY BC  V2Y 2G4",110068,,604-530-1337,RESIDENTIAL & COMMERCIAL PLUMBING & HEATING CONTRACTOR,21,CONTRACTOR,PLB & HTG,PLUMBING AND HEATING,238220,"Construction / Specialty trade contractors / Building equipment contractors / Plumbing, heating & ac contractors / Plumbing, heating & ac contractors",,,,0,0,1,49.11733829,-122.5529619
-13656613.81,6294715.579,31,121561,LANGLEY SIGNS & PRINTING LIMITED,104,19665,WILLOWBROOK DR,"104-19665 WILLOWBROOK DR 
LANGLEY BC  V2Y 1A5",114833,Willowbrook,604-427-2688,INDOOR SIGN MAKING AND DIGITAL PRINTING,54,MANUFACTURERS,SIGNS,SIGNS,323115,Manufacturing / Printing & related support activities / Printing & related support activities / Printing / Digital printing,,,,0,0,2,49.11687279,-122.6794492
-13652399,6299294.262,32,145645,COUNTRY BUMKINS CHILDREN'S CENTRE LTD,,20965,77A AVE,"20965 77A AVE 
LANGLEY BC  V2Y 2E6",145645,Willoughby,604-856-0979,GROUP CHILD CARE - MAXIMUM 54 CHILDREN,25,DAY CARE,PRESCHOOL,PRESCHOOL/DAY CARE,624410,Health care & social assistance / Social assistance / Child day-care services / Child day-care services / Child day-care services,,,,0,5,4,49.14378648,-122.6415868
-13655109.54,6302163.986,33,150607,SMILESTONES JUNIOR KINDERGARTEN,150,8661,201 ST,"150-8661 201 ST 
LANGLEY BC  V2Y 0G9",148252,Willoughby,604-888-8085,CHILDCARE CENTRE - MAXIMUM CAPACITY OF 96,25,DAY CARE,GROUP,GROUP DAY CARE,624410,Health care & social assistance / Social assistance / Child day-care services / Child day-care services / Child day-care services,,,,0,0,17,49.16064739,-122.6659361
,,34,136578,SURESPAN CONSTRUCTION LTD,,,OUT OF TOWN,"301 38 FELL AVENUE 
NORTH VANCOUVER BC  V7P 3S2",136578,,604-998-1133,BRIDGE CONSTRUCTION CONTRACTOR,23,CONTRACTOR - MISC,RD CONST,ROAD CONSTRUCTION,23731,"Construction / Heavy and civil engineering construction / Highway, street & bridge construction / Highway, street & bridge construction",,,,0,0,8,,
-13654881.5,6294958.242,35,121661,FITNESS DEPOT LANGLEY,102,6375,202 ST,"102-6375 202 ST 
LANGLEY BC  V2Y 1N1",102738,Willowbrook,,"WHOLESALE, RETAIL, REPAIR & WAREHOUSEING OF FITNESS EQUIPMENT",70,RECREATIONAL EQUIPMENT SALES AND SERVICES,RECREATION,RECREATION,713940,"Arts, entertainment & recreation / Amusement, gambling & recreation industries / Other amusement & recreation industries / Fitness & recreational sports centres / Fitness & recreational sports centres",,,,,1,2,49.11829954,-122.6638876
,,36,118655,THE LANGLEY RUGBY CLUB,,21280,CRUSH CRES,"21280 CRUSH CRES 
LANGLEY BC  V2Y 2R4",118655,,604-854-5757,SPORTS RUGBY,58,NON-PROFIT,SPORTS,SPORTS EVENTS COORDINATOR,711211,"Arts, entertainment & recreation / Performing arts, spectator sports & related / Spectator sports / Spectator sports / Sports teams & clubs",,,,,,,,
,,37,136578,D.M.S. MECHANICAL LTD,,,OUT OF TOWN,"7449 CONWAY AVE 
BURNABY BC  V5E 2P7",136578,,604-437-8996,PLUMBING & HEATING CONTRACTOR,21,CONTRACTOR,PLB & HTG,PLUMBING AND HEATING,,,,97,,,,50,,
-13653190.03,6303517.603,38,105072,NEW HOPE COUNSELLING,,9115,207 ST,"9115 207 ST 
LANGLEY BC  V1M 2P5",105072,Walnut Grove,,OFFICE FOR COUNSELLING,65,PROFESSIONALS,COUNSEL,COUNSELLING,813210,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Grant-making & giving services / Grant-making & giving services / Grant-making & giving services",,,,,,1,49.1685985,-122.6486928
-13654882.61,6304485.496,39,137608,AGSAFE AGRICULTURE ASSOCIATION,311,9440,202 ST,"311 9440 202 ST 
LANGLEY BC  V1M 4A6",126074,Walnut Grove,604-881-6078,SAFETY & HEALTH ASSOCIATION FOR AGRICULTURAL USE,58,NON-PROFIT,FARM SAFE,FARM SAFETY,419110,"Wholesale trade / B2B electronic markets, & agents and brokers / B2B electronic markets, & agents and brokers / Business-to-business electronic markets / Business-to-business electronic markets",,282,,,1,3,49.1742831,-122.6638975
-13633060.78,6291654.564,40,140966,TUNDRA SALES INC,,5349,273A ST,"5349 273A ST 
LANGLEY BC  V4W 3Z4",140966,Gloucester,,DISTRIBUTION WAREHOUSE FOR DRILLING ACCESSORIES,42,INDUSTRIAL,MINING,MINING AND DRILLING SUPPLIES,213117,"Mining, quarrying & oil & gas extraction / Support act. - mining & oil & gas extraction / Support act. - mining & oil & gas extraction / Support act. - mining & oil & gas extraction / Contract drilling (exc. oil & gas)",,,,,,8,49.09887187,-122.4678687
-13645514.09,6303380.468,41,150673,HUB INTERNATIONAL INSURANCE BROKERS,5,9110,GLOVER RD,"5 9110 GLOVER RD 
PO BOX 400 
LANGLEY BC  V1M 2R9",150338,Fort Langley,604-293-1481,INSURANCE BROKER,45,"INSURANCE AGENTS, AGENCIES",1,NOT USED,524210,"Finance & insurance / Insurance carriers & related activities / Agencies, brokerages & other insurance act. / Insurance agencies & brokerages / Insurance agencies & brokerages",,73,,0,0,3,49.16779304,-122.5797387
-13655109.54,6302163.986,42,150207,LANGLEY ORAL & MAXILLOFACIAL SURGERY,110,8661,201 ST,"110-8661 201 ST 
LANGLEY BC  V2Y 0G9",148252,Willoughby,,OFFICE FOR DENTAL SURGERY,65,PROFESSIONALS,DENTIST,DENTIST,621210,Health care & social assistance / Ambulatory health care services / Offices of dentists / Offices of dentists / Offices of dentists,,,,,,4,49.16064739,-122.6659361
,,43,136578,DOGWOOD MAINTENANCE LTD,,,OUT OF TOWN,"9 9531 192 ST 
SURREY BC  V4N 3R7",136578,,604-530-9134,COMMERCIAL FACILITY MAINTENANCE & RENOVATIONS,18,CLEANING SERVICES,JANITORIAL,JANITORIAL,561722,"Admin., support, waste mgmt & remed. services / Administrative & support services / Services to buildings & dwellings / Janitorial services / Janitorial services (exc. window cleaning)",,9,,,,4,,
-13635671.92,6284767.286,44,119137,REBECCA BENNETT PHOTOGRAPHY,,26441,30A AVE,"26441 30A AVE 
ALDERGROVE BC  V4W 3E1",119137,Aldergrove,604-787-7724,PHOTOGRAPHY STUDIO,63,PHOTOGRAPHERS,,,541920,"Professional, scientific & technical services / Professional, scientific & technical services / Other prof., scientific & technical services / Photographic services / Photographic services",,,,,1,,49.05834595,-122.4913249
-13656323.21,6305457.212,45,116900,PACKRIGHT MANUFACTURING LTD,,19689,TELEGRAPH TRAIL,"19689 TELEGRAPH TRAIL 
LANGLEY BC  V1M 3E6",116900,,604-468-4305,MANUFACTURING,54,MANUFACTURERS,PLASTIC,PLASTIC,326198,Manufacturing / Plastics & rubber products mfg. / Plastic product mfg. / Other plastic product mfg. / All other plastic product mfg.,,,,,,22,49.17998949,-122.6768386
-13653169.64,6287627.632,46,134294,SUBWAY,104,20759,40 AVE,"104-20759 40 AVE 
LANGLEY BC  V3A 2H3",102225,Brookswood / Fernridge,,RESTAURANT,73,RESTAURANTS,SANDWICH,SANDWICH,722512,Accommodation & food services / Food services & drinking places / Full-serv. rest. & limited-serv. eating place / Full-serv. rest. & limited-serv. eating place / Limited-service eating places,,,,,2,2,49.07518073,-122.6485097
-13655751.73,6300202.849,47,150818,SILENT PARTNER SOFTWARE,308,8047,199 ST,"308-8047 199 ST 
LANGLEY BC  V2Y 0E2",150818,Willoughby,,SOFTWARE DEVELOPMENT,19,COMPUTERS,DEV,SOFTWARE DEVELOPMENT,334110,Manufacturing / Computer & electronic product mfg. / Computer & peripheral equipment mfg. / Computer & peripheral equipment mfg. / Computer & peripheral equipment mfg.,,,,,1,2,49.14912546,-122.671705
-13633411.24,6283131.501,48,137862,SILVERHAWK SECURITY CORP,,27144,25A AVE,"27144 25A AVE 
LANGLEY BC  V4W 3N4",137862,Aldergrove,604-532-7786,SECURITY PATROL,78,"SECURITY, GUARDS, PATROLS",1,NOT USED,561612,"Admin., support, waste mgmt & remed. services / Administrative & support services / Investigation & security services / Investigation, guard & armoured car services / Security guard & patrol services",,,,0,0,6,49.04871585,-122.4710169
-13654545.83,6306948.582,49,106708,PMS PAINTING LTD,,20240,102B AVE,"20240 102B AVE 
LANGLEY BC  V1M 3G9",106708,,604-882-1799,INDUSTRIAL EQUIPMENT PAINTING & SANDBLASTING,42,INDUSTRIAL,MAC SHOP,MACHINE SHOP,332710,"Manufacturing / Fabricated metal product mfg. / Machine shops, turned product & related mfg. / Machine shops / Machine shops",,147,,,2,1,49.18874627,-122.6608722
-13654375.89,6280781.975,50,135074,CAMP MCLEAN,,20315,16 AVE,"20315 16 AVE 
LANGLEY BC  V4W 2S6",135074,,,NON PROFIT YOUTH CAMP,58,NON-PROFIT,SOCIETY,SOCIETY,813310,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Social advocacy organizations / Social advocacy organizations / Social advocacy organizations",,,,,,1,49.0348806,-122.6593455
-13633140.14,6291559.073,51,150835,CHAMCO INDUSTRIES LTD,A101,27265,GLOUCESTER WAY,"A101 27265 GLOUCESTER WAY 
LANGLEY BC  V4W 3Z8",134824,Gloucester,604-513-8770,SALES & SERVICE OF INDUSTRIAL PUMPS & COMPRESSORS,42,INDUSTRIAL,EQUIP SALE,EQUIPMENT SALES,333910,Manufacturing / Machinery mfg. / Other general-purpose machinery mfg. / Pump & compressor mfg. / Pump & compressor mfg.,,,,,,15,49.09831021,-122.4685816
-13636486.71,6285233.996,52,143431,EMAX ELECTRIC,11,26157,FRASER HWY,"11 26157 FRASER HWY 
LANGLEY BC  V4W 2W8",143431,Aldergrove,604-625-1107,ELECTRCIAL CONTRACTING,21,CONTRACTOR,ELECTRIC,ELECTRICAL,238210,Construction / Specialty trade contractors / Building equipment contractors / Electrical & other wiring contractors / Electrical & other wiring contractors,,,,,1,1,49.0610932,-122.4986443
-13634546.64,6292358.734,53,124796,SPEED METAL ALLOYS MANUFACTURING INC,106,5570,268 ST,"106-5570 268 ST 
LANGLEY BC  V4W 3X4",124796,Gloucester,604-857-5750,PROCESS PIPING SUPPLY & INSTALLATION,42,INDUSTRIAL,PLASTICS,PLASTIC PROCESSING,331514,Manufacturing / Primary metal mfg. / Foundries / Ferrous metal foundries / Steel foundries,,216,,,1,7,49.10301346,-122.4812164
,,54,136578,REOTECH CONSTRUCTION LTD,,,OUT OF TOWN,"108 1550 HARTLEY AVE 
COQUITLAM BC  V3K 7A1",136578,,604-540-2313,COMMERCIAL GENERAL CONTRACTOR,22,CONTRACTOR - GENERAL,COM,COMMERCIAL BUILDINGS,236220,Construction / Construction of buildings / Non-residential building construction / Commercial & inst. building construction / Commercial & inst. building construction,,,,,,25,,
-13645308.26,6303726.127,55,154315,TRUE AROMATHERAPY PRODUCTS & SPA INC,140,9220,GLOVER RD,"140-9220 GLOVER RD 
LANGLEY BC  V1M 1A0",149544,Fort Langley,604-888-6800,RETAIL SALES OF AROMATHERAPY & SPA PRODUCTS,74,RETAIL MERCHANTS,BEAUTY,BEAUTY PRODUCTS,812115,Other services (exc. Public administration) / Personal & laundry services / Personal care services / Hair care & esthetic services / Beauty salons,,,,0,10,1,49.16982326,-122.5778897
-13654517.78,6305043.803,56,146639,LORDCO AUTO PARTS,,20303,96 AVE,"19875 96 AVE 
LANGLEY BC  V1M 3C7",146639,Northwest Langley,604-467-1581,AUTOMOTIVE PARTS AND ACCESSORIES,74,RETAIL MERCHANTS,AUTO PARTS,VEHICLE PARTS & ACCESSORIES,415290,Wholesale trade / Motor vehicle & parts whl. / New motor vehicle parts & accessories whl. / Other new motor vehicle parts & access.whl. / Other new motor vehicle parts & access.,,403,,,5,1510,49.17756183,-122.6606202
-13654661.04,6304160.34,57,132831,LIGHTNING INTEGRATED SERVICES LTD,,20255,93 AVE,"20255 93 AVE 
LANGLEY BC  V1M 3Y1",132831,Walnut Grove,604-615-4655,ELECTRICAL CONTRACTOR,21,CONTRACTOR,ELECTRIC,ELECTRICAL,238210,Construction / Specialty trade contractors / Building equipment contractors / Electrical & other wiring contractors / Electrical & other wiring contractors,,,,,,1,49.17237347,-122.6619071
-13655814.13,6288971.33,58,114412,BUILD WRIGHT CONSTRUCTION,,4450,198B ST,"4450 198B ST 
LANGLEY BC  V3A 5L2",114412,Brookswood / Fernridge,,GENERAL CONTRACTOR FOR RESIDENTIAL RENOVATIONS & ADDITIONS,21,CONTRACTOR,RENOVATION,RENOVATIONS,236110,Construction / Construction of buildings / Residential building construction / Residential building construction / Residential building construction,,,,,,5,49.08308719,-122.6722655
,,59,111132,FORT LANGLEY COMMUNITY HALL,,9148,GLOVER RD,"9148 GLOVER RD 
LANGLEY BC  V1M 1A0",111132,,,COMMUNITY HALL,58,NON-PROFIT,SOCIETY,SOCIETY,813310,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Social advocacy organizations / Social advocacy organizations / Social advocacy organizations",,,,,2,1,,
-13633418.78,6284591.884,60,129944,VERONICA'S GOURMET PEROGIES,,2991,272 ST,"2991 272 ST 
LANGLEY BC  V4W 2V1",129944,Aldergrove,604-807-3098,TAKE-OUT HOME MADE PEROGIES,73A,RESTAURANT - ALTERNATE,TAKEOUT,TAKEOUT,722512,Accommodation & food services / Food services & drinking places / Full-serv. rest. & limited-serv. eating place / Full-serv. rest. & limited-serv. eating place / Limited-service eating places,,,,,,2,49.05731342,-122.4710846
-13655250.1,6287689.907,61,101942,LANGLEY ELKS MALL,,4044,200B ST,"4044 200B ST 
LANGLEY BC  V3A 1N9",101942,Brookswood / Fernridge,604-510-4742,ELKS LODGE,58,NON-PROFIT,SOCIETY,SOCIETY,813410,"Other services (exc. Public administration) / Religious, grant-making, civic & similar orgs / Civic & social organizations / Civic & social organizations / Civic & social organizations",,,,,,,49.07554719,-122.6671987
-13634530.53,6292201.27,62,113346,INTERNATIONAL BROTHERHOOD OF BOILERMAKERS LODGE 359,,5510,268 ST,"5510 268 ST 
LANGLEY BC  V4W 3X4",113346,Gloucester,778-369-3590,UNION/TRADE SCHOOL,46,INSTRUCTIONAL,TRADE SC,TRADE SCHOOL,611510,Educational services / Educational services / Technical & trade schools / Technical & trade schools / Technical & trade schools,,,,,,9,49.10208737,-122.4810717
