LicenceNumber,DateFrom,DateTo,TradeName,LicenceDesc,LicenceCategory,Unit,Address,StreeName,ESRI_OID
69881,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,TAYLOR PROFESSIONAL DRIVING LTD,PROFESSIONAL DRIVING SCHOOL,COMMERCIAL SERVICE < 100 SQ. M. - COMMERCIAL SERVICE < 100 SQ. M.,,1320,2ND AVE,22
71715,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,O'BRIEN TRAINING LTD,trade school,COMMERCIAL SERVICE < 100 SQ. M. - COMMERCIAL SERVICE - OTHER,,1320,2ND AVE,23
9583,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,POWER PRO INDUSTRIES INC.,"CRANE ASSEMBLY, REPAIRS AND MAINTENANCE - OFF SITE",INDUSTRIAL SERVICE > 100 SQ. M. - INDUSTRIAL SERVICE - OTHER,,160,QUEENSWAY,24
41015,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,N R MOTORS LTD,RECREATION VEHICLES,RECREATION VEHICLE SALES OR SERVICE - RECREATION VEHICLE SALES OR SERVICE,,805,1ST AVE,25
29300,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,INDUSTRIAL FORESTRY SERVICE LTD,CONSULTANTING/SURVEYS /18 VEHICLES,"CONTRACTOR, TRADE - CONTRACTOR - OTHER",,1595,5TH AVE,26
74164,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CENTRAL INTERIOR RADON TESTING,RADON TESTING FOR HOMEOWNERS,HOME BUSINESS - HOME BUSINESS - OTHER,,426,MELVILLE AVE,27
73722,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,BEE-CLEAN BUILDING MAINTENANCE INC,janitorial services,INDUSTRIAL SERVICE > 100 SQ. M. - JANITORIAL,8,1965,1ST AVE,28
68823,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,LINDA A MANNING NOTARIAL CORP,COMMERCIAL OFFICE,COMMERCIAL OFFICE - NOTARY PUBLIC,,475,VANCOUVER ST,29
1174,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,MOTION INDUSTRIES (CANADA) INC,distribution of industrial parts and repair of hydraulic equipment,WHOLESALE < 500 SQ. M. - WHOLESALE < 500 SQ. M.,,880,GREAT ST,30
4173,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,WILLIAMS MACHINERY LTD,"Industrial equipment dealer, service, repairs, rentals and training","INDUSTRIAL, SP. HEAVY MANUF. < 8 H - INDUSTRIAL, SP. HEAVY MANUF. < 8 H",,880,GREAT ST,31
74089,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,MOTION CANADA AND BC BEARING ENGINEERS,distributor of industrial parts at 1839 1st ave,INDUSTRIAL LIGHT MANUFACTURING/RETAIL - INDUSTRIAL LIGHT MANUFACTURING/RETAIL,,880,GREAT ST,32
80353,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,TX2 MATERIAL SOLUTIONS INC.,Recycling car parts,COMMERCIAL SERVICE > 100 SQ. M. - COMMERCIAL SERVICE - OTHER,,505,4TH AVE,33
78887,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,SIBOLA MOUNTAIN FALLING LTD,Timber Falling,"Abattoir, Brewery and Distillery (Major), Cemetery, Crematorium, Concrete/Asphalt Plant, Prefab/Manufactured Buildings, Special Heavy Manufacturing",,505,4TH AVE,34
80574,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,TRL TRANSPORT LTD.,Courier Service,COURIER/DELIVERY SERVICE - COURIER/DELIVERY SERVICE,,505,4TH AVE,35
58720,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE CITIZEN THE,PRINTING or PUBLISHING,PRINTING OR PUBLISHING - PRINTING OR PUBLISHING,,505,4TH AVE,36
73780,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,NORTHERN FLORAL DESIGN,"Floral arrangements from home, delivery and phone in orders, fresh and artificle arrangements",HOME BUSINESS - RETAIL,,586,CARNEY ST,37
79651,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,MAKE SPACE STORAGE,Self Storage & Container Sales,COMMERCIAL RETAIL < 1000 SQ. M. - COMMERCIAL RETAIL < 1000 SQ. M.,1879,1877,1ST AVE,38
2263,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,IT'S PARTY TIME RENTALS,"PARTY RENTALS, POP MACHINES, TENTS, TABLES, ETC",INDUSTRIAL SERVICE > 100 SQ. M. - INDUSTRIAL SERVICE > 100 SQ. M.,1879,1877,1ST AVE,39
1229,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,NORTH CENTRAL TRUCK PARTS LTD,WRECKING & SALVAGE,SALVAGE OR WRECKING YARD - SALVAGE OR WRECKING YARD,1787,1733,1ST AVE,40
4997,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,NORTH CENTRAL TRUCK PARTS LTD,NEW/USED AUTO PARTS & ACCESSORIES,CAR SALES OR SERVICE - CAR SALES OR SERVICE,1787,1733,1ST AVE,41
6560,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,NORTHERN ALUMINUM TANK SERVICE (1999) LTD,TRACTOR TRAILER REPAIR/INSPECTION,"INDUSTRIAL EQUIPMENT, SERVICE - INDUSTRIAL EQUIPMENT, SERVICE",,9085,ROCK ISLAND RD,42
3420,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ASSOCIATED BAILIFFS & PROCESS SERVERS,PROCESS SERVICE,HOME BUSINESS - HOME BUSINESS,,575,WAINWRIGHT ST,43
2818,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE & DISTRICT ELIZABETH FRY SOCIETY,HOUSE,CHARITABLE/NON-PROFIT/RELIGIOUS - CHARITABLE/NON-PROFIT/RELIGIOUS,,1575,5TH AVE,44
56880,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ST MICHAEL & ALL ANGELS' CHURCH,,CHARITABLE/NON-PROFIT/RELIGIOUS - CHARITABLE/NON-PROFIT/RELIGIOUS,,1505,5TH AVE,45
78193,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,INTEGRIS CREDIT UNION,Commercial Office,COMMERCIAL OFFICE - COMMERCIAL OFFICE,,1598,6TH AVE,46
70931,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ANDREW SNADEN CGA,accountant,COMMERCIAL OFFICE - ACCOUNTANT,,500,VICTORIA ST,47
68459,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ATF CANADA (BC SERVICES) CORP,FUNCTIONAL ASSESSMENT COMPANY,COMMERCIAL OFFICE - APPRAISER,,500,VICTORIA ST,48
70061,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE SURGERY CENTRE,CONSULTATION AND DAY CARE SURGERY CENTRE,MEDICAL OR DENTAL OFFICE - OTHER - MEDICAL,,500,VICTORIA ST,49
68746,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,THE ANGLER'S ATLAS,"suite 210 500 Victoria Web design, publishing & software development",COMMERCIAL SERVICE < 100 SQ. M. - COMMERCIAL SERVICE - OTHER,,500,VICTORIA ST,50
74471,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,GR BROWN LAW CORPORATION,Lawyers office,COMMERCIAL OFFICE - LAWYER,,500,VICTORIA ST,51
81250,2021/02/19 08:00:00+00,2021/12/31 08:00:00+00,"MDN TRINITY FINANCIAL SERVICES INC / DAWES, MATTHEW","Life, health and group insurance","Commercial office (Accountant, Advertising, Appraiser, Architect, Engineer, Insurance, Lawyer, Notary Public, Property Management, Real Estate, Surveyor, Travel), Studio, Radio, Television, Claims Centre",,1448,6TH AVE,52
9365,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,KAIZEN CONSULTING,COUNSELLING & CONSULTING,COMMERCIAL OFFICE - COMMERCIAL OFFICE - OTHER,,1448,6TH AVE,53
78716,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,MIRKWOOD ENGINEERING BC LTD,Mechanical engineering consulting firm,COMMERCIAL OFFICE - ENGINEER,,1395,5TH AVE,54
3256,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,DENNY'S WOODWORK & CONSTRUCTION LTD,GENERAL CONTRACTOR,"CONTRACTOR, GENERAL OR LOGGING - CONTRACTOR, GENERAL OR LOGGING",,840,2ND AVE,55
6006,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,BUCKHORN HEATING AND AIR CONDITIONING INC,HEATING AND AIR CONDITIONING,"CONTRACTOR, TRADE - CONTRACTOR - OTHER",,898,2ND AVE,56
74802,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CARRIER PLUMBING & HEATING,Plumbing,"CONTRACTOR, TRADE - PLUMBING",,898,2ND AVE,57
73161,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ESSLINGER MOTORS (1991) LTD,Mechanic Shop.,CAR SALES OR SERVICE - CAR SALES OR SERVICE,734,730,2ND AVE,58
7744,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CT GAS FITTING SERVICES LTD,PROPANE SALES & SERVICE,GASOLINE SERVICE STATION - GASOLINE SERVICE STATION,,675,1ST AVE,59
41966,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,NORGATE AUTO BODY LTD,autobody shop,CAR SALES OR SERVICE - CAR SALES OR SERVICE,,615,1ST AVE,60
6701,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CENTRAL DISPLAY LTD,CO-ORDINATING/INSTALLATION/RENTAL OF DISPLAY EQUIP,"CONTRACTOR, TRADE - CONTRACTOR, TRADE",,150,OTTAWA ST,61
9223,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CLEAR CHOICE WATER CO LTD,WATER PURIFICATION EQUIP. & BOTTLED WATER SALES,"Aircraft Sale/Rental, Business/Office Supplies, Retail Convenience/General, Building/Garden Supplies, Retail Farmers/Flea Market, Direct Sales Group/Individual

COMMERCIAL RETAIL (<1000 SQ M GFA)",551,521,1ST AVE,62
71522,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CLEAR CHOICE WATER CO LTD.,water vending machines located at canadian tire,"Agriculture General/Intensive, Animal Breeding/Boarding/Clinic, Aquaculture, Dental Office, Entertainment Patron/Spectator, Exhibit, Exhibition/Convention, Feedlot, Fish Hatchery, Forestry, Health Service Community-Outreach/Minor/Major, Library, Medical Office, Personal Care Home, Printing, Publishing, Residential Sales Centre, Service Business-Support/Funeral/Massage/Massage-Therapy/Personal/Pet-Grooming/Pet-Daycare/Veterinary, Winery/Cidery, Vending Machines
COMMERCIAL SERVICE (>101 SQ M GFA)",551,521,1ST AVE,63
1157,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,HOLLANDIA HOLDINGS LTD,industrial,BUILDING RENTAL - INDUSTRIAL,551,521,1ST AVE,64
2178,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CANADIAN ENERGY,BATTERIES,CAR SALES OR SERVICE - CAR SALES OR SERVICE,551,521,1ST AVE,65
1878,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE VALVE & FITTING A DIV. OF COLUMBIA VALVE & FITTING LTD,INDUSTRIAL PRODUCTS,WHOLESALE < 500 SQ. M. - WHOLESALE < 500 SQ. M.,551,521,1ST AVE,66
75494,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,HOLLANDIA HOLDINGS LTD,Building Rental,BUILDING RENTAL - INDUSTRIAL,532,516,2ND AVE,67
73798,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,D-LINE AUTO & TIRE LTD,auto repair - Ltd company name change from Central Husky Ltd,CAR SALES OR SERVICE - CAR SALES OR SERVICE,532,516,2ND AVE,68
6534,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,AUTO MARINE ELECTRIC LTD,WHOLESALE > 500 SQ. M.,WHOLESALE > 500 SQ. M. - WHOLESALE > 500 SQ. M.,,564,2ND AVE,69
75021,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,FORTIS BC ENERGY INC,call centre,COMMERCIAL OFFICE - COMMERCIAL OFFICE,,1190,2ND AVE,70
3417,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,WOODLAND EQUIPMENT INC,HEAVY DUTY PARTS AND SERVICE,"INDUSTRIAL EQUIPMENT, SERVICE - INDUSTRIAL EQUIPMENT, SERVICE",,2057,1ST AVE,71
5526,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ROBERT WILLIAMS HOLDING LTD DBA WILLIAMS PETROLEUM,REPAIRS GAS PUMPS & INSTALLATION,"CONTRACTOR, TRADE - CONTRACTOR, TRADE",,140,KINGSTON ST,72
6504,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,AURORA SERVICES (DIVISION OF GISCOME CONTRACTING LTD.),gasoline and diesel fuel tanks,"CONTRACTOR, TRADE - CONTRACTOR - OTHER",,453,1ST AVE,73
74983,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,CKATE CONSULTING,Consulting - Educational,HOME BUSINESS - CONSULTING,,3923,ESTABROOK CRT,74
81057,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,NORTHERN EXTERIOR CONCEPTS LTD.,"Exterior Finishing (decking, eavestrough, railings)",COMMERCIAL OFFICE - COMMERCIAL OFFICE,,1253,5TH AVE,75
80568,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,WILLIAMS ENGINEERING CANADA INC,Engineering services for residential and commercial,COMMERCIAL OFFICE - ENGINEER,,1253,5TH AVE,76
80531,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,JABOUR SUDEYKO LUCKY,Law Firm,COMMERCIAL OFFICE - LAWYER,,1253,5TH AVE,77
79695,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,BLACK DIAMOND BOWL & BILLIARDS,"bowling, billiards with food primary",COMMERCIAL RECREATION,,1241,5TH AVE,78
9851,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE ITALIAN CLUB,BUILDING RENTAL,BUILDING RENTAL - COMMERCIAL,,1209,5TH AVE,79
75774,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,WESTERN GASCO,Welding Gases & Supplies - wholesaler & retail,INDUSTRIAL SERVICE > 100 SQ. M. - INDUSTRIAL SERVICE - OTHER,,397,1ST AVE,80
1427,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,ALI CRAFT BOATS LTD,ALUMINUM BOATS,INDUSTRIAL LIGHT MANUFACTURING/RETAIL - INDUSTRIAL LIGHT MANUFACTURING/RETAIL,,355,1ST AVE,81
13450,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,82
13467,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,83
13326,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,84
71390,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI",,331,1ST AVE,85
71391,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI",,331,1ST AVE,86
71393,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI",,331,1ST AVE,87
74529,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI",,331,1ST AVE,88
74530,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI",,331,1ST AVE,89
74531,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI",,331,1ST AVE,90
74977,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,Taxi,"TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI",,331,1ST AVE,91
77674,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,Taxi,"TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI",,331,1ST AVE,92
77676,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,Taxi,"TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI",,331,1ST AVE,93
1020,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,94
73324,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,95
73325,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,96
73326,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,97
73327,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,98
1633,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,CAR SALES or SERVICE,CAR SALES OR SERVICE - CAR SALES OR SERVICE,,331,1ST AVE,99
49114,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,100
49108,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,101
49109,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,102
13468,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,103
13390,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,104
1015,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,105
49124,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,106
49126,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,107
49117,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,108
49120,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,109
49122,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,110
49123,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,111
1296,2021/01/01 08:00:00+00,2021/12/31 08:00:00+00,PRINCE GEORGE TAXI  LTD,"TAXI, LIMOUSINE, SHUTTLE SERVICE","TAXI, LIMOUSINE, SHUTTLE SERVICE - TAXI, LIMOUSINE, SHUTTLE SERVICE",,331,1ST AVE,112
