OBJECTID,BusinessID,Unit,House,Street,PostalCode,BusinessName,BusinessType,BusinessSubType,IssueDate,LicenceCategory,WebsiteAddress,Phone1,Phone1Description,Keywords,SHAPE,geometry,lon,lat,BusinessDescription
47,00434152,,23981,DEWDNEY TRUNK RD,V4R 1W1,SAVE-ON-FOODS LIMITED PARTNERSHIP,FOOD & BEVERAGE RETAIL,GROCERY/SUPERMARKET,2021-12-08,COMMERCIAL,,604 463 2667,Work,,,POINT (-122.55773874209503 49.22109324465467),-122.55773874209503,49.22109324465467,ACCOUNTING SERVICES
49,00435712,,22422,NORTH AVE,V2X 2L7,NORTH STAR APARTMENTS,RENTAL UNITS,RES DWELL LESSOR - MULTI-FAMILY,2021-12-16,COMMERCIAL,,604 467 5271,Work,,,POINT (-122.60051382764152 49.215707961327645),-122.60051382764152,49.215707961327645,DAYCARE
51,00435929,,22760,LOUGHEED HWY,,MAPLE RIDGE MARTIAL ARTS INC,SPORTS & RECREATION CENTRE,FITNESS CENTRE/GYM,,COMMERCIAL,,778 836 7473,Work,,,POINT (-122.59203095035332 49.21598861432983),-122.59203095035332,49.21598861432983,"SAFETY TRAINING, CONSULTING AND EDUCATION"
52,00458834,105,22255,122 AVE,V2X 3X8,GODDARD ACCOUNTING,FINANCIAL & INSTITUTIONAL SERVICES,ACCOUNTANT,2021-12-29,HOME BASED,,604 313 9347,Work,,,POINT (-122.60567414412719 49.22457491637124),-122.60567414412719,49.22457491637124,ESTHETICS
53,00436409,,12314,FLETCHER ST,V2X 6K9,JULIE'S WHIPPERSNAPPERS,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,2021-12-06,HOME BASED,,604 785 9419,Work,,,POINT (-122.5923355907574 49.22612694802034),-122.5923355907574,49.22612694802034,DIRECT SHIPPING OF WHOLESALE CONSTRUCTION SUPPLIES
54,00436364,,12283,244 ST,V4R 1K9,CLOCKWORK SAFETY & EQUIPMENT TRAINING,EDUCATION & INSTRUCTION,TRADE/TECH SCHOOL,2021-12-23,HOME BASED,,604 377 7345,Work,,,POINT (-122.54886311970785 49.22539484517183),-122.54886311970785,49.22539484517183,BANK
55,00458471,102,11225,240 ST,,CMP NAILS & ESTHETICS,PERSONAL SERVICES,SPA SERVICES,,COMMERCIAL,,,Work,,,POINT (-122.55730113030046 49.2062571885647),-122.55730113030046,49.2062571885647,"REGUS OFFICES - PACKAGED OFFICE SPACE, LEASE OFFICE SPACE TO SMALLER COMPANIES"
56,00433083,,23462,133 AVE,V4R 2W7,BULLDOG BEAD & SUPPLIES LTD,CONTRACTORS,UNCLASSIFIED CONTRACTOR,2021-12-08,HOME BASED,,778 808 9449,Work,,,POINT (-122.57283692892497 49.24467609010269),-122.57283692892497,49.24467609010269,RESTAURANT - MEDITERRANEAN FOOD
58,00434184,410,20395,LOUGHEED HWY,V2X 2P9,HSBC BANK CANADA,FINANCIAL & INSTITUTIONAL SERVICES,BANK/CREDIT UNION,2021-12-23,COMMERCIAL,,604 467 1131,Work,,,POINT (-122.6556634807823 49.21971460895273),-122.6556634807823,49.21971460895273,WRITING AND EDITING SERVICES
59,00432501,300,22420,DEWDNEY TRUNK RD,V2X 8H7,RGN MANAGEMENT LIMITED PARTNERSHIP,BUSINESS SERVICES,OFFICE/BUSINESS SERVICE,,COMMERCIAL,,604 901 5080,Work,,,POINT (-122.60080799697191 49.21998759255013),-122.60080799697191,49.21998759255013,"BUILDING, RENOVATIONS & ADDITIONS"
60,00458112,,20834,LOUGHEED HWY,V2X 2R3,JUICY MEALS LTD DBA DONAIR CASTLE,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,2022-01-04,COMMERCIAL,,604 477 0019,Work,,,POINT (-122.64416071419129 49.21754045619206),-122.64416071419129,49.21754045619206,CONCRETE CONTRACTORS
61,00432295,,13456,BALSAM ST,,REWRITE COMMUNICATIONS,BUSINESS SERVICES,WRITING SERVICE,2021-12-13,HOME BASED,,604 999 9084,Work,,,POINT (-122.57354527268768 49.24687343012591),-122.57354527268768,49.24687343012591,"RECREATIONAL THERAPY & EDUCATION PROGRAM (ART, SEWING, MUSIC, SOCIAL, YOGA, GAMES"
63,00433664,,22550,136 AVE,V4R 2P7,D C CONTRACTING,CONTRACTORS,RENOVATION/RESTORATION/HOME IMPROVEMENT,,HOME BASED,,604 466 3224,Work,,,POINT (-122.59685738829181 49.247355820767005),-122.59685738829181,49.247355820767005,PRIVATE TRAINING INSTITUTION
64,00433238,,22755,BALABANIAN CIR,V2X 8Z5,SIMPSON ENTERPRISES,CONTRACTORS,CONCRETE - POUR/FINISH/FORM/REINFORCE,2022-01-13,HOME BASED,,604 841 4787,Work,,,POINT (-122.59099529111293 49.23051624413078),-122.59099529111293,49.23051624413078,CLINIC & NON-PROFESSIONALS (E.G. KINESIOLOGIST EMPLOYEES)
66,00459520,,22760,LOUGHEED HWY,,EMPOWERED BY NATURE RECREATION CO.,EDUCATION & INSTRUCTION,UNCLASSIFIED EDUCATION & INSTRUCTION,2022-01-18,COMMERCIAL,ecoplay.ca,778 987 7529,Work,,,POINT (-122.59203095035332 49.21598861432983),-122.59203095035332,49.21598861432983,EXCAVATION & SERVICING
67,00436179,204,20395,LOUGHEED HWY,V2X 2P9,SPROTT-SHAW COMMUNITY COLLEGE MAPLE RIDGE,EDUCATION & INSTRUCTION,COMMUNITY COLLEGE,2021-12-23,COMMERCIAL,,604 466 3600,Work,,,POINT (-122.6556634807823 49.21971460895273),-122.6556634807823,49.21971460895273,STORING OF CONSTRUCTION EQUIPMENT AND OFFICE USE
68,00460115,110,22645,DEWDNEY TRUNK RD,V2X 3K1,COAST THERAPY MAPLE RIDGE,HEALTH SERVICES,UNCLASSIFIED HEALTH SERVICE,2022-02-07,COMMERCIAL,www.coasttherapy.ca,604 463 0529,Work,,,POINT (-122.59466335927253 49.22074779528241),-122.59466335927253,49.22074779528241,WHOLESALE COFFEE TO OTHER BUSINESSES
70,00453278,50,11737,236 ST,V4R 2E5,PITT MEADOWS EXCAVATING,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),2021-12-06,HOME BASED,,604 479 1020,Work,,,POINT (-122.5693326796578 49.21499026876961),-122.5693326796578,49.21499026876961,AUTO WRECKING
71,00435866,205,20285,STEWART CRES,V2X 8G1,Q-TECH SERVICES LTD,WAREHOUSING & STORAGE,GENERAL WAREHOUSING,2021-12-13,COMMERCIAL,,604 460 8186,Work,,,POINT (-122.66070156277638 49.210366867218596),-122.66070156277638,49.210366867218596,FUNERALS MEMORIALS SERVICES CREMATION AND GRAVE MARKERS
72,00432395,209,20120,STEWART CRES,V2X 0T4,GLOBAL COFFEE INC,WHOLESALE & DISTRIBUTION,FOOD & BEVERAGE,2022-02-11,COMMERCIAL,,604 618 7505,Work,,,POINT (-122.66174039908366 49.2134955279466),-122.66174039908366,49.2134955279466,CLEANING COMMERCIAL BLDGS
74,00451442,,11969,216 ST,V2X 5H9,MAPLE RIDGE FUNERAL CHAPEL,PROFESSIONAL SERVICES,FUNERAL/CREMATORY/UNDERTAKER,2021-12-21,COMMERCIAL,,604 463 8121,Work,,,POINT (-122.62326095870147 49.21984559771416),-122.62326095870147,49.21984559771416,DEMOLITION
75,00434580,,26300,128 AVE,V2W 1C6,INDUSTRIAL SANITATION SOLUTIONS INC,HOME & INDUSTRY SERVICES,JANITOR/HOUSEKEEPING,2021-12-24,HOME BASED,,604 220 6225,Work,,,POINT (-122.49398708491216 49.234419893798744),-122.49398708491216,49.234419893798744,LAW OFFICE
76,00444147,,10936,286 ST,V2W 1Z1,GUEST EXCAVATING CO LTD,CONTRACTORS,DEMOLITION,2021-12-10,HOME BASED,,604 644 6789,Work,,,POINT (-122.42761250560503 49.20131131754616),-122.42761250560503,49.20131131754616,CLEANING & JANITORIAL SERVICES
77,00434084,107,11743,224 ST,V2X 6A4,ROBERT J. CARTER LAW CORPORATION BDA CARTER LITIGATION,PROFESSIONAL SERVICES,BARRISTER/LAWYER/SOLICITOR,2021-12-08,COMMERCIAL,,604 380 3517,Work,,,POINT (-122.60207340744034 49.21573689787761),-122.60207340744034,49.21573689787761,MOBILE AUTO DETAILING
78,00434595,,22775,123 AVE,V2X 4E5,ERM'S HOUSECLEANING & JANITORIAL,HOME & INDUSTRY SERVICES,JANITOR/HOUSEKEEPING,2022-01-13,HOME BASED,,604 467 9439,Work,,,POINT (-122.59106349233394 49.226766849447586),-122.59106349233394,49.226766849447586,PLASTIC RECYCLING & COMPOUNDING
79,00458644,,24930,109 AVE,,POLISHED AUTO DETAIL,AUTOMOTIVE,AUTO DETAILING/UPHOLSTERY,,HOME BASED,,604 807 9514,Work,,,POINT (-122.5309278685327 49.200345330322115),-122.5309278685327,49.200345330322115,MANUFACTURING WOOD PRODUCTS
81,00435673,,23375,FISHERMAN RD,V2W 1B9,FRASER PLASTICS LTD,RECYCLING & SALVAGE,RECYCLING,2021-12-10,COMMERCIAL,,604 814 5042,Work,,,POINT (-122.57324078536301 49.18920554793218),-122.57324078536301,49.18920554793218,COMPUTER & IT SYSTEM CONSULTING
82,00435404,,20181,115A AVE,V2X 0Z3,COLWIN DESIGN LTD,MANUFACTURING,WOOD PRODUCTS,2021-12-08,COMMERCIAL,,604 460 6620,Work,,,POINT (-122.66274188280039 49.212066404582764),-122.66274188280039,49.212066404582764,FIREPLACE SHOWROOM (SEPARATE CERTIFIED CONTRACTOR LICENCE FOR INSTALLATIONS)
83,00436157,,23675,TAMARACK LANE,V2W 1B4,PRACSYS SOLUTIONS INC.,COMPUTER & TECHNOLOGY SERVICES,COMPUTER CONSULTANT,2021-12-20,HOME BASED,,,Work,,,POINT (-122.565466730089 49.19611654381267),-122.565466730089,49.19611654381267,DUMPTRUCK HAULING/EXCAVATING
84,00448124,,22358,DEWDNEY TRUNK RD,V2X 3J2,FLAME CO HEATING SERVICES LIMITED,HOME & PROPERTY RETAIL,"APPLIANCES, TV & ELECTRONICS",2021-12-24,COMMERCIAL,,604 813 1333,Work,,,POINT (-122.60279926426881 49.22020574577494),-122.60279926426881,49.22020574577494,WHOLESALE PROMOTIONAL PRODUCTS
86,00435885,,26783,DEWDNEY TRUNK RD,V2W 1N9,"MCCLUNG, D TRUCKING INC",TRANSPORT GOODS & SERVICES,TRUCKING,,HOME BASED,,604 462 7824,Work,,,POINT (-122.47987200152065 49.220570893349475),-122.47987200152065,49.220570893349475,HOUSE CLEANING
87,00432446,,23336,GRIFFEN RD,V2W 0B6,INTENSITY BRANDING CANADA,WHOLESALE & DISTRIBUTION,UNCLASSIFIED WHOLESALE,2021-12-07,HOME BASED,,604 833 8412,Work,,,POINT (-122.57445195198228 49.20478586060602),-122.57445195198228,49.20478586060602,PROVIDING ARCHITECTURAL DRAWINGS FOR BUILDING PERMITS
88,00434588,,20147,WANSTEAD ST,V2X 0T2,YOU'VE GOT MAID CLEANING COMPANY,HOME & INDUSTRY SERVICES,JANITOR/HOUSEKEEPING,2022-02-07,HOME BASED,,604 992 6243,Work,,,POINT (-122.66308395415768 49.20599922044356),-122.66308395415768,49.20599922044356,RENTAL CONTAINER SERVICE FOR GARBAGE & ASBESTOS STORAGE FACILITY
89,00457633,43,23539,GILKER HILL RD,,TY DESIGN INC,PROFESSIONAL SERVICES,ARCHITECT,2022-02-11,HOME BASED,,604-446-6694,Work,,,POINT (-122.57035685058327 49.206195985432856),-122.57035685058327,49.206195985432856,TREE SERVICE
90,00457731,,12880,LILLEY DR,,ABBY BIN SERVICES 2014 INC.,RENTAL SERVICE,"RENTAL SERVICE, STORES, YARDS",2021-12-08,COMMERCIAL,,604 793 8843,Work,,,POINT (-122.49122616485586 49.2363561229435),-122.49122616485586,49.2363561229435,HOME OFFICE FOR SURREY BASED BUSINESS
92,00435015,,21634,126 AVE,V2X 4N7,THE URBAN LUMBERJACK TREE SERVICES INC,HOME & INDUSTRY SERVICES,TREE SERVICE,2021-12-30,HOME BASED,,604 618 0333,Work,,,POINT (-122.62167049144813 49.230842993844576),-122.62167049144813,49.230842993844576,PHOTOGRAPHY AND MEASURING SERVICES
94,00432502,,13175,232 ST,V4R 2S7,ACTIVE AUCTION MART LTD,WHOLESALE & DISTRIBUTION,UNCLASSIFIED WHOLESALE,2021-12-22,HOME BASED,,604 371 1190,Work,,,POINT (-122.58092645274196 49.24058111156571),-122.58092645274196,49.24058111156571,BANK
95,00435412,40,23651,132 AVE,,LAND SEA AIR CANADA DBA FAB FLOORPLANS,PHOTOGRAPHY & FILM,VIDEOGRAPHY,2022-01-17,HOME BASED,FABFLOORPLANS.COM,778 231 6542,Work,,,POINT (-122.56646587281581 49.24309359628567),-122.56646587281581,49.24309359628567,"HOBBY FARM - EGG FARMING, APICULTURE"
96,00434099,,11855,224 ST,V2X 6B1,ROYAL BANK OF CANADA,FINANCIAL & INSTITUTIONAL SERVICES,BANK/CREDIT UNION,2021-12-20,COMMERCIAL,,604 463 6271,Work,,,POINT (-122.60213622803703 49.217903493097715),-122.60213622803703,49.217903493097715,SOAP MAKING
98,00444333,,26440,96 AVE,V2W 1K3,WORKSHOP 96,AGRICULTURE,ANIMAL PRODUCTION,2022-01-05,HOME BASED,,604 771 3209,Work,,,POINT (-122.48901614229666 49.17554318715545),-122.48901614229666,49.17554318715545,HOSPITAL GIFT STORE - NON PROFIT
99,00435019,,12333,256 ST,V4R 1B5,DAM GOOD SOAP INC,HOMECRAFT,HANDCRAFT,,HOME BASED,,604 462 0939,Work,,,POINT (-122.51432128238217 49.22627379593262),-122.51432128238217,49.22627379593262,LAWN CARE & MAINTENANCE SERVICES
100,00435940,,11666,LAITY ST,V2X 5A3,GOLDEN EARS GIFT SHOP,RETAIL,GIFT,2021-11-17,COMMERCIAL,,604 467 6623,Work,,,POINT (-122.6299926143121 49.21557123056292),-122.6299926143121,49.21557123056292,MEDICAL & COSMETIC DERMATOLOGY
101,00434760,,21019,DEWDNEY TRUNK RD,V2X 3G1,KENNY'S LAWN AND GARDEN,HOME & INDUSTRY SERVICES,GARDENER/LAWN MAINTENANCE,2021-12-14,HOME BASED,,604 467 2775,Work,,,POINT (-122.63879843731503 49.220825653516776),-122.63879843731503,49.220825653516776,COMMERCIAL LANDSCAPERS
102,00444765,201,22471,LOUGHEED HWY,V2X 2T8,DR SYLVIA GARNIS-JONES INC,PROFESSIONAL SERVICES,PHYSICIAN,,COMMERCIAL,,604 380 4400,Work,,,POINT (-122.5993658695399 49.21737135239143),-122.5993658695399,49.21737135239143,WAREHOUSE & STORAGE FOR CONSTRUCTION COMPANY - NO ON-SITE OFFICE
