"entreprise","no_civique","rue_local","code_postal","entreprise_tel","scian_principal"
"CHAT NOIR",168,"Rue Queen","J1M 1J9","819 562-4949","Librairies Et Marchands De Journaux"
"CHÂU",721,"Rue André-Mathieu","J1N 0Z9","819 575-6600","Salons De Beaute"
"CHAU ONGLES SPA",731,"Rue Galt Ouest","J1H 1Z1","819 575-4338","Salons De Beaute"
"CHAUFFAGE YVON GADBOIS",1725,"Rue Galt Est","J1G 3H6","819 563-3627","Entrepreneur En Travaux De Plomberie, Chauffage Et Climatisation"
"CHAUFFE-EAU ESTRIE",908,"12e Avenue Nord","J1E 2X2","819 565-9023","Grossistes-Distributeurs De Materiel Et Fournitures Electriques, De Plomberie, De Chauffage Et De Climatisation"
"CHAUSSURES BIANCO",3050,"Boulevard de Portland","J1L 1K1","819 565-9990","Magasins De Chaussures"
"CHAUSSURES BIANCO (GALERIES 4 SAISONS)",930,"13e Avenue Nord","J1E 3J7","819 564-4088","Magasins De Chaussures"
"CHAUSSURES PANDA",2253,"Rue King Ouest","J1J 2G2","819 564-8311","Magasins De Chaussures"
"CHEVALIERS DE COLOMB CONSEIL 8053",4505,"Chemin Saint-Roch Nord","J1R 0K7","819 864-7355","Organisations Civiques Et Amicales"
"CHEVEUX EN BOÎTE",58,"Rue de la Croix","J0B 3G0","819 933-6116","Salons De Coiffure Mixtes"
"CHEVRON ROYAL",245,"Rue Pépin","J1L 2E2","819 823-2225","Toutes Les Autres Activites Diverses De Fabrication"
"CHEZ CORA DÉJEUNERS",3200,"Rue King Ouest","J1L 1C9","819 823-0781","Restaurants A Service Complet"
"CHEZ GUEVARA COIFFURE INTERNATIONALE",203,"Rue Ball","J1H 1V3","819 566-5535","Salons De Coiffure Mixtes"
"CHEZ LE DENTISTE",1000,"Boulevard Lionel-Groulx","J1L 0H5","819 560-1000","Cabinets De Dentistes"
"CHEZ MA COUTURIÈRE",1800,"Rue Normand","J1G 4J6","819 565-5286","Fabrication A Forfait De Vetements Coupes-Cousus"
"CHEZ SIM",4,"9e Avenue Nord","J1G 1C3","819 640-5353","Reparation Et Entretien De La Carosserie, De La Peinture Et De L'Interieur De Vehicules Automobiles"
"CHIASSON GROUPE CONSEIL",2984,"Rue des Chênes","J1L 1Y1","819 821-4433","Cabinets De Comptables"
"CHIC LUNETTE (KIOSQUE)",3050,"Boulevard de Portland","J1L 1K1","819 346-8452","Magasins D'Accessoires Vestimentaires"
"CHICO BOUTIQUE D'ANIMAUX",27,"Rue Raby","J1G 3T1","819 933-1071","Animaleries Et Magasins De Fournitures Pour Animaux"
"CHIFFONS IDEALS",4390,"Rue Brunault","J1L 1S8","819 829-1414","Fournitures De Linge Et D'Uniforme"
"CHIRO-CLINIQUE ROCK FOREST",4505,"Boulevard Bourque","J1N 3B9","819 565-7550","Cabinets De Chiropraticiens"
"CHIRO ESTRIE",22,"Rue Saint-Joseph","J1C 0P6","819 481-0273 poste 2","Cabinets De Chiropraticiens"
"CHIROPRATIQUE FAMILIALE LENNOXVILLE",239,"Rue Queen","J1M 1K5","819 575-0677","Cabinets De Chiropraticiens"
"CHLOROPHYLLE SHERBROOKE",3050,"Boulevard de Portland","J1L 1K1","819 416-0800, 1-800 465-7512 poste 801","Magasins De Tous Les Autres Vetements"
"CHO CHOCO - BOUTIQUE DU CHOCOLAT CHAUD",7269,"Boulevard Bourque","J1N 3K6","819 746-8007","Tous Les Autres Magasins D'Alimentation Specialisee"
"CHOCO-LÀ",2445,"Rue King Ouest","J1J 2G7","819 822-1771","Confiseries Et Magasins De Noix"
"CHOCO PARTY",978,"Rue Galt Ouest","J1H 1Z8",NA,"Magasins De Tous Les Autres Accessoires De La Maison"
"CHOCOLAT LAMONTAGNE",4045,"Rue de la Garlock","J1L 1W9","819 564-0989","Toutes Les Autres Activites Diverses De Fabrication"
"CHOCOLATERIE CHOCO DAISY",1428,"Rue King Ouest","J1J 2C2","819 791-6695","Confiseries Et Magasins De Noix"
"CHOCOLATS FAVORIS",1836,"Rue King Ouest","J1J 0A2","819 987-1088","Confiseries Et Magasins De Noix"
"CHOUMAC CYCLES",807,"Rue Longpré","J1G 5B8",NA,"Toutes Les Autres Activites Diverses De Fabrication"
"CHP AUTO ELECTRIQUE ENR.",5746,"Boulevard Bourque","J1N 1H3","819 864-1354","Reparations Generales De Vehicules Automobiles"
"CHRISTELLE LEFEBVRE, QUESTIOLOGUE ET CONSULTANTE",155,"Rue Clément","J1R 0A9","819 574-5582","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"CHRISTIAN LEDUC",125,"Boulevard Jacques-Cartier Sud","J1J 2Z9",NA,"Services De Conseil En Placement"
"CHRISTIANE RAINVILLE ACUPUNCTRICE",10,"Rue Bowen Sud","J1G 2C5","819 563-4520","Autres Services De Soins Personnels"
"CHRISTINE LABRIE DÉPUTÉE DE SHERBROOKE",230,"Rue King Ouest","J1H 1P9","819 569-5646","Autres Services Des Administrations Publiques Provinciales Et Territoriales"
"CHRISTINE RENAUD CHIROPRATICIENNE",2877,"Rue des Incas","J1N 2X7","819 780-8673","Cabinets De Chiropraticiens"
"CHROMA DENT INC.",2204,"Rue Galt Ouest","J1K 1K4","819 566-5353","Grossistes-Distributeurs De Machines, Materiel Et Fournitures D'Usage Professionnel"
"CHROMATIQUE COIFFURE",1220,"Rue du Concorde","J1E 1C3","819 566-6789","Salons De Coiffure Mixtes"
"CHSLD DE LA ROSE BLANCHE",60,"Rue Jean-Maurice","J1G 1V5","819 348-8888","Etablissements Communautaires De Soins Pour Personnes Agees"
"CHSLD VIGI SHERMONT (CENTRE D'HÉBERGEMENT DE SOINS DE LONGUE DURÉE)",3220,"12e Avenue Nord","J1H 5H3","819 820-8900","Etablissements Communautaires De Soins Pour Personnes Agees"
"CHURCH OF THE ADVENT",473,"Rue Bowen Sud","J1G 2C4",NA,"Organismes Religieux"
"CHUS HÔTEL-DIEU",580,"Rue Bowen Sud","J1G 2E8","819 346-1110","Hopitaux Generaux (Sauf Pediatriques)"
"CIBC - CENTRE BANCAIRE LENNOXVILLE",93,"Rue Queen","J1M 1J5","819 566-7833","Activites Bancaires Aux Entreprises Et Aux Particuliers"
"CIBLE SOLUTIONS D’AFFAIRES INC.",45,"Rue Radisson","J1L 1E2","819 562-2222","Agences De Publicite"
"CICI’S COIFFURE CANINE",3480,"Rue College","J1M 0B8","819 349-6852","Soins Pour Animaux De Maison, Sauf Les Services Veterinaires"
"CIGONIA",2845,"Rue King Ouest","J1L 1C6","819 821-3434","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"CIK AUDIO VIDÉO ILLIMITÉ",1979,"Rue King Ouest","J1J 2E6","819 822-0045","Magasins D'Ordinateurs Et De Logiciels"
"CIMA +",3385,"Rue King Ouest","J1L 1P8","819 565-3385","Services De Genie"
"CIMAISE ARCHITECTES",36,"Rue Wellington Nord","J1H 5B7","819 563-4500","Services D'Architecture"
"CIMETIÈRE MALVERN CEMETERY",75,"Chemin Moulton-Hill","J1M 0A7","819 877-2338","Cimetieres Et Crematoriums"
"CIMETIÈRE SAINT-MICHEL",635,"Rue Saint-Michel","J1E 2L2","819 562-5233","Cimetieres Et Crematoriums"
"CINÉ-PARC ORFORD",2751,"Rue Roméo-Lacroix","J1N 0H1","819 843-9575","Projection Films Cinematographiques"
"CINEMA GALAXY SHERBROOKE",4204,"Rue Bertrand-Fabi","J1N 3Y2","819 821-4481","Projection Films Cinematographiques"
"CIRCA LOUNGE PRIVÉ",128,"Rue Wellington Sud","J1H 5C7","819 943-2886","Magasins De Revetement De Sol"
"CIUSS ESTRIE CHUS (13E AVENUE NORD)",213,"13e Avenue Nord","J1E 2X8","819 780-2222","Hopitaux Generaux (Sauf Pediatriques)"
"CIUSS ESTRIE CHUS (BOULEVARD JACQUES-CARTIER)",68,"Boulevard Jacques-Cartier Nord","J1J 2Z8",NA,"Administration Publique Provinciale Et Territoriale"
"CIUSS ESTRIE CHUS (CENTRE D'APPEL)",1335,"Rue King Ouest","J1J 2B8",NA,"Centres D'Appel Telephonique"
"CIUSS ESTRIE CHUS (HÉBERGEMENT AVEC SERVICES)",1600,"Rue Garant","J1J 1J2",NA,"Autres Associations"
"CIUSS ESTRIE CHUS (SERVICES DE L'INFORMATIQUE)",295,"Rue Olivier","J1H 1X4",NA,"Centres De Services Aux Entreprises"
"CJRSS (CLUB DE JEUX DE RÔLE ET DE SOCIÉTÉ DE SHERBROOKE)",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Organisations Civiques Et Amicales"
"CLAIRE FRANCE 14 PLUS",930,"13e Avenue Nord","J1E 3E5","819 562-5507","Magasins De Vetements Pour Femmes"
"CLARKE & SONS LTEE",2881,"Rue College","J1M 2C2","819 562-9444","Magasins Divers De Toutes Autres Fournitures De Tout Genre"
"CLASSCRAFT",165,"Rue Wellington Nord","J1H 5B9","","Editeurs De Logiciels"
"CLAUDE DIONNE PSYCHOLOGUE",5104,"Boulevard Bourque","J1N 2K7","819 564-8802","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"CLAUDE GENDRON INC",361,"Rue Marquette","J1H 1M5","819 564-0598","Etudes D'Avocats"
"CLAUDIA SIERRA ACUPUNCTRICE",1272,"Rue King Ouest","J1J 2B6","819 575-2779","Autres Services De Soins Personnels"
"CLÉ CANADA IMMIGRATION",162,"Rue Wellington Sud","J1H 5C7","819 342-6982","Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"CLEF EN BOUCHE",355,"Rue Marquette","J1H 4G3","873 200-6101","Traiteurs"
"CLÉMENT",2945,"Boulevard de Portland","J1L 2Y7","819 564-7881","Magasins De Vetements Pour Enfants Et Bebes"
"CLIC SHERBROOKE",165,"Rue Moore","J1H 1B8","819 822-2542","Ecoles De Langue"
"CLIMATISATION DUPLESSIS",5521,"Boulevard Bourque","J1N 1G8","819 240-6837","Entrepreneur En Travaux De Plomberie, Chauffage Et Climatisation"
"CLIMATISATION ROGER DEMERS INC.",1331,"Rue Denault","J1H 2P6","819 565-0817","Entrepreneur En Travaux De Plomberie, Chauffage Et Climatisation"
"CLIN D’ŒIL",1060,"Rue de Cherbourg","J1K 2N8",NA,"Tous Les Autres Services Professionnels, Scientifiques Et Techniques"
"CLINIQUE ACUPUNCTURE CHINOISE",99,"Rue Gordon","J1H 4Y4","819 822-1153","Autres Services De Soins Personnels"
"CLINIQUE ASIE",714,"Rue King Est","J1G 1C4","819 348-0183","Autres Services De Soins Personnels"
"CLINIQUE AXE-ION SANTÉ ENR.",279,"Rue Saint-Lambert","J1C 0N9","819 674-8153","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE CHIROPRATIQUE AUX PETITS SOINS",30,"Rue Wood","J1J 2X3","819 346-2121","Cabinets De Chiropraticiens"
"CLINIQUE CHIROPRATIQUE AUX PETITS SOINS (HERAUD PASCALE)",30,"Rue Wood","J1J 2X3","819 346-2121","Cabinets De Chiropraticiens"
"CLINIQUE CHIROPRATIQUE AUX PETITS SOINS (LARRIVÉE PASCALE)",30,"Rue Wood","J1J 2X3","819 640-5119","Cabinets De Chiropraticiens"
"CLINIQUE CHIROPRATIQUE AUX PETITS SOINS (LESSARD MARIE-JOSÉE)",30,"Rue Wood","J1J 2X3","819 570-3096","Cabinets De Chiropraticiens"
"CLINIQUE CHIROPRATIQUE AUX PETITS SOINS (LUPIEN MARIE-JO)",30,"Rue Wood","J1J 2X3","819 566-1701","Cabinets De Chiropraticiens"
"CLINIQUE CHIROPRATIQUE SHERBROOKE",35,"Boulevard Queen-Victoria","J1H 3P4","819 564-2131","Cabinets De Chiropraticiens"
"CLINIQUE D'ACUPUNCTURE HONG CONG",1440,"Rue des Sables","J1J 1B7","819 823-0777","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE D'ACUPUNCTURE L'ENVOL",592,"Rue Poulin","J1E 2N5","819 348-0715","Autres Services De Soins Personnels"
"CLINIQUE D'ACUPUNCTURE SARA-EMMANUELLE JACOB",1576,"Rue King Ouest","J1J 2C3","819 437-5837","Autres Services De Soins Personnels"
"CLINIQUE D'ACUPUNCTURE ZHANHONG WANG",2185,"Rue de Rouville","J1J 2X5","819 820-1828","Autres Services De Soins Personnels"
"CLINIQUE D'HORLOGERIE BERNARD GAGNON",530,"Rue King Est","J1G 1B8","819 566-5505","Reparation Et Entretien De Materiel Electronique Et De Precision"
"CLINIQUE D'OBSTÉTRIQUE ET GYNÉCOLOGIE DU SOMMET",1280,"Rue King Est","J1G 1E4","819 563-2027","Cabinets De Medecins"
"CLINIQUE D'ORTHOTHÉRAPIE MARIE-EVE LABBÉ",1552,"Rue Major","J1N 1P8","819 674-9591","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE D'OSTÉOPATHIE ENTRE BONNES MAINS",1335,"Rue King Ouest","J1J 2B8","819 212-5636","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE D'OSTÉOPATHIE GUY CHAÎNÉ",205,"Rue de Carillon","J1J 2L3","819 566-4105","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE DE CARDIOLOGIE (DR. SARTO CÔTÉ )",1055,"12e Avenue Nord","J1E 2X4","819 563-6588","Cabinets De Medecins"
"CLINIQUE DE DENTUROLOGIE DOMÉNIC LUSSIER",5096,"Boulevard Bourque","J1N 2K7","819 573-2000","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE DE DENTUROLOGIE LAROCHELLE",2465,"Rue Galt Ouest","J1K 1L1","819 346-6312","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE DE DENTUROLOGIE ROBERT ROUSSEAU",340,"10e Avenue Sud","J1G 2R7","819 564-5008","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE DE KINÉSIOLOGIE INTERDISCIPLINAIRE CKI",1943,"Rue Belvédère Sud","J1H 5Y3","819 820-7597","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE DE LASER ET D’ESTHÉTIQUE GRACIA JAQUELIN",249,"Rue Queen","J1M 1K5","819 347-2880","Autres Services De Soins Personnels"
"CLINIQUE DE MASSOTHÉRAPIE ET ORTHOTHÉRAPIE JONATHAN DUPUIS",820,"Rue Galt Est","J1G 1Y5","819 345-3913","Autres Services De Soins Personnels"
"CLINIQUE DE NEUROPSYCHOLOGIE DE L'ESTRIE",1335,"Rue King Ouest","J1J 2B6","819 563-9985","Cabinets De Medecins"
"CLINIQUE DE PHYSIOTHÉRAPIE DE SHERBROOKE",42,"Rue Wilson","J1L 1H4","819 565-2321","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"CLINIQUE DE PHYSIOTHÉRAPIE DE SHERBROOKE CARILLON",20,"Rue de Carillon","J1J 2K8","819 562-0868","Etablissements Communautaires De Soins Pour Personnes Agees"
"CLINIQUE DE PHYSIOTHÉRAPIE SAINT-VINCENT",250,"Rue King Est","J1G 1E9","873 500-5039","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"CLINIQUE DE PSHYSIOTHÉRAPIE ET DE MÉDECINE DU SPORT",2500,"Boulevard de l'Université","J1K 2R1","819 821-7593","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"CLINIQUE DE PSYCHOLOGIE ET DE NEUROPSYCHOLOGIE",4480,"Rue Bertrand-Fabi","J1N 1Z9","819 791-3066","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"CLINIQUE DE PSYCHOLOGIE INTÉGRATIVE",251,"Rue Queen","J1M 1K5","819 933-6041","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"CLINIQUE DE SANTÉ JACQUES-CARTIER",1815,"Rue King Ouest","J1J 2E3","819 565-7446","Cabinets De Medecins"
"CLINIQUE DE SANTÉ M",20,"Rue de Carillon","J1J 2K8","1 833 841-2555","Cabinets De Medecins"
"CLINIQUE DE SERVICES EN PSYCHOLOGIE (ACCES SOLUTION HUMAINE)",2984,"Rue des Chênes","J1L 1Y1",NA,"Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"CLINIQUE DELAVOIE",1274,"Rue King Ouest","J1J 2B6","819 575-2779","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE DENTAIRE AYOTTE & ASSOCIES",91,"Rue Peel","J1H 4J9","819 563-6292","Cabinets De Dentistes"
"CLINIQUE DENTAIRE BOUTIN LANGLOIS",854,"Rue Belvédère Sud","J1H 4C1","819 200-0837","Cabinets De Dentistes"
"CLINIQUE DENTAIRE DU CARREFOUR",2910,"Boulevard de Portland","J1L 1R8","819 563-1161","Cabinets De Dentistes"
"CLINIQUE DENTAIRE DUHAIME",6045,"Chemin de Saint-Élie","J1R 0P5","819 829-3900","Cabinets De Dentistes"
"CLINIQUE DENTAIRE ET D'IMPLANTOLOGIE JEAN BERNARD",2471,"Rue King Est","J1G 5G9","819 566-4243","Cabinets De Dentistes"
"CLINIQUE DENTAIRE GAÉTAN BOUCHARD",85,"Rue Belvédère Nord","J1H 4A7","819 563-3077","Cabinets De Dentistes"
"CLINIQUE DENTAIRE GALT",2180,"Rue Galt Ouest","J1K 1K4","819 566-2578","Cabinets De Dentistes"
"CLINIQUE DENTAIRE LUC VILLEMAIRE",49,"Rue Laval","J1C 0P9","819 846-0003","Cabinets De Dentistes"
"CLINIQUE DENTAIRE MANON BOULANGER",537,"Rue Bouchette","J1J 2T2","819 563-8848","Cabinets De Dentistes"
"CLINIQUE DENTAIRE MASSÉ, BOISCLAIR",1805,"Rue Galt Ouest","J1K 1J4","819 566-5025","Cabinets De Dentistes"
"CLINIQUE DENTAIRE ROCK FOREST",4857,"Boulevard Bourque","J1N 1E8","819 943-4857","Cabinets De Dentistes"
"CLINIQUE DENTAIRE ROULEAU-GAGNON",1325,"Rue King Est","J1G 1E8","819 566-4242, 819 200-8504","Cabinets De Dentistes"
"CLINIQUE DENTAIRE SHERBROOKE",2460,"Rue Galt Ouest","J1K 1L2","819 822-3993","Cabinets De Dentistes"
"CLINIQUE DENTAIRE SIMON ROY",174,"Rue Queen","J1M 1J9","819 822-4616","Cabinets De Dentistes"
"CLINIQUE DENTAIRE YVES BOUCHARD",1055,"12e Avenue Nord","J1E 2X4","819 566-8668","Cabinets De Dentistes"
"CLINIQUE DERMA RADIANCE",1060,"Rue Rostand","J1J 4P3","819 565-5592","Tous Les Autres Services Personnels"
"CLINIQUE DERMATOLOGIQUE DE SHERBROOKE",360,"Rue Galt Est","J1G 1X9","873 389-2990","Cabinets De Medecins"
"CLINIQUE DERMAVITAL",1303,"Rue King Ouest","J1J 2B6","819 791-9877","Autres Services De Soins Personnels"
"CLINIQUE DES MÉDECINS D'URGENCE (CMU)",1280,"Rue King Est","J1G 1E4","819 822-2700","Cabinets De Medecins"
"CLINIQUE DU CARTIER (AIRD-YOUNG MARIE-FRANCE)",1633,"Rue Marcil","J1J 2H6","819 674-8745","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE DU PIED ÉQUILIBRE",1474,"Rue King Ouest","J1J 2C2","1 866-781-3126","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE DU VOYAGEUR INTERNATIONAL",1200,"Rue King Est","J1G 1E6","819 564-5160","Cabinets De Medecins"
"CLINIQUE DUFFERIN",337,"Rue Dufferin","J1H 4M6",NA,"Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"CLINIQUE FAMILIAL DU SOMMET",1280,"Rue King Est","J1G 1E4","819 300-8181","Cabinets De Medecins"
"CLINIQUE IMPÔT SERVICE SBP",81,"Rue Wellington Nord","J1H 5A9","819 562-8656","Cabinets De Comptables"
"CLINIQUE INNOMAR (AMERISOURCE BERGEN)",35,"Rue J.-A.-Bombardier","J1L OH8","1 844-466-0627","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE JOSÉE AUDET",3200,"Rue de la Campanule","J1N 4K7","819 791-1575","Autres Services De Soins Personnels"
"CLINIQUE L'INTERACTION",1280,"Rue King Est","J1G 1E4","819 346-5555","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"CLINIQUE LINDA CARON",2599,"Rue Normand","J1G 3S8","819 570-7912","Tous Les Autres Services Personnels"
"CLINIQUE LOBE (BOULEVARD BOURQUE)",5035,"Boulevard Bourque","J1N 2K6","873 639-0022","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE M",1269,"Rue McIntosh","J1H 4G4","819 933-6190","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"CLINIQUE MALICO",649,"Rue Villebon","J1N 1Z2",NA,"Cabinets De Tous Les Autres Praticiens"
"CLINIQUE MARIE LAFOREST, CENTRE DE BEAUTÉ ELLE ET LUI",1253,"Rue du Conseil","J1G 1M9","819 346-8691","Salons De Beaute"
"CLINIQUE MAXILLO FACIALE ET D'IMPLANTOLOGIE DE L'ESTRIE",2050,"Rue King Ouest","J1J 2E8","819 823-1611","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE MÉDICALE BELVÉDÈRE",2235,"Rue Galt Ouest","J1K 1K6","819 563-4244","Cabinets De Medecins"
"CLINIQUE MÉDICALE DE BROMPTONVILLE",103,"Rue Saint-Lambert","J1C 0N8","819 846-2811","Cabinets De Medecins"
"CLINIQUE MÉDICALE DE FLEURIMONT",2340,"Rue King Est","J1G 5G8","819 563-4462","Cabinets De Medecins"
"CLINIQUE MÉDICALE DE L'ESTRIE",437,"Rue King Est","J1G 1B6","819 563-9313","Cabinets De Medecins"
"CLINIQUE MÉDICALE DES CANTONS",1474,"Rue King Ouest","J1J 2C2","819 565-1955","Cabinets De Medecins"
"CLINIQUE MÉDICALE DU PLATEAU MARQUETTE",35,"Rue J.-A.-Bombardier","J1L OH8","819 564-8662","Cabinets De Medecins"
"CLINIQUE MÉDICALE LES PROMENADES KING",2313,"Rue King Ouest","J1J 2G2",NA,"Cabinets De Medecins"
"CLINIQUE MÉDICO-LÉGALE DE L'UNIVERSITÉ DE SHERBROOKE",234,"Rue Dufferin","J1H 4M2","819 821-2297","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE MÉDICO LÉGALE",1815,"Rue King Ouest","J1J 2E3","819 822-0503","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE NEUROLOGIQUE",592,"Rue Bowen Sud","J1G 2E7","819 812-3331","Cabinets De Medecins"
"CLINIQUE NEUROTRANSMISSION (CHEMIN DE SAINT-ÉLIE)",6017,"Chemin de Saint-Élie","J1R 0L1","819 571-5275","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE NUTRITIVE ARBOUR",2984,"Rue des Chênes","J1L 1Y1","819 570-6313","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE OZONE PLUS",3330,"Rue King Ouest","J1L 1C9","819 919-4754","Autres Services De Soins Personnels"
"CLINIQUE OZONE PLUS (12E AVENUE NORD)",3000,"12e Avenue Nord","J1H 5H3","819 919-4754","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"CLINIQUE PAS À PAS",614,"Rue Bowen Sud","J1G 2E9","819 822-1918","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"CLINIQUE PEAU NEUVE",1175,"Rue Champlain","J1H 2L1","819 434-7477","Salons De Beaute"
"CLINIQUE PÉRINATALE HMB INC.",4702,"Rue Betrand-Fabi","J1N 2B1","873 200-4845","Autres Services Individuels Et Familiaux"
"CLINIQUE PHYSIO-SANTÉ",1111,"Rue du Conseil","J1G 1M4","819 573-0400","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"CLINIQUE PODIATRIQUE DE L'ESTRIE",1135,"Boulevard Jacques-Cartier Nord","J1J 3A8","819 820-1157","Cabinets De Medecins"
"CLINIQUE PODIATRIQUE DE SHERBROOKE",3125,"Rue Bel-Air","J1L 1A9","819 791-2677","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE PROFESSIONNELLE D'OSTÉOPATHIE",4170,"Rue Bonaventure","J1L 1Y6","819 562-8000","Cabinets De Medecins"
"CLINIQUE PROTECTRICE DES ANIMAUX DE L'ESTRIE",145,"Rue Sauvé","J1L 1L6","819 821-4727","Services Veterinaires"
"CLINIQUE PSYCHOSOMATIQUE DE L'ESTRIE",1871,"Rue Galt Ouest","J1L 1J5","819 565-3272","Cabinets De Praticiens En Sante Mentale, Sauf Les Medecins"
"CLINIQUE SANTÉ DU NORD",437,"Rue King Est","J1G 1B6","819 565-1828","Cabinets De Medecins"
"CLINIQUE SANTÉ GLOBALE",2290,"Rue D'Youville","J1J 1N9","819 823-6567","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE SOLUTION KINÉ ENR.",1764,"Rue Mancini","J1N 0R7","819 791-7949","Cabinets De Physiotherapeutes, D'Ergotherapeutes, D'Orthophonistes Et D'Audiologistes"
"CLINIQUE SPÉCIALISÉE D'AIDE À L'APPRENTISSAGE PLUME",730,"Rue de Châteaufort","J1N 0V9","819 578-6627","Services De Soutien A L'Enseignement"
"CLINIQUE THÉRAPEUTIQUE DENIS DELUDE",165,"Rue Lomas","J1J 2R2","819 822-9527","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE UNIVERSITAIRE DE KINÉSIOLOGIE",2500,"Boulevard de l'Université","J1K 2R1","819 821-8000","Cabinets De Tous Les Autres Praticiens"
"CLINIQUE VÉTÉRINAIRE ANIMA-PLUS ROCK FOREST",5426,"Boulevard Bourque","J1N 1H3","819 864-7887","Services Veterinaires"
"CLINIQUE VÉTÉRINAIRE CENTRALE DE SHERBROOKE",25,"Rue de l'Ontario","J1J 3P8","819 822-4744","Services Veterinaires"
"CLINIQUE VÉTÉRINAIRE DE SANTÉ ANIMALE DE L'ESTRIE INC.",935,"Rue Galt Est","J1G 1Y6","819 200-4795","Services Veterinaires"
"CLINIQUE VÉTÉRINAIRE DES PETITS ANIMAUX DE L'ESTRIE",155,"Rue Sauvé","J1L 1L6","819 821-1161","Services Veterinaires"
"CLINIQUE VÉTÉRINAIRE DU VIEUX-VILLAGE",2850,"Chemin Saint-Roch Sud","J1N 2T3","819 864-6924","Services Veterinaires"
"CLINIQUE VITAERA",840,"Rue King Ouest","J1H 1S1","819 943-9699","Cabinets De Tous Les Autres Praticiens"
"CLINIQUES SOMNOS",5102,"Boulevard Bourque","J1N 2K7","819 821-3079","Cabinets De Tous Les Autres Praticiens"
"CLINIQUES SOMNOS FLEURIMONT",1055,"12e Avenue Nord","J1E 2X4","819 821-3079","Cabinets De Medecins"
"CLÔTURES ET RAMPES DB INC.",6981,"Boulevard Bourque","J1N 3K4","819 864-7770","Tous Les Autres Entrepreneurs Specialises"
"CLOUTIER LARKIN AVOCATS",65,"Rue Belvédère Nord","J1H 4A7","819 821-2104","Etudes D'Avocats"
"CLSC - INSTITUT UNIVERSITAIRE DE GÉRIATRIE DE SHERBROOKE",95,"Rue Camirand","J1H 4J5","819 780-2222","Administration Publique Provinciale Et Territoriale"
"CLSC CAMIRAND",50,"Rue Camirand","J1H 4J5","819 780-2222, 1 800 363-7373","Centres Communautaires De Soins De Sante"
"CLUB ATHLÉTISME SHERBROOKE",40,"Rue Marchant","J1J 3E3","819 674-2834","Organisations Civiques Et Amicales"
"CLUB AVENTURE VOYAGES",928,"Rue King Ouest","J1H 1S2","819 822-1223","Agences De Voyages"
"CLUB DE BOXE DE SHERBROOKE",4300,"Boulevard Bourque","J1N 2A6","819 822-2659","Centre De Sports Recreatifs Et De Conditionnement Physique"
"CLUB DE CURLING DE LENNOXVILLE",6,"Rue Speid","J1M 1R6","819 562-2310","Centre De Sports Recreatifs Et De Conditionnement Physique"
