Business Name,Products or Services,Unit,House Number,Road,Postal Code,Phone,Town Centre,Longitude,Latitude
Gerding Automotive Ltd,Automotive Services,4/6/,17921,55 Ave,V3S6C4,,CTC,-122.7256988,49.10227893
Delta Controls Inc,Mfg. - Building Control Solutions,,17899,55 Ave,V3S6C4,,CTC,-122.7261705,49.1022794
Silhouette Landscape Lights Ltd ,Machine shop - landscape lighting,105,17957,55 Ave,V3S6C4,,CTC,-122.7249271,49.10227817
White Rock South Surrey Taxi Ltd,Taxi Service,3,17921,55 Ave,V3S6C4,,CTC,-122.7256988,49.10227893
Fastenal Canada Ltd,Wholesale - Fasteners & Const Supplies,,9820,190 St,V4N3M9,,GTC,-122.6955104,49.18058054
A Priority Locksmiths,Lock Repair Only - No Retail Sales Permitted,11,17921,55 Ave,V3S6C4,,CTC,-122.7256988,49.10227893
Talik Industrial Services Inc,Wholesale,102,17910,55 Ave,V3S6C8,,CTC,-122.7259133,49.10222517
Extreme Products & Drilling Supplies Inc,Wholesale,102,17910,55 Ave,V3S6C8,,CTC,-122.7259133,49.10222517
Cimtech Mfg Inc ,"Manufacturing engineering prototypes; Multi-axis CNC machined parts, precision castings, sheet metal parts and opto-mechanical components",8,17942,55 Ave,V3S6C8,,CTC,-122.7252273,49.10222449
McDonald's,Restaurant,,10250,152 St,V3R6N7,,GTC,-122.8009339,49.18882597
Prostate Cancer Foundation BC,Manufacturer of Reef Knot Kits,4,17918,55 Ave,V3S6C8,,CTC,-122.7257418,49.102225
M B G Buildings Inc,Contractor - Construction,102,17957,55 Ave,V3S6C4,,CTC,-122.7249271,49.10227817
Solid Rock Steel Fabricating Co Ltd,Mfg. - Specializing in Structural Steel,,17780,Daly Rd,V4N4M5,6045811151,GTC,1,1
City Centre Dental Clinic,Professional Practitioner-Dentist,102,10252,135 St,V3T4C2,6049301314,SCC,1,1
Top King's Chinese Restaurant & Cafe,Coffee Bar,101,10294,135 St,V3T4C2,6049306688,SCC,1,1
Pro Carpet Care,Carpet Cleaning,21,13346,116 Ave,V3R0R8,,WTC,1,1
Beautyland Salon Ltd,Hair Salon,8,10302,135 St,V3T4Y8,,SCC,1,1
Guildford Printers Inc,Printer,11,13380,116 Ave,V3R0R8,,WTC,1,1
Pho Tam Restaurant,Restaurant,9,10302,135 St,V3T4Y8,,SCC,1,1
Railway Cafe The,Restaurant,1,13370,116 Ave,V3R0R8,,WTC,1,1
Luckett Wenman & Associates,Tax Consultants,204,10252,135 St,V3T4C2,,SCC,1,1
H S B C Bank Canada (135 St),Banking,,10388,135 St,V3T4Y8,,SCC,1,1
Surrey Women's Centre Society,Non Profit Society,,10075,136A St,V3T4G1,,SCC,1,1
All Star Blinds Cleaning Sales & Installation Repa,Blind Cleaning,6,13370,116 Ave,V3R0R8,,WTC,1,1
Skyview Manor,Apartment Rentals,,10188,136A St,V3T5J6,,SCC,1,1
A P T Education Center,Tutoring center for elementary to high school students,,10061,136A St,V3T4G1,,SCC,1,1
Save On Cartridge Plus,Warehouse,25,13340,116 Ave,V3R0R8,,WTC,1,1
A La Carte Woodturning,"Mfg. - Woodworking,Auto Body/Painting",66,13330,116 Ave,V3R0R8,,WTC,1,1
Wheelsport Canada,Retail Motorcycle Accessories,113,19189,Langley Bypass,V3S6K1,,CTC,1,1
Surrey Cash Mart,Cheque Cashing,105,10252,135 St,V3T4C2,,SCC,1,1
All Day All Nite,"Retail Convenience Store, Computer Time Rental",104,10252,135 St,V3T4C2,,SCC,1,1
A Taste of Punjab Restaurant Ltd,Food Primary-Class B Dining Lounge,,10009,136A St,V3T4G1,,SCC,1,1
Petals Beauty & Hair Salon Ltd,Hair Salon/Barber,,10053,136A St,V3T4G1,,SCC,1,1
Aram's Auto Repair & Sales Ltd,Auto Body/Painting,67,13330,116 Ave,V3R0R8,,WTC,1,1
Moe's Auto Services Ltd,Auto Glass & Convertible Tops,305,5327,19223 St,V3S8E5,,CTC,1,1
Westminster College Inc,Business & Technology,200,10252,135 St,V3T4C2,,SCC,1,1
Central City Fresh Slice Pizza Ltd,Restaurant - No Alcohol,101,10252,135 St,V3T4C2,,SCC,1,1
Habib Market Ltd,Groceries & Meats,,10119,136A St,V3T4G1,,SCC,1,1
Ocean Concrete,Ready Mix Concrete Plant,,12355,Musqueam Dr,V3V3T2,,WTC,1,1
Pho Hoa Hong Vietnamese Restaurant,Vietnamese Restaurant,4,10302,135 St,V3T4Y8,,SCC,1,1
Diamond Parking Ltd #4206,Parking facility,,10119,136A St,V3T4G1,,SCC,1,1
Schnitzer Steel Canada Ltd,Salvage yard - scrap metal,,12301,Musqueam Dr,V3V3T2,,WTC,1,1
Action Auto Wrecking  Ltd,Auto Wrecking Yard,,10559,120 St,V3V4G4,,WTC,1,1
Gem Towing Ltd,Towing & Storage,,2359,164 St,V3S0L8,,SSTC,1,1
G H Aluminum & Ironworks Inc,Manufacturer / Machine Shop - Railings,10,13380,116 Ave,V3R0R8,,WTC,1,1
Jellybean Auto Crafter,Auto Restoration,208,19425,No 10 (Langley Bypass) Hwy,V3S6K1,,CTC,,
Stablefly Design,Design Serv.,118,13806,Central Ave,V3T1R9,,SCC,-122.8394985,49.18916104
Eden Electric Ltd,Contractor - Electrical ,79,13766,Central Ave,V3T1R9,,SCC,-122.8408481,49.18927716
Pink Cosmos Designs,Home Crafts,22,9088,Holt Rd,V3V4H3,,WTC,-122.889864,49.16871563
Ganaan Highland Manufacturing Ltd ,Manufacturing: Design and products for bagpipes and drums ,,10155,Mary Dr,V3V3B8,,WTC,-122.8733448,49.18720264
1082780 BC Ltd,Contractor: Renovations,,10078,Mary Dr,V3V3B7,,WTC,-122.8717761,49.18580838
Bikaner Indian Cuisine &  Sweets,Restaurant - No Alcohol,109,15161,56 Ave,V3S9A5,,NTC,-122.8025301,49.10471729
Spice Kings Bistro Ltd,Restaurant - No Alcohol,102,15325,56 Ave,V3S0X9,,NTC,-122.798429,49.10524442
World Financial Group,Financial Planning/Consultant,305,14928,56 Ave,V3S2N5,,NTC,-122.8089677,49.1042299
Cora Breakfast and Lunch Surrey,Restaurant - No Alcohol,101/,15133,56 Ave,V3S9A5,,NTC,-122.8057861,49.10516994
Sweet Avenue Bakery,Bakery,135,17455,56 Ave,V3X2X6,,CTC,-122.7395975,49.10436862
Virtue Kennels,Hobby Kennel - 3 Dogs,,14246,56 Ave,V3X3A6,,NTC,-122.8276301,49.10433227
Zappone Trucking,"Trucking & Cartage, Excavating Contractor",,18571,56 Ave,V3S8J3,,CTC,-122.7079814,49.10436243
Van Metro Consulting Ltd,Financial Planning/Consultant,311,17750,56 Ave,V3S1K4,,CTC,-122.7304217,49.10394114
I T M Home Construction Ltd,Contractor - Construction,,14466,56 Ave,V3X1B6,,NTC,-122.8206918,49.10423565
H D Drilling,"Contractor - Drilling, Excavating, Shoring",,15926,56 Ave,V3S2J7,,NTC,-122.7809517,49.10423448
Finish Line Kinesiology,Kinesiologist - NOBILE ONLY ,,16212,56 Ave,V3S2J7,,CTC,-122.7733104,49.10423198
Collaborative Accounting Services,Bookkeeping,,14452,56 Ave,V3X0H5,,NTC,-122.821293,49.10423083
Webuyanything WS Sales Ltd,Trucking & Cartage,,13270,58 Ave,V3X2R2,,NTC,-122.8549134,49.10801992
Wineberry Fabrics ,Mail Order - Fabric,,13482,58 Ave,V3X2R4,,NTC,-122.8490181,49.1080153
Tesla Motors Canada ULC | Sales Service Delivery,Automobile Dealer/Rebuilder,,19505,Hwy 10,V3S6K1,,CTC,-122.6832319,49.10880523
Tan Garden Services,Contractor--Landscaping,,12464,Park Dr,V3V3B1,,WTC,-122.8769038,49.18700968
S F Building Services ,Contractor: General ,,12431,Park Dr,V3V3A9,,WTC,-122.877771,49.18724448
Evershine Professional Painting Ltd,Contractor - Painting,,12474,Park Dr,V3V3B1,,WTC,-122.8766767,49.18703504
D F M Technology Inc,Computer Consultant,,10043,Park Dr,V3V3A5,,WTC,-122.8750929,49.18511391
Voob Construction & Maintenance Ltd,Contractor - General Contractor,,14240,Park Dr,V3R5N9,,SCC,-122.8273766,49.20347017
A S A P Plumbing & Heating Ltd,"Plumbing/Heating Cont.,Inter-Municipal Business License Metro,Plumbing & Heating Contractor",,14362,Park Dr,V3R5P3,,SCC,-122.8240317,49.20328682
Sunshine Overall Services Inc,Contractor - Landscaping,,14363,Park Dr,V3R5P2,,SCC,-122.8240233,49.20360783
Goldrock Enterprise Ltd,Contractor - Landscaping/Excavating,,13830,Park Dr,V3R5N4,,SCC,-122.8391083,49.20544576
G l Truck & Crane Service,Trucking & Cartage,,14206,Park Dr,V3R5N9,,SCC,-122.8285632,49.20371807
Immaculate Concrete Inc,Contractor - Concrete Forming,,5851,148 St,V3S3B9,6043081130,NTC,-122.8124968,49.10917362
S & R Sawmills Ltd,Mfg. - Sawmills & Custom Cutting,,18887,98A Ave,V4N4E1,6048880022,GTC,-122.6996837,49.18178409
Valley View Funeral Home & Cemetery,Cemetary,,14644,72 Ave,V3S2E7,6042390152,NTC,-122.8176721,49.13356487
Reliance Foundry Co Ltd,Manufacturing,207,6450,148 St,V3S7G7,6045924333,NTC,-122.8110741,49.11969649
Roaths Pawn Shop Ltd,Pawn Shop,,13573,King George Hwy,V3T2V1,6045844010,SCC,-122.8460923,49.19973553
99 Nursery & Florist Inc,"Nursery & Florist, Giftware",,9376,King George Hwy,V3V5W3,6045846555,WTC,-122.8452823,49.17330682
Cloverdale Paint Inc,Retail Merchants,,6950,King George Blvd,V3W4Z1,6045961736,NTC,-122.8451521,49.12938269
Venus Cleaners (176 St),Dry Cleaner (no coin operated machines),,5758,176 St,V3S4C8,6045744355,CTC,-122.7347778,49.10701898
Prime Collision Ltd,Auto Body Repair,,14746,108A Ave,V3R1W8,6045852301,GTC,-122.8138983,49.19948801
Avis Car Inc,Auto & Truck Rental Service,,10305,King George Blvd,V3T2W6,6046687100,SCC,-122.8457157,49.18996016
Cam Chain Co Ltd (128 St),Mfg. - Chains for Sawmill & Woodworking Machinery,,8355,128 St,V3W4G1,6045991522,NTC,-122.8682515,49.15429999
Pharmasave 179,Retail Merchants - Drug Store,,10654,King George Blvd,V3T2X3,6045814431,SCC,-122.8449248,49.19613355
Crescent Beach Marina Co  Ltd,Marina,,12555,Crescent Rd,V4A2V4,6045389666,SSTC,-122.8713307,49.05628746
Dryco Drywall Supplies Ltd,Building Supplies,,8515,148 St,V3S3G5,6045915141,FTC,-122.8126829,49.15761918
Cedar Hills Animal Hospital,Veterinary Serv.,,12863,96 Ave,V3V6V9,6045837387,SCC,-122.8653458,49.17730982
Hugh & McKinnon Realty Ltd,"Real Estate Office, Property Mgmt .",,14007,16 Ave,V4A1P9,6045311909,SSTC,-122.8339427,49.03143487
Garaventa Canada Ltd,"Mfg. - Inclined Stair Lifts, Wheelchair Elevators & Aerial Tramways",,18920,36 Ave,V3Z0P6,6045940422,SSTC,-122.7003096,49.0672003
A & A Contract Customs Brokers,Customs Broker,101,120,176 St,V3S9S2,6045427264,SSTC,-122.7349152,49.00430113
Art Knapp Plantland (King George Hwy),Retail - Nursery & Garden Products,,4391,King George Hwy,V4P2J9,6045969201,SSTC,-122.8209286,49.08170578
Jim Pattison Toyota,Automotive Service/Body Repair,,15389,Guildford Dr,V3R0H9,6045972424,GTC,-122.7950706,49.19677339
Southridge Building Supplies Ltd,Retail Merchant - Lumber,,17444,No 10 (56 Ave) Hwy,V3S1C3,6045762113,CTC,-122.739628,49.10367472
Prospera Credit Union,Credit Union,102,1688,152 St,V4A4N2,6045388200,SSTC,-122.8008931,49.03243524
Lookout Housing and Health Society,Apartment Rentals,,10689,135A St,V3T5B7,6045898678,SCC,-122.8471032,49.19690819
Hunters Garden Centre Inc,Retail - Nursery Supplies,,15175,72 Ave,V3S2G3,6045902431,NTC,-122.8019849,49.13387796
Hallmark Air Conditioning A Div. Of Ainsworth Inc,Heating Air Conditioning & Refrigeration,104,17741,65A Ave,V3S1Z8,6045761355,CTC,-122.7310256,49.12132995
Sunnyside Evergreen Pharmacy,Retail Merchant - Drug Store,,2397,King George Hwy,V4A5A4,6045364404,SSTC,-122.7946148,49.04517332
Canadian Tire Associate Store #622,Retail Hardware & Auto Accessories,,3059,152 St,V4P3K1,6045424317,SSTC,-122.8021014,49.0574412
K G Wardstrom - Industrial Gas,Industrial Gas Services Cont.,211,9654,192 St,V4N4C6,6048882077,GTC,-122.6900169,49.17800549
A A C Woodworking & Mfg Ltd,Mfg. - Custom Woodworking & Manufacturing,,13315,72 Ave,V3W2N5,6045943288,NTC,-122.853593,49.13422407
7 Days Seafoods & Groceries,Seafood & Groceries,,10711,King George Hwy,V3T2X6,6045852258,SCC,-122.8456613,49.197308
AccessSMT Holdings Ltd,General Construction Contractor,,13139,80 Ave,V3W3B1,6045915111,NTC,-122.8591061,49.14838026
Greenbarn Potters Supply Ltd,Retail & Whlse. Pottery Supplies,,9548,192 St,V4N3R9,6048883411,GTC,-122.690271,49.17597817
Budget Brake & Muffler Auto Centres ,Brake & Muffler Serv.,,13718,104 Ave,V3T1W4,6045888588,SCC,-122.8421809,49.19140677
Scott Spring Ltd,"Auto & Truck Suspension,Vending Machine",B,10805,Scott Rd,V3V4G5,6045802876,WTC,-122.88309,49.19904574
Bevco Sales International Inc,Mfg. - Conveyor Systems,,9354,194 St,V4N4E9,6048881455,GTC,-122.6847373,49.17294277
Columbia Collision Repairs Ltd,Auto Body & Repair,101,7945,132 St,V3W4N2,6045968222,NTC,-122.8570565,49.14705123
Johnston Meier Insurance Agencies Group,Insurance Agency,1276,10355,152 St,V3R7C1,6045816121,GTC,-122.8042654,49.19192586
Hallmark Ford Sales Ltd,"Auto Sales/Serv.,  Auto Body Repair",,10025,152 St,V3R4G6,6045841222,GTC,-122.8012132,49.18453164
Fitness World ,Fitness Centre,,13821,Central Ave,V3T5B5,6045881517,SCC,-122.8393583,49.18981624
Avalon & Surrey Funeral Home & Cremation Centre,Funeral Home,,13288,108 Ave,V3T2J6,6045814401,SCC,-122.8543665,49.1987819
Connect Hearing Surrey Central,Hearing Aid Consultant,,10237,King George Blvd,V3T2W6,6045857414,SCC,-122.8456895,49.18876422
Trowel Trades Accessories Ltd,Mfg. - Building Material,,2158,191 St,V3S3M3,6045366100,SSTC,-122.6942973,49.04121505
White Rock Sports & Imports,Auto Sales/Serv.,,3601,King George Hwy,V4P1B6,6045364533,SSTC,-122.8212718,49.06748982
White Rock Veterinary Hospital Ltd,Veterinarian,,2460,152 St,V4P1M8,6045367618,SSTC,-122.8009542,49.04671132
M J M Furniture Center Ltd (77 Ave),Retail Furniture,,13570,77 Ave,V3W6Y3,6045969901,NTC,-122.8465637,49.14253883
Aqua Pak Industries Ltd.,Mfg. - Styrofoam Containers,,7398,132 St,V3W4M7,6045902886,NTC,-122.8564551,49.13751614
Ultimate Performance Ltd,Automotive Repair,71,15515,24 Ave,V4A2J4,6045366444,SSTC,-122.7926614,49.04577262
Carillon Music Ltd,"Retail - Pianos, Lessons & Music Accessories",,7050,King George Hwy,V3W4Z9,6045911161,NTC,-122.8453091,49.13059181
Skyline Motors,Automotive Repair,,7237,King George Blvd,V3W5A7,6045915222,NTC,-122.8459236,49.13439293
Fraser Heights Animal Hospital,Professional Practitioner-Veterinarian,,15585,104 Ave,V3R1N9,6045884161,GTC,-122.7902142,49.19174689
Pine Lighting Ltd,Whlse. & Retail Lighting,,6898,King George Blvd,V3W4Z9,6045918895,NTC,-122.8451639,49.12795016
Schmidt Berg & Company,Certified General Accountants,101,15399,102A Ave,V3R7K1,6045888585,GTC,-122.7956937,49.18912067
Cascade Christian Counselling Assn,Psychotherapy Counselling,201,14980,104 Ave,V3R1M9,6045851411,GTC,-122.8071734,49.19131445
M B E Auto Service,Automotive Repair Service,109,13375,76 Ave,V3W6J3,7785656502,NTC,-122.8519335,49.1410544
Unique Custom Upholstery,Upholstery Of Restaurant Booths,120,12960,84 Ave,V3W1K7,6045973888,NTC,-122.8640189,49.1551914
Scottsdale Lanes,Bowling Center & Lounge,,12033,84 Ave,V3W3G4,6045963924,NTC,-122.8889887,49.15611731
Purity Casting Alloys Ltd,Custom Alloying,15,18503,97 Ave,V4N3N9,6048880181,GTC,-122.7096985,49.17918956
Fruiticana #22,Grocery Store,104,7028,120 St,V3W3M8,6045908864,NTC,-122.8900449,49.13087217
Old Surrey Restaurant,Restaurant,,13483,72 Ave,V3W2N7,6045962313,NTC,-122.8488885,49.13375295
King George Automotive 2017 Ltd,Automotive Repair,9,7788,132 St,V3W0H6,6045967404,NTC,-122.8565082,49.14406127
Fresgo Inn Restaurant,Restaurant,,10102,King George Hwy,V3T2W4,6045880878,SCC,-122.8450997,49.18621766
Altec Industries Ltd,Auto Repair Serv.,,12352,84 Ave,V3W0J5,6045970355,NTC,-122.8804918,49.1555839
Bank of Nova Scotia (Guildford Town Centre),Banking,,2301,Guildford Town Centre,V3R7B9,6045863200,GTC,-122.8040027,49.18941005
Guildford Golf & Country Club,"Golf Course, Lounge & Banquet Facilities",,7929,152 St,V3S3M5,6045941435,NTC,-122.801385,49.14458309
Maxwell Floors Ltd,"Contractor - Flooring Installation, Commercial flooring",,8441,160 St,V4N0V6,6045972423,FTC,-122.7790814,49.15629209
Pantry Restaurant The,Dining Room,2309,10355,152 St,V3R7B9,6045841090,GTC,-122.8042654,49.19192586
B & B Bearing & Electric Motor Ltd,"Whlse. Bearings, Power Transmission & Electric Motors & Repairs",10,7788,132 St,V3W0H5,6045913371,NTC,-122.8565083,49.14406127
Scottsdale Veterinary Hospital,Veterinary Clinic,,7072,120 St,V3W3M8,6045902121,NTC,-122.8900789,49.13168242
Newton Service,Gas Station,,13573,72 Ave,V3W2N9,6045967685,NTC,-122.8462413,49.13373237
Commander Warehouse Equipment Ltd,"Warehouse - Equip.,Instaallation of shelves/ racking ,Installation of shelving  / racking",,5225,192 St,V3S8E5,6045745797,CTC,-122.6934462,49.09827556
Naka Welding,Welding & Light Fabricating,304,13395,76 Ave,V3W6K2,6045974977,NTC,-122.8517127,49.14104962
John Bresnick & Associates,Professional Practitioner-Land Surveyor,113,13302,76 Ave,V3W2W1,6045918822,NTC,-122.8542721,49.14074119
Clover Inn Beer & Wine Store,Beer & Wine Store,413,6466,176 St,V3S4G3,6045766751,CTC,-122.7345741,49.11987487
Bozzini's Restaurant,Dining Lounge,105,13655,104 Ave,V3T1W3,6045886880,SCC,-122.8437312,49.19173246
Celltex Collision,Auto Body Repair,02-Jan,12334,84 Ave,V3W0J5,6045979774,NTC,-122.8809979,49.15559585
Peterbilt Pacific Inc,"Sales/Serv .Trucks,Lunch Room at RCMP,Vending Machine",,19470,96 Ave,V4N4C2,6048881411,GTC,-122.6831298,49.17680692
White Rock Chrysler Dodge Jeep Ram,Automotive Dealership,7,3050,King George Blvd,V4P1A2,6045319156,SSTC,-122.8081022,49.05807362
Spice Villa Indidan Cuisine & Bar ,Neighbourhood Pub,229,7115,138 St,V3W7T9,7789080122,NTC,-122.8391811,49.1320397
Gescan Electrical Distributors,Whlse.  - Electrical,201,13060,80 Ave,V3W3B2,6045965515,NTC,-122.8602604,49.14800455
S C Tools Ltd,"Metal Cuting Tools, Machine Tools & Accessories",105,13463,78 Ave,V3W0A8,6045918818,NTC,-122.8492779,49.14465788
Gold Key Sales and Lease Ltd,Automotive Servicing,,19545,No 10 (Langley Bypass) Hwy,V3S6K1,6045347431,CTC,-122.68156,49.10945381
River Cable Ltd,Mfg. - Wire Rope,,11406,132A St,V3R7S2,6045804636,WTC,-122.8549411,49.2102349
Alpine Non-Ferrous Foundry of Canada Ltd,Mfg. - Aluminum & Bronze Castings,,8657,132 St,V3W4P1,6045968080,NTC,-122.8589176,49.16011821
Wheelhouse Beer & Wine Store,Liquor Licensee Retail Store,,12911,96 Ave,V3V7K6,6045885162,SCC,-122.8639829,49.17723513
Openroad Toyota Peace Arch,Automobile Dealer,,3174,King George Blvd,V4P1A2,6045312916,SSTC,-122.8108891,49.05996717
Neighbourhood Auto Glass & Upholstery Ltd,Auto Glass Install & Upholstery,202,5726,Landmark Way,V3S7H1,6045333398,CTC,-122.683812,49.10673106
Boston Pizza Guildford,Restaurant,,15125,100 Ave,V3R9P4,6045813600,GTC,-122.803407,49.18440821
Guildford Pet Foods,Retail Pet Food & Supplies,,15585,104 Ave,V3R1N9,6045884115,GTC,-122.7902142,49.19174689
Phaser Fire Protection,Contractor - Sprinkler,2,19080,96 Ave,V4N3R3,6048880318,GTC,-122.6944152,49.1768378
Parkinson's Heating Ltd,"Heating Cont.,Contractor - Plumbing/Heating ",,7566,134A St,V3W7J1,6045998444,NTC,-122.8499882,49.14042166
East West Fabrics Inc,Retail Merchant - Clothing,106,7028,120 St,V3W3M8,6045908861,NTC,-122.8900449,49.13087217
Precision Metals Ltd,Manufacturer - Roofing Products,,8075,132 St,V3W4N5,6045946001,NTC,-122.855716,49.14956207
The Fin Liquor Store,Cold Beer & Wine Store,229,7115,138 St,V3W7T9,6045960005,NTC,-122.8391811,49.1320397
Longley Electric Co Ltd,"Mfg. - Sheet Metal, Industrial Fans & Heaters",,7911,128 St,V3W4E7,6045916426,NTC,-122.8682328,49.14659995
Langley Chrysler Jeep,"Sales, Serv. & Leasing Auto",,19418,Langley Bypass,V3S7R2,6045345355,CTC,-122.6851814,49.10684254
Wolfe's Langley Mazda,"Sales, Serv. & Leasing Auto",,19360,Langley Bypass,V3S7R2,6045340181,CTC,-122.6864757,49.10613486
Ron-Sons Torch Repairs Sales Ltd,Whlse. Welding Supplies & Welding Repairs,1,9677,192 St,V4N4C7,6048884481,GTC,-122.6906507,49.17831074
Magicuts  5478,Beauty Salon,190,7488,King George Hwy,V3W0H9,6045995868,NTC,-122.8452552,49.13853724
New Image Millwork Ltd,Mfg. - Cabinets,105,13375,76 Ave,V3W6J3,6045961999,NTC,-122.8519335,49.1410544
Belfor Canada Inc,General Construction Contractor,D,7677,132 St,V3W4M8,6045999980,NTC,-122.8570467,49.14292372
Amos Ferguson Manor,Seniors Housing Apartment Rentals,101,8243,152 St,V3S3M6,6045901522,FTC,-122.8016299,49.15263108
Oto Hearing Products Ltd,"Mfg. - Hearing Aid, Ear Molds, Ear Defenders,Wholesale,Recreational Facility,Warehouse",214,12837,76 Ave,V3W2V3,6045901211,NTC,-122.8666709,49.141185
Refillink,Importer & Whlse. Home Accessories,113,12827,76 Ave,V3W2V3,6045941123,NTC,-122.867155,49.14117557
