dROLLNMBR,BUSINESSNAME,MUNICIPAL ADDRESS,MUNICIPAL ADDRESS2,MUNICIPAL ADDRESS3,BUSINESSTYPE,PHONE,EMAILADDRESS
563000700,507232 NWT Ltd O/A My World Children's Entertainme ,           ,349,OLD AIRPORT RD           ,Sporting & Leisure             ,7.79E+13,zhonghuifang1981@gmail.com                                                                                                                                                                               
90001400,507250 NWT Inc                                     ,           ,5407,46 ST                    ,Consultants                    ,8.67E+13,cameronbuddo@hotmail.com                                                                                                                                                                                 
41001900,507275 NWT Ltd O/A YK Aurora                       ,           ,5113,54 ST                    ,Bed & Breakfast                ,7.79E+13,shxj99@gmail.com                                                                                                                                                                                         
563000700,507279 NWT Ltd O/A Winmar Yellowknife              ,           ,349,OLD AIRPORT RD           ,Contractors                    ,8.01E+13,bryan@winmar-yk.com                                                                                                                                                                                      
5001100,507299 NWT Ltd                                     ,           ,4,LESSARD DR               ,Toursim Services               ,8.67E+13,richdogca@yahoo.ca                                                                                                                                                                                       
               ,507307 NWT Ltd O/A Nancy's Place                   ,           ,           ,                         ,Concessions/Takouts            ,8.68E+13,danarey2009@live.com                                                                                                                                                                                     
531004700,507315 NWT Ltd O/A Sherp North                     ,           ,101,ENTERPRISE DR            ,Sporting & Leisure             ,8.67E+13,finance@auroravillage.com                                                                                                                                                                                
22000701,507333 NWT Ltd O/A Yellowknife Loft                ,           ,4802,50 AVE                   ,Gen. Mixed Retail/ Dept. Store ,8.68E+13,huangripei@gmail.com                                                                                                                                                                                     
67002100,507336 NWT Corp O/A Juniper Health                 ,           ,4907,47 ST                    ,Natropaths                     ,8.67E+13,info@juniperhealthclinic.com                                                                                                                                                                             
30003301,507401 NWT Ltd                                     ,           ,5022,49 ST                    ,Apparel                        ,7.79E+13,lchen@norgateway.com                                                                                                                                                                                     
531003000,507403 NWT LTD O/A Office Pro-North                ,           ,162,KAM LAKE RD              ,Furniture or Appliances        ,0,cynthia@ykbestmovers.com                                                                                                                                                                                 
90002000,507481 NWT Ltd O/A Archibald Robb Consulting       ,           ,5401,45 ST                    ,Consultants                    ,8.67E+13,archibaldconsulting@northwestel.net                                                                                                                                                                      
162000900,507493 NWT Ltd O/A Your  Independent Grocer        ,           ,250,OLD AIRPORT RD           ,Grocery                        ,8.68E+13,mon01873@loblaw.ca                                                                                                                                                                                       
35002001,507515 NWT Ltd                                     ,           ,5109,48 ST                    ,Contractors                    ,7.80E+13,brenda@nunalogistics.com                                                                                                                                                                                 
906005100,507544 N.W.T. Corp                                 ,           ,106,DICKENS ST               ,Contractors                    ,8.67E+13,jenniferburry@live.com                                                                                                                                                                                   
25002500,5193 NWT Ltd (For Women Only)                      ,106,5102,50 AVE                   ,Apparel                        ,8.68E+13,forwomenonly@theedge.ca                                                                                                                                                                                  
21002400,5208 NWT Ltd                                       ,           ,4901,48 ST                    ,Real Estate                    ,8.68E+13,hkobassy@hotmail.com                                                                                                                                                                                     
162001100,5212 NWT Ltd  O/A Quiznos                          ,106,314,OLD AIRPORT RD           ,Restaurant/Cafe (No Liquor)    ,8.68E+13,ykquiznos@gmail.com                                                                                                                                                                                      
32001200,5511 NWT Ltd O/A Yellowknife True Value Hardware   ,           ,5024,51 ST                    ,Gen. Mixed Retail/ Dept. Store ,8.68E+13,yktruevalue@theedge.ca                                                                                                                                                                                   
539000500,5610 NWT Ltd. o/a Elite Commercial Flooring        ,           ,114,DEH CHO BLVD             ,Home & Garden                  ,8.68E+13,elite@theedge.ca                                                                                                                                                                                         
35001800,5752 NWT Ltd. o/a Diamond Financial Services       ,           ,5115,48 ST                    ,Accountants                    ,8.68E+13,leonorekwong@outlook.com                                                                                                                                                                                 
539000700,5778 NWT Ltd. o/a Tirecraft Yellowknife            ,           ,104,DRYBONES DR              ,Automotive                     ,8.68E+13,carine@arcticfarmer.com                                                                                                                                                                                  
80000101,5829 N.W.T. Ltd. o/a Arnica Inn                    ,           ,4115,50 AVE                   ,Hotels/Motels                  ,8.68E+13,arnicainn@ssimicro.com                                                                                                                                                                                   
               ,5904 NWT Ltd. o/a Blackstone Homes                 ,           ,           ,                         ,Building                       ,                     ,office@blackstonehomes.net                                                                                                                                                                               
77000100,5950 N.W.T. Limited o/a WB Water Services          ,           ,4007,SCHOOL DRAW AVE          ,Delivery Services              ,8.68E+13,wbwater@outlook.com                                                                                                                                                                                      
561000400,6014 N.W.T. Ltd. o/a Crooked Whisker Pet Supplies  ,4,100,BORDEN DR                ,Pet Care Services              ,8.68E+13,sales@crookedwhisker.com                                                                                                                                                                                 
907002200,6042 NWT Ltd o/a DJ's Towing                       ,           ,127,Eagle Drive              ,Automotive & Autobody          ,8.68E+13,djstowingyk@gmail.com                                                                                                                                                                                    
87004200,6067 N.W.T. Ltd. o/a PanArctic Consulting          ,           ,5524,44 ST                    ,Financial Services             ,8.67E+13,kim@panarctic.ca                                                                                                                                                                                         
22000701,6148 NWT Ltd O/A Great Slave Gifts                 ,           ,4802,50 AVE                   ,Home & Garden                  ,8.68E+13,greatslavegifts@gmail.com                                                                                                                                                                                
22000701,6148 NWT Ltd. o/a Flowers North                    ,           ,4802,50 AVE                   ,Home & Garden                  ,8.68E+13,stacie@flowersnorth.com                                                                                                                                                                                  
4001300,6165 NWT LTD                                       ,           ,3528,MCDONALD DR              ,Property Management & Services ,8.68E+13,constantina@guyarchitects.com                                                                                                                                                                            
561009000,62 Degrees North Inc.                              ,           ,134,WILKINSON CRES           ,Safety & Medical               ,8.67E+13,info@62degreesmedical.com                                                                                                                                                                                
               ,6215 N.W.T. LTD.                                   ,B          ,24,BURWASH DR               ,Bookkeepers                    ,0,glennis@theedge.ca                                                                                                                                                                                       
40002200,6220 NWT LTD.                                      ,           ,5107,53 ST                    ,Holding Companies              ,8.68E+13,sherifvc@theedge.ca                                                                                                                                                                                      
32001200,6239 NWT Ltd. O/A Signed                           ,           ,5024,51 ST                    ,Communication Services         ,8.68E+13,janet@signedyk.com                                                                                                                                                                                       
553002500,6324 N.W.T. Ltd.                                   ,           ,234,UTSINGI DR               ,Handyman                       ,8.67E+13,                                                                                                                                                                                                         
39000100,6357 N.W.T. Ltd.                                   ,           ,5102,51 ST                    ,Rental & Storage Services      ,8.68E+13,                                                                                                                                                                                                         
38002600,6357 N.W.T. Ltd.                                   ,           ,5103,51 ST                    ,Rental & Storage Services      ,8.68E+13,                                                                                                                                                                                                         
555005500,6368 NWT LTD O/A S& R Services                     ,           ,28,STEVENS CRES             ,Handyman                       ,8.67E+13,ksboudreau@hotmail.com                                                                                                                                                                                   
975000301,6408 NWT Ltd O/A Yellowknife Motors                ,           ,360,OLD AIRPORT RD           ,Automotive                     ,8.68E+13,admin@ykmotors.com                                                                                                                                                                                       
906005000,8199400 Canada Inc. (dba Summit Air)               ,           ,100,DICKENS ST               ,Aircraft Leasing & Charter     ,8.68E+13,ap@flysummitair.com                                                                                                                                                                                      
               ,8566798 Canada Corp O/A Williams Brothers IT       ,           ,           ,                         ,Communication Services         ,5.88E+13,terry.williams@8566798.ca                                                                                                                                                                                
563000900,861958 NWT Ltd (Petersen&Auger)                    ,           ,353,OLD AIRPORT RD           ,Speciality                     ,8.68E+13,                                                                                                                                                                                                         
307002500,867 FYT                                            ,11,100,LEMAY DR                 ,"Sports, Recreation & Fitness   ",8.67E+13,867fyt@gmail.com                                                                                                                                                                                         
37000901,902800 NWT Ltd o/a Media Ctre                      ,           ,5120,49 ST                    ,Rental & Storage Services      ,8.68E+13,902800nwt@gmail.com                                                                                                                                                                                      
21001300,912973 NWT Ltd                                     ,           ,4710,50 AVE                   ,Property Management & Services ,8.68E+13,                                                                                                                                                                                                         
561000400,913007 NWT Lt O/A Liquor Shop                      ,           ,100,BORDEN DR                ,Speciality                     ,8.68E+13,edward@yellowknifeliquorstore.com                                                                                                                                                                        
561000400,913007 NWT Ltd                                     ,           ,100,BORDEN DR                ,Controlled Substance Cannabis  ,8.68E+13,edward@yellowknifeliquorstore.com                                                                                                                                                                        
37000301,913007 NWT Ltd Yellowknife Liquor Stores           ,           ,5108,49 ST                    ,Speciality                     ,8.68E+13,edward@yellowknifeliquorstore.com                                                                                                                                                                        
530002200,943424 NWT Ltd (Dickson Truck)                     ,           ,16,MELVILLE DR              ,Trucking/Hauling               ,8.68E+13,rddickson@northwestel.net                                                                                                                                                                                
29001001,963900 NWT Ltd                                     ,           ,5020,48 ST                    ,Rental & Storage Services      ,7.80E+13,clement-lavoie@umcfinancial.ca                                                                                                                                                                           
512001700,974086 N.W.T. Ltd.                                 ,           ,327,OLD AIRPORT RD           ,Resource Industries & Services ,8.68E+13,al@aatechnical.ca                                                                                                                                                                                        
67001301,974200 NWT Ltd.                                    ,           ,4610,50 AVE                   ,Rental & Storage Services      ,8.68E+13,                                                                                                                                                                                                         
22000701,994425 NWT Ltd  (For Men Only)                     ,22,4802,50 AVE                   ,Apparel                        ,8.68E+13,formenonly@theedge.ca                                                                                                                                                                                    
1001022700,A Plus Cleaning                                    ,           ,227,FAIRCHILD CRES           ,Janitorial Services            ,8.68E+13,deebryan867@gmail.com                                                                                                                                                                                    
               ,A to Z Construction                                ,           ,           ,                         ,Carpentry                      ,8.67E+13,zacharyhamlyn@yahoo.com                                                                                                                                                                                  
545000900,A-List Organizing By Alyssa Mosher                 ,           ,544,RANGE LAKE RD            ,Consultants                    ,8674458634Cell       ,alyssa@a-listorganizing.com                                                                                                                                                                              
502003900,AAA Self Storage Ltd                               ,           ,121,CURRY DR                 ,Rental & Storage Services      ,8.67E+13,garth@garthwallbridge.com                                                                                                                                                                                
507001600,ABC - 123 Dayhome                                  ,           ,30,BROMLEY DR               ,Dayhomes - Regulated           ,8.67E+13,leonasdayhome@theedge.ca                                                                                                                                                                                 
512001700,ABC Auto Service & Detailing                       ,C          ,327,OLD AIRPORT RD           ,Automotive & Autobody          ,8.68E+13,mango777@live.ca                                                                                                                                                                                         
556012200,ABC Driver Training                                ,           ,1,BARTESKO CRT             ,Coaching & Training            ,8.67E+13,abcdrivertrainingyknt@gmail.com                                                                                                                                                                          
83002600,ABC Food Services Inc                              ,           ,4401,50 AVE                   ,Restaurant/Cafe (No Liquor)    ,7.79E+13,abcfoodyk@gmail.com                                                                                                                                                                                      
543002100,ABC's Dayhome                                      ,           ,82,HORTON CRES              ,Dayhomes - Regulated           ,8.67E+13,jpv@theedge.ca                                                                                                                                                                                           
21000801,AECOM Canada Ltd                                   ,           ,4916,47 ST                    ,Engineers                      ,8.68E+13,michel.lanteigne@aecom.com                                                                                                                                                                               
155000100,AGI Driving School                                 ,           ,5300,49 ST                    ,Coaching & Training            ,3.07E+13,agi@aginvestments.ca                                                                                                                                                                                     
133002104,AJ Accounting & Marketing Services                 ,           ,4,FORREST PARK             ,Accountants                    ,8.68E+13,ambarnaveed@hotmail.com                                                                                                                                                                                  
562006800,ALD Mechanical                                     ,           ,3,JESKE CRT                ,Mechanical Services            ,8.67E+13,allandigness@gmail.com                                                                                                                                                                                   
162001100,ALS CANADA LTD.                                    ,           ,314,OLD AIRPORT RD           ,Environmental Services         ,8.68E+13,oliver.gregg@ALSGlobal.com                                                                                                                                                                               
502003400,ALS Canada Ltd                                     ,A          ,3,CORONATION DR            ,Safety & Medical               ,8.68E+13,archie.robertson@alsglobal.com                                                                                                                                                                           
61002500,APEX Pest Control Managment                        ,           ,4909,MATONABEE ST             ,Animal Services                ,8.67E+13,apex.yk@gmail.com                                                                                                                                                                                        
563000700,ASLI Financial Inc                                 ,           ,349,OLD AIRPORT RD           ,Bookkeepers                    ,7.81E+13,accounts@aslifinancial.com                                                                                                                                                                               
516002800,Abacus 123 Family Day Home                         ,           ,2030,FINLAYSON DR             ,Dayhomes - Regulated           ,8.68E+13,carla.maxwell@live.com                                                                                                                                                                                   
1001054600,Abbe's Cleaning Services                           ,           ,546,CATALINA DR              ,Janitorial Services            ,8.68E+13,                                                                                                                                                                                                         
964050050,Aboriginal Diamonds Group Ltd                      ,           ,901,SIKYEA TILI              ,Holding Companies              ,8.68E+13,mark@detoncho.com                                                                                                                                                                                        
               ,Absurd Turd Media                                  ,           ,           ,                         ,Media Services                 ,6.47E+13,martin.j.rehak@gmail.com                                                                                                                                                                                 
905000200,Acasta Heliflight Inc                              ,           ,122,ARCHIBALD ST             ,Aircraft Leasing & Charter     ,8.68E+13,info@acastaheliflight.com                                                                                                                                                                                
308009500,Accompany Productions                              ,A          ,133,MOYLE DR                 ,Media Services                 ,8.67E+13,kirsten@accompanyproductions.com                                                                                                                                                                         
536000900,Ace Enterprises Ltd                                ,           ,151,ENTERPRISE DR            ,Contractors                    ,8678739165Home       ,aceent@ssimicro.com                                                                                                                                                                                      
123001400,Ackerman's Refrigeration Ltd.                      ,           ,5,ALBATROSS CRT            ,Refrigeration & Air Cond. Mech ,8.68E+13,ackermans@northwestel.net                                                                                                                                                                                
975000500,Action Auto Service                                ,A          ,354,OLD AIRPORT RD           ,Automotive & Autobody          ,8678733939work       ,actionautoyk@outlook.com                                                                                                                                                                                 
33002400,Adam Dental Clinic                                 ,           ,5209,50 AVE                   ,Dentist                        ,8.68E+13,info@adamdentalclinic.ca                                                                                                                                                                                 
30101500,Adanac Management Ltd                              ,406,5018,49 ST                    ,Bookkeepers                    ,8.68E+13,action@theedge.ca                                                                                                                                                                                        
533001100,Adco North Ltd                                     ,           ,10,NAHANNI DR               ,Electricians                   ,7.80E+13,adcoreception@adcopower.com                                                                                                                                                                              
83002600,Adkins Life Insurance & Financial Services         ,1002,5018,49 ST                    ,Financial Services             ,8.68E+13,bill.adkins@northwestel.net                                                                                                                                                                              
905000200,Adlair Aviation (1983) Ltd                         ,           ,122,ARCHIBALD ST             ,Aircraft Leasing & Charter     ,0,yellowknife@adlair.ca                                                                                                                                                                                    
508005200,Adnorth Business Services                          ,           ,508,KNUTSEN CRT              ,Bookkeepers                    ,8.68E+13,adnorth@theedge.ca                                                                                                                                                                                       
