Company Name,Sectors,Website,Contact,Location,Description
Accurassay Laboratories ,"Analytical Services, Data Collection and Analysis",www.accurassay.com ,"George Duncan, Dr.<br />gduncan@accurassay.com<br />705 567-3361",Kirkland Lake,"Commercial environmental laboratory accredited and licensed for certain tests. Performs routine analysis of waters, effluents, soils, air for environmental contaminants."
Ace Manufacturing Inc.,Water and Wastewater Management,www.delpark-filters.com ,"Mike Butler, President<br />mike@delpark-filters.com<br />905 270-1863",Mississauga,"Manufacturers of Filtration equipment, gravity filters, weir systems, vacuum systems and clay flocculation systems."
ACG Technology Ltd. ,Air Pollution Prevention and Control;Equipment;Waste Management;Water and Waste Management,www.acgtechnology.com ,"Gregory Jackson, President<br />greg@acgtechnology.com<br />905 856-1414",Woodbridge,"Manufacturing, distribution and sales of municipal and industrial water, wastewater and stormwater treatment equipment and systems and odour control systems. "
ACI Instrumentation Limited,Equipment,www.aciltd.ca ,"Angelo Valente, President<br />valente@aciltd.ca<br />905 265-0063 ex 25",Woodbridge,Distributor of process control instrumentation
Activation Laboratories Ltd ,"Analytical Services, Data Collection and Analysis",www.actlabs.com ,"Dr. Eric Hoffman, President<br />hoffman@actlabs.com<br />905 648-9611 ex 123 ",Ancaster,"Complete range of analytical services for analyzing water, wastewater, soils, sediments and vegetation. Accredited to ISO 17025 for specific registered test by Standards Council of Canada.  Analyses available for all regulatory compliances."
Adhawk Communications Inc.,"Ecotourism;Consulting;Education, Training and Information",www.adhawk.ca ,"Cindy Milliken, Production Editor<br />milliken@adhawk.ca<br />613 723-8516",Ottawa,"Adhawk Communications creates and delivers social marketing campaigns and communications design in Canada and the United States - from concept to content to delivery in print, Web and e-media. "
Adomait Environmental Solutions Inc.,Air Pollution Prevention and Control,,"Martin Adomait, Mr.<br />adomait@execulink.com<br />519 576-4495",Kitchener,The company is involved in the testing and permitting of air emissions sources.
Advanced Environmental Corp.,"Air Pollution Prevention and Control;Consulting;Education, Training and Information;Remediation",www.advanced-enviro.com ,"Kevin Schmidt, Senior Occupational Hygienist<br />kevin.schmidt@advanced-enviro.com<br />519 652-6105",London,"Advanced Environmental Corp. specializes in hazardous materials management, occupational health and safety and environmental concerns. It is a service-oriented firm which can find safe, economical and practical solutions to environmental health and safety issues."
Advanced H.E.P.A. Technologies Inc.,Consulting,www.advancedhepa.com ,"Kevin Tinsley, Operations Manager<br />ktinsley@advancedhepa.com<br />905 602-0080",Mississauga,"Company tests H.E.P.A. filters, fume hoods, biological containment cabinets, clean benches, and cleanrooms. "
Adventus Remediation Technologies ,Remediation,www.adventusremediation.com ,"David Raymond, Sr. Project Manager<br />david.raymond@adventustech.com<br />905 273-5374 ex 224",Mississauga,"Adventus focuses on providing effective and economical technologies for remediation of soil, sediment, and water containing hard-to-treat contaminants."
AEL Environment,,www.aelenv.com,"John Van Egmond, Principal<br />jvanegmond@aeonegmond.com<br />800 267-4797 ex 225",Mississauga,Consulting Environmental Engineers for over 20 years.
Aercoustics Engineering Ltd. ,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Energy Efficiency and Renewable Energy;Consulting;Education, Training and Information;Environmental Management Systems;Environmental Design and Architecture;Research and Development",www.aercoustics.com ,"Vince Gambino, President<br />vgambino@aercoustics.com<br />416 249-3361 ex 224",Toronto,"Aercoustics Engineering Limited has dedicated itself to providing high quality consulting services in the science and engineering of acoustics, noise and vibration since its inception in 1971."
AET Group Inc. ,"Analytical Services, Data Collection and Analysis;Energy Efficiency and Renewable Energy; Contracting and Engineering;Consulting;Education, Training and Information;Environmental Management Systems;Environmental Design and Architecture;Research and Development;Remediation;Waste Management;Water and Wastewater Management",www.aet-group.com ,"Scott Frieburger, Principal/Senior Auditor<br />sfreiburger@aet-group.com<br />519 576-9723 ex 305 ",Kitchener,"AET Group is an environmental consulting company which provides a wide range of ecological, building science, environmental management and waste services. "
Aevitas Inc. ,Waste Management,www.aevitas.ca ,"Tom Maxwell, President<br />tom@aevitas.ca<br />519 740-3334 ex 23",Ayr,"A waste services company specializing fluorescent lamp recycling, mercury waste treatment, PCB waste treatment, hazardous waste disposal, industrial waste water disposal, transformer oil removal and recycling, and transformer maintenance services. "
Agat Laboratories ,"Analytical Services, Data Collection and Analysis",www.agatlabs.com ,"Marcus Maguire, General Manager<br />maguire@agatlabs.com<br />905 501-9998",Mississauga,"Environmental Chemistry Laboratory that specializes in air, water and soil testing falling under the Ontario Contaminated Site Guidelines, Ontario Drinking Water Standard, Regulation 558 and many other regulatory standards."
Agronovita Inc.,"Analytical Services, Data Collection and Analysis;Energy Efficiency and Renewable Energy;Contracting and Engineering;Consulting;Education, Training and Information;Research and Development;Services",www.agronovita.com ,"Patrick Girouard, President<br />patrick@agronovita.com<br />613 226-8117",Ottawa,"Consulting firm providing services in the areas of carbon management, bioenergy, biofuels and agribusiness. "
AiMS Environmental,Consulting;Environmental Management Systems;Remediation,www.aimsconsulting.com ,"Forry Fong, Project Manager<br />ffong@aimsconsulting.com<br />905 474-0058 ex 102 ",Markham ,"AiMS combines over thirty years of experience and expertise in the fields of geo-environmental, chemical and industrial engineering. "
Ainley Group,Consulting;Transportation;Waste Management;Water and Wastewater Management,www.ainleygroup.com ,"Norman Sandberg, Senior Environmental Technologist<br />sandberg@ainleygroup.com<br />705 445-3451 ex 124",Collingwood,"The Ainley Group is a Canadian owned multi-discipline consulting engineering and planning company with offices in Barrie, Belleville, Collingwood and Ottawa."
Airia Brands Inc.,Energy Efficiency and Renewable Energy,www.lifebreath.com ,"Michael Dailey, VP Sales and Marketing<br />mdailey@nutech-brands.com<br />519 457-1904",London,"Airia Brands Inc. is an ISO9001 registered company that manufactures residential, commercial and industrial air quality and energy recovery products."
Airzone One Ltd.,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis",www.airzoneone.com ,"Franco Di Giovanni, Senior Air Quality Modeller<br />fdi-giovanni@airzoneone.com<br />905 890-6957 ex 102",Mississauga,"Air Quality Consulting: Air Sampling, Monitoring and Analysis, Rapid-Response/On-Site Analysis, Occupational Health & Safety, Air Modelling, Emissions Reporting, Certificates of Approval (Air)."
Albarrie Canada ,,albarrie.com,"Vivian Chu, Marketing and development<br />vivian@albarrie.com<br />705 737-0551",Barrie,Nonwoven Needlefelts Technical Fabric Manufacturer 
Algonquin Clean Water Services Inc.,Water and Wastewater Management,www.cleanwaterservices.ca,"Doug Kyle, Owner/Operator<br />drkyle@interlinks.net<br />705 635-9816",Dwight,"Water treatment - commercial/residential, Iron, Sulfer, Manganese & Bacteria Removal Systems, Sales and Service MOE sampling - reg. 170/03 & 318 Muskoka, Haliburton, North Bay Areas"
Allan Clean Air Systems Limited ,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis",www.allancleanair.com ,"Joel Hutchinson, Manager<br />joel@allancleanair.com<br />519 453-8000 ",London,Industrial Air Pollution Control Solution Provider
ALS Laboratory Group - Environmental Div. (London),"Analytical Services, Data Collection and Analysis",www.alsenviro.com ,"Dan Van Bakel, Laboratory Manager<br />dan.vanbakel@alsenviro.com<br />519 652-6044",London,"ALS Environmental provides reliable analytical testing data that help consulting and engineering firms, industry, and governments around the world make informed decisions about their environmental projects."
Altech Environmental Consulting Ltd.,"Air Pollution Prevention and Control;Contracting and Engineering;Consulting;Education, Training and Information;Environmental Management Systems;Equipment;Remediation;Waste Management;Water and Wastewater Management",www.altech-group.com ,"Brian Bobbie, President<br />bbobbie@altech-group.com<br />416 467-5555 ex 245",Toronto,"We specialize in corporate environmental management, environmental assessments and engineering, contaminated site investigation and remediation, health & safety management, training, and industrial hygiene."
Pathogen Detection Systems Inc.,Equipment,www.pathogendetect.com ,"Peter Gallant, Vice President of Business Development and Regulatory Affairs<br />peter.gallant@pathogendetect.com<br /> 613-533-3321 Ext. 21",Kingston," PDS develops automated bacteriological testing systems for environmental, municipal, wastewater, recreational water, and industrial process water applications. Our fully-automated testing systems eliminate the need to transport samples to testing labs."
PCB Disposal Inc.,Waste Management,www.pcbdisposalinc.com ,"Eric Smith, President<br />esmith@pcbdisposalinc.com<br /> 905-428-6480",Ajax, Full service PCB management and destruction company including 'turnkey' PCB transformer replacement services.
PCE Sales and Engineering Inc.,Equipment,,"William O'Brien, Vice President<br />pceeng@accessv.com<br /> 416-299-4099",Toronto," We manufacture material handling equipment, bulk bag material handling equipment including storage silo and feeding systems, gravimetric and volumetric feeding systems and bulk bag unloading systems."
Peak Process Controls Inc.,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Energy Efficiency and Renewable Energy;Equipment;Waste Management;Water and Wastewater Management",www.peakprocess.com ,"Tom Medland, Sales<br />info@peakprocess.com<br /> 905-830-6835",Newmarket,"A world leader in the manufacture of process photometers for continuous quality control monitoring in liquids and gasses. Our goal is to provide our customers with knowledgeable and accurate information, high quality instrumentation and continued after sales support. "
Perry Johnson Registrars Inc.,Consulting,www.pjr.com,"1  Yonge Street, Suite 1801<br />Toronto, Ontario M5E 1W7",Toronto," Accredited by ANSI-RAB, RvA, JAB, UKAS, TGA, VDA, INMETRO and KBA, PJR provides third party audits for ISO 9000, ISO 9000:2000, ISO 14000, QS-9000, AS9100, VDA 6.1, TE Supplement andTL 9000."
Phoenix Environmental Technologies Inc.,Water and Wastewater Management,www.phoenixenvirotech.com ,"Mike Robertson, President and Founder<br />mrobertson@phoenixenvirotech.com<br /> 519-680-7939",London," PET manufactures and markets electrostatic water conditioning technologies and related services to prevent fouling of water distributing systems by scale, biofilm , iron, etc. The techologies also remove exisiting deposits from the water distribution systems."
Phoenix OHC Inc.,Air Pollution Prevention and Control,www.phoenix-ohc.ca ,"Tom Beardall, Vice President<br />tb@phoenix-ohc.ca<br /> 613-544-1945",Kingston," Provision of a global perspective and world class expertise in the anticipation, recognition, evaluation, communication and control of environmental factors that may affect human health, both in and out of the workplace. "
Pigmalion Environmental,Waste Management,www.pigmalion.ca,"Sandra Stokoe, Sales Representative<br />sandras@spill.ca<br /> 905-602-4349 Ext. 333",Mississauga,"We help your company acheive ISO 14001 goals for waste diversion. We are proud to provide a closed loop service ,recovered oils and coolants are shipped for refining and reuse, our pads are also recycled in the fiber reclycing industry."
Pilot Performance Resources Management Inc.,"Consulting;Education, Training and Information;Environmental Management Systems",,"Jayne Pilot, President<br />jpilot@pilotiso.com<br /> 905-792-3130",Brampton," Management Systems-International Standards ISO 14001(environment) ISO 9001(Quality)Auditing (ISO 19011). Training, Consulting, Auditing, Speaking Engagements, EHS Resources-Products."
Pinchin Ltd.,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Energy Efficiency and Renewable Energy;Contracting and Engineering;Consulting;Education, Training and Information;Environmental Management Systems;Environmental Design and Architecture;Remediation;Waste Management;Water and Wastewate Management",www.pinchin.com ,"Jose Barinque, CRM and Events Coordinator<br />info@pinchin.com<br /> 905-363-1295",Mississauga,"One of Canada's largest environmental, health and safety consulting firms, providing consulting services in a wide variety of environmental and occupational health and safety disciplines. "
Pine Environmental Services Inc. - Equipment Sales and Rentals,Equipment,www.pine-environmental.com ,"Dave Robbins, Business Relationship Manager<br />drobbins@pine-environmental.com<br /> 905-795-9700",Mississauga," We are dedicated to providing the latest instruments at competitive prices with the support on which you can rely. Speak to our expert staff if you any questions, need price quotes, or require technical service. We look forward to serving you! "
Planet Earth Recycling,Waste Management,www.planetearthrecycling.ca,"Marty Grinstein, President<br />mgrinstein@rogers.com<br /> 416-782-8546",Concord," Non hazardous recycling. Specialties include: organics, depackaging and compost production."
Planmac Inc.,Consulting,www.planmac.com,"Robert Maksymec, President<br />info@planmac.com<br /> 416-626-5300",Toronto," A civil engineering firm offering project initiation and planning studies, design and construction, and investigation services. Specialists in land development and buildings, transportation structures, environmental and water resources, and telecommunications. "
Plasco Energy Group Ltd.,Waste Management,www.plascoenergygroup.com ,"Lindsay Ames, Marketing Coordinator<br />lames@plascoenergygroup.com<br /> 613-591-9438 Ext. 337",Kanata, Plasma Technology Waste Disposal.
PMHubbard and Associates,Consulting,,"Pamela Hubbard, Principal<br />pmh@pmhubbard.ca<br /> 905-524-0852",Hamilton,"Specializes in environmental assessment and planning processes for large, complex and contentious projects as well as Class Environmental Assessments and watershed plans. The company also provides environmental assessment and consultation training."
Pollutech Environmental Limited,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Energy Efficiency and Renewable Energy;Contracting and Engineering;Consulting;Education, Training and Information;Environmental Management Systems;Research and Development;Remediation;Services;Waste Management;Water and Wastewater Management",www.pollutechgroup.com ,"Gregory Brown, President<br />gbrown@pollutechgroup.com<br /> 905-847-0065",Oakville,"Pollutech conducts environmental process consulting work associated with drinking water, wastewater, air emissions, compliance audits, environmental site assessments, greenhouse gas management,  and a range of other environmental areas."
Port of Entry Inc.,"Education, Training and Information",www.portofentry.com ,"Alejandra Rojo, President<br />arojo@portofentry.com<br /> 416-234-5057",Toronto,We provide online multimedia advertising and directory services for environmental companies interested in the Latin American and developing countries market.
Potter Environmental,Waste Management,www.potterenvironmental.com,info@potterpumping.com<br /> 1-807-939-2994,Oliver-Paipoonge, Chemical Waste Disposal
Pottinger Gaherty Environmental Consultants Ltd.,Air Pollution Prevention and Control;Energy Efficiency and Renewable Energy;Consulting;Environmental Management Systems;Environmental Design and Architecture;Remediation;Services;Water and Wastewater Management,www.pggroup.com ,"John Dewilde, Senior Environmental Engineer<br />jdewilde@pggroup.com<br /> 905-579-4908",Oshawa," Pottinger Gaherty offers a wide range of services such as site assessments, risk assessments, remediation planning and coordination, environmental impact assessments, EMS, permitting, approvals and GIS. "
Premier Environmental Services Inc.,Consulting;Remediation,www.premiercorp.ca ,"David Wade, President",Cambridge," Consulting Engineering firm who undertakes Phase I and II Environmental Site Assessments, remediation planning and management, expert witness testimony, site specific risk assessments, and environmental risk / insurance management"
Premier Focus Translations,Services,www.premierfocustranslations.com,"Gunther Kramer, President<br />info@premierfocus.com<br /> 519-883-8415",Waterloo,"We are a professional translation agency that offers the business quality and timely delivery that you require.Premier Focus helps you succeed, by effectively adapting your environmental products and services to meet the demands of the global marketplace."
Premier Recycling,Waste Management,www.premierrecycling.ca/ ,"Morris Lindenbaum, Chief Executive Officer<br />premier@persona.ca<br /> 705-268-7415",Timmins,Full service scrap metal recyclers operating throughout Ontario. Premier has a full range of on-site and mobile scrap processing equipment. The company buys and sells ferrous and non-ferrous metals.
Prevention and Regulatory Solutions Ltd.,Air Pollution Prevention and Control;Energy Efficiency and Renewable Energy;Environmental Management Systems;Environmental Design and Architecture;Waste Management;Water and Wastewater Management,www.pandrs.com ,"John McGeough, President<br />jmcgeough@pandrs.com<br /> 613-348-3403",Maitland,"Provides professional contract and consulting services in regulatory compliance and prevention for health, safety, environmental and sustainability. "
PriceWaterhouseCoopers LLP,Environmental Management Systems,ww.pwc.com/ca ,"Michael Harris, Partner<br /> 416-941-8256",Toronto,"We help organizations define their strategic vision for a sustainable future, improve their operational processes and sustainability management systems, and report on their sustainability performance. "
Procyon Consulting Inc.,Consulting,www.procyon.ca ,"George Chamberlin, Owner, Principal Consultant<br />gchamberlin@procyon.ca<br /> 705-739-9738",Barrie," Procyon Consulting (pr?´-s?-än), ISO 9001.2008 conforming, provides engineering services, emission/discharge control systems design, prepare C of A applications and provide advice, training and guidance towards environmental compliance."
Prominent Fluid Controls Ltd.,Equipment,www.prominent.ca ,"Todd Reeves, Ontario Sales Manager<br />sales@prominent.ca<br /> 519-836-5692 Ext. 242",Guelph,"ProMinent equipment is used in applications for municipal water and wastewater treatment, industrial water treatment, the pulp and paper industry, food and beverage processing, chemical and petrochemical applications, and other applications."
Protectolite Inc.,Water and Wastewater Management,www.protectolite.com ,"Karl Szasz, President<br />kszasz@protectolite.com<br /> 416-444-4484",Toronto,"Provides FRP Fiberglass Composite Parts for use in architecture, electrical, electronic, transportation, recreational, military and anti-corrosion and waste water applications. FRP products are light-weight, long lasting and have a low environmental impact. "
Purifics ES Inc.,Contracting and Engineering;Equipment;Remediation;Water and Wastewater Management,www.Purifics.com ,"Brian Butters, President<br />info@purifics.com<br /> 519-473-5788 Ext. 222",London,"A knowledge-based company that develops, manufactures, and supplies automated purification systems for air, water, and soil that provide significant environmental and economic benefit. The core of our business lies in patented photocatalytic chemical destruction processes. "
Pyramids Engineering Inc.,Contracting and Engineering,www.pyramidsengineering.com ,"Nader Tadros, Manager of Engineering<br />pyramids@ica.net<br /> 905-764-0117",Richmond Hill, Consulting Engineering.
Quatrex Environmental Inc.,Equipment,www.quatrex.ca ,"Graeme Cameron, Sales<br />camerong@quatrex.ca<br /> 905-848-1039",Mississauga," Manufacturing and wholesale supply of Spill Control products, Secondary Containment, Flammable / Hazardous Materials Storage buildings, Solidification Medias and Recycling equipment."
Quatrosense Environmental Ltd. (QEL) ,Energy Efficiency and Renewable Energy,www.qelsafety.com,"Simon Warland, Customer Service Manager<br />qel@dedesco.com<br /> 613-838-4005 Ext. 315",Richmond,"Manufactures fixed gas detection systems, and combustion analysers - example applications: CO detection in parking garages and arenas; H2S, CH4, and O2 detection in sewage treatment plants. "
Quinte Waste Solutions,Waste Management,www.quinterecycling.org ,"Clow Rick, General Manager<br />rick@quinterecycling.org<br /> 613-394-6266",City of Quinte West," Is a waste diversion services agency providing: waste diversion consultation for: blue box style collection, processing and marketing; hazardous waste management and organics management."
R and R Laboratories Ltd.,"Analytical Services, Data Collection and Analysis",www.randrlaboratories.com ,"Ramesh Makhija, President<br />rameshmakhija@hotmail.com<br /> 705-748-1506",Peterborough," R and R Laboratories offers consulting and analytical laboratory services. Testing mediums include industrial sludge, soil, surface and waste waters. We are not regulated by drinking water regulations"
R.V. Anderson Associates Ltd.,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Energy Efficiency and Renewable Energy;Contracting and Engineering;Consulting;Environmental Management Systems;Environmental Design and Architecture;Remediation;Water and Wastewater Management",www.rvanderson.com ,"Ken Morrison, President<br />kmorrison@rvanderson.com<br /> 416-497-8600",Toronto,"Comprised of environmental and infrastructure specialists for water, wastewater, transportation, and urban development, the company provides professional engineering, operations, and management services. "
Ram Lining Systems Inc.,Environmental Design and Architecture,www.ramlining.com,"Frank Kunc, President<br />ram.lining@hurontel.on.ca<br /> 519-524-1904",Central Huron," Supply and install liners for environmental protection including landfills, sewage lagoons, golf course ponds, secondary containment for hazardous chemical, canals, methane barriers, mining industry, agricultural industry (silo liners) and more."
RDC Group,Consulting,rdcgroup.ca,"Jack McGinnis, President<br />jack@rdc-group.com<br /> 905-427-0009",Brougham," Design services, education, and operations in the following areas: resource management, recycling, energy conservation, environmental protection. "
RDI Chemical Corporation,Water and Wastewater Management,,"James Damianoff, PAG, CCEP, President<br />rdi@kemmfg.com<br /> 905-456-9444 Ext. 225",Brampton," Integrated specialty chemical manufacturer and service company focusing on agriculture, agri-food, industrial, institutional, water ansd waste water chemistries, for production, processing, remediation and compliance."
REA North America,Equipment;Waste Management;Water and Wastewater Management,www.rea-na.com ,"Fisher Lowell, President<br />lfisher@rea-na.com<br /> 905-304-3066 Ext. 27",Ancaster," Distributor of Saturno vapour technology equipment which uses pure water that is superheated under pressure to 160 deg C and discharged at 145 psi as a dry (6% moisture) steam to: clean and sanitize surfaces, kill moulds, mildews and bacteria. "
"Read, Voorhees and Associates Limited",Contracting and Engineering;Consulting,readvoorhees.tripod.com,"Bryan Haigh, Associate<br />readvoorhees@rva.ca<br /> 416-445-4360 Ext. 2",North York,"Provides professional services in the fields of transportation planning, traffic engineering, parking, transportation energy management, transit planning and operations, feasibility and functional planning, and design. RVA was established in 1964. "
Recanex Corporation,Consulting;Waste Management ,www.recanex.com ,"Marianne Scott, Marketing<br />info@recanex.com<br /> 613-967-1833",Belleville," One Stop Resource Management Services include Waste Management-recycling and non-hazardous waste Waste Audits Marketing of waste such as cardboard, plastics, metals, E-Waste "
Recycling Resource Service,"Education, Training and Information",,"Larraine Roulston, President<br />roulstonlp@sympatico.ca<br /> 705-778-1922",Havelock," Freelance environmental writer and author of two children's adventure stories entitled, 'Pee Wee and the Magical Compost Heap' and 'Pee Wee's Great Adventure: a guide to Vermicomposting' - both are designed as a teacher's guide"
Regensis,Remediation,www.regenesis.com ,"Leonard Chan, Manager - Eastern Canada<br />lchan@regenesis.com<br /> 416-595-9841",Toronto,"Bioremediation products for the natural attenuation of groundwater contaminants such as BTEX, TPH, chlorinated solvents, and metals. These products include the widely used products Oxygen Release Compound (ORC) and Hydrogen Release Compound (HRC)."
REIC Ltd.,Waste Management,,"Alfred Von Mirbach, Senior Consultant<br />reic@ecoperth.on.ca<br /> 613-267-1128",Perth, Environmental Consulting firm specializing in waste minimization and greenhouse gas reductions.
Resource Futures International,"Air Pollution Prevention and Control;Analytical Services, Data Collection and Analysis;Consulting;Education, Training and Information",www.rfigroup.com ,"Thomas Conway, President<br />tconway@rfigroup.com <br /> 613-235-4343",Ottawa,"Specializing in policy analysis and capacity building for environment and sustainable development. Main business areas are policy development and management options, multilateral environmental agreements and institutional strengthening. "
Restoration Environmental Contractors,Consulting;Equipment;Remediation,www.environmentalhazards.com ,"Don Bremner, Vice President, Chief Executive Officer<br />rec@restorationenvironmental.com<br /> 905-888-0066",Gormley," Specialized environmental abatement service contractor including toxic mould, asbestos, demolition, PCBs, infectious disease control and hazardous materials."
Riskcheck Environmental Ltd.,Consulting,www.riskcheckinc.com ,"David Mably, Senior Engineer/Project Manager<br />dmably@riskcheckinc.com<br /> 416-640-2444",Toronto,"A full service environmental consulting firm experienced in Phase I, II and III ESAs, Property Condition Assessments, Hazardous Waste Management, Site Remediation, Contaminant Geology and Environmental Auditing."
Riversides,"Consulting;Education, Training and Information;Environmental Management Systems;Environmental Design and Architecture;Equipment;Research and Development;Water and Wastewater Management",www.riversides.org ,"Kevin Mercer, Executive Director<br />info@riversides.org<br /> 416-868-1983",Toronto,"A specialist nonprofit organization focussed on source protection of urban watersheds from nonpoint source pollution through the application of social marketing, individual lot level rain harvesting and low impact development design consulting."
Camplong and Associates Inc.,"Consulting;Education, Training and Information;Environmental Management Systems",,"Craig Camplong, Partner<br />camplong@interlog.com<br /> 905-939-8684",Schomberg," Facility compliance assessments and management systems development, environmental compliance approval applications, emergency preparedness and response, occupational health and safety assessment"
Robert J. Redhead Limited,Consulting,www.redheadlimited.com ,"Robert Redhead, President<br />rjr@redheadlimited.com<br /> 905-631-7573",Burlington, Government Affairs Consultancy.
Robinson Consultants Inc.,Energy Efficiency and Renewable Energy;Contracting and Engineering;Consulting;Remediation;Waste Management;Water and Wastewater Management,www.rcii.com,"Andrew Buzza, Project Manager<br />abuzza@rcii.com<br /> 613-592-6060 Ext. 140",, Civil and Environmental Engineering.
Robustion Technologies Inc.,"Analytical Services, Data Collection and Analysis;Energy Efficiency and Renewable Energy;Consulting;Research and Development;Waste Management",www.robustion.ca,"Karen Bennett, Marketing Coordinator<br />karen.bennett@robustion.ca<br /> 613-889-2274",, An innovator in the field of transforming agri-food by-products into environmentally friendly consumer goods. Robustion uses spent coffee grounds to create solid fuel products. Java-Log is the company's first application. 
Rocky Mountain Environmental Ltd.,Water and Wastewater Management,www.spilldepot.com ,"Ron MacMillan, President<br />sales@spilldepot.com<br /> 1-888-677-4556",Thorold," Specializing in Hazmat storage, handling, and response products. Full line supplier of personal protection and safety equipment. Training in spill response, TDG, WHMIS, and cofined space/fall arrest."
Rondar Inc.,"Analytical Services, Data Collection and Analysis;Contracting and Engineering;Consulting;Waste Management",www.rondar.com ,"Darvin Puhl, President<br />dpuhl@rondar.com<br /> 905-561-2808",Hamilton," PCB management services (e.g. disposal of contaminated transformers, storage site decommissioning, thermographic scanning)"
Rothsay,Waste Management,www.rothsay.ca ,"Debruyn Kevin, Ontario Raw Material Manager<br />debruyke@rothsay.ca<br /> 905-628-2258 Ext. 252",Dundas," Rothsay provides a rendering service for animal by-products and restaurant grease to convert them into protein meals, tallow and yellow grease products. "
