OBJECTID,ID,Company,SectorDescription,Address,City,Prov,PC,Telephone,Extension,Telephone2,Fax,Email,WebSite,FullTime,PartTime,Seasonal,Estab,LanguageEN,LanguageFr,LanguageOTHER
28,5685,CAA Niagara Inc.,"Accommodation,  Travel and Tourism",800 Niagara Street,Welland,Ontario,L3C5Z4,(905) 735-1100,,,(905) 735-9098,trav3@caaniagara.ca,www.caaniagara.ca,6,,,1984,0,0,
29,5686,Avondale Stores Ltd.,Convenience and Variety Stores,256 Fitch Street,Welland,Ontario,L3C 4W5,(905) 732-5221,,,(905) 732-5221,,,5,,,1973,0,0,
30,5687,Avondale Stores Ltd.,Convenience and Variety Stores,95 Lincoln Street,Welland,Ontario,L3C 7C3,(905) 732-9616,,,(905) 732-9616,,,1,5,,1990,0,0,
31,5688,Cleo/Ricki's,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 788-9271,,,(905) 788-0988,,www.comark.ca,2,5,,1994,0,0,
32,5689,Avenue Locksmith,Security,289 Lincoln Street,Welland,Ontario,L3B4N5,(905) 734-3704,,,(905) 734-3704,avelock2@yahoo.ca,,1,1,,1986,-1,0,
33,5690,China Court Restaurant And Tavern,"Catering, Restaurants and Food Services",182 King Street,Welland,Ontario,L3B 3J5,(905) 732-3838,,,,,,3,,,1987,0,0,
34,5691,King Street Car Wash,Automotive,670 King Street,Welland,Ontario,L3B 3L1,(905) 732-6722,,,(289) 820-5758,KINGSTREETCARWASH@hotmail.com,,3,,1,1961,0,0,
35,5692,Niagara Health System - Welland Site,Health and Social Services,65 Third Street,Welland,Ontario,L3B 4W6,(905) 378-4647,,,(905) 732-2628,,www.niagarahealth.on.ca,900,,,1950,-1,0,
36,5693,F.E. Coyne Insurance Brokers Ltd.,Insurance and Insurance Adjusters,164 Division Street,Welland,Ontario,L3B 5R5,(905) 735-0970,,,(905) 732-5992,albert@fecoyne.com,www.fecoyne.com,14,,,1910,-1,0,
37,5694,AAPEX Driving Academy,Education Services,32 Cross Street,Welland,Ontario,L3B3G1,(905) 788-2327,,,(905) 788-2527,,www.aapexdriving.com,8,,,1988,-1,0,
38,5695,Canadian Tire Financial Services Ltd.,Call Centres,980/1000 East Main Street,Welland,Ontario,L3B3Y9,(800) 464-9166,39349,,,,www.ctfs.com,1458,,,1961,0,0,
39,5696,Coles Book Store,Retail,800 Niagara Street North,Welland,Ontario,L3C 1M3,(905) 735-6146,,,,,www.chapters.indigo.ca,2,7,,1980,0,0,
40,5697,Dulux Paints,Interior and Exterior Design,583 Niagara Street North,Welland,Ontario,L3C 1L9,(905) 735-0299,,,(905) 735-8523,,www.dulux.ca,4,,,1975,0,0,
41,5698,Subway,"Catering, Restaurants and Food Services",572 Niagara Street,Welland,Ontario,L3C 6T8,(905) 714-0677,,(905) 714-0677,,,,4,6,2,2004,0,0,
42,5699,Golden Variety,Convenience and Variety Stores,790 Clare Avenue,Welland,Ontario,L3C 3C1,,,,,goldenjung@gmail.com,,2,1,,1987,0,0,
43,5700,Vision Clinic - largest optical in Niagara,Retail,112 Division Street,Welland,Ontario,L3B 3Z9,(905) 734-8800,,,(905) 734-8874,headoffice@thevisionclinic.ca,www.thevisionclinic.ca,4,3,,1985,-1,0,
44,5701,Second Choice Appliances,Retail,657 King Street,Welland,Ontario,L3B 3L5,(905) 735-2001,,,,,,3,,,1988,0,0,
45,5702,Hair In Action,Personal and Household Services,202 Thorold Road,Welland,Ontario,L3C 3V7,(905) 734-9700,,,,,,2,,,1993,0,0,
46,5703,"Simunic, Joseph, D.C.",Health and Social Services,200 Fitch Street,Welland,Ontario,L3C 4V9,(905) 735-7100,,,(905) 735-8480,,,2,,,1971,0,0,
47,5704,Tim Horton's,"Catering, Restaurants and Food Services",360 Lincoln Street,Welland,Ontario,L3B 4N4,(905) 788-9445,,,(905) 788-9445,,,30,,,1995,0,0,
48,5705,Suzy Shier,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 735-3923,,,,,,,,,1975,0,0,
49,5706,Donald Johnston Law Office,Legal Services,131 Division Street,Welland,Ontario,L3B3Z8,(905) 734-4517,130,(905) 734-4518,(905) 734-3987,johnstonlaw@cogeco.net,www.donaldjohnstonlaw.com,2,,,1962,0,0,
50,5707,Things Engraved,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 735-1871,,(800) 363-5053,,customerservice@thingsengraved.ca,www.thingsengraved.ca,1,3,,1975,0,0,
51,5708,Scotia Bank,Financial Institutions,354 Lincoln Street,Welland,Ontario,L3B 4N4,(905) 732-4415,,,(905) 732-0747,,www.scotiabank.com,7,5,,1962,0,0,
52,5709,Bosch Car Services,Automotive,49 Southworth Street,Welland,Ontario,L3B 1Y3,(905) 735-3713,,,(905) 735-3718,deanferri@yahoo.com,www.boschcarservice.com,5,1,,2002,0,0,
53,5710,Tim Horton's,"Catering, Restaurants and Food Services",90 Lincoln Street,Welland,Ontario,L3C 5J7,(905) 735-7091,,,(905) 735-9581,,,30,,,1990,0,0,
54,5711,Sunny Mart,Convenience and Variety Stores,481 Thorold Road,Welland,Ontario,L3C 3W7,(289) 820-7761,,,(289) 820-7761,chen740224@sina.cn,,2,1,,2001,0,0,
55,5712,Trappers Sports Bar,"Catering, Restaurants and Food Services",279 King Street,Welland,Ontario,L3B 3J9,(905) 734-4221,,,,,,5,,,1996,0,0,
56,5713,Superior Laundry Services,Personal and Household Services,29 Vaughn Road,Welland,Ontario,L3B 5Z7,(905) 732-4222,,,(905) 732-5757,john@superiorlaundry.ca,www.superiorlaundry.ca,40,,,1994,0,0,
57,5714,Welland Rona Building Centre,Retail,920 Niagara Street,Welland,Ontario,L3C 1M3,(905) 732-2444,,,(905) 732-7510,,,7,3,1,2009,-1,0,
58,5715,Donut Diner,"Catering, Restaurants and Food Services",947 Niagara Street,Welland,Ontario,L3C 1M5,(905) 734-7751,,(905) 650-9263,(905) 734-7751,,,3,5,,1995,0,0,
59,5716,Dun-Rite Aluminum and Vinyl Limited,Retail,30 Darte Drive,Welland,Ontario,L3B 5Y7,(905) 734-4180,,,(905) 734-4925,,www.dun-rite.ca,14,2,,1975,-1,-1,
60,5717,Canadian Tire Gas Bar,Automotive,777 Niagara Street,Welland,Ontario,L3C 1M4,(905) 734-8081,,,(905) 734-8081,,,2,2,,1975,0,0,
61,5718,Gerrie Electric Wholesale Ltd.,Electrical,36 Darte Drive,Welland,Ontario,L3B 5Y7,(905) 732-4473,,(800) 263-7300,,,www.gerrie.com,10,1,,1956,-1,0,
62,5719,Fabricland Western,Retail,34 Douglas Avenue,Welland,Ontario,L3C 2H2,(905) 734-3836,,,(905) 734-1150,,www.fabriclandwestern.ca,3,12,4,1984,0,0,
63,5720,Rocca's Unisex Hairgrooming Salon,Personal and Household Services,300 Lincoln Street,Welland,Ontario,L3B 4N4,(905) 732-3823,,,,,,3,,,1974,0,0,
64,5721,Four Seasons Bakery,"Catering, Restaurants and Food Services",631 East Main Street,Welland,Ontario,L3B 3Y3,(905) 735-2344,,,,,,5,,1,1984,0,0,
65,5722,Garec's Cleaning Systems,Personal and Household Services,140 Kingsway Street,Welland,Ontario,L3B 5P4,(905) 734-3284,,(905) 714-2105,(905) 734-6605,info@garecscleaningsystems.ca,www.garecscleaningsystems.ca,4,,,1959,0,0,
66,5723,Garfield's Painting,Interior and Exterior Design,26 Dunkirk Court,Welland,Ontario,L3B 4W1,(905) 735-4435,,,(905) 788-9032,,,2,,2,1986,0,0,
67,5724,RACE TRAC GAS STATION - FULL SERVE,Automotive,554 Niagara Street,Welland,Ontario,L3C 1L8,(905) 735-4935,,(416) 835-5402,(905) 735-0611,,,,1,,1987,0,0,
68,5725,Mario's Electric,Electrical,86 Milkweed Trail,Welland,Ontario,L3C7J3,(905) 735-1294,,,(888) 788-1407,lorenzo@marioselectric.com,,8,,,1962,0,0,
69,5726,Quality Belt Maintenance,Manufacturing,566 Ridge Road,Welland,Ontario,L3B5N7,(905) 735-3332,,,(905) 735-3533,WellandON@QBM.ca,www.qbm.ca,,,,1974,0,0,
70,5727,Gino's Pizza,"Catering, Restaurants and Food Services",800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 734-4444,,,(905) 734-8326,,,2,4,,2003,0,0,
71,5728,Homestyle Laundromat & Dry Cleaning,Personal and Household Services,"95 Lincoln Street, Unit 6",Welland,Ontario,L3C 5J6,(905) 735-3242,,(905) 714-4157,,mylaundrylife@gmail.com,,1,3,,1992,0,0,
72,5729,Hair Hunters,Personal and Household Services,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 735-6462,,,,,,10,,,1975,0,0,
73,5730,Don Oliver Draperies & Decorating,Interior and Exterior Design,290 East Main Street,Welland,Ontario,L3B 3W9,(905) 732-5791,,,(905) 732-9574,Donoliverdraperies@yahoo.ca,www.donoliversdraperies.ca,2,3,,1962,0,0,
74,5731,Ontario Conservatory of Music,Education Services,325 Thorold Road,Welland,Ontario,L3C 3W4,(905) 735-4582,,,,,www.ocom.ca,,9,,1965,0,0,
75,5732,Primo Auto,Automotive,787 Rusholme Road,Welland,Ontario,L3B 5N7,(905) 788-2556,,,,,,1,,,1989,0,0,
76,5733,R & B Automotive,Automotive,230 King Street,Welland,Ontario,L3B 3J7,(905) 735-3838,,(905) 735-3888,,,,1,,,1995,0,0,
77,5734,Pioneer Petroleum,Automotive,681 South Pelham Road,Welland,Ontario,L3C 7E5,(905) 788-3554,,(905) 788-8070,(905) 788-2070,,,5,5,,n/a,0,0,
78,5735,Canadian Tire,Retail,158 Primeway Drive,Welland,Ontario,L3B 0A1,(905) 732-7501,,,(905) 788-1055,,www.canadiantire.ca,39,66,,1954,0,0,
79,5736,Speedy Glass,Automotive,577 Niagara Street,Welland,Ontario,L3C 1L9,(905) 735-8821,,,(905) 735-8904,,,3,,,1987,0,0,
80,5737,Suntastic Tanning Inc.,Personal and Household Services,871 Niagara Street,Welland,Ontario,L3C 6Y1,(905) 735-3333,,,,info@suntastictanning.ca,www.suntastictanning.ca,5,,,1994,0,0,
81,5738,Tim Horton's,"Catering, Restaurants and Food Services",30 Rice Road,Welland,Ontario,L3C 5Y6,(905) 714-0422,,,,,,29,,,1996,-1,0,
82,5739,Welland Medical Pharmacy,Pharmacies,165 Plymouth Road,Welland,Ontario,L3B 3E1,(905) 788-1766,,,(905) 788-0259,marywelland@outlook.com,,2,2,,1986,-1,-1,Arabic
83,5740,Welland Wine and Supplies Inc.,Retail,936 East Main Street,Welland,Ontario,L3B 3Y9,(905) 788-9981,,,(905) 788-9516,dthomas37@cogeco.ca,,2,1,,1996,0,0,
84,5741,Yellow Stitch,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z7,(905) 732-0094,,,(905) 732-0094,,,2,1,3,1995,0,0,
85,5742,Commercial Auto Trim & Glass Limited,Automotive,85 Shaw Street,Welland,Ontario,L3B 5W9,(905) 735-8164,,,(905) 735-1178,,,2,,,,0,0,
86,5743,"Rittenhouse, Dr. B Medicine Professional Corporation",Health and Social Services,477 King Street,Welland,Ontario,L3B3K4,(905) 735-7079,,,,,,2,,,1988,-1,0,
87,5744,Blackadder Leon Marion &  Fazari LLP,Legal Services,149 West Main Street,Welland,Ontario,L3B 5P7,(905) 735-2921,,,(905) 735-4519,bookkeeper@leonlaw.ca,,10,2,,1973,0,0,
88,5745,Liquor Control Board Of Ontario,Retail,815 Ontario Road,Welland,Ontario,L3B 5V6,(905) 734-3132,,,(905) 734-1419,,,1,4,1,1984,0,0,
89,5746,Liquor Control Board Of Ontario,Retail,200 Fitch Street,Welland,Ontario,L3C 4V9,(905) 732-3266,,,(905) 732-3999,,,4,9,,1961,0,0,
90,5747,Lucchetta Homes,Construction and Construction Equipment,402 Rice Road,Welland,Ontario,L3C 2V8,(905) 732-2658,,,(905) 732-4413,sales@lucchettahomes.com,www.lucchettahomes.com,8,2,1,1958,0,0,
91,5748,M & M Meat Shops,Retail,30 Rice Road,Welland,Ontario,L3C 5Y6,(905) 735-6819,,,(905) 735-6979,,,6,,,1991,0,0,
92,5749,Circle K,Convenience and Variety Stores,301 Thorold Road,Welland,Ontario,L3C 6H5,(905) 732-0134,,,,,,4,,,1964,0,0,
93,5750,Main West Animal Hospital,Veterinarian Services,1 Broadway,Welland,Ontario,L3C 5L2,(905) 735-7877,,,(905) 735-9800,careteam@mainwestvet.com,www.mainwestvet.com,13,4,1,1978,0,0,
94,5751,Manhattan Hair Studio,Personal and Household Services,21 Cross Street,Welland,Ontario,L3B 3E9,(905) 732-5617,,,,,,,5,,1988,-1,0,
95,5752,Welland Dental Centre,Health and Social Services,7 Riverside Drive,Welland,Ontario,L3C 5C6,(905) 735-7571,,,(905) 735-3480,info@wellanddentalcentre.ca,www.wellanddentalcentre.ca,6,4,,1977,-1,0,
96,5753,Medical Arts Building (Welland) Ltd.,Health and Social Services,"165 Plymouth Road, Suite 11",Welland,Ontario,L3B 3E1,(905) 732-9977,,(905) 732-8124,,wellandmedicalarts@gmail.com,,1,,,1960,0,0,
97,5754,Food Basics,Retail,325 Thorold Road,Welland,Ontario,L3C 3W4,(905) 735-4320,,,(905) 735-4773,,,14,80,,1999,0,0,
98,5755,Fireside Family Restaurant,"Catering, Restaurants and Food Services",153 Southworth Street,Welland,Ontario,L3B 1Z1,(905) 732-7272,,(905) 732-9578,,firesidewelland@gmail.com,,4,16,,1977,-1,0,
99,5756,Forever You,Personal and Household Services,140 Cardinal Cres,Welland,Ontario,L3C0A8,(905) 735-6336,,(905) 735-8007,,jthrower8@hotmail.ca,,,1,,1995,-1,0,
100,5757,Miss Dar's School Of Dance,Sports Clubs and Organizations,222 King Street,Welland,Ontario,L3B 3J7,(905) 735-2376,,,(905) 735-6548,,,1,,,1988,0,0,
101,5758,Ron's Mower Service,Landscaping and Gardening,404 Grassy Brook Road West,Welland,Ontario,L0S 1K0,(905) 384-9696,,,,,,2,,,1971,0,0,
102,5759,Zoro Discount Muffler,Automotive,824 Niagara Street,Welland,Ontario,L3C 1M3,(905) 735-9610,,(905) 735-9611,,,,4,,,1981,0,0,
103,5760,Bentley Leathers Inc.,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 735-0933,,,,,www.shopbentley.com,4,,2,1988,0,0,
104,5761,Royal Bank of Canada,Financial Institutions,571 Niagara Street,Welland,Ontario,L3C 1L7,(905) 735-1511,,,(905) 735-8110,,www.rbcroyalbank.com,10,7,,1970,0,0,
105,5762,Northern Reflections,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 735-3181,,,,,,8,,10,1990,0,0,
106,5763,"Nu-Flor Hardwood Flooring, Inc.",Interior and Exterior Design,84 Burgar Street,Welland,Ontario,L3B5N4,(905) 732-1486,,,,nuflorkb@gmail.com,,1,,,1996,-1,0,
107,5764,Husky Gas Bar,Automotive,136 Thorold Road,Welland,Ontario,L3C 3V3,(905) 788-0070,,,,,,1,4,,1925,0,0,
108,5765,Star Rose Garden Restaurant,"Catering, Restaurants and Food Services",428 East Main Street,Welland,Ontario,L3B 3W6,(905) 732-4399,,,,,,3,,,1990,0,0,
109,5766,J&R's Service Centre,Automotive,25 Hagar Street,Welland,Ontario,L3B 4J7,(905) 732-3874,,(905) 732-3874,(905) 732-3279,jnrservice24@gmail.com,,3,,,1983,0,0,
110,5767,Tim Horton's,"Catering, Restaurants and Food Services",563 Niagara Street,Welland,Ontario,L3C 1L7,(905) 734-8202,,,,,,25,,,1969,-1,0,
111,5768,R&Y TOOL and DIE CO. LIMITED,Manufacturing,472 River Road,Welland,Ontario,L3B 5N4,(905) 732-4545,,,(905) 732-5459,rytool@bellnet.ca,,5,1,,1958,-1,0,
112,5769,Small Storage Inc.,Transportation and Warehousing,137 Duncan Street,Welland,Ontario,L3B 2E4,(905) 788-3184,,,,smallstorage@bellnet.ca,www.smallstorageinc.com,1,2,,1988,0,0,
113,5770,CIBC,Financial Institutions,200 Fitch Street,Welland,Ontario,L3C 4V9,(905) 735-1450,222,,(905) 735-6160,Anke.Wilkinson@cibc.com,www.cibc.com,6,3,,1967,0,0,
114,5771,"Lamb, Dr. David J.",Health and Social Services,165 Plymouth Road,Welland,Ontario,L3B 3E1,(905) 732-3087,,,(905) 732-9011,,,2,,,1991,0,0,
115,5772,Little Nashville,"Catering, Restaurants and Food Services",77 East Main Street,Welland,Ontario,L3B 3W4,(905) 734-7839,,,,,,5,,,1994,0,0,
116,5773,Niagara Hair Design,Personal and Household Services,15 Niagara Street,Welland,Ontario,L3C 1H8,(905) 734-4156,,,,,,2,,,1983,0,0,
117,5774,District School Board of Niagara,Education Services,191 Carlton Street,St. Catharines,Ontario,L2R 7P4,(905) 641-1550,,,(905) 685-8511,inquiries@dsbn.org,www.dsbn.org,595,,,1969,0,0,
118,5775,PenFinancial Credit Union Ltd.,Financial Institutions,247 East Main Street,Welland,Ontario,L3B 3X1,(905) 735-4801,,,,emailus@penfinancial.com,www.penfinancial.com,52,,,2005,0,0,
119,5776,Blue Star Restaurant,"Catering, Restaurants and Food Services",676 King Street,Welland,Ontario,L3B 3L1,(905) 732-2459,,,(905) 732-2450,Renee.plentai@outlook.com,www.wellandbluestar.com,50,,,1947,0,0,
120,5777,A. P. Brown Jewellers Ltd.,Retail,82 West Main Street,Welland,Ontario,L3C 4Z9,(905) 734-3841,,,(905) 734-3841,info@apbrownjewellers.com,www.apbrownjewellers.com,2,3,4,1910,0,-1,
121,5778,Brewer's Retail/The Beer Store,Retail,390 Lincoln Street,Welland,Ontario,L3B 4N4,(905) 734-6161,,,,,,12,,8,1983,0,0,
122,5779,Brewer's Retail/The Beer Store,Retail,23 Thorold Road,Welland,Ontario,L3C 3T3,(905) 734-7826,,,,,,3,,5,1954,0,0,
123,5780,Canadas Best Value Inn Welland/Niagara Falls,"Accommodation,  Travel and Tourism",1030 Niagara Street,Welland,Ontario,L3C 1M6,(905) 735-6666,,,(905) 735-6894,cbviwelland@gmail.com,www.redlion.com,4,6,4,1971,-1,0,
124,5781,Ministry of Attorney General (Superior Courts),Government Services,102 East Main Street,Welland,Ontario,L3B 3W6,(905) 735-0010,,,(905) 734-9119,,,50,,,n/a,0,0,
125,5782,Newfoundland's Own Fish & Chips,"Catering, Restaurants and Food Services",95 Lincoln Street,Welland,Ontario,L3C 7C3,(905) 734-3513,,,,paul@newfoundlandsown.com,www.newfoundlandsown.com,1,4,,1992,0,0,
126,5783,Service Ontario,Government Services,440 Niagara Street,Welland,Ontario,L3C1L5,(905) 735-1590,,,(905) 735-9445,,,4,,,2001,-1,-1,
127,5784,Cafe Amalia,"Catering, Restaurants and Food Services",445 Thorold Road,Welland,Ontario,L3C 3W7,(905) 734-1500,,,,cafeamalia@hotmail.com,,2,,,1985,0,0,
128,5785,Pizza Hut,"Catering, Restaurants and Food Services",841 Niagara Street,Welland,Ontario,L3C 1M4,(905) 732-2202,,,(905) 732-0307,,,32,,,1989,0,0,
129,5786,Pearle Vision,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 734-8820,,,(905) 734-8253,,,3,2,,1991,-1,0,
130,5787,Vesuvius Canada Inc.,Manufacturing,333 Prince Charles Drive,Welland,Ontario,L3B 5P4,(905) 732-4441,,,(905) 735-8245,Linda.Duncan@ca.vesuvius.com,www.vesuvius.com,110,,,1966,-1,-1,
131,5788,Wal-Mart Canada Inc.,Retail,102 Primeway Drive,Welland,Ontario,L3B 0A1,(905) 735-3500,,,(905) 735-4371,,,150,140,,1994,0,0,
132,5789,Rick's Service Centre,Automotive,624 South Pelham Road,Welland,Ontario,L3C 3C8,(905) 735-9314,,(289) 241-2319,,ricksservice1974@gmail.com,,4,2,,1970,0,0,
133,5790,"Houghton, Sloniowski and Stengel Barristers and Solicitors",Legal Services,170 Division Street,Welland,Ontario,L3B 4A2,(905) 734-4577,,,(905) 732-3765,jes@hsslaw.ca,,5,1,,1935,0,0,
134,5791,"Rice, Dr. Brian H.",Health and Social Services,547 Thorold Road,Welland,Ontario,L3C 3W9,(905) 732-2401,,(905) 732-2402,(905) 732-2403,,,2,,,1976,-1,0,Italian
135,5792,Riley Family Dentistry,Health and Social Services,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 788-0311,,,,info@rileyfamilydentistry.com,www.rileyfamilydentistry.com,8,1,,1980,-1,0,
136,5793,Hillside Lanes,Amusement and Recreation,128 Division Street,Welland,Ontario,L3B 3Z9,(289) 820-5317,,(289) 690-4535,(289) 820-5566,tammycote64@gmail.com,hillsidelanes.ca,1,,,1980,0,0,
137,5794,Zavitz Chiropractic and Therapeutic Laser Clinic,Health and Social Services,340 Thorold Road,Welland,Ontario,L3C 3W6,(905) 735-8422,,,(905) 735-8423,contact@zavitzchiro.com,www.zavitzchiro.com,2,1,,1978,-1,0,
138,5795,MacLeod Automotive,Automotive,301 Aqueduct Street,Welland,Ontario,L3C 1C9,(905) 735-1515,,,(905) 735-9303,macleodautomotive@outlook.com,www.macleodautomotive.ca,3,1,,1983,0,0,
139,5796,Alfieri Floor Experts,Interior and Exterior Design,19 Lincoln Street,Welland,Ontario,L3C5H9,(905) 735-3882,,,(905) 735-4874,afxoffice@gmail.com,,15,,5,1985,0,0,
140,5797,Ben's Variety,Convenience and Variety Stores,58 Southworth Street,Welland,Ontario,L3B 1Y4,(905) 735-9978,,,(905) 735-9978,,,3,,,1984,0,0,
141,5798,TD Canada Trust,Financial Institutions,845 Niagara Street,Welland,Ontario,L3C 1M4,(905) 732-2461,3,,(905) 732-2464,,www.tdcanadatrust.com,19,9,,1952,0,0,
142,5799,Adelina's Catering,"Catering, Restaurants and Food Services",665 Quaker Road,Welland,Ontario,L3C 3H1,(905) 735-9227,,,,,,1,,,1988,0,0,
143,5800,Ardene,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 228-6938,137,1 877-606-4233,,,www.ardene.com,,,2,1991,0,0,
144,5801,Boathouse,Retail,800 Niagara Street,Welland,Ontario,L3C 5Z4,(905) 734-6858,,,,info@boathousestores.com,www.boathousestores.com,,,,1992,0,0,
145,5802,Kirkpatrick Stoneworks Ltd.,Funeral Services,1051 Niagara Street,Welland,Ontario,L3C 1M5,(905) 732-6752,,,(905) 732-6534,,www.kirkpatrickstoneworks.com,1,,,1929,-1,0,
