NAME,BUSINESS_DESC,TYPE_CODE,TYPE_DESCRIPTION,OBJECTID,SHAPE,LICENCE_ACCOUNT_NUMBER,LICENSE_LOCATION
OKANAGAN ENGINE & AUTOPRO LTD.,GARAGE (REPAIR),2204,2204 - Garage (Repair),,,4082188,895 ELLIS ST
THE ROYAL ANNE HOTEL INC,HOTEL - 62 ROOMS,7306,"7306 - Hotel, Motel, Auto Court - Units Only",,,4057891,348 BERNARD AVE
HOTEL ZED,HOTEL - 55 ROOMS,7306,"7306 - Hotel, Motel, Auto Court - Units Only",,,4077749,1627 ABBOTT ST
MEMPHIS BLUES BARBEQUE,CLASS B - DINING ROOM (LESS 140 SQ M),3225,3225 - Food Primary Establishment (with a floor area of 140 square metres or less),,,4064071,289 BERNARD AVE
"RAWSON, HEATHER",Counselling Services,2550,2550 - Health Services,,,4089219,116-565 BERNARD AVE
CHANTALE ELLIOTT,MENTAL HEALTH AND WELLNESS SERVICES ONLINE & LIVE,2550,2550 - Health Services,,,4084699,116-565 BERNARD AVE
WILLIAM & ASSOCIATES COUNSELLING SERVICES,EXECUTIVE COACH/BUSINESS CONSULTANT/PHYSCOTHERAPY,5099,5099 - Professional Services,,,4076120,116-565 BERNARD AVE
TOWNE CENTRE POSTAL OUTLET,RETAIL - POSTAL OUTLET,7205,7205 - Retail,,,4024384,19-565 BERNARD AVE
WEALTHLINK FINANCIAL SERVICES INC,LIFE INSURANCE COMPANY,7705,7705 - Trust/Insurance/Investment/Loan/Mortgage Company,,,4013648,110-565 BERNARD AVE
1220015 BC LTD. DBA TOMMY GUNS BARBERSHOP,HAIRSTYLIST OR BARBER,2400,2400 - Hairstylist or Barber,,,4085834,27-565 BERNARD AVE
YLW TACOS INC.,QUICK SERVE FOOD COURT STALL,7102,7102 - Restaurant,,,4085576,15-565 BERNARD AVE
COPACABANA BRAZIL BEAUTY SALON,"Beauty care, manicure, pedicure, waxing, eyelashes extention",850,850 - Beauty Parlour and/or Aesthetic Services,,,4087357,1-565 BERNARD AVE
PULP FICTION COFFEE HOUSE,KIOSK COFFEE SHOP,7102,7102 - Restaurant,,,4084270,1-565 BERNARD AVE
OPTIMIIIZE NUTRITION FITNESS & HEALTH,"PERSONAL TRAINING;MASSAGE THERAPY;INJURY REHAB; YOGA & NUTRITION",5099,5099 - Professional Services,,,4080810,25-565 BERNARD AVE
INTERNATIONAL EMPLOYEE RESOURCE INC,RECRUITMENT OF FOREIGN WORKERS - IMMIGRATION LAW CONSULTANTS,3340,"3340 - Management, Administration & Consultants",,,4081066,115-565 BERNARD AVE
CANDO IMMIGRATION SERVICES,IMMIGRATION CONSULTANT,3340,"3340 - Management, Administration & Consultants",,,4075122,115-565 BERNARD AVE
COSMETIC CULTURE SPA INC.,COSMETIC SPA,850,850 - Beauty Parlour and/or Aesthetic Services,,,4084984,30-565 BERNARD AVE
MKK PROPERTY CORP.,Property Management Company,3350,3350 - Management Company - Property,,,4086647,100-565 BERNARD AVE
TG CORPORATE HOLDINGS LIMITED,CORPORATE OFFICE,3340,"3340 - Management, Administration & Consultants",,,4084373,100-565 BERNARD AVE
SHOEBOX SMALL BUSINESS SOLUTIONS INC,BOOKKEEPER,8002,"8002 - Accountant, bookkeeper, auditor, and public stenographer",,,4071278,104-565 BERNARD AVE
FOSSELLO'S QUALITY CLOTHING INC.,RETAIL - WOMEN'S CLOTHING,7205,7205 - Retail,,,4083468,11-565 BERNARD AVE
AMNI ATHLETICA,RETAIL - SPORTSWEAR AND ACCESSORIES,7205,7205 - Retail,,,4073554,14-565 BERNARD AVE
1000 PALMS SWIMWEAR LTD.,SWIMWEAR STORE,7205,7205 - Retail,,,4084638,7-565 BERNARD AVE
MACDERMOTT'S MENS WEAR LTD,RETAIL - MENS WEAR,7205,7205 - Retail,,,4027702,10-565 BERNARD AVE
1200883 BC LTD DBA CUBANOS,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,,,4083277,26-565 BERNARD AVE
PREHOFER CONSTRUCTION LTD,APARTMENT,7310,7310 - Apartment,,,4027276,220 HOLBROOK RD W
O'FLANNIGAN'S LIQUOR STORE,BEER & WINE STORE,3255,3255 - Beer & Wine Store,,,4035242,319 QUEENSWAY
O'FLANNIGAN'S PUB,DINING ROOM/LOUNGE/PUB/MEETING ROOMS,7305,"7305 - Hotel, Motel, Auto Court - Secondary Usage",,,4035240,319 QUEENSWAY
OK READY MIX A DIVISION OF LEHIGH HANSON MATERIALS LIMITED,MANUFACTURER - READY MIX CONCRETE,3405,3405 - Manufacturer,,,4082351,925 ELLIS ST
IMPERIAL PARKING CANADA CORP,PARKING LOT #213,3700,3700 - Parking Lot,,,4057354,471 QUEENSWAY
KELSON INVESTMENTS LIMITED DBA BUCKLAND MANOR,APARTMENT,7310,7310 - Apartment,,,4073203,445 BUCKLAND AVE
TYLER KEETON ROBBINS CREATIVE,Art,1650,1650 - Creative or Performing Arts,,,4086713,421 CAWSTON AVE
NEW VINTAGE THEATRE,"THEATRES, HALLS & ARENAS",7502,"7502 - Theatres, Halls & Arenas",,,4085374,421 CAWSTON AVE
THE BODY PROJECT,DANCE EDUCATION,8066,"8066 - Private Teaching of Music, Dancing, Hairdress & other related activities",,,4085478,421 CAWSTON AVE
KELOWNA VISUAL & PERFORMING ARTS SOCIETY CENTRE,NON PROFIT SOCIETY FOR THE ART COMMUNITY,3340,"3340 - Management, Administration & Consultants",,,4075994,421 CAWSTON AVE
PROJECT HOME IMPROVEMENT INC,GENERAL CONTRACTOR,1566,1566 - Contractors,,,4035358,875 LAWRENCE AVE
WIDDENICK CONTRACTING,CONTRACTORS - RESIDENTIAL HANDYMAN - HBB MINOR,1566,1566 - Contractors,,,4085131,730 FULLER AVE
PHOENIX RISING COACHING,PERSONAL COACHING (HBB MINOR),2550,2550 - Health Services,,,4084462,750 FULLER AVE
MAGNIFY LOW VISION EQUIPMENT & SUPPLY,Online & Direct Sales of Impaired Vision Equipment,3300,3300 - Mail Order or Outside Merchant Sales,,,4088586,750 FULLER AVE
"NGUYEN, HOA THAI & PHAM, ANH KIM",APARTMENT,7310,7310 - Apartment,,,4079474,110 GIBBS RD W
1105855 B.C. LTD. D.B.A. REMEDY'S RX #1013,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,,,4082783,2268 PANDOSY ST
KGHF CENTENNIAL MERCANTILE GIFT SHOP,RETAIL GIFT SHOP,8083,8083 - Thrift Store,,,4007979,2268 PANDOSY ST
BLACK & MCDONALD,BUILDING CONTRACTORS - SERVICE AND MAINTENANCE,1566,1566 - Contractors,,,4073871,2268 PANDOSY ST
ROYAL BISTRO,SNACK BAR,7102,7102 - Restaurant,,,4021528,2268 PANDOSY ST
THE PERKING LOT,COFFEE SHOP,7106,7106 - Restaurant Comb With Retail (Less than 47 Sq Metres),,,4058053,2268 PANDOSY ST
DR DARYL WILE NEUROLOGY INC,NEUROLOGIST,5099,5099 - Professional Services,,,4077093,2268 PANDOSY ST
SERVICE STARS F&B SERVICES,CONCESSION SNACK BAR (GYRO BEACH/PARK),8020,8020 - Concession Snack Bar,,,4079682,3400 LAKESHORE RD
OKANAGAN BEACH RENTALS,BOAT RENTAL/MOORING (GYRO BEACH),8006,8006 - Boat Rental/Mooring,,,4078174,3400 LAKESHORE RD
STRATEGIC AVIATION SERVICES LTD,MAINTENANCE OF GROUND EQUIPMENT FOR AIRCRAFT,1566,1566 - Contractors,,,4071374,6105 AIRPORT WAY
ONE STOP NEIGHBORHOOD STORE,RETAIL,7205,7205 - Retail,,,4084417,263 BERNARD AVE
TOYS R US (CANADA) LTD,RETAIL - TOYS/INFANT PRODUCTS/FOODSTUFFS,7205,7205 - Retail,,,4024341,2020 HARVEY AVE
33:3 SERVICES,GENERAL REPAIRS AND INSTALLATIONS - HBB MINOR,8000,"8000 - Personal, Household & Other Services",,,4086306,KELOWNA
OKANAGAN FLYBOARD INC,WATERSPORTS INSTRUCTOR - HBB MINOR,8066,"8066 - Private Teaching of Music, Dancing, Hairdress & other related activities",,,4073539,KELOWNA
JENNIFER OLYNYK,PHYSIOTHERAPY,2550,2550 - Health Services,,,4087322,KELOWNA
OKANAGAN SPIRITS CRAFT DISTILLERY,MANUFACTURER  (1-464 SQ METRES),3405,3405 - Manufacturer,,,4071759,265 BERNARD AVE
0996357 B C LTD DBA LAKE COUNTRY MODULAR/MAXIMUM MODULAR,MODULAR HOMES SALES & SERVICE,1566,1566 - Contractors,,,4067951,515 BEAVER LAKE RD
LAKEFRONT CANDY & SCOOPS,BOAT RENTAL/MOORING,8006,8006 - Boat Rental/Mooring,,,4069809,1350 WATER ST
KELOWNA FLIGHTCRAFT AIR CHARTER LTD,AIRCRAFT CHARTER,8088,8088 - Travel Service/Tour Agent,,,4003074,1-5655 AIRPORT WAY
TOWN SHOES LTD,RETAIL,7205,7205 - Retail,,,4072545,100-2010 HARVEY AVE
NESPRESSO CANADA,Retail Coffee Sales,7205,7205 - Retail,,,4089171,4020-2271 HARVEY AVE
BLACKWELL SUPPLY CO.,Footwear & Accessories Retail,7205,7205 - Retail,,,4087553,82-2271 HARVEY AVE
JUST COZY,Retailer of ladies and kids fashions,7205,7205 - Retail,,,4086940,820-2271 HARVEY AVE
TORRID 3520,RETAIL STORE FOR WOMENS CLOTHING AND ACCESSORIES,7205,7205 - Retail,,,4080213,970-2271 HARVEY AVE
CHAPTERS,RETAIL - BOOKS,7205,7205 - Retail,,,4027688,1241-2271 HARVEY AVE
DR. A. R. BOYCO OPTOMETRIC CORPORATION D.B.A IMAGE OPTOMETRY,EYE HEALTH EXAMINATIONS AND RETAIL SALE OF EYEWEAR,5099,5099 - Professional Services,,,4080554,1506-2271 HARVEY AVE
SYLVAN LEANING CENTRE,SPECIAL EDUCATION BASIC SKILLS SCHOOL,8066,"8066 - Private Teaching of Music, Dancing, Hairdress & other related activities",,,4073788,2065 ENTERPRISE WAY
INNOVATIVE AEROSPACE SERVICES LTD.,ELECTRICAL ENGINEER,5099,5099 - Professional Services,,,4084541,101-6197 AIRPORT WAY
GREATWAY FINANCIAL INC.,"INSURANCE AND INVESTMENTS, MORTGAGE",7705,7705 - Trust/Insurance/Investment/Loan/Mortgage Company,,,4089372,220-2075 ENTERPRISE WAY
DR. SOKHI SANDHU INC,DENTIST,5099,5099 - Professional Services,,,4070068,150-2010 HARVEY AVE
SNORE MD INC,MEDICAL SUPPLIES- SLEEP APNEA,7205,7205 - Retail,,,4084884,140-2010 HARVEY AVE
BOHO BELLA DESIGN INC. DBA HONEST CLOTHING,RETAIL - WOMEN'S FASHIONS,7205,7205 - Retail,,,4084003,942-2271 HARVEY AVE
RW & CO (DIV. REITMANS CANADA),Unisex Fashion Apparel,7205,7205 - Retail,,,4087162,1530-2271 HARVEY AVE
WATERMARK DEVELOPMENTS LTD,"REAL ESTATE & PROPERTY DEVELOPMENT, COMMERCIAL & INDUSTRIAL REAL ESTATE LEASING",1566,1566 - Contractors,,,4082505,106-975 ACADEMY WAY
EK CELL REPAIR LTD,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,,,4060699,2079 ENTERPRISE WAY
ACADEMY CORNER STORE LTD,CONVENIENCE STORE,7205,7205 - Retail,,,4080033,107-975 ACADEMY WAY
FRANCO'S LIQUOR STORE,LIQUOR STORE,3255,3255 - Beer & Wine Store,,,4083843,108-975 ACADEMY WAY
NEUYAAM FOOD INC,RESTAURANT - 140 SQ METRES OR LESS,7102,7102 - Restaurant,,,4077728,120-975 ACADEMY WAY
GOLDEN ISLAND RESTAURANT,RESTAURANT - ASIAN FOOD,7102,7102 - Restaurant,,,4077717,121-975 ACADEMY WAY
KELOWNA BEER INSTITUTE,MANUFACTURER  (1-464 SQ METRES),3405,3405 - Manufacturer,,,4078785,1346 WATER ST
OKANAGAN PARASAIL COMPANY LTD,PARASAILING (OFFICE BEHIND GRAND HOTEL),1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4083558,B-1350 WATER ST
KETTLE VALLEY RAILWAY CYCLING COMPANY LTD,CYCLE TOURS - OFFICE BEHIND GRAND,8088,8088 - Travel Service/Tour Agent,,,4069810,B-1350 WATER ST
LAKEFRONT CANDY & SCOOPS,HARD ICE CREAM,7102,7102 - Restaurant,,,4081349,B-1350 WATER ST
SAGE EXECUTIVE GROUP REAL ESTATE,"REAL ESTATE, LAND/INSURANCE AGENT 1-2",7005,7005 - Real Estate/Land Agent,,,4075577,B-426 BERNARD AVE
649716 BC LTD DBA TONICS PUB,CLASS D - NEIGHBOURHOOD PUBLIC HOUSE,3240,3240 - Liquor Licensed Neighbourhood Public House or Pub,,,4059612,1654 ELLIS ST
POWERTONE SLIMMING STUDIO LTD.,Personal Fitness & Slimming Programs-One on One,2020,2020 - Fitness and Recreational Sports,,,4088693,1328 WATER ST
DEL LAGO,RETAIL   1 - 278 SQ. METRES,7205,7205 - Retail,,,4079288,1326 WATER ST
AIR-HART AVIATION,FLIGHT TRAINING & CHARTERS,8065,8065 - Commercial or Private Schools & Training Services,,,4027544,1326 WATER ST
WATERFRONT GIFT SHOP,GIFT STORE,7205,7205 - Retail,,,4078948,1334 WATER ST
LAKESIDE CONVENIENCE,CONVENIENCE STORE,7205,7205 - Retail,,,4080221,1336 WATER ST
BRIAN PEDERSEN PROPERTIES,Short Term Vacation Rentals,3350,3350 - Management Company - Property,,,4086735,1332 WATER ST
BREE-LINK PLUMBING & HEATING,PLUMBING & GAS-FITTING CONTRACTOR,1566,1566 - Contractors,,,4080210,9590 JIM BAILEY RD
WOOD LAKE BOOKS,MANUFACTURER - PRODUCES/PUBLISHES BOOKS,3405,3405 - Manufacturer,,,4032883,485 BEAVER LAKE RD
PRISM PERMANENT COSMETICS,COSMETIC TATTOO SERVICES,850,850 - Beauty Parlour and/or Aesthetic Services,,,4079973,273 BERNARD AVE
DYNAMIC STUDIOS,TATTOO STUDIO,850,850 - Beauty Parlour and/or Aesthetic Services,,,4072970,273 BERNARD AVE
VISIONARY COLLECTIVE INC,TATTOO PRODUCTS/SUPPLIES,850,850 - Beauty Parlour and/or Aesthetic Services,,,4080777,273 BERNARD AVE
SWEETNAM'S NIK NAKS,RETAIL STORE,7205,7205 - Retail,,,4084940,2067 ENTERPRISE WAY
KELOWNA EAST INVESMENTS LTD,LAND DEVELOPMENT/BUILDING CONTRACTOR,1566,1566 - Contractors,,,4081104,NON-RESIDENT
FUTURE CLIMATES REFRIGERATION,Service and maintenance for refrigeration units on transit vans.,8074,8074 - Service & Maintenance of Large Appliances,,,4088922,5583 AIRPORT WAY
FEDERAL EXPRESS,CARRIER - 10 VEHICLES,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4033796,6191 AIRPORT WAY
CANADIAN IMPERIAL BANK OF COMMERCE,BANKER / CREDIT UNION - OVER (50) EMPLOY,805,805 - Bank / Credit Union,,,4061665,2107 HARVEY AVE
BRICIN ENTERPRISES (BC) INC DBA MILESTONES,RESTAURANT CLASS B - DINING LOUNGE (OVER 140 SQ M),3220,3220 - Liquor Primary Establishment (with a floor area over 140 sq. metres),,,4074393,2121 HARVEY AVE
VANTAGE POINT STRATEGIES SOCIETY,CONSULTING & TRAINING ASSOCIATION,3340,"3340 - Management, Administration & Consultants",,,4077678,NON-RESIDENT
ACUERE CONSULTING INC,TRANSPORTATION PLANNING CONSULTANT,5099,5099 - Professional Services,,,4073884,NON-RESIDENT
PEAK CONSTRUCTION SERVICES LTD,Construction Management,1566,1566 - Contractors,,,4087936,NON-RESIDENT
LAN LETTER ART NEON LTD,SIGNAGE MANUFACTURING AND INSTALLATION,1566,1566 - Contractors,,,4086029,NON-RESIDENT
1629731 ALBERTA LTD/DOUBLE T DIRTWORX,CONTRACTORS,1566,1566 - Contractors,,,4084350,NON-RESIDENT
MEDAFRUIT ENTERPRISES INC.,CHERRY WHOLESALE TO CHINA,7905,7905 - Wholesale,,,4084485,NON-RESIDENT
CHASE OFFICE INTERIORS,Office Interiors Supplier,1566,1566 - Contractors,,,4088235,NON-RESIDENT
GUX CONSTRUCTION LTD,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4082426,NON-RESIDENT
JUST STICK IT WAFFLES INC,Mobile Food Truck,3500,3500 - Mobile Store or Vendor,,,4088387,NON-RESIDENT
YETI REFRIGERATION INC.,REFRIGERATION SYSTEMS REPAIR AND MAINTENANCE CONTRACTOR,1566,1566 - Contractors,,,4085188,NON-RESIDENT
TOPS LIGHTING (2003) LTD,SIGN CONTRACTORS & INSTALLATIONS,1566,1566 - Contractors,,,4068985,NON-RESIDENT
CCH DELIVERIES,CARRIER - RESIDENT,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4066561,NON-RESIDENT
TRI-GEN GREOUP LTD,GENERAL CONTRACTING,1566,1566 - Contractors,,,4088892,NON-RESIDENT
EATON INDUSTRIES (CANADA) COMPANY,ELECTRICAL EQUIPMENT MANUFACTURING & ELECTRICAL ENGINEERING SERVICES,3405,3405 - Manufacturer,,,4080635,NON-RESIDENT
CORE6 ENVIRONMENTAL LTD,ENVIRONMENTAL CONSULTING,3340,"3340 - Management, Administration & Consultants",,,4084483,NON-RESIDENT
E. LEES & ASSOCIATES CONSULTING,Landscape Architecture and Planning,3340,"3340 - Management, Administration & Consultants",,,4087785,NON-RESIDENT
BETTS ELECTRIC LTD,Electrical Contractor,1566,1566 - Contractors,,,4088026,NON-RESIDENT
SISTERS,JANITOR AND/OR WINDOW CLEANING/3 OR LESS,8036,8036 - Janitor And/Or Window Cleaning,,,4070438,NON-RESIDENT
BEST SERVICE PROS,JANITOR/WINDOW CLEANING (MORE THAN 3),8036,8036 - Janitor And/Or Window Cleaning,,,4073478,NON-RESIDENT
"THOMPSON, PATRICIA",HOME HANDICRAFTS - FLOWER ARRANGEMENTS,8032,8032 - Art and Home Handicrafts,,,4023811,NON-RESIDENT
INTEGRAL ENERGY SERVICES LTD.,INDUSTRIAL & COMMERCIAL ELECTRICAL CONTRACTING,1566,1566 - Contractors,,,4081835,NON-RESIDENT
FOUR PAWZ PET SERVICES,MOBILE - PET SITTING,120,120 - Animal and Pet Services,,,4071284,NON-RESIDENT
GREEN DROP LAWNS DBA BUZZ BOSS,Pest Control,8042,8042 - Landscaping/Garden  (Service Only),,,4087621,NON-RESIDENT
ROSS MANAGEMENT LTD,CONTRACTOR - CONSTRUCTION DEVELOPMENT,1566,1566 - Contractors,,,4024802,NON-RESIDENT
OFFICE OF MCFARLANE BIGGAR ARCHITECTURE + DESIGN INC,ARCHITECT,5099,5099 - Professional Services,,,4079775,NON-RESIDENT
RON'S FINE FINISHING,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4057119,NON-RESIDENT
J. J. MACKAY CANADA LTD,MANUFACTURER AND SELLER OF SINGLE AND MULTI SPACE PARKING EQUIPMENT AND ACCESSOR,3405,3405 - Manufacturer,,,4081654,NON-RESIDENT
GREAT NORTHERN ENGINEERING CONSULTANTS INC.,ELECTRICAL/TRANSPORTATION DESIGN SERVICES ENGINEER,5099,5099 - Professional Services,,,4081594,NON-RESIDENT
COCA BLANCA KARAOKE & C T HALL MUSIC ENT,ENTERTAINER - MUSIC SERVICES - RENTALS - PARTIES,1650,1650 - Creative or Performing Arts,,,4031931,NON-RESIDENT
DRAFT MEHCANICAL LTD,plumbing and heating business,1566,1566 - Contractors,,,4089278,NON-RESIDENT
LA HAWK ENTERPRISES INC,BIRD CONTROL,1566,1566 - Contractors,,,4063726,NON-RESIDENT
460045 BC LTD,Residential + civil excavation company,1566,1566 - Contractors,,,4088992,NON-RESIDENT
GREEN2CLEAN LTD,ENVIRONMENTAL CLEANING BUSINESS FOR RESIDENTIAL AND COMMERCIAL CLEANING,8036,8036 - Janitor And/Or Window Cleaning,,,4083219,NON-RESIDENT
PRIME BATHS CANADA,Building Contractor - Bathrooms,1566,1566 - Contractors,,,4086754,NON-RESIDENT
1035940 ALBERTA LTD,PROPERTY MANAGEMENT COMPANY,3350,3350 - Management Company - Property,,,4081659,NON-RESIDENT
MONARCH NA STRUCTURES LTD,Manufacture Bus Shelters,1566,1566 - Contractors,,,4087045,NON-RESIDENT
"ALL CHILDREN'S HOME, INC.",Speech Therapy,2550,2550 - Health Services,,,4086682,NON-RESIDENT
ION FACILITY SERVICES LTD,Facility Services,1566,1566 - Contractors,,,4088685,NON-RESIDENT
MR T'S CONSTRUCTION SERVICES,Construction,1566,1566 - Contractors,,,4089262,NON-RESIDENT
FILLMORE CONSTRUCTION MANAGEMENT INC,BUILDING CONTRACTOR,1566,1566 - Contractors,,,4080272,NON-RESIDENT
DMC MOBILE REPAIR INC,MOBILE COMMERCIAL TRANSPORT TECHNICIAN,1566,1566 - Contractors,,,4080309,NON-RESIDENT
SEABREEZE WATER SYSTEMS & RENOVATIONS INC,WATER TREATMENT EQUIPMENT SALES & SERVICE,8081,8081 - Service & Maintenance of Small Appliances,,,4085387,NON-RESIDENT
EARTHTECH ENERGY SERVIES INC,CONTRACTORS,1566,1566 - Contractors,,,4085612,NON-RESIDENT
T & S CONTRACTING,GRAVEL TRUCK,1300,"1300 - Carrier - Taxicabs, Limousines, Tour Companies, Courier/Delivery/Freight/Hauling Services",,,4060439,NON-RESIDENT
RC STRATEGIES INCORPORATED,Recreation and Park Consulting,3340,"3340 - Management, Administration & Consultants",,,4087681,NON-RESIDENT
BERGVIN MANAGEMENT INC,VOLUNTEER MANAGEMENT,3340,"3340 - Management, Administration & Consultants",,,4080281,NON-RESIDENT
REV ENGINEERING LTD.,Electrical Technologists commissioning & R&M of high voltage equipment and transformers.,1566,1566 - Contractors,,,4088010,NON-RESIDENT
