BUSINESS_NAME,CEASED_DATE,LICENSE_NUMBER,RESIDENT,UNIT,STREET_NUMBER,STREET_NAME,ROLL_NUMBER,dSHORTLEGAL_1,dSHORTLEGAL_2,dSHORTLEGAL_3,dSHORTLEGAL_4,dSHORTLEGAL_5,dLONGLEGAL_1,dLONGLEGAL_2,dLONGLEGAL_3,dLONGLEGAL_4,dLONGLEGAL_5,dLONGLEGAL_6,APPROVAL_DATE,TEMPORARY_LICENSE,APPLICATION_DATE,HOME_OCCUPATION,DATE_EXPIRED,ACTIVE,BUSINESS_NUMBER,PROPOSED_BUSINESS,OFF_STREET_STALLS,START_DATE,DATE_ISSUED
THE BANFF CENTRE,19000101,0000051,1,           ,100,ST JULIEN RD,120901,                     ,HJ,                     ,                     ,7411025,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RESTAURANT,0,20040101,20170101
BOW VIEW LODGE,19000101,0000052,1,           ,201,LYNX ST,000813,                     ,                     ,15~23,A,VARIOUS,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
SKI BANFF/LAKE LOUISE/SUNSHINE,19000101,0000055,1,           ,215,BANFF AVE,000122,                     ,                     ,7,6,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,TOUR PACKAGE & RESERVATION AGENCY,0,20040101,20170101
BANFF CRAG & CANYON,19000101,0000058,1,           ,201,BEAR ST,000103,                     ,                     ,1,5,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,PRINTING/PUBLISHING - NEWSPAPERS,0,20040101,20170101
BANFF EXECUTIVE TOURS INC.,19000101,0000059,1,           ,131,RAINBOW AVE,000900,                     ,                     ,5,R4,1926HH,               ,               ,               ,               ,               ,               ,20040101,0,20040101,1,20171231,1,               ,TOUR SERVICE COMPANY,0,20040101,20170313
BANFF GRIZZLY HOUSE LTD.,19000101,0000063,1,           ,207,BANFF AVE,000119,                     ,                     ,4,6,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RESTAURANT,0,20040101,20170101
BANFF INDIAN TRADING POST,19000101,0000065,1,           ,101,BIRCH AVE,000946,                     ,                     ,                     ,                     ,2615JK,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES,0,20040101,20170101
BONNER PHOTOGRAPHY,19000101,0000067,1,           ,220,BEAR ST,000129,                     ,                     ,19,6,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,PHOTOGRAPHER,0,20040101,20170101
BANFF PARK LODGE,19000101,0000074,1,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
BANFF SIGN COMPANY LTD.,19000101,0000083,1,3,100,JAY ST,069103,3,                     ,9~10,60,9112390,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,SIGN FABRICATION,0,20040101,20170101
FAIRMONT BANFF SPRINGS,19000101,0000084,1,           ,400,SPRAY AVE,000860,                     ,                     ,"21~25,28",                     ,5860GW,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING,0,20040101,20170101
THE ALBION ROOM,19000101,0000085,1,           ,220,BEAR ST,000129,                     ,                     ,19,6,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,PERSONAL SERVICE - HAIR SALON,0,20040101,20170101
BANFF TAXI,19000101,0000088,1,           ,103,OWL ST,000691,                     ,                     ,2,60,3939JK,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,PUBLIC VEHICLE OPERATIONS - TAXI COMPANY,0,20040101,20170101
L.A. TAYLOR CONSULTING,19000101,0000092,1,           ,120,GRIZZLY ST,000612,                     ,                     ,3,34,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,1,20171231,1,               ,MANAGEMENT CONSULTANT,0,20040101,20170101
BALKAN RESTAURANT,19000101,0000094,1,           ,120,BANFF AVE,000028,                     ,                     ,9,2,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RESTAURANT,0,20040101,20170101
RUNDLESTONE LODGE,19000101,0000095,1,           ,537,BANFF AVE,000631,                     ,                     ,5~8,36,1163CD,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
BMO - BANK OF MONTREAL,19000101,0000096,1,           ,107,BANFF AVE,000003,                     ,                     ,4&5,1,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,BANK/FINANCIAL INSTITUTION,0,20040101,20170101
ELK & OARSMAN PUB & GRILL,19000101,0000097,1,           ,119,BANFF AVE,000007,                     ,                     ,10,1,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RESTAURANT - PUB/BAR,0,20040101,20170101
BILL'S PLUMBING & HEATING LTD.,19000101,0000108,1,5,200,HAWK AVE,001132,5,                     ,11,59,8111461,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,CONTRACTOR/PLUMBING,0,20040101,20170101
BLUE MOUNTAIN LODGE,19000101,0000111,1,           ,137,MUSKRAT ST,000060,                     ,                     ,23,3,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,1,20171231,1,               ,LODGING - BED & BREAKFAST RCM,0,20040101,20170101
PIKA VILLAGE,19000101,0000115,1,           ,221,BANFF AVE,000124,                     ,                     ,11,6,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES,0,20040101,20170101
BOW VALLEY CREDIT UNION,19000101,0000117,1,           ,216,BANFF AVE,000139,                     ,                     ,8,7,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,BANK/FINANCIAL INSTITUTION,0,20040101,20170101
BOW VALLEY BASICS,19000101,0000118,1,           ,317,BANFF AVE,000225,                     ,                     ,1~3,11,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES,0,20040101,20170101
BREWSTER INC.,19000101,0000123,1,           ,100,GOPHER ST,001203,                     ,A4,                     ,                     ,8410538,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,PUBLIC VEHICLE OPERATIONS - BUS COMPANY,0,20040101,20170101
BREWSTER CHARTER SERVICES,19000101,0000125,1,           ,100,GOPHER ST,001203,                     ,A4,                     ,                     ,8410538,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,SERVICE SECTOR,0,20040101,20170101
CASCADE COURT B & B,19000101,0000127,1,           ,2,CASCADE CT,087602,                     ,                     ,12B,R2,8811032,               ,               ,               ,               ,               ,               ,20040101,0,20040101,1,20171231,1,               ,LODGING - BED & BREAKFAST RMR,0,20040101,20170101
BUFFALO MOUNTAIN LODGE,19000101,0000132,1,           ,700,TUNNEL MOUNTAIN RD,000789,                     ,                     ,                     ,Y,8422HK,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
BUMPER'S INN LTD.,19000101,0000134,1,           ,565,MARMOT CRESCENT,000634,                     ,                     ,22,37,1412948,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
BURNCO,19000101,0000135,1,           ,317,BANFF AVE,000225,                     ,                     ,1~3,11,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,DEALERSHIP - COMMODITIES,0,20071001,20170101
CANADA HOUSE,19000101,0000147,1,           ,201,BEAR ST,000103,                     ,                     ,1,5,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES,0,20040101,20170101
BANFF IGA,19000101,0000149,1,           ,318,MARTEN ST,000227,                     ,                     ,16,11,0011047,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL FOOD SALES,0,20040101,20170101
CIBC,19000101,0000153,1,           ,98,BANFF AVE,000826,                     ,                     ,                     ,B,4357HW,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,BANK/FINANCIAL INSTITUTION,0,20040101,20170101
ATCO GAS & PIPELINE,19000101,0000156,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,UTILITY COMPANY,0,20040101,20170101
CANMORE GLASS & SCREEN (1988) L,19000101,0000160,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,CONTRACTING/GLASS,0,20110415,20170101
BANFF WINE STORE,19000101,0000168,1,           ,202,BANFF AVE,000135,                     ,                     ,1&2,7,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES,0,20040101,20170101
CHALET GROCERY & COIN LAUNDRY,19000101,0000177,1,           ,           ,TUNNEL MOUNTAIN RD,000792,                     ,                     ,                     ,Z,8422HK,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES & LAUNDRY SERVICE,0,20040101,20170101
CHARLTON'S CEDAR COURT,19000101,0000179,1,           ,513,BANFF AVE,000556,                     ,                     ,4~7,28,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
DELTA BANFF ROYAL CANADIAN LODGE,19000101,0000180,1,           ,459,BANFF AVE,000368,                     ,                     ,23~26,19,1211HU,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
EN VOGUE HAIR DESIGN,19000101,0000181,1,           ,215,BANFF AVE,000122,                     ,                     ,7,6,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,PERSONAL SERVICE,0,20040101,20170101
BANFF BEAVER CABINS,19000101,0000189,1,           ,218,BEAVER ST,000155,                     ,                     ,9,8,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,1,20171231,1,               ,LODGING - BED & BREAKFAST RCM,0,20040101,20170101
THE RUDE BOYS,19000101,0000197,1,           ,215,BANFF AVE,000122,                     ,                     ,7,6,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES,0,20040101,20170101
TAN-Y-BRYN B & B,19000101,0000198,1,           ,118,OTTER ST,000537,                     ,                     ,6,27,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,1,20171231,1,               ,LODGING - BED & BREAKFAST RNC,0,20040101,20170101
DESIGNS FOR LIVING,19000101,0000206,1,           ,5,CASCADE CT,087605,                     ,                     ,13B,R2,8811032,               ,               ,               ,               ,               ,               ,20040101,0,20040101,1,20171231,1,               ,INTERIOR DESIGN CONSULTANT,0,20040101,20170313
DOUGLAS FIR RESORT & CHALETS,19000101,0000209,1,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
GALLERY AT THE SPRINGS,19000101,0000212,1,           ,400,SPRAY AVE,000860,                     ,                     ,"21~25,28",                     ,5860GW,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES,0,20040101,20170101
ELKHORN LODGE,19000101,0000216,1,           ,124,SPRAY AVE,000858,                     ,                     ,11&12,R1,6431JK,               ,               ,               ,               ,               ,               ,20040101,0,20040101,1,20171231,1,               ,LODGING - BED & BREAKFAST RSA,0,20040101,20170101
EL TORO RESTAURANT,19000101,0000218,1,           ,429,BANFF AVE,000399,                     ,                     ,9,20,8385HQ,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RESTAURANT,0,20040101,20170101
KCP ENERGY INC.,19000101,0003370,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20140324,0,20150324,0,20171231,1,               ,HEATING PLUMBING SOLAR - SERVICE,0,20150324,20170101
ELOPE IN BANFF,19000101,0003374,1,           ,210,BEAR ST,000132,                     ,                     ,26,6,6719BC,               ,               ,               ,               ,               ,               ,20111201,0,20111208,0,20171231,1,               ,WEDDING PLANNER,0,20111201,20170313
MICHAEL BUCKLEY PHOTOGRAPHER,19000101,0003377,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20111219,0,20111219,0,20171231,1,               ,PHOTOGRAPHY,0,20120101,20170101
BANFF GUIDE SERVICE,19000101,0000221,1,           ,222,LYNX ST,011602,                     ,                     ,20,5,6719bc,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,TOUR COMPANIES,0,20040101,20170101
"FREYA'S JEWELLERY, GIFT & CURRENCY EXCHANGE/SGT PR",19000101,0000231,1,           ,108,BANFF AVE,000022,                     ,                     ,"4,5,6-1",2,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,CURRENCY EXCHANGE & RETAIL,0,20040101,20170101
"FUDGERY, THE",19000101,0000234,1,           ,215,BANFF AVE,000122,                     ,                     ,7,6,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES,0,20040101,20170101
GEYER HEATING AND SHEET METAL LTD,19000101,0000241,1,           ,101,FALCON ST,000960,                     ,                     ,1,61,3939JK,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,CONTRACTOR/MECHANICAL,0,20040101,20170101
CANADIAN LINEN AND UNIFORM SERV,19000101,0000247,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LINEN SUPPLY,0,20040101,20170101
DAVID'S TEA,19000101,0003392,1,           ,201,BANFF AVE,000118,                     ,                     ,1-3,6,6719BC,               ,               ,               ,               ,               ,               ,20120225,0,20120208,0,20171231,1,               ,RETAIL SALES/TEA SHOP,0,20120225,20170101
"SLEEPING BUFFALO 2, THE",19000101,0003401,1,           ,119,BANFF AVE,000007,                     ,                     ,10,1,6719BC,               ,               ,               ,               ,               ,               ,20120323,0,20120323,0,20171231,1,               ,RETAIL,0,20120516,20170101
KORU PAINTING INC.,19000101,0003399,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20120302,0,20120302,0,20171231,1,               ,CONTRACTOR - PAINTING,0,20120302,20170101
ARDENE,19000101,0003402,1,           ,317,BANFF AVE,000225,                     ,                     ,1~3,11,6719BC,               ,               ,               ,               ,               ,               ,20120328,0,20120328,0,20171231,1,               ,RETAIL STORE,0,20120601,20170101
BAMBOO GARDEN,19000101,0003414,1,           ,211,BANFF AVE,000121,                     ,                     ,6,6,6719BC,               ,               ,               ,               ,               ,               ,20120419,0,20120419,0,20171231,1,               ,RESTAURANT,0,20120508,20170101
CLASS ACT DJ SERVICE/PATRICK SMILEY WEDDINGS,19000101,0003412,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20120419,0,20120419,0,20171231,1,               ,DJ ENTERTAINMENT,0,20120419,20170101
TANMANZ LANDSCAPING INC.,19000101,0003422,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20120507,0,20120507,0,20171231,1,               ,"CONTRACTOR - LANDSCAPING, MAINTENANCE, SNOW REMOVAL",0,20120507,20170313
LYNN FLETCHER WEDDINGS INC.,19000101,0003424,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,2012051,0,2012051,0,20171231,1,               ,"WEDDING COORDINATOR, EVENT PLANNER",0,20120701,20170101
PCL CONSTRUCTION MANAGEMENT INC.,19000101,0003427,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20150625,0,20150625,0,20171231,1,               ,CONTRACTOR/CONSTRUCTION,0,20150701,20170101
"VIVINT CANADA, INC.",19000101,0003434,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20120528,0,20120528,0,20171231,1,               ,HOME AUTOMATION SYSTEMS,0,20120528,20170101
HENRY CONSULTING,19000101,0003439,1,           ,218,JASPER WAY,001295,                     ,                     ,10,R26,8911519,               ,               ,               ,               ,               ,               ,20120611,0,20120611,1,20171231,1,               ,GENERAL CONTRACTOR CONSULTANT (TYPE 2),0,20120701,20170313
BANFF INTERNATIONAL HOSTEL,19000101,0003441,1,           ,449,BANFF AVE,000365,                     ,                     ,19~21,19,1211HU,               ,               ,               ,               ,               ,               ,20120627,0,20120627,0,20171231,1,               ,ACCOMMODATION - HOSTEL,0,20120701,20170101
WOODPECKER EUROPEAN TIMBER FRAMING,19000101,0003442,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20150728,0,20150728,0,20171231,1,               ,CONTRACTOR - FRAMING,0,20150728,20170101
BANFF CANDY STORE,19000101,0003444,1,           ,138,BANFF AVE,000030,                     ,                     ,13~19,2,6719BC,               ,               ,               ,               ,               ,               ,20120628,0,20120628,0,20171231,1,               ,RETAIL,0,20170731,20170803
EXPLORE ROCKIES ACTIVITY CENTER,19000101,0003445,1,           ,333,BANFF AVE,000255,                     ,                     ,                     ,13,6719BC,               ,               ,               ,               ,               ,               ,20120705,0,20120705,0,20171231,1,               ,ACTIVITY BOOKING CENTER,0,20120719,20170308
CANADIAN ROCKIES ALPINE HIKING,19000101,0003459,1,6,435,MARTEN ST,035506,6,                     ,9,19,0211353,               ,               ,               ,               ,               ,               ,20120809,0,20120809,1,20171231,1,               ,HIKING AND GUIDING SERVICE,0,20120809,20170101
HARVEY LOCKE CONSULTING,19000101,0003464,1,3,5,RABBIT ST,039103,3,                     ,                     ,                     ,1113350,               ,               ,               ,               ,               ,               ,20120821,0,20120821,1,20171231,1,               ,WILDERNESS CONSERVATION CONSULTANT,0,20120821,20170101
KIM PAYANT PHOTOGRAPHY,19000101,0003465,1,           ,220,BEAR ST,000129,                     ,                     ,19,6,6719BC,               ,               ,               ,               ,               ,               ,20120911,0,20120901,0,20171231,1,               ,PHOTOGRAPHER,0,20120911,20170101
RIDGELINE MUSIC STUDIO,19000101,0003468,1,F,3,OTTER LANE,130864,64,                     ,                     ,FK&FL,9711261,               ,               ,               ,               ,               ,               ,20120831,0,20120822,1,20171231,1,               ,MUSIC TEACHER,0,20120831,20170313
BARE BISTRO,19000101,0003489,1,           ,100,OWL ST,000694,                     ,                     ,10,61,3939JK,               ,               ,               ,               ,               ,               ,20121101,0,20121101,0,20171231,1,               ,CATERING,0,20121101,20170101
PHOTOGRAPHY BY PAM DOYLE,19000101,0003491,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20130206,0,20130206,0,20171231,1,               ,PHOTOGRAPHER,0,20130206,20170101
BANFF ROASTING COMPANY,19000101,0003500,1,           ,149,EAGLE CRES,001138,11,                     ,11,59,8111461,               ,               ,               ,               ,               ,               ,2013013,0,20130102,0,20171231,1,               ,ROASTING COMPANY - SALES,0,2013013,20170101
BRITTANY ESTHER PHOTOGRAPHY,19000101,0003671,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20130709,0,20130709,0,20171231,1,               ,PHOTOGRAPHER,0,20170701,20170411
FOOTHILLS LOCKSMITHS LTD.,19000101,0003678,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20130723,0,20130723,0,20171231,1,               ,LOCKSMITH,0,20130723,20170101
GW PHOTOGRAPHY INC.,19000101,0003695,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20160711,0,20160711,0,20171231,1,               ,PHOTOGRAPHER,0,20170513,20170508
QUIGLEY ELECTRIC LTD,19000101,0003699,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20131001,1,20131001,0,20171231,1,               ,ELECTRICAL CONTRACTOR,0,20131001,20170524
GOODMAN PLUMBING & HEATING,19000101,0000250,1,           ,116,EAGLE CRES,001119,                     ,                     ,N9,58,3939JK,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,CONTRACTOR/PLUMBING,0,20040101,20170101
GORO CANYON SMOKE & GIFT SHOP,19000101,0000251,1,           ,201,LYNX ST,000813,                     ,                     ,15~23,A,VARIOUS,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES,0,20040101,20170101
BIGHORN SHEET METAL LTD.,19000101,0000253,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,CONTRACTOR/METAL FABRICATION,0,20040101,20170101
GUENTHERS LANDSCAPING (2006) LTD,19000101,0000256,1,           ,102,OWL ST,000963,                     ,                     ,9,61,3939JK,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,CONTRACTOR/LANDSCAPING,0,20040101,20170101
WOODSIDE COTTAGE B & B,19000101,0000262,1,           ,132,OTTER ST,000543,                     ,                     ,12,27,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,1,20171231,1,               ,LODGING - BED & BREAKFAST RNC,0,20040101,20170101
HENRY'S ELECTRIC SERVICE,19000101,0000268,1,           ,116,EAGLE CRES,001119,                     ,                     ,N9,58,3939JK,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,CONTRACTOR/ELECTRIC,0,20040101,20170101
HIDDEN RIDGE RESORT,19000101,0000269,1,           ,901,HIDDEN RIDGE WAY,000791,                     ,AA,                     ,                     ,8422HK,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
HIGH COUNTRY INN,19000101,0000271,1,           ,419,BANFF AVE,000393,                     ,                     ,1~5,20,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
HERTZ CANADA LTD.,19000101,0000273,1,           ,400,SPRAY AVE,000860,                     ,                     ,"21~25,28",                     ,5860GW,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,PUBLIC VEHICLE OPERATIONS - RENTAL VEHICLES.,0,20040101,20170101
G. HILSTAD ROOFING,19000101,0000276,0,           ,           ,                         ,               ,                     ,                     ,                     ,                     ,                     ,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,CONTRACTOR/ROOFING,0,20040101,20170101
HOMESTEAD INN,19000101,0000280,1,           ,218,LYNX ST,000117,                     ,                     ,21~24,5,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
HUDSON'S BAY COMPANY,19000101,0000283,1,           ,123,BANFF AVE,000009,                     ,                     ,PT 12,1,6719BC,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,RETAIL SALES,0,20040101,20170101
INNS OF BANFF,19000101,0000287,1,           ,600,BANFF AVE,000593,                     ,AK,                     ,                     ,0915122,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
MARY HARDING,19000101,0000292,1,           ,201,JASPER WAY,001276,                     ,                     ,9,R25,8911519,               ,               ,               ,               ,               ,               ,20040101,0,20040101,1,20171231,1,               ,CONTRACT WRITING SERVICE,0,20040101,20170313
IRWIN'S MOUNTAIN INN,19000101,0000293,1,           ,429,BANFF AVE,000399,                     ,                     ,9,20,8385HQ,               ,               ,               ,               ,               ,               ,20040101,0,20040101,0,20171231,1,               ,LODGING - HOTELS/MOTELS,0,20040101,20170101
