Name,Effective Date,Community,Region
Huit Huit Tours Ltd. (also o/a Dorset Suites),2021-07-21,Cape Dorset,Qikiqtaaluk
Igloolik Co-operative Limited (also Igloolik Inns North),2021-09-16,Igloolik,Qikiqtaaluk
Igloolik Lumber and Hardware,2021-02-08,Igloolik,Qikiqtaaluk
Ikaluktutiak Co-operative Limited also Arctic Islands Lodge Inns North,2020-12-14,Cambridge Bay,Kitikmeot
Ikpiaryuk Services Ltd.,2021-01-05,Arctic Bay,Qikiqtaaluk
Illnik Electric,2020-05-04,Arviat,Kivalliq
"Illu Inc. o/a Illu B&B, Illu Wok Takeout, Illu Rentals, Illu Consulting, NunaFab",2020-03-11,Cambridge Bay,Kitikmeot
Inukpak Outfitting Inc.,2021-10-28,Iqaluit,Qikiqtaaluk
Inukshuk Construction Ltd.,2021-04-30,Rankin Inlet,Kivalliq
Inukshuk Enterprises Ltd.,2022-01-21,Cambridge Bay,Kitikmeot
Iqaluit Auto Inc.,2021-03-03,Iqaluit,Qikiqtaaluk
Issatik Co-operative Limited also Tavanni Inns North,2021-07-19,Whale Cove,Kivalliq
J&N Moving Services Ltd.,2021-07-28,Iqaluit,Qikiqtaaluk
Jago Services Inc.,2020-05-04,Cambridge Bay,Kitikmeot
Kalvik Enterprises Inc.,2021-01-21,Cambridge Bay,Kitikmeot
Katimavik Suites Ltd.,2021-06-30,Rankin Inlet,Kivalliq
Katudgevik Co-operative Association Limited also Katudgevik Inns North,2021-09-16,Coral Harbour,Kivalliq
Kiggavik Services Ltd.,2021-05-11,Rankin Inlet,Kivalliq
Kinngait Property Management Ltd.,2021-05-11,Cape Dorset,Qikiqtaaluk
Kissarvik Co-operative Association Limited also Turaarvik Inns North,2021-07-19,Rankin Inlet,Kivalliq
Kitikmeot Air Ltd.,2021-03-03,Cambridge Bay,Kitikmeot
Kitikmeot Cleaning Services - Cambridge Bay,2021-03-15,Cambridge Bay,Kitikmeot
Kitikmeot Cleaning Services - Kugluktuk - Head Office,2021-03-15,Kugluktuk,
Kitikmeot Corporation,2021-03-31,Cambridge Bay,Kitikmeot
Kitikmeot Expediting Services Ltd. o/a Kitikmeot Supplies o/a Kitnuna Expediting Services,2020-07-08,Cambridge Bay,Kitikmeot
Kitikmeot Region Properties Inc.,2021-03-30,Cambridge Bay,Kitikmeot
Le Grand Elan,2021-09-24,Iqaluit,Qikiqtaaluk
"Lester Landau, Chartered Professional Accountants",2020-06-18,Iqaluit,Qikiqtaaluk
Lichen Consulting Inc.,2021-03-24,Iqaluit,Qikiqtaaluk
"Lori Idlout, Qusagaq Law Office",2020-09-24,Iqaluit,Qikiqtaaluk
Malik Ltd.,2021-05-05,Iqaluit,Qikiqtaaluk
Malvina Cleaning and Services,2020-04-27,Iqaluit,Qikiqtaaluk
Medic North Nunavut Ltd.,2021-03-30,Cambridge Bay,Kitikmeot
Mikim Construction Ltd.,2021-03-31,Iqaluit,Qikiqtaaluk
Mikim Contracting Ltd.,2021-03-31,Iqaluit,Qikiqtaaluk
Mitiq Co-operatives Association Limited (also Amaulik Motel Inns North),2020-12-14,Sanikiluaq,Qikiqtaaluk
MNSK Contracting Services,2021-04-07,Cape Dorset,Qikiqtaaluk
Naujat Co-operative Limited (also Naujat Hotel - Inns North),2020-12-14,Repulse Bay,Kivalliq
NCC Development Limited,2021-08-27,Iqaluit,Qikiqtaaluk
NCC Properties Limited o/a NCC Commercial Properties Limited o/a Inuksugait a Division of NCC Properties Limited o/a NCC Residential Properties Limited o/a NCC Gjoa Haven,2021-05-21,Iqaluit,Qikiqtaaluk
Niksik Leasing and Sales Inc.,2020-10-13,Rankin Inlet,Kivalliq
Niqitaq Fisheries Ltd.,2020-04-08,Iqaluit,Qikiqtaaluk
NNL Iqaluit Ltd.,2021-12-10,Iqaluit,Qikiqtaaluk
Northern Networks Ltd. - Arviat,2021-01-08,Arviat,Kivalliq
Northern Networks Ltd. - Cambridge Bay,2020-06-08,Cambridge Bay,Kitikmeot
Northern Networks Ltd. - Rankin Inlet - Head Office,2021-01-12,Rankin Inlet,Kivalliq
Northpole Aviation Inc.,2021-04-28,Iqaluit,Qikiqtaaluk
NorthTech Cell Soultions Inc.,2021-10-27,Iqaluit,Qikiqtaaluk
Nuna Cannabis Store Inc.,2021-03-03,Iqaluit,Qikiqtaaluk
Nuna Depot Inc.,2021-02-26,Iqaluit,Qikiqtaaluk
Nuna Link Ltd.,2021-02-24,Iqaluit,Qikiqtaaluk
Nunavut Brewing Company Limited,2020-06-18,Iqaluit,Qikiqtaaluk
Nunavut Construction Limited,2020-04-08,Iqaluit,Qikiqtaaluk
Nunavut Excavating 2007 Inc.,2020-03-03,Iqaluit,Qikiqtaaluk
Nunavut Marketing,2021-03-31,Iqaluit,Qikiqtaaluk
Nunavut Moving & Services,2020-07-03,Iqaluit,Qikiqtaaluk
Nunavut Nukkiksautiit Corporation,2020-06-04,Iqaluit,Qikiqtaaluk
Ookpik Aviation Inc.,2021-03-31,Baker Lake,Kivalliq
Outcrop Nunavut Ltd.,2021-04-06,Iqaluit,Qikiqtaaluk
Padlei Co-operative Association Limited also Padlei Inns North,2021-07-22,Arviat,Kivalliq
Padlei Cooperative Association Ltd.,2021-07-22,Arviat,Kivalliq
Paleajook Eskimo Co-operative Limited,2020-12-14,Taloyoak,Kitikmeot
Panaq Design Inc.,2021-10-21,Iqaluit,Qikiqtaaluk
Panarctic Communications,2020-04-03,Iqaluit,Qikiqtaaluk
Penn-Co Nunavut 11 Ltd.,2021-03-15,Pond Inlet,Qikiqtaaluk
Peter's Expediting Ltd.,2020-05-04,Baker Lake,Kivalliq
Pilitak Enterprises Ltd. - Iqaluit (Head Office),2020-06-18,Iqaluit,Qikiqtaaluk
Pitsiulak Co-operative Association Limited also Tangmavik Hotel,2021-06-16,Chesterfield Inlet,Kivalliq
Polar Energy Conservation Systems,2021-03-18,Cape Dorset,Qikiqtaaluk
Polar Ice Adventures Outfitting,2020-03-03,Resolute Bay,Qikiqtaaluk
Polar Vision Centres Ltd. o/a Baffin Optical,2021-01-14,Iqaluit,Qikiqtaaluk
Qarasaujaq,2021-04-06,Iqaluit,Qikiqtaaluk
Qikiqtaaluk Business Development Corporation,2021-03-19,Iqaluit,Qikiqtaaluk
Qikiqtaaluk Corporation,2021-03-31,Iqaluit,Qikiqtaaluk
Qikiqtaaluk Fisheries Corporation,2020-10-22,Iqaluit,Qikiqtaaluk
Qikiqtaaluk Properties Inc.,2021-04-28,Iqaluit,Qikiqtaaluk
Qikiqtani Industry Ltd.,2021-04-07,Iqaluit,Qikiqtaaluk
Qikiqtani Retail Services Limited o/a Baffin Gas Bar,2021-03-19,Iqaluit,Qikiqtaaluk
Qikiqtaq Co-operative Association also Amundsen Hotel Inns North,2021-06-24,Gjoa Haven,
Qillaq Construction Inc.,2020-07-03,Cambridge Bay,Kitikmeot
Qitik Inc. o/a Arctic Traders,2020-03-10,Arviat,Kivalliq
R.L. Hanson Construction Ltd.,2020-04-17,Iqaluit,Qikiqtaaluk
Ryfan Qaummallaktaqtuq Ltd.,2020-05-19,Pond Inlet,Qikiqtaaluk
Sakku Enterprises Limited,2021-10-25,Rankin Inlet,Kivalliq
Sakku Investments Corporation,2020-07-28,Rankin Inlet,Kivalliq
Sakku Properties Ltd.,2020-04-27,Rankin Inlet,Kivalliq
Saluma Nunavut Ltd.,2020-06-09,Pond Inlet,Qikiqtaaluk
Salummaqsai,2020-05-13,Pond Inlet,Qikiqtaaluk
Sanaqatiit Construction Ltd. - Arviat - Head Office,2021-03-03,Arviat,Kivalliq
Sanavik Co-operative Limited,2020-08-12,Baker Lake,Kivalliq
Sanaya's Bed and Breakfast Corp.,2021-06-24,Rankin Inlet,Kivalliq
Sarliaq Holdings Ltd.,2021-10-27,Rankin Inlet,Kivalliq
Sijja Consulting,2021-03-16,Iqaluit,Qikiqtaaluk
Sikku Corporation,2021-04-07,Iqaluit,Qikiqtaaluk
Solunarctic Designs,2020-05-13,Pond Inlet,Qikiqtaaluk
Southeast Nunavut Co Ltd. o/a Northern Collectables,2020-03-20,Iqaluit,Qikiqtaaluk
Steve Sayles Contracting,2021-11-09,Rankin Inlet,Kivalliq
Tamar's Studio,2021-09-24,Arviat,Kivalliq
Tingmiak Baffin Ltd.,2021-01-17,Pond Inlet,Qikiqtaaluk
Tingmiak Kitikmeot Ltd.,2020-06-18,Cambridge Bay,Kitikmeot
Tingmiak Kivalliq Ltd.,2022-01-26,Pond Inlet,Qikiqtaaluk
Tissuqqi Services,2021-09-24,Arctic Bay,Qikiqtaaluk
Tower Arctic Ltd.,2020-12-02,Iqaluit,Qikiqtaaluk
Tudjaat Co-operative Limited,2021-06-08,Resolute Bay,Qikiqtaaluk
Tullik Contracting,2021-02-22,Iqaluit,Qikiqtaaluk
Tulugak Co-operative Society Limited also Tulugak Co-Op Hotel,2020-04-08,Qikiqtarjuaq,Qikiqtaaluk
Tunik Services,2021-07-19,Gjoa Haven,Kitikmeot
Tuniq Lumber & Supply,2020-03-25,Coral Harbour,Kivalliq
Tununiq Sauniq Co-Operative Limited (also Sauniq Hotel Inns North),2020-12-14,Pond Inlet,Qikiqtaaluk
Tuttarvik Holdings Inc.,2020-03-03,Iqaluit,Qikiqtaaluk
Tuttarvik Inc.,2020-10-19,Iqaluit,Qikiqtaaluk
Tuttarvik Solutions Inc.,2020-03-11,Iqaluit,Qikiqtaaluk
Ulu Construction,2021-08-30,Rankin Inlet,Kivalliq
Ungaluk Construction Inc.,2021-08-18,Iqaluit,Qikiqtaaluk
Ziggy's Enterprises Inc.,2021-07-19,Cambridge Bay,Kitikmeot
