BusinessName,BusinessDescription,Address,Phone,Naics,NaicsDescription,BusinessType,FullTime,PartTime
1996 Cabinets (Showroom) Ltd,retail ready to assemble kitchen and bath cabinets,11031 Bridgeport Rd Unit 200 Richmond BC  V6X 1T3,604-276-8990,444190,Other building material dealers,Retail Trading,8,0
1996 Cabinets (Showroom) Ltd,Storage of kitchen cabinets for retail/wholesale store at 12111 Bridgeport Rd,7080 River Rd Unit 123 Richmond BC  V6X 1X5,604-781-2372,531130,Self-storage mini-warehouses,,0,2
1st Call Plumbing & Heating Ltd,Gas Contractor (residential and some commercial),6880 Miller Rd   Richmond BC  V7B 1L3,604-868-7062,238220,"Plumbing, heating and air-conditioning contractors",Gas Contractor,1,0
1st Call Plumbing & Heating Ltd,Plumbing Contractor for Residential/Commercial,6880 Miller Rd   Richmond BC  V7B 1L3,604-868-7062,238220,"Plumbing, heating and air-conditioning contractors",Plumbing Contractor,0,1
1st Gear Motorcycle Training,Motorcycle training school 3 teachers to 15 student some weeks and 2 teachers to 10 students other weeks.,14211 Entertainment Blvd   Richmond BC  V6W 1K4,,611690,All other schools and instruction,Education Institution,0,5
1stDataRecovery.com,Computer service - sales of parts for servicing only,2981 Simpson Rd Unit 210 Richmond BC  V6X 2R2,604-278-3776,811210,Electronic and precision equipment repair and maintenance,,2,1
2 Gather Fashions Ltd,Clothing Retail - Women's and Children's,4311 Hazelbridge Way Unit 1630 Richmond BC  V6X 3L7,604-304-0385,448120,Women's clothing stores,Retail Trading,2,1
2 Gather Fashions Ltd,retail women's clothing,4311 Hazelbridge Way Unit 1750 Richmond BC  V6X 3L7,604-278-2328,448120,Women's clothing stores,Retail Trading,0,2
2 Honest Carpenter Ltd,small carpentry jobs,3940 Blundell Rd   Richmond BC  V7C 1G4,604-803-0358,238350,Finish carpentry contractors,General Contractor,1,0
212 Arts & Crafts,Retail Arts & Crafts,3700 No 3 Rd Unit 2110 Richmond BC  V6X 3X2,604-231-8112,451120,"Hobby, toy and game stores",Retail Trading,2,0
24 HR Mr Locksmith,locksmith,6611 Minoru Blvd Unit 812 Richmond BC  V6Y 1Y9,604-760-7620,561622,Locksmiths,Home Occupation,1,0
24/7 Innovation Inc.,Office for cell phone chargers. (Cell phone charging stations located in restaurants/malls),4315 Garry St   Richmond BC  V7E 2T9,778-898-6086,551114,Head offices,Home Occupation,2,0
247 Happy Build Ltd,Plumbing and heating contractor,10311 Aragon Rd   Richmond BC  V7A 3E6,778-866-7330,238220,"Plumbing, heating and air-conditioning contractors",Plumbing Contractor,1,1
2B Fitness,One on one and group (2+ people) personal training. Mobile personal trainers,12411 Jack Bell Dr Unit 51 Richmond BC  V6V 2S5,604-719-8887,611620,Athletic instruction,Home Occupation,2,1
2Percentwestview Realty,Real Estate Office,10691 Shellbridge Way Unit 130 Richmond BC  V6X 2W8,778-371-3471,531212,Offices of real estate brokers,Property Management,1,0
3 West Chiropractic Clinic,Chiropractic Office,6081 No 3 Rd Unit 613 Richmond BC  V6Y 2B2,604-270-1202,621310,Offices of chiropractors,,0,3
30 Minute Hit,"Fitness classes, personal training,  womens boxing, kickboxing. Max 10 persons including instructors",5560 Minoru Blvd Unit 108 Richmond BC  V6X 2A9,604-279-5425,713940,Fitness and recreational sports centres,Health Studio,0,4
3388998 Enterprise Ltd,"Warehouse storage of restaurant supplies: bowls, dishes, spoons, forks, chairs etc. for Dynasty Dumpling Restaurant",6211 Westminster Hwy Unit 130 Richmond BC  V7C 4V4,604-767-3000,493110,General warehousing and storage,,1,0
33VISION,Photography service - for portrait photos and passport photos,8833 Odlin Cr Unit 100 Richmond BC  V6X 3Z7,604-285-7887,541920,Photographic services,,1,0
360 New Concept Holdings Inc,real estate service,8680 Cambie Rd Unit 201 Richmond BC  V6X 4K1,604-288-9036,541190,Other legal services,Property Management,4,2
365 Fundays,"Rest lounge with food & beverage (prepackage foods with hot dogs & pizza & bottle drinks, tea, coffee.",3810 Jacombs Rd Unit 120 Richmond BC  V6V 1Y6, ,722511,Full-service restaurants,Food Service Establishment,1,1
365 Fundays,"Recreational facility indoor includes play structures equipment, inflatable castle, lazer tag party room, ",3810 Jacombs Rd Unit 120 Richmond BC  V6V 1Y6, ,713120,Amusement arcades,Commercial Entertainment,4,19
38Fule Corporation,"Marketing of class 1 medical devices, natural health products, personal care products and supplements ",7939 McLennan Ave   Richmond BC  V6Y 2T8,604-370-5587,541619,Other management consulting services,Home Occupation,2,0
3D Canada International Trading,"import - auto parts, mechanical parts and scarfs - from china directly to customers",6675 No 2 Rd Unit 9 Richmond BC  V7C 3L5,604-274-9083,419120,Wholesale trade agents and brokers,Home Occupation,1,0
3Dawgs Vinyl,Retail sales of recorded music and accessories,9371 No 5 Rd Unit 1 Richmond BC  V7A 4E1,778-899-9450,451140,Musical instrument and supplies stores,Retail Trading,0,1
3DQue Manufacturing Inc.,"3D Printer automation kit assembly, 3d printing",3771 Jacombs Rd Unit 310 Richmond BC  V6V 2L9,604-755-7162,339990,All other miscellaneous manufacturing,,5,10
3DQue Systems Inc,3D printing automation research and development,3771 Jacombs Rd Unit 310 Richmond BC  V6V 2L9,604-755-7162,541710,"Research and development in the  physical, engineering and life sciences",,5,10
3G Nice Hair & Beauty Salon,hair salon,4231 Hazelbridge Way Unit 165 Richmond BC  V6X 3L7,604-207-6889,812115,Beauty salons,,3,0
3PM Real Estate Services Inc,"Real estate service brokerage for selling, buying, renting property",13700 Mayfield Pl Unit 1140 Richmond BC  V6V 2E4,604-761-0011,531211,Real estate agents,Property Management,4,0
3T Trip International Co Ltd,Travel Agency,6611 Pearson Way Unit 804 Richmond BC  V7C 0C3,604-360-6966,561510,Travel agencies,Travel Agency,1,0
4 Pillars Richmond,financial consulting,10691 Shellbridge Way Unit 130 Richmond BC  V6X 2W8,604-231-5841,541611,Administrative management and general management consulting services,,1,0
4-U Home Appraisals,residentail appraisals,9391 Alberta Rd Unit 19 Richmond BC  V6Y 1T7,778-895-8834,531320,Offices of real estate appraisers,Home Occupation,1,0
4Cats Arts Studio,"art classes, party (9 students; 1 teacher)",3820 Moncton St   Richmond BC  V7E 3A6,604-559-5311,611610,Fine arts schools,Education Institution,1,1
4G Communications,"Retail of phone, telecommunications and network plans and equipment",4380 No 3 Rd Unit 1180 Richmond BC  V6X 3V7,604-250-3128,443143,"Appliance, television and other electronics stores",Retail Trading,1,1
5 And Cambie Barber Shop,Barber shop,4011 No 5 Rd Unit 135 Richmond BC  V6X 2T9,778-297-3966,812114,Barber shops,,1,0
5 Star Magnolia Tree Service Ltd,Tree Service,10660 River Dr   Richmond BC  V6X 1Z4,604-214-0661,561730,Landscaping services,General Contractor,2,2
505-Junk,"residential & commercial junk and rubbish removal and disposal, recycling of re-usable goods",2268 No 5 Rd Unit 160 Richmond BC  V6X 2T1,604-505-5865,562210,Waste treatment and disposal,General Contractor,5,0
58 Furniture Ltd,Furniture sales,12560 Bridgeport Rd Unit 250 Richmond BC  V6V 2N5,778-222-2789,442110,Furniture stores,Retail Trading,2,0
588618 BC Ltd,Designated inspection facility for trailer and truck,16160 Blundell Rd   Richmond BC  V6W 0A2,604-515-4688,811199,All other automotive repair and maintenance,,10,0
5C Learning,learning centre for children,13500 Maycrest Way Unit 170 Richmond BC  V6V 2N8,604-315-0268,611690,All other schools and instruction,Education Institution,2,0
5U Website Ltd,"Web design, search engine,web hosting, domain registration, web mainteinance, website traffic analysis, graphic design",4140 No 3 Rd Unit 250 Richmond BC  V6X 2C2,778-883-9222,541514,Computer systems design and related services (except video game design and development),,1,0
6 Pack Indoor Beach,indoor sports facility,13180 Mitchell Rd Unit 115 Richmond BC  V6V 1M8,604-760-2301,713940,Fitness and recreational sports centres,Health Studio,3,2
604 Driving School,Driving school (office),8651 General Currie Rd Unit 20 Richmond BC  V6Y 1M3,604-712-0084,611690,All other schools and instruction,Vehicle For Hire Office,1,1
604 Driving School,"2 Driver Training vehicle

2013 Toyota Corolla: JN2 17K

2015 Toyota Corolla: MP9 02E",8651 General Currie Rd Unit 20 Richmond BC  V6Y 1M3,604-712-0084,611690,All other schools and instruction,Class K - DriverTraining Vehicle,1,1
604 Wholesale,Wholesale patio furniture and internet sales,1991 Savage Rd Unit 135 Richmond BC  V6V 0A4,604-340-4029,414390,Other home furnishings merchant wholesalers,Wholesale Trading,1,1
604TW Cars International Trading Inc,Exportation of Vehicles,4000 No 3 Rd Unit 5020 Richmond BC  V6X 0J8,778-829-4819,441110,New car dealers,Automobile Dealer,3,0
626450 B C Ltd,"Landscaping including garden irrigation, sprinkler systems",7611 Gilbert Rd   Richmond BC  V7C 3W6,604-272-3569,561730,Landscaping services,General Contractor,0,1
645 Hudson News,"retail sales of confectionary items, magazine, books, tobacco products & souvier items",3880 Grant McConachie Way   Richmond BC  V7B 0A5,604-214-9690,451310,Book stores and news dealers,Retail Trading,15,0
67 Degrees Cosmetic Clinic Inc,Medi spa services including laser treatment & and injection treatment. ,5580 No 3 Rd Unit 115 Richmond BC  V6X 0R8,778-929-5580,621390,Offices of all other health practitioners,,12,0
678581 BC Ltd,warehouse wholesale of Chinese bubble tea raw material ,13700 Mayfield Pl Unit 1145 Richmond BC  V6V 2E4,604-272-6589,493190,Other warehousing and storage,,3,0
6Folds Marketing Inc,"Marketing consulting, web design and development",10451 Shellbridge Way Unit 120 Richmond BC  V6X 2W8,604-273-8810,541619,Other management consulting services,,3,0
7-Eleven Canada Inc #33197,retail convenience store,3880 Grant McConachie Way   Richmond BC  V7B 0A5,604-207-9795,445120,Convenience stores,Retail Trading,8,8
7-Eleven Food Centre #69015,manufacturer/distribution centre for 7-11 stores,3531 Viking Way Unit 7 Richmond BC  V6V 1W1,604-273-2008,311990,All other food manufacturing,,40,35
7-Eleven Food Stores #14843,convenience store,8000 No 3 Rd   Richmond BC  V6Y 2E3,604-278-2641,445120,Convenience stores,Retail Trading,10,0
7-Eleven Food Stores #14847,convenience store,10991 No 1 Rd   Richmond BC  V7E 1S4,604-271-1811,445120,Convenience stores,Retail Trading,10,1
7-Eleven Food Stores #27052,convenience store,8360 Granville Ave Unit 100 Richmond BC  V6Y 1P3,604-270-0808,445120,Convenience stores,Retail Trading,7,3
74CO5 4U,prepare ready to eat meals for delivery,7771 Westminster Hwy Unit 170 Richmond BC  V6X 1A4,604-616-1094,722512,Limited-service eating places,Food Catering,0,1
75 West Coast Grill,Restaurant in hotel Vancouver Airport Marriott Hotel,7571 Westminster Hwy   Richmond BC  V6X 1A3,604-276-2112,722511,Full-service restaurants,Food Service Establishment,0,28
77 Spa Health Centre,Acupressure and Body Massage,8140 Cook Rd Unit 204 Richmond BC  V6Y 1V1,604-370-8968,621499,All other out-patient care centres,Therapeutic Touch Treatments,1,2
8 Juice,Retail of Juice drinks,4151 Hazelbridge Way Unit 3150 Richmond BC  V6X 4J7,604-883-6883,722512,Limited-service eating places,"Food Service Establishment, Take-Out",2,2
8:00 PM,"Retail sales of clothing, shoes and fashion accessories",4151 Hazelbridge Way Unit 2570 Richmond BC  V6X 4J7,778-899-2508,448199,All other clothing stores,Retail Trading,2,2
8:00 PM,Retailer selling shoes and clothes,4151 Hazelbridge Way Unit 2760 Richmond BC  V6X 4J7,778-899-2508,448199,All other clothing stores,Retail Trading,2,2
8020 Kingkong Enterprises Ltd,"Electrical contractor, low voltage prewiring and equipments installation for both residential & commercial property",8333 Jones Rd Unit 177 Richmond BC  V6Y 3W9,778-680-0968,238210,Electrical contractors and other wiring installation contractors,Electrical Contractor,2,1
8120 Chamber Management Inc,"Providing accounting, janitorial & other services to clients",8120 Granville Ave Unit 100 Richmond BC  V6Y 1P3,604-278-8086,531310,Real estate property managers,,3,1
818 Sweet Home,Retail kitchenware and bathroom accessories,4380 No 3 Rd Unit 1260 Richmond BC  V6X 3V7,604-273-0883,442298,All other home furnishings stores,Retail Trading,4,6
8460 Lavenderland,Selling fresh cut lavender & U-pick lavender,8460 Steveston Hwy   Richmond BC  V7A 1M3,778-889-5458,111219,Other vegetable (except potato) and melon farming,Roadside Stand,2,4
852 Kitchen Group Ltd,"E-commerce, marketing for restaurant and office administrative work",6753 Graybar Rd Unit 145 Richmond BC  V6W 1H3,604-303-1195,454110,Electronic shopping and mail-order houses,Delivery Services,1,1
8th Wonder Projects Ltd,"Construction, renovations and demolition services commerical/residential/excavation",4540 Dallyn Rd   Richmond BC  V6X 2Y2,604-728-5651,238910,Site preparation contractors,General Contractor,1,0
9111 Auto Studio ,"Paint correction, Paint protection coating, and Paint protection film installation",9111 Beckwith Rd Unit 2050 Richmond BC  V6X 1V7,604-726-6896,811199,All other automotive repair and maintenance,,1,0
963 HZ Studio,"Home based business - healing services, counselling service",8033 Saba Rd Unit 601 Richmond BC  V6Y 4M8,403-606-9583,621390,Offices of all other health practitioners,Home Occupation,2,0
9717544 Canada Ltd,Interior/exterior painting,4491 Carter Dr   Richmond BC  V6X 3V1,604-537-3721,238320,Painting and wall covering contractors,General Contractor,1,1
993 Hot Dog Shop,"Selling gourmet hot dogs, fries, drinks.",3900 Bayview St Unit 110 Richmond BC  V7E 4R7,778-989-8085,722512,Limited-service eating places,Food Service Establishment,2,2
A & A Global Marketing Ltd,"Marketing consultant, 3D design/rendering",7051 Blundell Rd Unit 203 Richmond BC  V6Y 1J5,778-838-2610,541611,Administrative management and general management consulting services,Home Occupation,2,0
A & A Wong's Insurance Services Ltd,Insurance Agency  General Insurance & Auto,8888 Odlin Cr Unit 1000 Richmond BC  V6X 3Z8,604-279-8638,524210,Insurance agencies and brokerages,,3,0
A & B Aluminum Products Ltd,"Manufacturing window bars, railings, patio covers & installation of same",2288 No 5 Rd Unit 180 Richmond BC  V6X 2T1,604-231-8181,332329,Other ornamental and architectural metal product manufacturing,,2,0
A & B Clarident Dental Lab,"making crowns, bridges & dentures",20800 Westminster Hwy Unit 2218 Richmond BC  V6V 2W3,604-837-4386,339110,Medical equipment and supplies manufacturing,,1,0
