CITY,NAME,ADDRESS,POSTALCODE
SUMMERLAND,Okanagan Crush Pad Winery,16576 FOSBERY ROAD ,V0H1Z6
SUMMERLAND,Summerland Heritage Cider Company,5419 FIR AVE,V0H1Z4
LANGLEY,Krause Berry Farms and Estate Winery,6179 248TH STREET,V4W1C3
KAMLOOPS,Harper's Trail Estate Winery ,2761 SHUSWAP ROAD,V2H1S9
SAANICHTON,de Vine Vineyards,6181-B OLD WEST SAANICH ROAD,V8M1W8
PENTICTON,Misconduct Wine Co.,375 UPPER BENCH ROAD NORTH,V2A6J6
SUMMERLAND,Summer Gate Winery,11612 MORROW AVENUE,V0H1Z0
NARAMATA,Mocojo Winery,1202 GAWNE ROAD,V0H1N1
OLIVER,C.C. Jentsch Cellars,4522 HWY 97,V0H1T1
OLIVER,Quinta Ferreira Estate Winery,6094 BLACK SAGE ROAD,V0H1T8
OLIVER,Intersection Estate Winery,9736 - 326TH AVENUE,V0H1T0
KELOWNA,The View Winery ,#1 - 2287 WARD ROAD,V1W4R5
NARAMATA,Serendipity Estate Winery,990 DEBECK ROAD,V0H1N0
OKANAGAN FALLS,Echo Bay Vineyard ,224 EASTSIDE ROAD ,V0H1R5
NARAMATA,Marichel Vineyard and Winery,1016 LITTLEJOHN ROAD,V0H1N0
LANGLEY,Vigneti Marchetto,2780 240 STREET,V2Z3A6
PENTICTON,Terravista Vineyards,1853 SUTHERLAND RD,V2A8T8
PENTICTON,Play Winery,507 SKAHA HILLS DRIVE,V2A6A7
OLIVER,Desert Hills Estate Winery,30480 - 71 STREET,V0H1T0
SURREY,Cavallo Winery,150 - 19288 22ND AVENUE,V3S3S9
ARMSTRONG,Lavina Estate,5214 CLCAHL ROAD,V0E1B4
OLIVER,Howling Moon Cider House,7952 HWY 97,V0H1T5
KELOWNA,Scenic Road Cider,770 PACKINGHOUSE ROAD,V1V2E1
SQUAMISH,Meadb Mead ,105 - 37768 2ND AVE,V8B0B1
WYNNDEL,Wynnwood Cellars,5566 HIGHWAY 3A,V0B2N2
KELOWNA,Meadow Vista Honey Wines,3975 JUNE SPRINGS ROAD,V1W4E4
VICTORIA,Spinnakers Brew Pub,308 CATHERINE ST,V9A3S8
PENTICTON,Hillside Estate Winery,1350 NARAMATA RD,V2A8T6
WEST KELOWNA,Quail's Gate Vineyard Estate Winery,3303 BOUCHERIE RD,V1Z2H3
PENTICTON,Upper Bench Estate Winery,170 UPPER BENCH ROAD S,V2A8T1
ALDERGROVE,Caven Cellars,26825 16 AVENUE,V4W2S3
OKANAGAN FALLS,Blue Mountain Vineyard and Cellars,2385 ALLENDALE RD.,V0H1R2
OLIVER,Fairview Cellars,13147 - 334TH AVENUE,V0H1T0
OLIVER,Castoro de Oro Estate Winery,4004 HIGHWAY 97,V0H1T1
COBBLE HILL,Venturi-Schulze Vineyards,4235 VINEYARD ROAD,V0R1L0
OLIVER,Silver Sage Winery,4852 RYEGRASS ROAD,V0H1T1
PENTICTON,Roche Winery,60 UPPER BENCH ROAD SOUTH,V2A8T1
OKANAGAN CENTRE,Gray Monk Cellars,1055 CAMP RD,V4V2H4
SURREY,D'Vine Estate Winery,B2 - 15562 24TH AVENUE,V4A2J5
OKANAGAN FALLS,Black Dog Cellars,385 MATHESON ROAD,V0H1R5
PENTICTON,Perseus Winery & Vineyards,134 LOWER BENCH ROAD,V2A1A8
SOOKE,Tugwell Creek Farm,8750 WEST COAST RD,V0S1N0
WEST KELOWNA,Mission Hill Winery,1730 MISSION HILL ROAD,V4T2E4
OLIVER,Checkmate Artisanal Winery,4799 WILD ROSE STREET,V0H1T0
VERNON,The BX Press Inc.,4667 EAST VERNON ROAD,V1B3H9
PENTICTON,Painted Rock Estate Winery,400 SMYTHE DRIVE,V2A8W6
HORNBY ISLAND,Hornby Island Winery,7000 ANDERSON DRIVE,V0R1Z0
KELOWNA,Cedar Creek Estate Winery,5445 LAKESHORE RD,V1W4S5
OLIVER,Montakarn Estate Winery,5462 BLACK SAGE RD,V0H1T1
CRESTON,Skimmerhorn Winery & Vineyard ,1218 - 27TH AVENUE SOUTH ,V0B1G1
OLIVER,Rejoicing Reds Winery,12315 - 326 AVENUE ,V0H1T0
OSOYOOS,Young & Wyse Collection,9503 12TH AVENUE,V0H1V0
CHILLIWACK,St. Urban Winery ,47189 BAILEY ROAD,V2R4S8
NORTH SAANICH,Roost Farm Centre,1819 MCTAVISH ROAD,V8L5T9
COBBLE HILL,Cherry Point Vineyards,840 CHERRY POINT ROAD,V0R1L3
RICHMOND,YK3 Sake Producer,UNIT 23 11151 HORSESHOE WAY,V7A4S5
CAWSTON,Rustic Roots Winery,2238 HWY 3,V0X1C2
PENTICTON,La Frenz Winery,740 NARAMATA ROAD,V2A8T5
VICTORIA,Tod Creek Craft Ciders,273 PROSPECT LAKE RD,V9E1J7
OLIVER,Pipe Dreams,168 SPORTSMANS BOWL ROAD,V0H1T0
ABBOTSFORD,Ravens Cider Company,2485 TOWNLINE ROAD,V2T6L6
COURTENAY,Stones Throw Vineyard and Estate Winey,1932 AUGUST ROAD,V9J1Y3
OLIVER,Burrowing Owl Vineyards,500 BURROWING OWL PLACE,V0H1T1
CAWSTON,Vanessa Vineyard,1090 HIGHWAY 3,V0X1C3
PENTICTON,Little Engine Wines Ltd.,851 NARAMATA ROAD,V2A8V2
OLIVER,Rust Wine Co.,4444 GOLDEN MILE DR,V0H1T1
TRAIL,Columbia Gardens Vineyards & Winery,9340 STATION ROAD,V1R4W6
LANGLEY,Backyard Vineyards,3033-232ND STREET,V2Z3A8
WEST KELOWNA,Ciao Bella Winery,3252 GLENCOE ROAD,V4T1M2
COWICHAN BAY,Rocky Creek Winery,1854 MYHREST ROAD,V0R1N1
DENMAN ISLAND,Corlan Vineyard & Farm,8441 MCFARLANE RD,V0R1T0
GABRIOLA ISLAND,Ravenskill Orchards,1240 COATS DRIVE,V0R1X4
OLIVER,Cassini Cellars,32056 HIGHWAY 97,V0H1T0
LANGLEY,Domaine De Chaberton Estates,1064-216TH STREET,V2Z1R3
PENTICTON,Black Widow Winery,1590 & 1630 NARAMATA RD.,V2A8T7
SALT SPRING ISLAND,Salt Spring Winery,151 LEE ROAD,V8K2A5
TAPPEN,Recline Ridge Vineyards and Winery,2640 SKIMIKIN ROAD W.,V0E2X0
KELOWNA,House of Rose Vineyards,2270 GARNER ROAD,V1P1E2
SALMON ARM,Larch Hills Winery,110 TIMMS ROAD,V1E2P8
SUMMERLAND,Summerland Estate Winery,21606 BRIDGEMAN ROAD ,V0H1Z6
CASTLEGAR,Heron Ridge Estates,1682 THRUMS RD,V1N4N4
OLIVER,Constellation Brands Canada,38691 97TH STREET N,V0H1T0
KELOWNA,Indigenous World Winery,675/675A KATHERINE ROAD,V1Z3G2
OLIVER,Tinhorn Creek Vineyards ,32830 TINHORN CREEK ROAD,V0H1T0
VANCOUVER,33 Acres Cider Company,15 WEST 8TH AVENUE,V5Y1M8
COBBLE HILL,Divino Estate Winery ,1500 FREEMAN ROAD,V0R1L3
GRINDROD,Baccata Ridge Winery,184 MONKS ROAD,V0E1Y0
OSOYOOS,Moon Curser Vineyards ,3628 HWY 3 EAST,V0H1V6
CRESTON,William Tell Family Estate,948 - 27TH AVENUE SOUTH,V0B1G0
VICTORIA,Rathjen Cellars,6130 OLD WEST SAANICH ROAD,V9E2G8
SUMMERLAND,Silk Scarf Cellars,4917 GARTRELL ROAD,V0H1Z0
SKOOKUMCHUCK,Pommier Ranch Meadery,3858 WASA SHEEP CREEK ROAD,V0B2E0
CAWSTON,CROWSNEST VINEYARD,2036 SURPRISE DR,V0X1C0
NANAIMO,Chateau Wolff Estates,2534 MAXEY ROAD,V9S5V6
DUNCAN,Averill Creek Vineyard,6552 NORTH ROAD,V9L6K9
NARAMATA,JoieFarm,2825 NARAMATA RD,V0H1N0
PENTICTON,Howling Bluff Estate Winery,1086 THREE MILE ROAD,V2A8T7
SALMON ARM,Marionette Winery,2540 40 STREET NE,V1E1Z3
SUMMERLAND,Giant Head Winery,4307 GARTRELL ROAD,V0H1Z4
HORNBY ISLAND,Isla de Lerena Vineyard,1885 CENTRAL ROAD,V0R1Z0
NARAMATA,Therapy Vineyards,940 LOWER DEBECK ROAD,V0H1N0
ENDERBY,Waterside Vineyard & Winery,70 WATERSIDE ROAD,V0E1V3
WEST KELOWNA,Beaumont Family Estate Winery,2775 BOUCHERIE ROAD,V1Z2G4
OKANAGAN FALLS,BC Wine Studio,2434 OLIVER RANCH ROAD,V0H1R2
OKANAGAN FALLS,Liquidity Wines,4720 ALLENDALE ROAD,V0H1R2
PITT MEADOWS,Chateau Blue Winery,17617 FORD ROAD DETOUR,V3Y1Z1
OLIVER,Secret Wines ,301 ROAD 20,V0H1T1
CAWSTON,Twisted Hills Craft Cider,2080 RITCHIE DRIVE,V0X1C1
PENTICTON,Tightrope Winery,1050 FLEET ROAD,V2A8T7
MONTE CREEK,Monte Creek Ranch Winery,2420 MINERS BLUFF ROAD,V0E2M0
PENTICTON,D'Angelo Estate Winery ,979 LOCHORE ROAD,V2A8V1
NARAMATA,Forgotten Hill Wine Co.,3960 COTTONWOOD LANE,V0H1N0
KELOWNA,Canada West Tree Fruits,1B - 2287 WARD ROAD,V1W4R5
OLIVER,River Stone Estate Winery,143 BUCHANAN ROAD,V0H1T2
TAPPEN,Sunnybrae Vineyards & Winery,3849 SUNNYBRAE CANOE POINT ROAD,V0E2X0
CELISTA,Celista Estate Winery,2319 BEGUELIN ROAD,V0E1L0
KELOWNA,Spierhead Winery,3950 SPIERS ROAD,V1W4B3
DUNCAN,Alderlea Vineyards,1751 STAMPS ROAD,V9L5W2
NORTH SAANICH,Muse Winery,11195 CHALET ROAD,V8L5M1
COURTENAY,Blue Moon Estate Winery,4905 DARCY ROAD,V9J1R5
NARAMATA,Kettle Valley Winery,2988 HAYMAN ROAD,V0H1N0
OKANAGAN FALLS,Bonamici Cellars,2385 ROLLING HILLS RD,V0H1R2
ALDERGROVE,Blackwood Lane Vineyards & Winery,25180  8TH AVE,V4W2G8
ABBOTSFORD,Ripples Winery,3387 TOLMIE ROAD,V3G2T9
OLIVER,Here's The Thing Vineyards,4769 RYEGRASS ROAD,V0H1T0
OLIVER,Okanagan Hills Estate Winery Corp.,3658 FRUITVALE WAY,V0H1T0
OLIVER,Cana Vines Winery,129 BRAUNS RD,V0H1T2
SUMMERLAND,Sage Hills Winery and Vineyards,18555 MATSU DRIVE,V0H1Z6
WEST KELOWNA,Mount Boucherie Winery,829 DOUGLAS ROAD,V1Z1N9
MILL BAY,Enrico Winery ,3280 TELEGRAPH ROAD,V0R2P3
LAKE COUNTRY,O'Rourke Family Vineyards,14551 CARRS LANDING ROAD,V4V1A8
OSOYOOS,Blue Sky Estate Winery,11621 87TH STREET,V0H1V2
PENTICTON,Lock & Worth Winery,1060 POPLAR GROVE ROAD,V2A8T6
SALT SPRING ISLAND,Garry Oaks Winery,1880 FULFORD-GANGES ROAD,V8K2A5
LILLOOET,Fort Berens Estate Winery Ltd.,1881 HIGHWAY 99 NORTH,V0K1V0
KALEDEN,Kraze Legz Vineyard and Winery,141 FIR AVENUE,V2A7K8
OSOYOOS,Adega on 45th Estate Winery,7311 45TH ST,V0H1V6
KELOWNA,Ancient Hill Winery,4918 ANDERSON ROAD,V1X7V7
KELOWNA,Tantalus Vineyards,1670 DEHART ROAD,V1W4N6
CAWSTON,Hugging Tree Winery,1002 HWY 3,V0X1C3
SALT SPRING ISLAND,Mistaken Identity Vineyards,164 NORTON ROAD,V8K2P5
PORT ALBERNI,Emerald Coast Vineyards,2787 ALBERNI HIGHWAY,V9Y8R2
THETIS ISLAND,Domaine Jasmin Wines,444 LAKEVIEW ROAD,V0R2Y0
PENTICTON,Bench 1775 Winery,1775 NARAMATA RD,V2A8T8
PENTICTON,Three Sisters Winery,1493 TODD ROAD,V2A8T6
CENTRAL SAANICH,Symphony Vineyard,6409 OLDFIELD ROAD,V8M1X8
RICHMOND,Country Vines,12900 STEVESTON HWY,V6W1A3
ABBOTSFORD,Singletree Winery,5782 MT. LEHMAN ROAD,V4X1V4
RICHMOND,Golden Age Meadery,1105 - 22091 FRASERWOOD WAY,V6W0A8
SALMON ARM,Ovino Winery,1577 YANKEE FLATS ROAD,V1E3J4
PENTICTON,Laughing Stock Vineyards,1548 NARAMATA RD,V2A8T7
DUNCAN,Vigneti Zanatta,5039 MARSHALL ROAD,V9L2X1
LAKE COUNTRY,Arrowleaf Cellars Winery,1574 CAMP RD,V4V1K1
WEST KELOWNA,Kalala Organic Estate Winery,3361 GLENCOE ROAD,V4T1M1
LAKE COUNTRY,Ex Nihilo Vineyards,1525 CAMP ROAD,V4V1K1
CAWSTON,Seven Stones Winery (The),1143 HWY #3,V0X1C0
QUADRA ISLAND,SouthEnd Farm Vineyards,319 SUTIL ROAD,V0P1N0
KELOWNA,Frequency,3210 GULLEY ROAD,V1W4G4
VANCOUVER,Vancouver Urban Winery,55 DUNLEVY AVENUE,V6A3A3
KELOWNA,St. Hubertus Estate Winery ,5225 LAKESHORE ROAD,V1W4J1
NARAMATA,Elephant Island Orchard Wines,2730 AIKINS LOOP,V0H1N0
OLIVER,Culmina Family Estate Winery,4790 WILD ROSE ST,V0H1T0
BRENTWOOD BAY,Church & State Wines,1445 BENVENUTO ROAD,V8M1J5
OKANAGAN FALLS,Wild Goose Vineyards & Winery,2145 SUN VALLEY WAY,V0H1R0
WEST KELOWNA,Little Straw Vineyards Estate Winery,2815 OURTOLAND ROAD,V1Z2H7
SUMMERLAND,Sumac Ridge Estate Winery,17403 HWY 97 BOX 307,V0H1Z0
SUMMERLAND,Thornhaven Estate Winery,6816 ANDREW AVE.,V0H1Z7
OLIVER,Bartier Bros. Vineyard & Winery,4821 RYEGRASS ROAD,V0H1T1
SURREY,SR Winery & Distillery,10316 152 A STREET,V3R7P6
OKANAGAN FALLS,Noble Ridge Winery,2320 OLIVER RANCH ROAD,V0H1R0
KALEDEN,Lakeboat Vineyard and Winery,236 LINDEN AVE,V0H1K0
KELOWNA,Nagging Doubt Winery,4513 SALLOWS ROAD,V1W4C2
KELOWNA,Urban Meadery,UNIT 6 325 BAY AVENUE,V1Y7S3
KEREMEOS,St. Laszlo Vineyards,"RR #1, S-95, C-8, HWY #3",V0X1N0
KELOWNA,Martin's Lane Winery,5437 LAKESHORE ROAD,V1W4S5
WEST KELOWNA,Grizzli Winery,2550 BOUCHERIE ROAD,V1Z1J3
SURREY,Cedar Cider Ltd.,340 184 STREET,V3Z9S8
NARAMATA,Daydreamer Wines Inc.,1305 SMETHURST RD,V0H1N1
PENTICTON,Poplar Grove Winery,425 MIDDLE BENCH RD N,V2A8S5
SURREY,Central City Winery,11411 BRIDGEVIEW DRIVE,V3R2N1
PENTICTON,Moraine Estate Winery,1865 NARAMATA ROAD,V2A8T9
SUMMERLAND,Nomad Cider,8011 SIMPSON ROAD,V0H1Z2
PRINCE GEORGE,Northern Lights Estate Winery Ltd.,746 PG PULPMILL ROAD,V2K5P4
SPALLUMCHEEN,Edge of the Earth Vineyards,4758 GULCH ROAD,V0E1B4
TRAIL,SOAHC Estates Wines,392 COLUMBIA GARDENS ROAD,V1R4W6
LAKE COUNTRY,50th Parallel Estate,17101 TERRACE VIEW ROAD,V4V1B7
BRITANNIA BEACH,Britannia Beach Ciderworks,16 FRONTAGE ROAD,V0N1J0
OKANAGAN FALLS,See Ya Later Ranch,GREEN LAKE ROAD,V0H1R0
OLIVER,Road 13 Vineyards,799 PONDEROSA ROAD,V0H1T1
ABBOTSFORD,Seaside Pearl Farmgate Winery,5290 OLUND ROAD,V4X1V6
DEWDNEY,Kermode Wild Berry Winery,8457 RIVER ROAD SOUTH,V0M1H0
OLIVER,vinAmite Cellars Inc.,5381 HIGHWAY 97,V0H1T1
SUMMERLAND,Lunessence Winery & Vineyard,5716 GARTRELL ROAD,V0H1Z4
LANGLEY,Fraser Valley Cider Company,22128 16 AVENUE,V2Z1L3
SAANICHTON,Parsell Vineyard,2838 LAMONT RD,V8M1W5
OLIVER,La Casa Bianca Winery,7249 HIGHWAY 97,V0H1T7
VANCOUVER,Vancouver Meadery Co.,155 WEST 4TH AVENUE ,V5Y1G4
CAWSTON,EauVivre Winery & Vineyards Ltd.,716 LOWE DRIVE ,V0X1C0
OKANAGAN FALLS,Synchromesh Wines,4220 MCLEAN CREEK ROAD,V0H1R1
BLACK CREEK,Coastal Black Estate Winery ,2186 ENDALL ROAD,V9J1G8
KEREMEOS,Wild Horses Cidery,2551 UPPER BENCH ROAD,V0X1N4
OLIVER,Gehringer Brothers Estate Winery,876 ROAD 8,V0H1T1
BURTON,Burton City Cider,5470 HIGHWAY 6,V0G1E0
DUNCAN,Valley Cider Company,7661 MAYS RD,V9L6A8
OLIVER,Hester Creek Estate Winery,13163  326TH AVENUE,V0H1T0
OKANAGAN FALLS,Blasted Church Vineyards,378 PARSONS ROAD,V0H1R5
NARAMATA,Nichol Vineyard,1285 SMETHURST ROAD,V0H1N0
PENTICTON,Ruby Blues Winery,917 NARAMATA ROAD,V2A8V1
OSOYOOS,Gold Hill Winery,29014 97TH STREET NORTH,V0H1V0
TAPPEN,Granite Creek Estate Wines,2302 SKIMIKIN ROAD,V0E2X0
OLIVER,Hidden Chapel Winery,9756 PINEHILL ROAD,V0H1T0
NEW WESTMINSTER,Pacific Breeze Winery ,#6 & #7 - 320 STEWARDSON WAY,V3M6C3
SUMMERLAND,Dirty Laundry Vineyard,7311 FISKE STREET,V0H1Z0
NANAIMO,Millstone Estate Winery,2300 EAST WELLINGTON RD,V9R6V7
VANCOUVER,Odd Society Winery,1725 POWELL STREET,V5L1H6
PEACHLAND,First Estate Winery,5078 COUSINS PLACE,V0H1X2
ABBOTSFORD,Mount Lehman Winery,5094 MOUNT LEHMAN ROAD,V4X1V5
OKANAGAN FALLS,Meyer Family Vineyards,4287 MCLEAN CREEK ROAD,V0H1R1
OLIVER,Dunham & Froese Estate Winery,300 COVERT PLACE,V0H1T0
NARAMATA,LAKE BREEZE VINEYARDS,930 SAMMET RD,V0H1N0
DELTA,RTD Canada Inc.,465 FRASER VIEW PLACE,V3M6H4
KELOWNA,Scorched Earth Winery,6006 LAKESHORE ROAD,V1W4J5
ABBOTSFORD,Campbell's Gold Honey Farm & Meadery,2595 LEFEUVRE ROAD,V4X1L5
SUMMERLAND,8th Generation Vineyard Inc.,6807 HWY 97,V0H1Z9
OSOYOOS,Lastella,8123 148TH STREET,V0H1V0
LANGLEY,Vista D'oro Farms,20856 4TH AVENUE,V2Z1T6
RICHMOND,Lulu Island Winery ,16880 WESTMINSTER HIGHWAY,V6V1A8
HORNBY ISLAND,Middle Mountain Mead,3505 EUSTON ROAD,V0R1Z0
PARKSVILLE,Mooberry Winery,403 LOWRY'S ROAD,V9P2B5
NARAMATA,Bella Wines Ltd. ,4320 GULCH ROAD,V0H1N0
OLIVER,Phantom Creek Estates,4315 BLACK SAGE RD,V0H1T1
LANGLEY,Spring Land Winery ,6962 236 STREET,V2Y2H8
CAWSTON,Liber Farm and Winery,156 SUMAC ROAD,V0X1C3
WEST KELOWNA,Rollingdale Winery,2306 HAYMAN ROAD,V1Z1Z5
PENTICTON,Four Shadows Vineyard,250 UPPER BENCH ROAD SOUTH,V2A8T1
COBBLE HILL,Silverside Farm,3810 COBBLE HILL ROAD,V0R1L0
OLIVER,Osoyoos Larose Estate Winery,38691 97TH STREET,V0H1T0
RICHMOND,Canada Berries,12791 BLUNDELL ROAD,V6W1B4
PENTICTON,Crescent Hill Winery,205 SPRUCE ROAD,V2A8V9
DELTA,Wellbrook Winery,4626 88 STREET,V4K3N3
SATURNA ISLAND,Saturna Island Vineyards,8 QUARRY ROAD,V0N2Y0
WEST KELOWNA,Niche Wine Company,1901 BARTLEY ROAD,V1Z2M6
PENTICTON,Monster Vineyards,1010 TUPPER AVENUE,V2A8S5
LANGLEY,Fort Wine Company,26151 84TH AVENUE,V1M3M6
DELTA,Angel Estate Winery ,2170 WESTHAM ISLAND ROAD,V4K3N2
PENTICTON,PENTAGE WINES,4400 LAKESIDE ROAD,V2A8W3
VANCOUVER,Artisan Sakemaker at Granville Island,1339 RAILSPUR ALLEY,V6H4G9
KELOWNA,Sperling Vineyards,1405 PIONEER ROAD,V1W4M6
OLIVER,Black Hills Estate Winery,4318 BLACK SAGE ROAD,V0H1T0
CAWSTON,Forbidden Fruit Winery ,620 SUMAC ROAD,V0X1C3
CAWSTON,Orofino Vineyards,2152 BARCELO ROAD,V0X1C0
SUMMERLAND,Evolve Cellars,20623 MCDOUGALD ROAD ,V0H1Z6
OSOYOOS,Nk'Mip Cellars,1400 RANCHER CREEK ROAD,V0H1V6
SURREY,Vinoscenti Vineyards,15560 COLEBROOK ROAD,V3S0L2
SECHELT,Brickers Cider ,6642 NORWEST BAY ROAD ,V0N3A8
KAMLOOPS,Sagewood Winery,589 MEADOW LARK ROAD,V2H1S9
COBBLE HILL,Damali Winery and Vinegary,3500 TELEGRAPH ROAD,V0R1L0
PORT COQUITLAM,Tipsi Beverages,2820 HUNTINGTON PLACE,V3C4T3
VANCOUVER,Vancouver Craft Beverages,1565 VERNON DRIVE,V6A3P8
OLIVER,Le Vieux Pin Winery,34070 73RD STREET,V0H1T0
ABBOTSFORD,Maan Farms Winery,790 MCKENZIE ROAD,V2S7N4
OLIVER,Oliver Twist Estate Winery ,33013 - 87 STREET (ROAD 9A),V0H1T0
PENDER ISLAND,Twin Island Cider,5601 LUPIN RD,V0N2M1
COMOX,40 Knots Estate Winery,2400 ANDERTON ROAD,V9M4E5
KELOWNA,BC Tree Fruits Cider Company,880 VAUGHAN AVENUE,V1Y7E4
WEST KELOWNA,The Hatch ,3189 BOUCHERIE ROAD,V1Z2H1
KELOWNA,Burnt Timber Estate Winery,180 SWICK ROAD,V1W4J5
CAWSTON,Little Farm Winery,2155 NEWTON ROAD,V0X1C1
OLIVER,Kismet Estate Winery,9580 306TH AVENUE,V0H1T0
OSOYOOS,Le Coin Perdu Vineyard,10238 160TH AVE,V0H1V2
KELOWNA,Kitsch Wines,3330 NEID ROAD,V1W4H5
LANGLEY,Township 7 Vineyards & Winery,21152 16TH AVENUE,V2Z1K3
ARMSTRONG,Turkey Track Winery,4929 LANSDOWNE ROAD,V0E1B4
PEACHLAND,Fitzpatrick Family Vineyards,697 HIGHWAY 97,V0H1X9
GIBSONS,Persephone Cider Works,1053 STEWART ROAD,V0N1V7
RICHMOND,Isabella Winery,11491 RIVER ROAD,V6X1Z6
NORTH SAANICH,Domaine Rochette Winery,10555 WEST SANNICH ROAD,V8L6A8
PENTICTON,Quidni Estate Winery,1465 NARAMATA ROAD,V2A4M1
OLIVER,Stoneboat Vineyards,356 ORCHARD GROVE LANE,V0H1T0
PENTICTON,Red Rooster Winery,891 NARAMATA ROAD,V2A8V1
NARAMATA,Foxtrot Vineyards ,2333 GAMMON ROAD,V0H1N0
SUMMERLAND,Back Door Winery,9752 JONES FLAT RD,V0H1Z6
SUMMERLAND,Estate Thurn,5214 MONRO AVENUE,V0H1Z2
OSOYOOS,Lariana Cellars Estate Winery,9304 2ND AVENUE,V0H1V1
DUNCAN,Deol Vineyard,6645 SOMENOS ROAD,V9L5Z3
LAKE COUNTRY,Blind Tiger Vineyards,11014 BOND ROAD,V4V1J6
LANGLEY,Festina Lente Estate Winery,21113 16TH AVENUE,V2Z1K3
PITT MEADOWS,Blue Heron Fruit Winery,18539 DEWDNEY TRUNK ROAD,V3Y2R9
NARAMATA,Van Westen Vineyards,2800 AIKENS LOOP,V0H1N0
PENTICTON,Origin Wines,1278 RIDDLE ROAD,V2A8X8
LAKE COUNTRY,Intrigue Wines Ltd.,12108 POW ROAD,V4V1G2
OKANAGAN FALLS,Stag's Hollow Winery and Vineyard,2237 SUNVALLEY WAY,V0H1R0
OLIVER,Squeezed Wines,7229 TUCELNUIT DRIVE,V0H1T0
PENTICTON,Time Winery,361 MARTIN STREET,V2A5K6
KELOWNA,Double Cross Cidery,3363 SPRINGFIELD ROAD,V1P1C6
LASQUETI ISLAND,Old Douglas Farm,#1 RICHARDSON BAY ROAD,V0R1J0
KELOWNA,SUMMERHILL ESTATE WINERY,UNIT 1 - 4870 CHUTE LAKE RD,V1W4M3
SUMMERLAND,Tyler Harlton Wines ,#1 - 9576 CEDAR AVE,V0H1Z2
SURREY,1st R.O.W. Estate Winery,104 - 2762 190TH STREET,V3S3W6
LAKE COUNTRY,The Chase Wines,2290 GOLDIE ROAD,V4V1G5
COURTENAY,Beaufort Vineyard & Estate Winery,5854 PICKERING ROAD,V9J1T4
VERNON,The Planet Bee Meadery,5011 BELLA VISTA ROAD,V1H1A1
KAMLOOPS,Northam Winery,965 MCGILL PLACE,V2C6N9
PENTICTON,Ledlin Family Vineyards,1435 NARAMATA ROAD,V2A8X2
LANGLEY,Glass House Estate Winery,23449 0 AVENUE,V2Z2X3
SUMMERLAND,Savard Vines,25200 CALLAN ROAD,V0H1Z0
KAMLOOPS,Privato Vineyard and Winery,5505 WESTSYDE ROAD,V2B8N5
PENTICTON,Three Sisters Winery,1250 MUNSON AVENUE,V2A8S5
