FID,ID,Name,EmplRange,NAICSTitle,NAICSDescr,NAICSCode,Phone,Fax,TollFree,EMail,WebAddress,StreetNo,StreetName,Address,PostalCode,BldgNo,UnitNo,Modified,PIN,CHArea,Ward
36,4315,"Body Shop, The",10 to 19,Retail,"Cosmetics, Beauty Supplies and Perfume Stores",446120,905-273-6393, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,H11,1.5101E+12,6068300,DT Core,4
37,4316,Champs,10 to 19,Retail,All Other Clothing Stores,448199,905-273-7379, , , ,www.champssports.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O7,1.56885E+12,6068300,DT Core,4
38,4317,Armand Jewellers,5 to 9,Retail,Jewellery Stores,448310,905-896-3263,905-896-3263, ,armand.jewellers1@gmail.com,www.armand-jewellers1.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,M7,1.56885E+12,6068300,DT Core,4
39,4318,Michael Hill,5 to 9,Retail,Jewellery Stores,448310,905-277-5110, , , ,www.michaelhill.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,P12,1.56885E+12,6068300,DT Core,4
40,4324,Things Engraved,5 to 9,Retail,"Gift, Novelty and Souvenir Stores",453220,905-275-1855,905-275-1855, , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,"Q12, O5 (kiosk)",1.56885E+12,6068300,DT Core,4
41,4325,Lids,5 to 9,Retail,Clothing Accessories Stores,448150,905-804-8846, , , ,www.lids.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,P8,1.56885E+12,6068300,DT Core,4
42,4328,Freshly Squeezed,5 to 9,Accommodation,Limited-service eating places,722512,905-695-2614, , , ,www.freshlysqueezed.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,Q11,1.56885E+12,6068300,DT Core,4
43,4329,Gateway Newstands,1 to 4,Retail,Book stores and news dealers  ,451310,905-804-1200, , , ,www.gatewaynewstands.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,1-213,1.56885E+12,6068300,DT Core,4
44,4330,Bank of Montreal,20 to 49,Finance,Personal and Commercial Banking Industry,522111,905-277-0577,905-277-0640, , ,www.bmo.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,R11,1.56885E+12,6068300,DT Core,4
45,4332,"Barber's Chair, The",10 to 19,Other Services,Barber Shops,812114,905-566-1840, , ,tbcsquareone@gmail.com,www.thebarberschair.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,P12,1.56885E+12,6068300,DT Core,4
46,4333,NYX,5 to 9,Other Services,Other Personal Care Services,812190,905-306-9615, , , ,www.nyxcosmetics.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,P8,1.56885E+12,6068300,DT Core,4
47,4335,Mendocino,5 to 9,Retail,Women's Clothing Stores,448120,289-232-5846, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,N5,1.56885E+12,6068300,DT Core,4
48,4337,Forever 21,20 to 49,Retail,Family Clothing Stores,448140,905-804-1286, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E5,1.56885E+12,6068300,DT Core,4
49,4341,Muji,10 to 19,Retail,All Other Miscellaneous General Merchandise Stores,452999,905-276-2737, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,H7,1.56885E+12,6068300,DT Core,4
50,4342,Manchu Wok,1 to 4,Accommodation,Limited-service eating places,722512,905-273-3100, , , ,www.manchuwok.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,Q9,1.56885E+12,6068300,DT Core,4
51,4343,Roolys Food Company Ltd. (Jimmy the Greek),5 to 9,Accommodation,Limited-service eating places,722512,905-566-1656, , , ,www.jimmythegreek.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,1-137,1.56885E+12,6068300,DT Core,4
52,4345,Szechuan Express,20 to 49,Accommodation,Limited-service eating places,722512,905-232-3383, , , ,www.szechuanszechuan.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,P9,1.56885E+12,6068300,DT Core,4
53,4346,Cinnabon,5 to 9,Accommodation,Limited-service eating places,722512,905-281-8250,905-281-8250, , ,www.cinnabon.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,P9,1.54613E+12,6068300,DT Core,4
54,4347,Guest Services 2 & Ticketmaster,10 to 19,Administrative,All Other Services to Buildings and Dwellings,561799,905-272-6277, , , ,www.shopsquareone.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,F7,1.5692E+12,6068300,DT Core,4
55,4354,Soft Moc,5 to 9,Retail,Shoe Stores,448210,905-272-4645, , , ,www.softmoc.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O6,1.56885E+12,6068300,DT Core,4
56,4356,New York Fries,5 to 9,Accommodation,Limited-service eating places,722512,905-273-4258, , , ,www.newyorkfries.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,P10,1.5101E+12,6068300,DT Core,4
57,4357,Marla's,5 to 9,Retail,Women's Clothing Stores,448120,905-275-9436, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O5,1.56885E+12,6068300,DT Core,4
58,4360,Ardene,10 to 19,Retail,Clothing Accessories Stores,448150,289-232-2229, , , ,www.ardene.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O4,1.56885E+12,6068300,DT Core,4
59,4361,Canada Post,1 to 4,Transportation,Postal Service,491110,905-897-1153, , , ,www.canadapost.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,M8,1.56885E+12,6068300,DT Core,4
60,4362,Lucky Lotto Centre,1 to 4,Arts,Lotteries,713291,905-275-8225, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O6,1.56531E+12,6068300,DT Core,4
61,4364,Rocky Mountain Chocolate Factory,1 to 4,Retail,Confectionery and Nut Stores,445292,905-277-2462, , ,squareone@rockychoc.com,www.rockychoc.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,Q12,1.56885E+12,6068300,DT Core,4
62,4365,EB Games,5 to 9,Retail,Computer and software stores,443144,905-279-6920, , , ,www.ebgames.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O5,1.56885E+12,6068300,DT Core,4
63,4366,Tumi,1 to 4,Retail,Luggage and Leather Goods Stores,448320,905-949-2941,905-949-2943, ,squareone@tumi.com,www.tumi.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,G5,1.56885E+12,6068300,DT Core,4
64,4370,Sirens,5 to 9,Retail,Women's Clothing Stores,448120, , , , ,www.sirensfashion.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O8,1.56885E+12,6068300,DT Core,4
65,4372,Le Chateau Menswear,1 to 4,Retail,Men's Clothing Stores,448110,905-848-0326, , , ,www.lechateau.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O8,1.56885E+12,6068300,DT Core,4
66,4376,"Disney Store, The",10 to 19,Retail,"Gift, Novelty and Souvenir Stores",453220,905-949-5501, ,1-866-902-2798, ,www.stores.shopdisney.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,P10,1.56885E+12,6068300,DT Core,4
67,4377,Big Smoke Burger,5 to 9,Accommodation,Limited-service eating places,722512,905-277-2447, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O10,1.56885E+12,6068300,DT Core,4
68,4378,Trade Secrets,1 to 4,Other Services,Beauty Salons,812115,905-276-0333, , , ,www.tradesecrets.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O6,1.56885E+12,6068300,DT Core,4
69,4380,Urban Outfitters,20 to 49,Retail,Women's Clothing Stores,448120,905-276-9898, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,Q11,1.56885E+12,6068300,DT Core,4
70,4382,Maverick Studio For Men,5 to 9,Other Services,Unisex Hair Salons,812116,905-804-9200, , ,MaverickStudioSQ1@gmail.com,www.maverickstudio.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,N7,1.56885E+12,6068300,DT Core,4
71,4385,Lenscrafters,10 to 19,Retail,Optical Goods Stores,446130,905-275-4419,905-275-6838, , ,www.lenscrafters.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,D6,1.56885E+12,6068300,DT Core,4
72,4387,Top Shop / Top Man,10 to 19,Retail,Men's Clothing Stores,448110,905-270-3734, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,I9,1.56885E+12,6068300,DT Core,4
73,4388,Kiehl's,5 to 9,Retail,"Cosmetics, Beauty Supplies and Perfume Stores",446120,905-949-5621, , , ,www.kiehls.ca/on,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,H11,1.56885E+12,6068300,DT Core,4
74,4389,The Children's Place,10 to 19,Retail,Children's and Infants' Clothing Stores,448130,905-615-1269, , , ,www.thechildrensplace.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,H11,1.56885E+12,6068300,DT Core,4
75,4396,Thomas Sabo,5 to 9,Retail,Jewellery Stores,448310,905-896-2495, ,1-866-461-9862,squareone@tomassabo.com,www.thomassabo.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E8,1.56885E+12,6068300,DT Core,4
76,4398,Saje Natural Wellness,1 to 4,Retail,"Cosmetics, Beauty Supplies and Perfume Stores",446120,905-615-9160, , ,squareone@saje.ca,www.saje.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,D6,1.5101E+12,6068300,DT Core,4
77,4399,Harry Rosen,20 to 49,Retail,Men's Clothing Stores,448110,905-896-1103, , , ,www.harryrosen.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,K6,1.56885E+12,6068300,DT Core,4
78,4401,Microsoft Store,20 to 49,Retail,Computer and software stores,443144,905-366-4200, , , ,www.microsoft.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,F6,1.56885E+12,6068300,DT Core,4
79,4406,"Hudson Bay, The",100 to 299,Retail,Department Stores,452110,905-270-7600,905-270-6985, , ,www.hbc.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,"J10, S11",1.56885E+12,6068300,DT Core,4
80,4410,Ollie Quinn,1 to 4,Wholesale,Other Home Furnishings Wholesaler-Distributors,414390,905-803-0387, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,Q11,1.5101E+12,6068300,DT Core,4
81,4411,Tim Hortons,10 to 19,Accommodation,Limited-service eating places,722512,905-896-4207, , , ,www.timhortons.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,"N7, P12",1.56885E+12,6068300,DT Core,4
82,4413,Ecco Shoes,5 to 9,Retail,Shoe Stores,448210,905-306-0343, , ,Store-squareone@ecco.com,www.eccocanada.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E6,1.56885E+12,6068300,DT Core,4
83,4414,Swimco,5 to 9,Retail,All Other Clothing Stores,448199,289-323-6893, , , ,www.swimco.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, , ,1.56885E+12,6068300,DT Core,4
84,4418,T Booth Wireless,5 to 9,Information,Wired and Wireless Telecommunications Carriers (ex,517310,905-804-1995, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, , ,1.56885E+12,6068300,DT Core,4
85,4421,Blackwell Supply Co.,5 to 9,Retail,Shoe Stores,448210,905-949-6020, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,G5,1.56885E+12,6068300,DT Core,4
86,4422,TD Canada Trust,20 to 49,Finance,Personal and Commercial Banking Industry,522111,905-270-9102,905-270-2294, , ,www.td.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,Q13,1.5101E+12,6068300,DT Core,4
87,4424,Aldo Shoes,20 to 49,Retail,Shoe Stores,448210,905-276-5485, , , ,www.aldo.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O9,1.56885E+12,6068300,DT Core,4
88,4429,Nutrition House,1 to 4,Retail,Food (Health) Supplement Stores,446191,905-275-1264, , , ,www.nutritionhouse.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,O5,1.56885E+12,6068300,DT Core,4
89,4431,ICE Currency Exchange,1 to 4,Finance,Other Activities Related to Credit Intermediation,522390,905-279-4475, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,Q11,1.5101E+12,6068300,DT Core,4
90,4432,S & H Health Foods,1 to 4,Retail,All Other Specialty Food Stores,445299,905-803-1036, , , ,www.sandhhealth.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,R11,1.5101E+12,6068300,DT Core,4
91,4436,White House | Black Market,10 to 19,Retail,Women's Clothing Stores,448120,905-848-9797, , ,store3802@chicos.com,www.whitehouseblackmarket.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,G9,1.56885E+12,6068300,DT Core,4
92,4438,Jack & Jones,5 to 9,Retail,Men's Clothing Stores,448110,905-615-8005, , , , ,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,H8,1.56885E+12,6068300,DT Core,4
93,4451,David's Tea,5 to 9,Retail,All Other Specialty Food Stores,445299,905-273-4775, , ,store-097@davidstea.com,www.davidstea.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E8,1.56885E+12,6068300,DT Core,4
94,4452,Steve Madden,5 to 9,Retail,Shoe Stores,448210,905-277-8160, , , ,www.stevemadden.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E8,1.56885E+12,6068300,DT Core,4
95,4455,Guess Canada Corporation,10 to 19,Retail,Family Clothing Stores,448140,905-281-1390, , , ,www.guess.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,H10,1.56885E+12,6068300,DT Core,4
96,4457,Chico's,10 to 19,Retail,Women's Clothing Stores,448120,905-897-0903, , , ,www.chicos.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,I10,1.56885E+12,6068300,DT Core,4
97,4458,Lululemon,20 to 49,Retail,All Other Clothing Stores,448199,905-949-0220, , ,squareone-store@lululemon.com,www.lululemon.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,G7,1.56885E+12,6068300,DT Core,4
98,4463,Yves Rocher,5 to 9,Retail,"Cosmetics, Beauty Supplies and Perfume Stores",446120,905-273-7107, , , ,www.yvesrocher.ca,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,P8,1.56885E+12,6068300,DT Core,4
99,4464,Bath & Body Works,10 to 19,Retail,"Cosmetics, Beauty Supplies and Perfume Stores",446120,905-275-6968, , , ,www.bathandbodyworks.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,F11,1.56885E+12,6068300,DT Core,4
100,4465,Melanie Lyne,1 to 4,Retail,Women's Clothing Stores,448120,905-276-4233, , , ,www.melanielyne.com,100,City Centre Dr,100 City Centre Dr,L5B 2C9, ,E10,1.56885E+12,6068300,DT Core,4
101,4472,"Alghabra, Omar - Member of the Parliament for Mississauga Centre",1 to 4,Public Administration,Provincial Labour and Employment Services,912210,905-848-8595,905-848-2712, ,omar.alghabra@parl.gc.ca,www.omaralghabra.ca,151,City Centre Dr,151 City Centre Dr,L5B 1M7, ,400,1.57611E+12,6068100,DT Core,4
102,4473,Desjardins Financial Security Independent Network,50 to 99,Finance,Insurance Agencies and Brokerages,524210,905-276-9456,905-276-4964,1-877-877-8575,aroissl@dfsin.ca,www.dfsinocr.ca,5070,Dixie Rd,5070 Dixie Rd,L4W 1C9, , ,1.57611E+12,10165000,Northeast EA (West),5
103,4477,Business Education College,1 to 4,Educational,Business and Secretarial Schools,611410,905-270-2730,888-315-0174, ,info@beduc.com,www.beduc.com,151,City Centre Dr,151 City Centre Dr,L5B 1M7, ,404,1.57611E+12,6068100,DT Core,4
104,4478,CSC International Investment Ltd.,1 to 4,Finance,Investment Advice,523930,905-804-9669,905-804-9399, ,info@cscinvestment.ca,www.cscinvestment.ca,151,City Centre Dr,151 City Centre Dr,L5B 1M7, ,402,1.57611E+12,6068100,DT Core,4
105,4482,"Burgess,John Williams Enterprises Inc.",1 to 4,Administrative,Office Administrative Services,561110,905-306-7942,905-306-8337, , , ,151,City Centre Dr,151 City Centre Dr,L5B 1M7, ,303,1.55987E+12,6068100,DT Core,4
106,4484,A C C E S Employment Services,20 to 49,Administrative,Employment Placement Agencies and Executive Search,561310,905-361-2522,905-361-0911, , ,www.accesemployment.ca,151,City Centre Dr,151 City Centre Dr,L5B 1M7, ,"600, 602",1.57611E+12,6068100,DT Core,4
107,4485,Mediwise Healthcare Solutions,20 to 49,Health Care,Offices of Physicians,621110,905-566-1333,905-566-9333, , ,www.mediwiseclinic.com,151,City Centre Dr,151 City Centre Dr,L5B 1M7, ,200,1.55987E+12,6068100,DT Core,4
108,4486,Tim Horton's,20 to 49,Accommodation,Limited-service eating places,722512,905-306-0033, , , ,www.timhortons.com,151,City Centre Dr,151 City Centre Dr,L5B 1M7, ,100,1.55987E+12,6068100,DT Core,4
109,4488,Family Services of Peel,50 to 99,Health Care,Other Individual and Family Services,624190,905-270-2250,905-270-2869, ,fsp@fspeel.org,www.fspeel.org,151,City Centre Dr,151 City Centre Dr,L5B 1M7, ,501,1.55987E+12,6068100,DT Core,4
110,4493,Mississauga Law Chambers,1 to 4,Professional,Offices of Lawyers,541110,905-901-3768, , , , ,151,City Centre Dr,151 City Centre Dr,L5B 1M7, ,201,1.55987E+12,6068100,DT Core,4
111,4504,City of Mississauga 201 City Centre Dr,300 to 499,Public Administration,"Other Local, Municipal and Regional Public Adminis",913910,905-896-5495, , , ,www.mississauga.ca,201,City Centre Dr,201 City Centre Dr,L5B 4E4, ,"202, 700, 800 & 900",1.56885E+12,6068200,DT Core,4
112,4513,Print Three Inc.,1 to 4,Manufacturing,Other Printing,323119, , , ,printthree@bellnet.ca,www.print3mississauga.com,201,City Centre Dr,201 City Centre Dr,L5B 2T4, ,105A,1.55987E+12,6068200,DT Core,4
113,4518,"Oakes, Tammy & Associates o/a Co-operators Insurance & Financial Services, The",1 to 4,Finance,Direct Property Insurance Carriers,524124,905-949-2667,905-949-2440, ,mark_solis@cooperators.ca,www.cooperators.ca,201,City Centre Dr,201 City Centre Dr,L5B 2T4, ,405,1.57611E+12,6068200,DT Core,4
114,4520,Newport Sports Management Inc.,20 to 49,Arts,Sports Stadiums and Other Presenters with Faciliti,711319,905-275-2800,905-275-4025, , ,www.thehockeyagency.com,201,City Centre Dr,201 City Centre Dr,L5B 2T4, ,400,1.57611E+12,6068200,DT Core,4
115,4524,Assante Wealth Management,1 to 4,Finance,Investment Advice,523930,905-276-2311,905-276-9888, , ,www.assante.com,201,City Centre Dr,201 City Centre Dr,L5B 2T4, ,402,1.55987E+12,6068200,DT Core,4
116,4525,Avery Human Resources Inc.,5 to 9,Administrative,Employment Placement Agencies and Executive Search,561310,905-896-6965,888-835-1496, ,sarianna@averyhr.com,www.averyhr.com,201,City Centre Dr,201 City Centre Dr,L5B 4E4, ,1100,1.55987E+12,6068200,DT Core,4
117,4528,Dr. Stanwick Lam Watt - Periodontist,10 to 19,Health Care,Offices of Dentists,621210,905-279-5692,905-290-9950, ,drstanlw@gmail.com, ,201,City Centre Dr,201 City Centre Dr,L5B 4E4, ,407,1.57611E+12,6068200,DT Core,4
