idx,localfile,business_name,full_address,pattern,LP2_unit,LP2_street_no,spill,LP_street_no,LP_street_name,LP_City,LP_Province,LP_PostCode,LP_Unit,LP3_unit
583fdedc1920af74f281,QC_Etablissements.csv,Farhat Drummondville,B-6-520 BOUL. St-Joseph,<unit>-<street_no> <street_name>,b--6,520,520,b--6--520,boul. st-joseph,,,,,b
f8441eae3bf14f0c230f,QC_Etablissements.csv,Centre Innova Soins,A-288-3333 RUE du Carrefour,<unit>-<street_no> <street_name>,a--288,3333,3333,a--288--3333,rue du carrefour,,,,,a
b18949f249e6bf0bf35e,QC_Etablissements.csv,PROJET OUVERTURE INC.,B-111-900 RUE Lacasse,<unit>-<street_no> <street_name>,b--111,900,900,b--111--900,rue lacasse,,,,,b
30b73779c3211a867103,QC_Etablissements.csv,NOHA BESTAWROS ET CHRISTIAN SHEFTESHY PHARMACIENS INC.,RC-02-9080 RUE Hochelaga,<unit>-<street_no> <street_name>,rc--02,9080,9080,rc--02--9080,rue hochelaga,,,,,rc
e88faf32bb88c781acf8,QC_Etablissements.csv,Clinique de kinésiologie Vsquare,S-170-360 RUE St-Jacques,<unit>-<street_no> <street_name>,s--170,360,360,s--170--360,rue st-jacques,,,,,s
6c0ff76fc493153b9db6,QC_Etablissements.csv,PRESSE CAFE,NR-01-1717 RUE BERRI,<unit>-<street_no> <street_name>,nr--01,1717,1717,nr--01--1717,rue berri,,,,,nr
4cef9377474fba3b8808,QC_Etablissements.csv,KIN SANG AGENCE DE VOYAGES INC.,2-12-998 BOUL. St-Laurent,<unit>-<street_no> <street_name>,2--12,998,998,2--12--998,boul. st-laurent,,,,,2
cad2408c0e5485b47ca8,QC_Etablissements.csv,TRATTORIA TEVERE À PLACE VICTORIA,C-12A-800 RUE SQUARE VICTORIA,<unit>-<street_no> <street_name>,c--12a,800,800,c--12a--800,rue square,victoria,,,,c
3d559275d8f6a93f4b6f,QC_Etablissements.csv,Fabienne Parente M.D. inc.,C-447-2300 RUE Tupper,<unit>-<street_no> <street_name>,c--447,2300,2300,c--447--2300,rue tupper,,,,,c
18cf4844cf065c7a7991,QC_Etablissements.csv,SYSTÈMES NUMÉRIQUES CHRISTIE CANADA,B-528-1001 RUE Lenoir,<unit>-<street_no> <street_name>,b--528,1001,1001,b--528--1001,rue lenoir,,,,,b
14e0fd9d6bba70050087,QC_Etablissements.csv,Lib. aménagement de bureau inc.,A-410b-1001 RUE Lenoir,<unit>-<street_no> <street_name>,a--410b,1001,1001,a--410b--1001,rue lenoir,,,,,a
b6176fcdd76028a00ff8,QC_Etablissements.csv,École de Conduite DeLuxe,200-2-298 RUE Labelle,<unit>-<street_no> <street_name>,200--2,298,298,200--2--298,rue labelle,,,,,200
ca7ddd26b61764f74d53,QC_Etablissements.csv,La Confiserie Sweet Factory,B-01-401 BOUL. Labelle,<unit>-<street_no> <street_name>,b--01,401,401,b--01--401,boul. labelle,,,,,b
6aa5059e1dfb4e18614a,QC_Etablissements.csv,"Industrielle Alliance, Assurance et services financiers inc.",A-200-3200-A RUE King O,???,a--200--3200,a,3200-a,a--200--3200--a,rue king o,,,,,a
2be8c0dda26ed93d9e19,QC_Etablissements.csv,9266-6726 Québec inc.,F-1-75 CH. de la Gare,<unit>-<street_no> <street_name>,f--1,75,75,f--1--75,ch. de la gare,,,,,f
3c1ba4d049f2d2b0d589,QC_Etablissements.csv,Thaï Express (MC),#FC-06-401 BOUL. Labelle,<unit>-<street_no> <street_name>,#fc--06,401,401,#fc--06--401,boul. labelle,,,,,#fc
612a25fbba15bbb3206e,QC_Etablissements.csv,LES INVESTISSEMENTS VINSTEVE INC.,900-28-1980 Sherbrooke Street W.,<unit>-<street_no> <street_name>,900--28,1980,1980,900--28--1980,sherbrooke street w.,,,,,900
e0f4ed516b752957f9cb,QC_Etablissements.csv,Amyot Gélinas Conseils Inc.,3-4-255 RUE De Martigny O,<unit>-<street_no> <street_name>,3--4,255,255,3--4--255,rue de martigny o,,,,,3
190a49f20bdd2ded8750,QC_Etablissements.csv,accessoires mode Cléopâtre,M-32-555 RUE Chabanel O,<unit>-<street_no> <street_name>,m--32,555,555,m--32--555,rue chabanel o,,,,,m
abfc30ed6b1c0aa9b15f,QC_Etablissements.csv,Tabagie Lulu,G-03-276 RUE St-Jacques,<unit>-<street_no> <street_name>,g--03,276,276,g--03--276,rue st-jacques,,,,,g
8a810808d14448bdf2bd,QC_Etablissements.csv,SANCTUAIRE DE L'ABONDANCE,308-7-695 CH. AVILA,<unit>-<street_no> <street_name>,308--7,695,695,308--7--695,ch. avila,,,,,308
c89302272aa66f238ec6,QC_Etablissements.csv,SYSTÈMES STUDIOTEC INC.,C-305-1 Carré Westmount,<unit>-<street_no> <street_name>,c--305,1,1,c--305--1,carré westmount,,,,,c
6819ff7a6e151b55c40c,QC_Etablissements.csv,RESTAURANT SUBWAY SHERBROOKE OUEST,F-15-1000 RUE SHERBROOKE O,<unit>-<street_no> <street_name>,f--15,1000,1000,f--15--1000,rue sherbrooke o,,,,,f
2a60ee8ca53028a7d0be,QC_Etablissements.csv,Coopérative de l'Université de Sherbrooke - Succursale Séminaire de Sherbrooke,C-140-195 RUE Marquette,<unit>-<street_no> <street_name>,c--140,195,195,c--140--195,rue marquette,,,,,c
94bbf237c9ea582fe100,QC_Etablissements.csv,AMARIS CONSEIL INC.,M-201-360 rue Saint Jacques O,<unit>-<street_no> <street_name>,m--201,360,360,m--201--360,rue saint jacques o,,,,,m
1137d4535f5a0d622ce7,QC_Etablissements.csv,Au Vieux Duluth Beauport,A-55-3333 RUE du Carrefour,<unit>-<street_no> <street_name>,a--55,3333,3333,a--55--3333,rue du carrefour,,,,,a
7dacb95b366ddc50a793,QC_Etablissements.csv,KASA LIVING ®,1-08-401 BOUL. Labelle,<unit>-<street_no> <street_name>,1--08,401,401,1--08--401,boul. labelle,,,,,1
e440b4993d7baf8fe29e,QC_Etablissements.csv,Immigration Keleny Inc.,900-21-1980 RUE Sherbrooke O,<unit>-<street_no> <street_name>,900--21,1980,1980,900--21--1980,rue sherbrooke o,,,,,900
5f706a3d347d708ef376,QC_Etablissements.csv,Clinique de Chirurgie de Chicoutimi,C-700-930 RUE Jacques-Cartier,<unit>-<street_no> <street_name>,c--700,930,930,c--700--930,rue jacques-cartier,,,,,c
4b9b02f060b0a862f9a8,QC_Etablissements.csv,INDUSTRIA BRASSERIE ITALIENNE,C-112-100 RUE Peel,<unit>-<street_no> <street_name>,c--112,100,100,c--112--100,rue peel,,,,,c
dbad2ece1a1c832985d9,QC_Etablissements.csv,Dre Marie-Natacha Pilotte Inc.,C-700-930 RUE Jacques Cartier,<unit>-<street_no> <street_name>,c--700,930,930,c--700--930,rue jacques cartier,,,,,c
a1242073196ee7899fd6,QC_Etablissements.csv,Salon G,J-M870-315 RUE Sainte-Catherine E,<unit>-<street_no> <street_name>,j--m870,315,315,j--m870--315,rue sainte-catherine e,,,,,j
3138a005fe5d9abc9fb7,QC_Etablissements.csv,Fromagerie-Charcuterie Juliette,15-16-1200 CH. Saint-Jean,<unit>-<street_no> <street_name>,15--16,1200,1200,15--16--1200,ch. saint-jean,,,,,15
2ee00320f96a49361cc4,QC_Etablissements.csv,CARAVELLE II,"C-136-747 , rue du Square-Victoria","<unit>-<street_no> , <street_name>",c--136,747,747,c--136--747,rue du square-victoria,,,,,c
880e64dc026ca2deb149,QC_Etablissements.csv,RESTAURANT BAGUETTES DE SZECHUAN,G-H-I-1950 CH. du Fer-à-Cheval,<unit>-<street_no> <street_name>,g--h--i,1950,i-1950,g--h--i--1950,ch. du fer-à-cheval,,,,,g
584378b42344c83c00f6,QC_Etablissements.csv,DROITS ET RECOURS EN SANTÉ MENTALE DE LA CÔTE-NORD,E-010-94 RUE Monseigneur-Blanche,<unit>-<street_no> <street_name>,e--010,94,94,e--010--94,rue monseigneur-blanche,,,,,e
7e9e42e3d3113a622f51,QC_Etablissements.csv,Gestion C.R.D. et associés Inc.,2-197-2 RUE Paré,<unit>-<street_no> <street_name>,2--197,2,2,2--197--2,rue paré,,,,,2
3110aa496d0b9006bbd1,QC_Etablissements.csv,SANTÉ CANNABIS,A-260-15 RUE J.A. Bombardier,<unit>-<street_no> <street_name>,a--260,15,15,a--260--15,rue j.a. bombardier,,,,,a
a69da26cd6107a9ee449,QC_Etablissements.csv,DigiCommerce Inc.,C-215-1001 RUE Lenoir,<unit>-<street_no> <street_name>,c--215,1001,1001,c--215--1001,rue lenoir,,,,,c
aa87a3112bdc031c86eb,QC_Etablissements.csv,RESTAURANT MITSUKI SUSHI BAR,30-8840 Local F15C-F15B Boul. Leduc,???,30--8840 local f15c,f15b,f15b,30--8840 local f15c--f15b,boul. leduc,,,,,30
a44719949b179f9f5359,QC_Etablissements.csv,IMMEUBLES GASTON GINGRAS INC.,132-134 -136-138 rue Principale N,<unit>-<street_no> <street_name>,132--134 --136,138,136-138,132--134 --136--138,rue principale n,,,,,132
603e2ead89dc15135561,QC_Etablissements.csv,UNI Vieux Montréal,SS-100-507 RUE Place D'Armes,<unit>-<street_no> <street_name>,ss--100,507,507,ss--100--507,rue place d'armes,,,,,ss
8d518fe2e164ce771c2d,QC_Etablissements.csv,SERVICES DE CONSULTATION ALCANCE,204-1-765 RUE JARRY O,<unit>-<street_no> <street_name>,204--1,765,765,204--1--765,rue jarry o,,,,,204
02f543b200484034ef1b,QC_Etablissements.csv,9335-2391 Québec inc.,C-314-1747 RUE CUNARD,<unit>-<street_no> <street_name>,c--314,1747,1747,c--314--1747,rue cunard,,,,,c
8379899ddf1d100acd1e,QC_Etablissements.csv,Café plein cup inc.,E-1-181 RUE Principale,<unit>-<street_no> <street_name>,e--1,181,181,e--1--181,rue principale,,,,,e
ac22bcc0d602cd1ff3a6,QC_Etablissements.csv,Pizzéria No900 SH King Ouest,A-130-3200 RUE King Ouest,<unit>-<street_no> <street_name>,a--130,3200,3200,a--130--3200,rue king ouest,,,,,a
