X,Y,OBJECTID,BusinessID,Unit,House,Street,PostalCode,BusinessName,BusinessType,BusinessSubType,BusinessDescription,IssueDate,LicenceCategory,WebsiteAddress,Phone1,Phone1Description,Keywords,SHAPE
525913.4209,5451700.11,57,00458112,,20834,LOUGHEED HWY,V2X 2R3,JUICY MEALS LTD DBA DONAIR CASTLE,FOOD & BEVERAGE SERVICES,RESTAURANT/CAFE,RESTAURANT - MEDITERRANEAN FOOD,2022/01/04 08:00:00+00,COMMERCIAL,,604 477 0019,Work,,
531037.4812,5454987.619,58,00432295,,13456,BALSAM ST,,REWRITE COMMUNICATIONS,BUSINESS SERVICES,WRITING SERVICE,WRITING AND EDITING SERVICES,2021/12/13 08:00:00+00,HOME BASED,,604 999 9084,Work,,
529340.538,5455031.9412,60,00433664,,22550,136 AVE,V4R 2P7,D C CONTRACTING,CONTRACTORS,RENOVATION/RESTORATION/HOME IMPROVEMENT,"BUILDING, RENOVATIONS & ADDITIONS",,HOME BASED,,604 466 3224,Work,,
529777.3,5453162.1851,61,00433238,,22755,BALABANIAN CIR,V2X 8Z5,SIMPSON ENTERPRISES,CONTRACTORS,CONCRETE - POUR/FINISH/FORM/REINFORCE,CONCRETE CONTRACTORS,2022/01/13 08:00:00+00,HOME BASED,,604 841 4787,Work,,
529710.6081,5451546.7535,63,00459520,,22760,LOUGHEED HWY,,EMPOWERED BY NATURE RECREATION CO.,EDUCATION & INSTRUCTION,UNCLASSIFIED EDUCATION & INSTRUCTION,"RECREATIONAL THERAPY & EDUCATION PROGRAM (ART, SEWING, MUSIC, SOCIAL, YOGA, GAMES",2022/01/18 08:00:00+00,COMMERCIAL,ecoplay.ca,778 987 7529,Work,,
525074.6521,5451937.9332,64,00436179,204,20395,LOUGHEED HWY,V2X 2P9,SPROTT-SHAW COMMUNITY COLLEGE MAPLE RIDGE,EDUCATION & INSTRUCTION,COMMUNITY COLLEGE,PRIVATE TRAINING INSTITUTION,2021/12/23 08:00:00+00,COMMERCIAL,,604 466 3600,Work,,
529516.0675,5452074.797,65,00460115,110,22645,DEWDNEY TRUNK RD,V2X 3K1,COAST THERAPY MAPLE RIDGE,HEALTH SERVICES,UNCLASSIFIED HEALTH SERVICE,CLINIC & NON-PROFESSIONALS (E.G. KINESIOLOGIST EMPLOYEES),2022/05/10 07:00:00+00,COMMERCIAL,www.coasttherapy.ca,604 463 0529,Work,,
531364.2515,5451444.9286,67,00453278,50,11737,236 ST,V4R 2E5,PITT MEADOWS EXCAVATING,CONTRACTORS,BUILDING (GENERAL CONTRACTOR),EXCAVATION & SERVICING,2021/12/06 08:00:00+00,HOME BASED,,604 479 1020,Work,,
524712.4382,5450897.0955,68,00435866,205,20285,STEWART CRES,V2X 8G1,Q-TECH SERVICES LTD,WAREHOUSING & STORAGE,GENERAL WAREHOUSING,STORING OF CONSTRUCTION EQUIPMENT AND OFFICE USE,2021/12/13 08:00:00+00,COMMERCIAL,,604 460 8186,Work,,
524635.2211,5451244.5671,69,00432395,209,20120,STEWART CRES,V2X 0T4,GLOBAL COFFEE INC,WHOLESALE & DISTRIBUTION,FOOD & BEVERAGE,WHOLESALE COFFEE TO OTHER BUSINESSES,2022/02/11 08:00:00+00,COMMERCIAL,,604 618 7505,Work,,
531044.1888,5448413.2835,70,00460075,,23398,FISHERMAN RD,V2W 1B9,1283935 BC LTD,AUTOMOTIVE,AUTO WRECKING,AUTO WRECKING,2022/05/11 07:00:00+00,COMMERCIAL,,,Work,,
527434.1328,5451963.7382,72,00451442,,11969,216 ST,V2X 5H9,MAPLE RIDGE FUNERAL CHAPEL,PROFESSIONAL SERVICES,FUNERAL/CREMATORY/UNDERTAKER,FUNERALS MEMORIALS SERVICES CREMATION AND GRAVE MARKERS,2021/12/21 08:00:00+00,COMMERCIAL,,604 463 8121,Work,,
536836.9872,5453638.8617,73,00434580,,26300,128 AVE,V2W 1C6,INDUSTRIAL SANITATION SOLUTIONS INC,HOME & INDUSTRY SERVICES,JANITOR/HOUSEKEEPING,CLEANING COMMERCIAL BLDGS,2021/12/24 08:00:00+00,HOME BASED,,604 220 6225,Work,,
541696.7786,5449992.6669,74,00444147,,10936,286 ST,V2W 1Z1,GUEST EXCAVATING CO LTD,CONTRACTORS,DEMOLITION,DEMOLITION,2021/12/10 08:00:00+00,HOME BASED,,604 644 6789,Work,,
528979.4086,5451514.8759,75,00434084,107,11743,224 ST,V2X 6A4,ROBERT J. CARTER LAW CORPORATION BDA CARTER LITIGATION,PROFESSIONAL SERVICES,BARRISTER/LAWYER/SOLICITOR,LAW OFFICE,2021/12/08 08:00:00+00,COMMERCIAL,,604 380 3517,Work,,
529774.5877,5452745.3408,76,00434595,,22775,123 AVE,V2X 4E5,ERM'S HOUSECLEANING & JANITORIAL,HOME & INDUSTRY SERVICES,JANITOR/HOUSEKEEPING,CLEANING & JANITORIAL SERVICES,2022/01/13 08:00:00+00,HOME BASED,,604 467 9439,Work,,
534171.2449,5449833.4974,77,00458644,,24930,109 AVE,,POLISHED AUTO DETAIL,AUTOMOTIVE,AUTO DETAILING/UPHOLSTERY,MOBILE AUTO DETAILING,,HOME BASED,,604 807 9514,Work,,
531095.7992,5448576.8617,79,00435673,,23375,FISHERMAN RD,V2W 1B9,FRASER PLASTICS LTD,RECYCLING & SALVAGE,RECYCLING,PLASTIC RECYCLING & COMPOUNDING,2021/12/10 08:00:00+00,COMMERCIAL,,604 814 5042,Work,,
524562.9919,5451085.3672,80,00435404,,20181,115A AVE,V2X 0Z3,COLWIN DESIGN LTD,MANUFACTURING,WOOD PRODUCTS,MANUFACTURING WOOD PRODUCTS,2021/12/08 08:00:00+00,COMMERCIAL,,604 460 6620,Work,,
531657.8436,5449348.3694,81,00436157,,23675,TAMARACK LANE,V2W 1B4,PRACSYS SOLUTIONS INC.,COMPUTER & TECHNOLOGY SERVICES,COMPUTER CONSULTANT,COMPUTER & IT SYSTEM CONSULTING,2021/12/20 08:00:00+00,HOME BASED,,,Work,,
528923.9396,5452011.3959,82,00448124,,22358,DEWDNEY TRUNK RD,V2X 3J2,FLAME CO HEATING SERVICES LIMITED,HOME & PROPERTY RETAIL,"APPLIANCES, TV & ELECTRONICS",FIREPLACE SHOWROOM (SEPARATE CERTIFIED CONTRACTOR LICENCE FOR INSTALLATIONS),2021/12/24 08:00:00+00,COMMERCIAL,,604 813 1333,Work,,
537875.1248,5452106.2516,84,00435885,,26783,DEWDNEY TRUNK RD,V2W 1N9,"MCCLUNG, D TRUCKING INC",TRANSPORT GOODS & SERVICES,TRUCKING,DUMPTRUCK HAULING/EXCAVATING,2022/03/01 08:00:00+00,HOME BASED,,604 462 7824,Work,,
530997.8099,5450308.4068,85,00432446,,23336,GRIFFEN RD,V2W 0B6,INTENSITY BRANDING CANADA,WHOLESALE & DISTRIBUTION,UNCLASSIFIED WHOLESALE,WHOLESALE PROMOTIONAL PRODUCTS,2021/12/07 08:00:00+00,HOME BASED,,604 833 8412,Work,,
524541.0812,5450410.7733,86,00434588,,20147,WANSTEAD ST,V2X 0T2,YOU'VE GOT MAID CLEANING COMPANY,HOME & INDUSTRY SERVICES,JANITOR/HOUSEKEEPING,HOUSE CLEANING,2022/02/07 08:00:00+00,HOME BASED,,604 992 6243,Work,,
531295.2149,5450466.854,87,00457633,43,23539,GILKER HILL RD,,TY DESIGN INC,PROFESSIONAL SERVICES,ARCHITECT,PROVIDING ARCHITECTURAL DRAWINGS FOR BUILDING PERMITS,2022/02/11 08:00:00+00,HOME BASED,,604-446-6694,Work,,
537036.5296,5453855.4588,88,00457731,,12880,LILLEY DR,,ABBY BIN SERVICES 2014 INC.,RENTAL SERVICE,"RENTAL SERVICE, STORES, YARDS",RENTAL CONTAINER SERVICE FOR GARBAGE & ASBESTOS STORAGE FACILITY,2021/12/08 08:00:00+00,COMMERCIAL,,604 793 8843,Work,,
527543.8369,5453186.8885,89,00435015,,21634,126 AVE,V2X 4N7,THE URBAN LUMBERJACK TREE SERVICES INC,HOME & INDUSTRY SERVICES,TREE SERVICE,TREE SERVICE,2021/12/30 08:00:00+00,HOME BASED,,604 618 0333,Work,,
530504.1542,5454285.1021,90,00432502,,13175,232 ST,V4R 2S7,ACTIVE AUCTION MART LTD,WHOLESALE & DISTRIBUTION,UNCLASSIFIED WHOLESALE,HOME OFFICE FOR SURREY BASED BUSINESS,2021/12/22 08:00:00+00,HOME BASED,,604 371 1190,Work,,
,,91,00435412,40,23651,132 AVE,,LAND SEA AIR CANADA DBA FAB FLOORPLANS,PHOTOGRAPHY & FILM,VIDEOGRAPHY,PHOTOGRAPHY AND MEASURING SERVICES,2022/01/17 08:00:00+00,HOME BASED,FABFLOORPLANS.COM,778 231 6542,Work,,
528973.5672,5451755.7102,93,00434099,,11855,224 ST,V2X 6B1,ROYAL BANK OF CANADA,FINANCIAL & INSTITUTIONAL SERVICES,BANK/CREDIT UNION,BANK,2021/12/20 08:00:00+00,COMMERCIAL,,604 463 6271,Work,,
537243.0554,5447096.0543,95,00444333,,26440,96 AVE,V2W 1K3,WORKSHOP 96,AGRICULTURE,ANIMAL PRODUCTION,"HOBBY FARM - EGG FARMING, APICULTURE",2022/01/05 08:00:00+00,HOME BASED,,604 771 3209,Work,,
535362.507,5452723.5642,96,00435019,,12333,256 ST,V4R 1B5,DAM GOOD SOAP INC,HOMECRAFT,HANDCRAFT,SOAP MAKING,2022/03/08 08:00:00+00,HOME BASED,,604 462 0939,Work,,
526946.2581,5451486.1396,97,00435940,,11666,LAITY ST,V2X 5A3,GOLDEN EARS GIFT SHOP,RETAIL,GIFT,HOSPITAL GIFT STORE - NON PROFIT,2021/11/17 08:00:00+00,COMMERCIAL,,604 467 6623,Work,,
526302.1759,5452067.1729,98,00434760,,21019,DEWDNEY TRUNK RD,V2X 3G1,KENNY'S LAWN AND GARDEN,HOME & INDUSTRY SERVICES,GARDENER/LAWN MAINTENANCE,LAWN CARE & MAINTENANCE SERVICES,2021/12/14 08:00:00+00,HOME BASED,,604 467 2775,Work,,
529175.6253,5451697.6171,99,00444765,201,22471,LOUGHEED HWY,V2X 2T8,DR SYLVIA GARNIS-JONES INC,PROFESSIONAL SERVICES,PHYSICIAN,MEDICAL & COSMETIC DERMATOLOGY,2022/03/20 07:00:00+00,COMMERCIAL,,604 380 4400,Work,,
537281.4902,5451135.4684,100,00433748,,26394,TRETHEWEY CRES,V2W 1A5,ACTUAL LANDSCAPING INC,CONTRACTORS,LANDSCAPING,COMMERCIAL LANDSCAPERS,2021/12/20 08:00:00+00,HOME BASED,,604 462 0237,Work,,
531009.5631,5448953.7001,101,00437796,8,23382,RIVER RD,V2W 1B6,CRAFTSMEN CONTRACTING LTD,WAREHOUSING & STORAGE,GENERAL WAREHOUSING,WAREHOUSE & STORAGE FOR CONSTRUCTION COMPANY - NO ON-SITE OFFICE,2021/12/20 08:00:00+00,COMMERCIAL,,778 989 7252,Work,,
528822.9406,5453085.1228,102,00436469,,12510,223 ST,V2X 5Z1,BASKET OF JOY,COMMUNITY CARE,CHILD CARE - FAMILY DAYCARE,CCFA LICENCED FAMILY CHILD CARE,2021/12/09 08:00:00+00,HOME BASED,,604 467 2053,Work,,
528765.1838,5452496.3206,103,00432310,215,22277,122 AVE,V2X 3X8,GOLDEN EARS DOG WALKING,ANIMAL SERVICES,DOG WALKER,DOG WALKING & PET SITTING,,HOME BASED,,604 512 5182,Work,,
529233.8959,5451588.9011,104,00435852,,22503,ROYAL CRES,V2X 2M2,CRESCENT APARTMENT,RENTAL UNITS,RES DWELL LESSOR - MULTI-FAMILY,10 RENTAL APARTMENTS,2021/12/07 08:00:00+00,COMMERCIAL,,604 889 2592,Work,,
528114.9393,5454611.3769,105,00434971,,21973,132 AVE,V4R 0A7,THE RANCH PUB AND GRILL,FOOD & BEVERAGE SERVICES,LIQUOR PRIMARY LICENCE ESTABLISHMENT WITH RESTAURANT/ FOOD PRIMARY LICENCE ESTAB,PUB & GRILL,2022/01/04 08:00:00+00,COMMERCIAL,,604 467 5616,Work,,
525074.6521,5451937.9332,109,00434279,200,20395,LOUGHEED HWY,V2X 2P9,SARAH CHATT RMT,PROFESSIONAL SERVICES,REGISTERED MASSAGE THERAPIST,REGISTERED MASSAGE THERAPY,2022/01/19 08:00:00+00,COMMERCIAL,,604 465 4263,Work,,
529648.1531,5451958.0582,110,00435281,200,22714,DEWDNEY TRUNK RD,V2X 3K2,CAROLYN HEPPNER COUNSELLING,HEALTH SERVICES,COUNSELLING,COUNSELLING,2022/01/04 08:00:00+00,COMMERCIAL,,604 788 0714,Work,,
530543.4392,5450490.1957,111,00437226,10,11255,232 ST,V2X 4W4,ROBYN FRIZZLE RMT,PROFESSIONAL SERVICES,REGISTERED MASSAGE THERAPIST,REGISTERED MASSAGE THERAPIST,2022/01/04 08:00:00+00,HOME BASED,,604 803 4292,Work,,
527407.1824,5453528.3616,112,00432178,,12719,216 ST,V2X 7K1,531815 BC LTD,AUTOMOTIVE,AUTO DETAILING/UPHOLSTERY,MOBILE DETAILING,2022/02/01 08:00:00+00,HOME BASED,,604 467 5642,Work,,
530349.9019,5451511.3484,113,00447479,,23062,CLIFF AVE,,ALOUETTE CLEANING AND MOVING SERVICES,HOME & INDUSTRY SERVICES,JANITOR/HOUSEKEEPING,RESIDENTIAL OFFICE CLEANING,2022/02/25 08:00:00+00,HOME BASED,,604 300 3740,Work,,
530876.4887,5452070.4122,115,00458229,,23315,DEWDNEY TRUNK RD,,HIGHLAND SALON AND MEDI SPA,PERSONAL SERVICES,SPA SERVICES,ESTHETICS,2021/12/30 08:00:00+00,COMMERCIAL,,604 467 3995,Work,,
525788.6638,5451797.534,116,00438129,,20767,LOUGHEED HWY,V2X 2R2,CASK AND KEG BREWMASTERS INC.,FOOD & BEVERAGE RETAIL,U-BREW,U-BREW / U-VIN,2022/01/12 08:00:00+00,COMMERCIAL,,604 463 1989,Work,,
